flow_ID proc_time
27156 13009
23729 11696
27156 6606
27156 3122
27156 2098
23729 4957
27156 6383
27156 3050
27156 1470
27156 2453
23729 7185
27156 338
27156 7064
27156 6393
27156 2387
27156 6554
23729 7912
27156 2873
27156 7991
27156 473
27156 5946
23729 8348
27156 1075
27156 5569
27156 1814
23729 5079
27156 8168
27156 2720
27156 4208
23729 6140
27156 3249
27156 4779
27156 4769
27156 161
23729 9326
27156 1654
27156 1607
27156 3555
23729 6420
27156 2772
27156 2771
27156 10171
23729 5571
27156 4716
27156 3315
27156 2347
27156 6142
23729 7794
27156 7827
27156 4104
27156 1981
27156 5696
23729 5061
27156 2034
27156 3007
27156 4449
23729 5381
27156 5642
27156 3339
27156 4770
23729 4885
27156 5286
27156 4067
27156 7422
27156 3817
23729 6781
27156 5753
27156 2756
27156 2778
23729 7470
27156 2086
27156 3765
27156 2150
27156 4990
23729 7715
27156 3128
27156 1845
27156 5634
27156 2043
23729 11798
27156 3544
27156 1182
27156 1907
27156 3348
23729 6691
27156 7032
27156 7286
27156 1979
27156 5048
23729 6726
27156 5374
27156 5391
27156 4202
27156 2280
27156 1966
23729 8858
27156 2726
27156 2224
27156 1080
27156 6927
27156 5299
23729 7354
27156 3406
27156 3336
27156 6081
23729 6514
27156 1310
27156 5964
27156 250
23729 4030
27156 1479
27156 3568
23729 6914
27156 7348
27156 4718
27156 3663
23729 6596
27156 2893
27156 2413
27156 1207
23729 3984
27156 3187
27156 7144
27156 1470
27156 1525
23729 7000
27156 2686
27156 2880
27156 2363
23729 7823
27156 4399
27156 6311
27156 3165
27156 2100
23729 5633
27156 2874
27156 3538
27156 6115
23729 5828
27156 4981
27156 3731
27156 2368
27156 1823
23729 4144
27156 1373
27156 2795
23729 8122
27156 1171
27156 615
27156 1622
23729 5836
27156 7518
27156 4725
27156 566
23729 4965
27156 4744
27156 4076
27156 5475
23729 5998
27156 2764
27156 1156
27156 5312
23729 7658
27156 3995
27156 3014
27156 2652
27156 1737
23729 5946
27156 1919
27156 5189
23729 2387
27156 6402
27156 4748
27156 4315
27156 1751
23729 6733
27156 970
27156 2141
27156 1344
23729 200
23729 5570
27156 5234
27156 171
27156 157
27156 5673
27156 661
27156 5299
23729 429
23729 1596
23729 3578
27156 5547
27156 971
27156 2674
23729 4950
23729 4711
27156 325
27156 1956
27156 406
27156 1828
27156 4961
23729 9
23729 6050
23729 5472
27156 3090
27156 2439
27156 5610
23729 294
23729 1207
23729 3715
27156 5660
27156 5576
27156 2996
27156 4391
23729 5018
23729 2321
27156 3572
27156 5314
23729 4871
23729 860
23729 2341
27156 5515
27156 3137
23729 5042
27156 8553
27156 3304
23729 6262
27156 4327
27156 4458
23729 2465
23729 4321
27156 4623
27156 6280
23729 4557
23729 449
23729 5807
27156 4418
27156 4137
23729 1922
23729 4048
27156 6670
23729 5163
27156 2354
27156 6842
23729 3466
27156 5213
23729 3837
27156 795
23729 4656
27156 6203
27156 5177
23729 5727
23729 3540
27156 7049
27156 2733
27156 5317
27156 6008
23729 1681
23729 3052
27156 4867
