flow_ID proc_time
47575 6186
44 7633
47575 555
44 7584
44 20981
47575 18731
44 2864
47575 3491
44 4886
44 5662
47575 7923
47575 6362
37327 5208
40973 5273
37327 4506
40973 4687
44 8204
47575 7001
40973 8032
37327 6030
40973 6769
37327 4214
37327 7425
40973 5973
40973 7210
37327 7731
10702 4630
49164 6271
10702 9292
49164 7389
40973 7488
37327 6147
49164 8496
10702 7323
10702 6448
49164 2454
10702 3181
49164 4764
49164 6350
10702 6573
10702 7391
49164 5449
10702 7193
41422 6412
24591 6679
41422 3085
24591 879
41422 575
24591 3195
41422 2247
24591 4454
24591 4172
41422 6989
41422 3096
24591 9610
6607 4797
14 5464
6607 7126
6607 8769
14 8011
14 7771
6607 5595
6607 4337
14 4928
6607 1532
14 2984
6607 3171
14 6254
6607 7933
61901 5865
24586 4902
61901 5141
24586 6485
24586 5326
61901 5662
24586 6252
24586 8516
61901 7358
61901 1891
24586 4122
24586 6211
61901 7953
18892 1012
11 8200
18892 6372
11 7808
24586 4543
61901 4718
11 7797
18892 8562
11 6445
18892 5494
18892 6957
11 4573
11 6423
18892 3195
11 5445
18892 8210
49612 3178
40968 7005
49612 567
40968 7571
40968 7195
49612 1288
40968 6497
40968 6657
49612 4904
49612 6466
40968 5817
40968 4698
49612 4838
49612 5831
31181 6340
49161 8095
31181 6798
31181 4563
49161 7556
40968 4704
49612 5284
49161 7547
31181 8505
31181 8691
49161 6449
49161 6471
31181 4460
31181 4126
49161 5754
31181 5430
49161 7027
31181 11096
20939 8556
24576 6837
20939 5799
24576 5286
24576 8051
20939 3651
24576 4997
20939 5211
20939 8853
24576 5130
24576 323
20939 9500
20939 8265
24576 5594
20939 7055
59850 9016
1 5946
59850 2376
1 7780
1 5499
59850 6890
1 3195
59850 5484
1 4331
59850 7269
59850 9816
25034 7399
40962 5941
25034 5360
40962 5547
1 8131
59850 5347
40962 7324
25034 4994
40962 5285
40962 4382
25034 5830
40962 4138
25034 7294
25034 308
40962 7646
55755 7949
49155 5554
55755 4232
49155 5454
49155 6795
55755 4715
49155 1252
55755 6401
55755 5949
49155 6743
49155 7934
55755 5543
49155 4983
55755 8316
12745 4592
40967 8678
12745 5254
40967 5503
40967 8036
12745 550
40967 8094
40967 6646
12745 4942
12745 892
40967 6031
40967 6865
12745 4046
35272 7046
49158 5041
35272 8601
49158 6750
40967 7546
12745 6483
49158 7322
35272 615
49158 4861
49158 4479
35272 4337
49158 4953
49158 9233
35272 8189
49158 5920
35272 7038
49158 4396
35272 7895
49158 8145
35272 6764
49158 4801
35272 4935
49158 6275
35272 7214
49158 5891
35272 4942
49158 5927
35272 7825
49158 4585
35272 3887
49158 6450
35272 8248
49158 7202
35272 4171
456 6969
24581 4993
456 5769
24581 6910
47561 6938
4 4180
4 5774
47561 5771
47561 6317
4 8438
4 7152
47561 6083
47561 4250
4 5174
47561 1731
4 4768
4 6989
47561 4877
20932 5954
24596 7688
20932 5468
20932 8795
24596 6242
24596 6542
20932 5307
24596 8817
24596 5172
20932 6416
20932 4246
24596 2684
20932 5042
24596 5324
20932 7508
24596 7663
20932 6151
59845 5741
21 7494
59845 5117
59845 9005
21 7819
21 7774
59845 6073
59845 7009
21 5174
21 4977
59845 2938
21 4044
59845 50
21 5556
59845 5551
25029 7640
40982 5367
25029 2878
40982 4822
40982 7285
25029 3687
40982 2098
25029 4295
25029 3983
40982 871
25029 4774
40982 7037
25029 3049
40982 8951
55748 5349
49175 4962
55748 4427
49175 7616
55748 6677
49175 8390
55748 5808
49175 6145
55748 2889
49175 3924
49175 9116
55748 1396
49175 6412
49170 4963
35271 6619
35271 4966
49170 9799
49170 7920
35271 7091
35271 6183
49170 4902
49170 4449
35271 7700
35271 4475
49170 1838
35271 5290
49170 5969
35271 5054
49170 6688
35271 5587
455 339
24593 7139
455 8731
24593 7323
24593 7456
455 5676
455 5085
24593 4465
455 5026
455 4594
