flow_ID proc_time
27144 4526
47866 4783
27144 4286
27144 4894
47866 4584
47866 14194
27144 7263
47866 6210
47866 4061
27144 926
47866 4027
47866 14119
27144 6391
53769 5478
56059 3967
53769 4263
47866 4168
27144 3965
53769 4493
56059 3923
56059 7726
53769 1317
56059 3925
56059 4240
53769 4435
53769 4083
56059 3888
56059 3924
53769 5115
53769 5319
14859 3836
47871 3888
14859 4033
14859 4376
47871 3916
56059 3927
53769 3870
47871 6875
14859 3081
47871 4061
47871 4025
14859 4458
14859 3981
47871 4860
47871 5418
14859 4587
14859 4644
47871 3930
14859 3859
33290 6232
56062 3919
33290 5015
33290 5528
56062 4222
56062 5497
33290 4170
33290 3952
56062 4640
56062 4054
33290 5106
33290 5398
56062 4270
56062 4183
33290 4026
33290 3893
56062 4255
33290 4271
2570 4298
31485 8689
2570 8411
31485 6740
31485 5396
2570 3870
2570 3975
31485 4412
31485 3916
2570 5942
2570 25
31485 3769
31485 4319
31485 4010
2570 66
45579 4011
6908 3770
45579 4748
45579 5700
6908 3920
31485 3890
2570 4259
6908 5168
45579 4063
45579 6019
6908 3966
6908 5222
45579 3923
45579 3947
6908 3888
6908 4031
45579 1401
6908 4071
45579 5003
23166 5286
31308 3861
23166 3871
23166 4347
31308 4065
31308 5535
23166 4408
23166 4982
31308 5293
31308 4017
23166 4021
23166 4011
23166 4212
31308 295
31308 4151
23166 4141
31308 3840
23166 4890
31308 5300
23166 4139
57983 3969
6733 3845
57983 3941
57983 4304
6733 4088
6733 8425
57983 1068
6733 4351
6733 4069
57983 4697
6733 4925
57983 5067
57983 3968
6733 5253
57983 3836
27263 3940
47694 4502
27263 3892
27263 4435
47694 4149
47694 6544
27263 3928
27263 5360
47694 4577
47694 6464
27263 3941
27263 4095
27263 4034
47694 1441
47694 3946
27263 4964
47694 5265
27263 4088
47694 3970
27263 3868
53886 6961
55887 4341
53886 3855
53886 4333
55887 4060
55887 7993
53886 1125
55887 4183
55887 4558
53886 3895
53886 4350
55887 3933
55887 4969
53886 3822
55887 5266
53886 4227
55887 3887
53886 3988
14972 3792
47691 3815
14972 3826
14972 4362
47691 4795
47691 937
14972 5695
47691 4985
14972 4555
14972 4059
47691 4027
47691 1039
14972 6072
14972 4643
47691 4136
14972 3905
33405 3900
55882 4110
33405 3918
33405 4289
55882 5096
55882 6362
33405 1217
55882 4091
55882 4178
33405 3931
33405 6377
55882 4061
55882 4133
33405 4110
55882 3859
33405 4183
55882 4789
33405 3937
2685 3903
31305 4914
2685 5264
2685 4768
31305 4251
31305 5016
2685 1618
31305 5128
31305 4742
2685 4516
2685 5266
31305 3777
2685 3945
31305 3938
31305 4302
2685 4476
31305 4049
2685 3883
31305 4063
2685 4949
45692 5344
6728 3879
6728 5057
45692 4419
45692 4096
6728 4833
6728 6597
45692 4855
45692 4306
6728 3831
6728 4463
45692 3813
6728 13326
45692 10221
6728 5166
45692 6055
6728 5479
45692 3794
6728 5718
45692 3941
6728 6559
45692 4012
6728 6557
6728 4436
45692 3885
6728 6666
45692 3969
6728 4211
45692 4605
45692 3914
39546 3866
47681 5523
39546 895
47681 4109
47681 4934
39546 4215
39546 3970
47681 3851
47681 5586
39546 3804
39546 5400
47681 3785
39546 4158
