flow_ID proc_time
20942 5335
24588 5322
20942 4062
20942 5057
24588 4171
24588 23274
20942 2346
24588 4072
24588 4047
20942 3980
24588 5678
20942 5900
20942 6249
24588 4492
24588 4216
20942 5440
20942 5183
59855 3938
13 12768
59855 55
13 5308
20942 4072
13 5987
59855 6299
59855 5233
13 13113
59855 4366
13 4334
13 6800
59855 11962
13 5712
59855 4430
13 4123
59855 4209
13 6092
59855 4966
59855 5362
25039 4495
40974 5695
25039 3840
25039 5905
40974 5600
40974 7878
25039 4331
25039 4935
40974 4455
40974 6288
40974 4017
25039 4143
40974 4036
25039 5952
40974 11787
25039 4823
25039 4041
40974 4047
25039 3848
55758 4887
49167 5244
55758 4017
55758 5196
49167 4224
49167 7952
55758 4419
55758 4150
55758 5274
49167 10473
49167 4252
55758 3871
49167 5087
55758 5399
49167 10946
55758 4042
55758 6335
49167 4013
55758 3878
12748 4083
40971 3915
12748 8267
40971 5063
40971 5502
12748 6102
12748 5487
12748 4442
12748 4842
40971 6325
40971 5407
12748 3902
40971 4110
12748 4793
40971 13414
12748 11934
40971 1431
12748 4186
12748 5415
35277 5690
49162 3861
35277 3883
35277 4908
49162 12760
49162 7089
35277 6320
35277 3958
35277 4118
49162 4896
49162 5220
49162 1369
35277 10599
35277 3914
49162 6341
35277 4151
35277 3911
49162 3894
35277 3886
461 5810
24585 6199
461 3921
461 5040
24585 4043
24585 8189
461 3591
461 4145
461 5037
24585 7941
24585 3889
24585 3978
24585 4357
461 5070
24585 8561
461 4085
24585 4256
461 3904
461 4859
47564 5254
8 3991
47564 4384
47564 7285
8 4958
24585 5386
461 3858
8 10443
47564 5347
47564 4431
47564 4197
8 3928
8 3964
8 6530
47564 5082
8 5912
47564 4544
8 5156
47564 6594
47564 3985
8 3863
47564 11358
37322 8584
40961 8194
37322 4038
37322 4960
40961 4161
40961 6127
37322 5234
37322 12862
37322 4147
37322 5283
40961 5629
40961 4210
40961 3890
40961 4126
37322 11044
40961 6316
37322 3893
40961 3892
37322 4055
40961 4822
37322 5140
40961 12435
37322 10815
10699 4391
49152 6457
10699 3887
10699 5077
49152 3901
49152 7195
10699 4066
10699 3931
10699 4194
49152 6448
49152 5989
49152 4086
10699 4125
49152 4292
10699 6256
49152 3932
10699 3936
49152 4089
10699 5878
49152 11509
10699 10376
41419 9148
24579 3901
41419 3923
41419 5994
24579 5327
24579 5040
24579 13255
41419 4906
41419 3904
24579 4883
41419 5739
6602 3951
2 6380
6602 4191
6602 13228
2 6019
2 5119
6602 4050
6602 3927
6602 6404
2 3838
2 9513
2 6367
6602 6287
2 13537
6602 4123
2 4019
6602 3936
6602 4049
2 6416
6602 3821
61896 6152
24582 10910
61896 4874
24582 6508
24582 5092
61896 4536
