flow_ID proc_time
23126 4929
31276 3938
23126 13232
23126 12096
31276 3888
31276 7412
23126 3920
23126 3951
31276 3997
31276 5082
23126 5210
23126 4053
31276 3947
31276 6345
23126 4153
31276 3940
23126 9176
31276 6260
23126 3962
57943 3860
6701 5047
57943 6381
57943 4705
6701 3987
6701 6927
57943 5314
57943 3956
6701 4248
6701 3985
57943 5052
57943 5756
6701 3798
6701 3979
57943 4770
57943 5136
27223 3797
47662 3810
27223 4809
27223 5658
47662 3999
6701 4008
57943 3812
47662 7335
27223 4623
27223 4917
47662 5563
47662 4059
27223 3837
27223 7252
47662 3917
47662 3891
27223 3819
27223 6146
47662 3783
27223 3742
53846 3809
55855 3886
53846 5383
53846 5961
55855 3847
55855 7820
53846 4539
53846 6185
55855 4846
55855 4034
53846 5258
53846 5794
55855 3823
55855 3898
53846 3783
53846 5497
55855 5169
53846 4254
14932 3907
47659 4239
14932 4243
14932 6468
47659 3814
47659 8218
14932 6357
14932 4935
47659 3805
47659 3948
14932 3831
14932 6309
47659 4019
14932 7106
14932 3984
47659 4233
14932 5952
33365 4332
55850 3788
33365 4008
33365 4131
55850 6412
55850 7719
33365 3852
33365 3843
55850 5035
55850 5270
33365 4551
33365 4053
33365 4182
55850 5161
55850 5248
55850 4558
33365 4080
33365 4600
2645 3985
31273 6394
2645 3934
2645 5017
31273 3905
55850 4917
33365 5151
31273 7812
2645 3882
2645 3993
31273 4930
31273 5425
2645 3925
2645 4188
31273 5028
31273 5283
2645 3796
2645 3966
31273 7973
2645 5152
45652 4272
6696 4229
45652 3938
45652 5296
6696 5488
6696 7671
45652 4210
45652 4587
6696 4060
6696 4177
45652 6685
45652 5461
45652 4068
6696 4914
6696 5391
6696 6220
45652 3944
6696 3913
45652 4948
6696 5140
45652 3834
39506 3796
47649 4233
39506 4123
39506 6458
47649 3818
47649 7439
39506 3891
39506 4093
47649 4195
39506 3889
39506 4051
47649 4009
39506 5036
8787 5402
55840 3949
8787 3986
8787 5197
55840 5256
55840 8162
8787 4366
8787 4166
55840 6967
55840 4169
8787 5936
8787 4799
8787 6575
55840 4244
55840 3938
55840 6299
8787 3975
8787 3905
43603 3985
31267 4942
43603 5188
43603 4235
31267 4842
55840 4095
8787 4770
31267 6425
43603 5138
43603 6436
31267 4625
31267 15294
43603 7288
43603 3928
4690 6236
6690 3954
4690 8087
4690 4389
6690 7534
31267 5249
43603 3865
6690 8021
4690 4027
4690 4028
6690 3903
6690 3973
4690 6168
4690 3993
6690 4812
6690 5347
4690 3813
4690 3902
6690 3852
4690 4717
64080 5311
64080 4327
31270 3856
31270 6337
64080 542
31270 3877
31270 3883
64080 3867
64080 4949
31270 5160
31270 4038
64080 4767
64080 3839
31270 7376
64080 5560
16977 3858
6695 3974
16977 3965
16977 5266
6695 5180
6695 7393
16977 3955
16977 5017
6695 5146
6695 4011
16977 3809
16977 4135
16977 5028
6695 5178
6695 3667
6695 3806
16977 3999
6695 5869
16977 5743
6695 4355
16977 3695
51793 3759
47652 3796
51793 6068
51793 3838
47652 3791
47652 7748
51793 3992
47652 4675
47652 6360
51793 3805
47652 6833
51793 5765
47652 6648
51793 5393
47652 6438
51793 4803
47652 6500
51793 3711
47652 6409
51793 6374
47652 4278
51793 3790
47652 6854
51793 5106
47652 6610
51793 3948
51793 6173
47652 3814
51793 3787
29264 3657
55845 3753
29264 4798
29264 6592
55845 3884
55845 8232
29264 5666
29264 3766
55845 3780
55845 3871
29264 3659
29264 6197
55845 3881
29264 4983
55845 5151
55845 3914
29264 3837
55845 4092
55845 6034
29264 5568
39517 3837
47669 3645
39517 4164
47669 7645
39517 5691
39517 3726
47669 3880
47669 3961
39517 4704
39517 5288
47669 3852
47669 4740
39517 5010
47669 3777
39517 4764
47669 3795
39517 3684
8796 5736
55860 4221
8796 3684
8796 4203
55860 3846
55860 7515
8796 308
55860 3946
55860 4800
8796 6320
8796 3940
55860 3840
55860 3868
8796 4748
55860 5001
8796 3640
55860 3699
8796 3963
43612 3769
31287 6160
43612 3670
43612 4035
31287 4225
31287 7157
43612 5259
43612 5263
31287 4382
31287 3821
43612 7003
43612 5290
31287 3811
31287 3972
43612 3645
31287 4783
43612 5141
31287 3710
43612 3934
4701 3808
6710 4705
4701 5568
4701 4128
6710 3839
6710 7447
4701 3834
4701 4108
6710 6203
6710 4404
4701 4226
4701 6175
4701 3798
6710 3707
6710 4951
6710 5268
4701 4121
4701 4522
64095 4854
31282 3679
64095 5993
64095 3966
31282 3681
6710 7887
4701 3748
31282 7187
64095 4871
64095 5201
31282 3654
31282 4397
64095 4375
64095 6228
31282 4022
31282 3827
64095 6010
64095 4263
31282 3659
64095 4093
16990 3705
6707 4791
16990 5529
16990 4031
6707 3969
6707 7258
16990 133
6707 5051
6707 4117
16990 4684
16990 5161
16990 3897
6707 3800
6707 3846
6707 6229
16990 3729
16990 5144
51806 5194
51806 5434
47664 4318
6707 3656
16990 3786
47664 7712
51806 3917
51806 3761
47664 3665
47664 6101
51806 4220
51806 3872
47664 3827
47664 3994
51806 6073
51806 4153
47664 3823
51806 3723
29279 5999
55857 3725
29279 4267
29279 4098
55857 4708
55857 7405
29279 3659
29279 4733
55857 5006
55857 3825
29279 3943
55857 3898
29279 3879
29279 6037
23129 3697
31288 3969
23129 4070
23129 3934
31288 3769
55857 3732
29279 3581
31288 7551
23129 4113
23129 5354
31288 3685
31288 3981
23129 3827
23129 6127
31288 3737
31288 4804
23129 729
31288 3890
23129 3893
57944 3738
6713 3745
57944 3890
57944 6467
6713 3732
6713 8441
57944 5134
57944 3699
6713 4978
6713 6072
57944 3651
6713 3786
57944 3654
6713 3935
57944 3797
27224 3767
47674 3666
27224 5450
27224 6045
47674 3667
47674 7277
27224 5107
27224 5146
47674 4147
47674 3911
27224 3652
27224 6311
47674 3798
47674 6228
27224 735
47674 4712
27224 3600
53849 3858
55867 3793
53849 3740
53849 6355
55867 3845
55867 7191
53849 4466
53849 6588
55867 4278
55867 4193
53849 3640
53849 6282
53849 6245
55867 3852
55867 4242
55867 3740
53849 3663
53849 4120
14939 3735
47679 4644
14939 5558
14939 3901
47679 3886
55867 3640
53849 4580
47679 7256
14939 3887
14939 3828
47679 3739
47679 6190
14939 4574
14939 3763
47679 5089
47679 5129
14939 3686
14939 3742
47679 3802
14939 3622
33370 4680
55870 5143
33370 3850
33370 3863
55870 3672
55870 7207
33370 4968
33370 4642
55870 4279
55870 4982
33370 5222
33370 3982
33370 6610
55870 3723
55870 3832
55870 3846
33370 4999
55870 5054
33370 3628
55870 3914
33370 3739
2650 3695
31293 3730
2650 3702
2650 7779
31293 4266
31293 7570
2650 4386
2650 4717
31293 5189
31293 3758
2650 3750
2650 6359
31293 3740
31293 3867
2650 3710
31293 3798
2650 4765
31293 5052
2650 3766
45659 3835
6716 3642
45659 3845
45659 4931
6716 5177
6716 7325
45659 4284
45659 3847
6716 3735
6716 6097
45659 3711
45659 5664
6716 5038
6716 3767
45659 3747
6716 3705
45659 4727
6716 3694
45659 4674
23146 5003
31356 3643
23146 4259
23146 4078
31356 3804
31356 7241
23146 3953
23146 3724
31356 4315
31356 6202
23146 3676
23146 3866
31356 3648
31356 6186
23146 3672
23146 3738
31356 4806
23146 4918
57963 3817
6781 3813
57963 3931
57963 6701
6781 3861
6781 5858
57963 918
6781 4116
6781 3808
57963 5136
57963 5703
57963 4841
6781 1285
6781 3807
57963 743
27243 4108
47742 4729
27243 5233
27243 3894
47742 4396
6781 3738
57963 4793
47742 7410
27243 1212
47742 3848
47742 6119
27243 3672
27243 3805
47742 4086
47742 6277
27243 748
47742 3633
27243 3700
53866 4651
55935 4975
53866 4624
53866 4058
55935 3719
55935 8176
53866 4115
53866 3888
55935 3680
55935 3753
53866 4942
53866 5235
53866 6151
55935 3692
55935 4140
55935 3775
53866 3899
53866 3655
14952 4762
47739 4978
14952 3836
14952 4104
47739 3618
55935 3679
53866 4671
47739 7292
14952 3742
14952 3708
47739 4069
47739 6164
14952 3899
14952 4795
47739 4985
47739 3934
14952 974
47739 3695
14952 5278
33385 4988
55930 3688
33385 3669
33385 4105
55930 4396
55930 6851
33385 3812
33385 3909
55930 3831
55930 6154
33385 3675
33385 4088
55930 3658
33385 6506
55930 3701
55930 3753
33385 3681
33385 3639
2665 4691
31353 5033
2665 3712
2665 4219
31353 3753
55930 3841
33385 3608
31353 7365
2665 3834
2665 3748
31353 3705
31353 6243
2665 4291
2665 4326
31353 4671
31353 5096
2665 3736
2665 3714
45672 3657
6776 4875
45672 3904
31353 5001
45672 4070
2665 3614
6776 4624
6776 6847
45672 6607
45672 3726
6776 3736
6776 4864
45672 5137
45672 3948
45672 7009
6776 369
6776 3886
45672 3682
6776 3669
45672 4719
6776 5130
45672 3762
39534 3620
47729 3822
