flow_ID proc_time
12522 4416
41859 4083
12522 5034
12522 6786
41859 3949
41859 1015
12522 6259
41859 4919
12522 4316
41859 4227
12522 3901
12522 6515
41859 3920
41859 4218
12522 3888
12522 6341
35051 3828
50050 5079
35051 3848
35051 7089
50050 3955
41859 4184
12522 3797
50050 7530
35051 462
35051 4335
50050 3759
50050 4805
50050 5558
35051 4667
50050 6400
35051 4414
50050 3853
35051 3810
50050 3985
35051 4428
50050 5038
35051 5958
235 4004
25473 5690
235 4777
235 6609
25473 3791
25473 7376
235 551
235 4059
25473 3875
25473 4998
25473 5389
235 3838
25473 3938
235 3999
25473 4313
235 3983
235 3792
25473 3972
235 4888
47338 3997
896 5101
47338 4318
47338 7163
896 3804
896 7433
47338 1036
896 4900
47338 5306
896 3852
896 7244
47338 3909
896 3931
47338 3817
896 6318
47338 3836
47338 5172
896 3877
47338 3762
37100 3776
41865 3824
37100 3784
37100 6696
41865 3796
41865 6262
37100 3857
41865 4059
37100 3915
37100 4239
10477 4782
50056 7400
10477 4230
10477 7308
50056 4348
41865 4297
37100 3901
50056 7349
10477 3755
10477 5195
50056 3810
10477 4067
50056 5294
50056 5569
10477 3939
50056 4990
10477 5534
50056 4133
10477 3887
10477 4264
50056 6321
10477 3778
41197 3782
25483 3953
41197 5559
41197 6694
25483 4375
25483 7544
41197 362
41197 4143
41197 6366
25483 4040
25483 265
25483 6052
41197 3848
25483 5190
41197 3817
25483 6210
41197 22
6380 3925
906 3923
6380 3811
6380 7388
906 3929
25483 3912
41197 4346
906 7527
6380 3913
6380 4010
906 4547
6380 4054
906 4828
906 3988
6380 5376
906 5382
6380 4011
906 3959
6380 3970
6380 4021
906 3802
6380 3764
61678 3789
25486 3807
61678 7561
61678 7767
25486 3782
25486 7194
61678 3809
61678 3943
61678 6405
61678 6526
25486 328
25486 523
25486 6210
61678 3917
25486 5268
61678 3822
25486 4880
61678 4095
61678 5077
18671 3794
911 3797
18671 3766
18671 7017
911 3979
25486 3806
61678 3797
911 7444
18671 264
18671 5143
911 5168
911 4384
911 4098
18671 4106
911 7393
18671 3885
911 3985
18671 4328
18671 4949
49391 5367
41868 4188
49391 4004
49391 7168
41868 3940
911 3911
18671 3864
41868 7917
49391 860
49391 4187
41868 4918
41868 4123
41868 5374
49391 4357
41868 6513
49391 4567
41868 3962
49391 29
41868 5047
49391 5273
30958 4098
50061 4071
30958 4022
30958 7173
50061 3926
50061 9046
30958 1631
30958 5548
50061 7
50061 6919
30958 4018
50061 5017
30958 5418
50061 4051
30958 182
50061 4861
30958 5063
20726 3894
25516 3882
20726 5010
20726 7036
25516 3913
25516 7394
20726 2
20726 3822
20726 6061
25516 312
25516 3627
25516 4784
20726 5112
25516 3806
20726 3657
25516 5191
20726 3698
20726 4984
59639 3683
941 4213
59639 4366
59639 6922
941 3789
25516 3711
20726 3680
941 7238
59639 3695
59639 3809
59639 6338
941 3690
941 3653
941 3907
59639 3779
941 6149
59639 3700
941 6847
59639 5038
941 6463
59639 3714
941 6422
59639 3912
941 6576
59639 3678
941 4090
59639 4324
941 6658
59639 3680
941 7218
59639 3852
941 7554
59639 4257
941 6480
59639 3734
941 6435
59639 211
941 3834
59639 3720
24823 3667
41902 3789
24823 3771
24823 6939
41902 3710
41902 7322
24823 3946
24823 3849
41902 3771
24823 6322
41902 3785
24823 6200
41902 3777
41902 5289
24823 5062
41902 3939
24823 3753
41902 6086
24823 3769
41902 3698
24823 3774
41902 4322
24823 4051
55542 3682
50095 3719
55542 4725
55542 6760
50095 3739
50095 7436
55542 4007
55542 3697
50095 4073
55542 6138
50095 3682
50095 3875
55542 4696
50095 5167
55542 3676
50095 6082
55542 3653
50095 3724
55542 3801
50095 3866
55542 3667
12532 3810
41899 4713
12532 3741
12532 6694
41899 3662
41899 7362
12532 3623
12532 4944
41899 3714
12532 6701
41899 3733
41899 4782
12532 3943
41899 5085
12532 4294
41899 4816
12532 5035
41899 3624
12532 3662
41899 3792
12532 4177
35061 3703
50090 3705
35061 4102
35061 6570
50090 4678
50090 7256
35061 541
50090 3774
50090 6139
35061 3718
50090 3803
35061 3830
35061 6238
50090 3784
50090 339
35061 3667
35061 3772
245 3913
25513 4295
245 3673
245 6457
25513 4720
25513 7348
245 3747
245 3816
25513 3853
25513 6073
245 3671
25513 3786
245 3730
245 6162
25513 3694
245 3737
25513 5160
25513 5102
245 3746
25513 3688
245 3642
25513 3646
245 4652
47348 5050
936 3776
47348 3857
47348 6539
936 3998
936 7123
47348 3699
47348 3679
936 4762
47348 5200
936 4160
936 6244
47348 3669
936 4818
47348 3865
936 5255
47348 3678
47348 3666
37106 3640
41889 4688
37106 5495
936 3696
47348 3739
37106 6547
41889 3656
41889 7239
37106 3675
37106 4761
41889 3671
37106 5138
41889 3681
37106 3777
41889 3640
41889 3866
37106 4206
41889 3813
37106 5023
41889 4473
37106 5072
41889 3673
37106 3808
41889 3726
37106 4270
10483 3650
50080 3770
10483 3801
10483 6505
50080 3663
50080 7498
10483 535
50080 4087
10483 6144
50080 3830
50080 3784
10483 4799
50080 5149
10483 4112
50080 4767
10483 5018
50080 3650
10483 3722
50080 3673
10483 3653
41203 3710
25507 3741
41203 3650
41203 6451
25507 3689
25507 7212
41203 3663
41203 3758
25507 4010
41203 6312
25507 4180
41203 6327
25507 3691
25507 4235
41203 3652
25507 6092
6386 6443
930 3654
930 7400
6386 5199
6386 6382
930 3717
6386 4804
930 4993
930 3867
6386 3799
930 6143
6386 3771
930 3787
6386 1910
930 5524
6386 4215
61680 3871
25510 3805
61680 3678
61680 6894
25510 3765
25510 7266
61680 57
25510 6096
61680 3663
25510 3814
61680 4739
25510 6032
61680 3669
25510 3630
61680 3629
25510 3676
61680 3698
18673 3638
935 4736
18673 5005
18673 6536
935 3908
935 7213
18673 382
935 4151
18673 6163
935 4150
935 6606
18673 4105
935 3885
18673 3660
935 6189
18673 3635
935 3777
18673 3633
935 3675
18673 5088
49393 5163
41892 4081
49393 3815
41892 7261
49393 3809
49393 3855
41892 4709
49393 5585
41892 4205
49393 6179
41892 3822
41892 6124
49393 4308
41892 6104
49393 4111
41892 3792
49393 3727
41892 4248
41892 4064
49393 4147
30960 3632
50085 4620
30960 5168
30960 6491
50085 3716
50085 7183
30960 3804
30960 3684
50085 4204
30960 6225
50085 3931
50085 6259
30960 3609
50085 3773
30960 4969
50085 6272
30960 3640
50085 3646
30960 3666
50085 3653
30960 4667
37117 4994
41909 3742
37117 3657
37117 6441
41909 3636
41909 8044
37117 339
41909 4818
37117 5617
41909 3841
37117 6139
41909 3703
41909 4961
37117 5017
41909 3767
37117 4320
41909 6551
37117 3728
41909 3726
37117 3683
41909 3624
37117 4041
10492 3673
50100 4877
10492 3684
50100 7299
10492 4102
10492 3794
50100 3674
10492 6133
50100 3704
50100 4789
10492 5003
50100 3770
10492 3660
50100 4990
10492 5451
50100 3645
10492 3649
50100 3856
10492 3832
41212 3643
25527 3698
41212 4451
41212 6026
25527 4822
25527 7254
41212 3820
41212 3708
41212 6266
25527 3629
25527 4073
25527 4817
41212 5334
25527 3789
41212 3641
25527 6707
41212 339
6397 3667
6397 6557
950 4543
25527 3714
41212 4723
950 8250
6397 6303
6397 4461
6397 6225
6397 3782
950 212
950 4675
950 5173
6397 3689
950 6224
6397 3659
950 4409
6397 4367
950 3635
6397 4817
950 4993
6397 3678
61695 3660
25522 3754
61695 3646
61695 6523
25522 3806
25522 7460
61695 6508
61695 5946
61695 3828
25522 3708
25522 4661
25522 5166
61695 3966
25522 6152
61695 3761
25522 4391
61695 3097
25522 5447
61695 3770
18686 3706
947 3645
18686 3711
18686 6459
947 3894
947 8360
18686 6415
18686 5003
18686 4897
18686 5138
947 3683
947 3752
947 3781
947 6098
18686 3639
947 3779
18686 3640
947 6082
18686 3648
18686 4450
49406 3690
41904 3807
49406 3644
49406 7352
41904 5668
947 3672
18686 4611
41904 8249
49406 6321
49406 5136
49406 6163
41904 3626
41904 4108
41904 4836
49406 6347
41904 3873
49406 3636
41904 6134
49406 3648
49406 3650
41904 3659
49406 3639
30975 3621
50097 4708
30975 5691
30975 5401
50097 4997
50097 7266
30975 6314
30975 3780
30975 6335
30975 3754
50097 3762
50097 4630
50097 5143
50097 3924
30975 4357
50097 6155
30975 3801
50097 3733
30975 3735
30975 4272
20729 4706
25528 5032
20729 3732
20729 6811
25528 3669
50097 3780
30975 3679
25528 7976
20729 6069
20729 4782
20729 5367
25528 417
25528 6229
20729 4371
25528 6756
20729 3831
25528 3782
20729 348
25528 4658
20729 3683
59640 4943
953 3783
59640 3674
59640 6496
953 3668
953 7928
59640 5993
59640 6053
59640 3852
59640 7441
953 3077
953 3682
953 3767
59640 5307
953 5252
59640 3756
953 3859
59640 4864
953 5110
59640 4483
953 3766
59640 3886
24824 3838
41914 3771
24824 3972
24824 6993
41914 3920
41914 7868
24824 5667
24824 3833
24824 6142
41914 894
41914 3894
24824 3650
41914 6139
24824 3676
41914 6644
24824 4228
41914 3778
24824 4314
41914 3652
24824 3652
55545 3736
50107 4235
55545 4670
55545 6732
50107 3797
50107 8192
55545 6274
55545 3791
55545 6259
55545 3799
50107 270
50107 5029
50107 5118
55545 3930
50107 6363
55545 3625
50107 3747
55545 3669
50107 3683
55545 3777
50107 4915
55545 5140
12539 3686
41919 3719
12539 3811
12539 8151
41919 5825
41919 7705
12539 6797
12539 7175
12539 3840
41919 3631
41919 5173
41919 5128
12539 3844
41919 6120
12539 3828
41919 3968
12539 3710
12539 4462
35066 6107
50110 3709
35066 3818
35066 6727
50110 3858
41919 3678
12539 3621
50110 7599
35066 5968
35066 5056
35066 3826
35066 6096
50110 3802
50110 3698
50110 4151
50110 4818
35066 4933
50110 3819
35066 3805
50110 6090
35066 877
250 3815
25533 3662
250 3620
250 6473
25533 3673
50110 3740
35066 3620
25533 7192
250 6428
250 3695
250 6181
25533 3679
25533 3643
25533 3824
250 5082
25533 5311
250 3646
25533 4936
250 1960
47355 3729
956 3669
47355 3738
47355 6622
956 4542
25533 3639
250 3771
956 8359
47355 6395
47355 3712
47355 7034
47355 3907
956 3623
956 3656
956 4699
956 5293
47355 3681
956 6397
47355 3655
956 4647
47355 3699
956 3783
47355 4795
956 3655
47355 5078
20682 4074
25596 3671
20682 3635
20682 6444
25596 8271
20682 6583
20682 5969
20682 4031
25596 3675
25596 4775
25596 5140
20682 3715
25596 6138
20682 4374
25596 4100
20682 251
59595 4946
1021 3737
59595 3711
59595 7163
1021 5505
25596 3863
20682 3716
1021 8495
59595 6339
59595 4990
59595 4814
59595 5150
1021 134
1021 3778
1021 6290
59595 4284
1021 3910
59595 4371
1021 6064
59595 3671
1021 3732
59595 3756
1021 3685
59595 3835
24779 3730
41982 5837
24779 4227
24779 6614
41982 3766
41982 7212
24779 6134
24779 4275
24779 6124
41982 3663
41982 3806
41982 7262
24779 3939
41982 3797
24779 3814
41982 6518
24779 3667
24779 4004
55498 3692
50175 3677
55498 4645
55498 5417
50175 4794
41982 5011
24779 3617
50175 7269
55498 6231
55498 3724
55498 6169
55498 3757
50175 343
50175 3751
50175 3793
55498 3707
50175 6242
55498 4122
50175 3810
55498 4165
50175 5113
55498 5002
50175 3680
55498 4354
12488 3655
41979 3777
12488 3725
12488 6448
41979 5444
41979 7162
12488 5077
12488 3786
12488 4843
41979 2023
41979 3888
12488 3761
41979 6160
12488 3659
41979 3802
12488 769
35017 4385
50170 3650
35017 3818
35017 7602
50170 5310
41979 3688
12488 3594
50170 7611
35017 6019
35017 4177
35017 5279
35017 6745
50170 1004
50170 3721
50170 6155
35017 3611
50170 3925
35017 3659
50170 6138
35017 3713
50170 3767
35017 3804
50170 3787
35017 3638
201 3675
25593 4808
201 6136
201 5273
25593 5208
25593 7917
201 6134
201 3836
201 6417
25593 3826
25593 3678
25593 6148
201 3696
25593 3805
201 4104
25593 6151
201 666
47304 3681
1016 3664
47304 3737
47304 6459
1016 4137
25593 4766
201 4909
1016 7205
47304 6165
47304 3851
47304 6156
47304 3784
1016 363
1016 270
1016 3840
47304 3642
1016 6116
47304 3804
1016 3842
47304 3646
1016 3805
47304 5312
1016 5044
47304 3771
37070 3626
41969 3642
37070 4561
37070 7961
41969 6324
41969 7627
37070 5983
37070 5081
37070 3963
41969 161
41969 3803
37070 3848
41969 6139
37070 3735
41969 3915
37070 4666
37070 4685
10447 5065
50160 3686
10447 3816
10447 6708
50160 4111
41969 3681
37070 3671
50160 7419
10447 5382
10447 3739
10447 4774
10447 5112
50160 4011
50160 3685
50160 3634
50160 6156
10447 3647
50160 3821
10447 4442
50160 6567
10447 3756
50160 3646
10447 3766
50160 3785
10447 3683
41167 3670
25587 4722
41167 5112
41167 6662
25587 4556
25587 7128
41167 4581
41167 3696
25587 4058
41167 6190
25587 3670
25587 6125
41167 3660
25587 3783
41167 3677
25587 6139
41167 4255
25587 3779
41167 3848
25587 6258
41167 4302
6350 3653
1010 3756
6350 3635
6350 4339
1010 3853
1010 1547
6350 3244
6350 3822
1010 3708
6350 3811
1010 3624
1010 3848
6350 4142
1010 3879
6350 3629
1010 3773
6350 3694
1010 3774
6350 1887
61644 1197
25590 3969
61644 248
25590 3683
25590 7453
61644 561
61644 6249
25590 276
25590 3814
61644 4428
25590 6256
61644 3723
25590 7122
61644 3888
25590 4055
61644 3650
25590 3629
61644 3664
18637 3685
1015 4635
18637 4525
18637 6489
1015 5020
1015 8062
18637 6221
18637 3737
18637 6148
18637 3958
1015 309
1015 5353
1015 3814
18637 3788
1015 6134
18637 3833
1015 3860
18637 3612
1015 3724
18637 134
1015 4073
18637 3605
49357 3765
41972 3680
49357 4728
49357 6838
41972 4716
41972 7076
49357 4586
49357 3973
41972 1604
41972 3764
49357 3662
41972 6255
49357 3660
41972 3948
49357 882
