flow_ID proc_time
28235 10294
15944 3901
3657 11362
34426 8762
3706 4342
52862 4257
18033 4787
58999 3830
46708 5322
57967 3893
34426 3909
33322 3784
15944 3881
16936 3809
3657 4253
33327 3854
28235 3975
17004 5085
3706 3803
34426 6704
3657 6698
15944 6504
33377 4135
52862 9474
28235 6848
3706 4795
52862 6484
40556 3949
52847 3841
58985 4069
8825 3891
46708 3828
8828 4804
58999 5382
46708 6961
58999 6942
8822 3831
18033 3821
18033 6968
57967 3946
17004 3804
16936 4244
33377 150
33322 3994
33327 4211
57967 14486
34426 11020
57967 6604
34426 3816
57967 4008
34426 3800
16936 8028
3657 4080
34426 3833
16936 9114
3657 4955
17004 7695
3706 4005
17004 6834
3706 3835
17004 6405
3706 4721
33377 7623
52862 3777
33377 5353
52862 3816
33327 7351
28235 3945
33327 6529
28235 3807
33327 6307
28235 3809
33322 7370
15944 4123
33322 6991
15944 3815
8788 3897
58985 3796
33368 3817
40556 4814
33373 5147
52847 3858
40556 3927
52847 3786
58985 3969
34426 3995
34426 9076
34426 3938
28235 4285
15944 4839
52862 5236
3657 3931
3706 3838
15944 4873
28235 5359
34426 3786
34426 4899
3657 5388
52862 3862
3706 6192
34426 450
8825 3823
8828 3826
8825 7441
46708 4264
8825 6713
46708 3905
8825 6477
46708 4001
8828 7496
58999 5274
46708 3951
46708 4140
34426 4002
34426 6311
8822 3938
8828 6657
58999 6367
8828 6584
58999 3937
8822 7826
18033 4228
58999 5005
58999 5254
8822 6338
18033 3790
18033 3840
18033 6562
57967 5326
8788 3873
58985 3820
33373 3860
52847 3919
57967 4498
34426 8296
57967 5031
33368 3779
33368 3861
40556 3991
57967 4780
17004 5172
33327 6330
28235 3790
28235 3796
28235 3797
33322 6517
15944 46
15944 2340
16936 6525
3657 3887
3657 4930
3657 5182
17004 3848
17004 6466
3706 3962
3706 3919
3706 4373
33377 4123
16936 3924
3657 3908
57967 4955
33377 5291
33377 6483
52862 3926
52862 3951
52862 3964
33322 3979
15944 3757
33327 3822
28235 4129
8825 4817
8825 6446
46708 707
57967 3768
57967 6298
34426 3792
57967 6390
57967 6384
34426 3932
57967 4172
57967 6623
34426 3975
57967 4889
57967 5410
34426 4046
57967 2397
34426 3946
8828 6414
58999 3844
58999 4902
41148 5126
8828 4653
58999 3763
8822 3777
8822 6364
18033 549
57967 5858
57967 4066
57967 6481
34426 4167
57967 3948
57967 4084
57967 6395
34426 3943
57967 2621
34426 3945
57967 8862
57967 6420
34426 3934
33322 3879
15944 3854
33327 3929
28235 3902
16936 3810
3657 3887
17004 3927
3706 4931
57967 5369
57967 6425
34426 3819
57967 3808
8825 3828
46708 3826
33377 4786
52862 5184
8828 3813
58999 3779
57967 3923
57967 473
34426 5250
8822 3845
18033 3810
57967 3915
57967 6626
34426 3790
57967 4966
60931 7630
34426 3793
13969 3825
41148 3949
41148 7260
52935 3792
60931 3818
60931 7368
13969 4144
13969 7736
41148 4845
13969 7475
41148 5389
13969 6387
41148 3682
41148 6074
13969 4068
13969 3717
13969 3673
52935 4285
52935 7171
60931 4319
52935 6536
60931 3809
52935 6885
60931 4184
41148 4230
41148 1960
52935 6509
60931 3772
60931 3845
13969 4986
13969 3941
41148 3762
52935 4791
52935 5125
60931 2324
60931 41
34426 3705
34426 6240
34426 3942
34426 3703
34426 4701
34426 5226
57967 3658
57967 3620
57967 3681
57967 3709
57967 6126
34426 3782
57967 6173
34426 3691
34426 3808
57967 6158
34426 3653
57967 6191
34426 3830
57967 3662
34426 3813
57967 6162
34426 3695
57967 6763
34426 3707
57967 3698
34426 3733
2314 3628
57677 4679
2314 4984
2314 7543
57677 4316
57677 7057
2314 3697
57677 6400
2314 4964
2314 3766
57677 6619
52935 4097
52935 3892
60931 3611
52935 6133
60931 3798
2314 3669
2314 4738
2314 5267
2314 3643
57677 3615
2314 3820
52935 4692
60931 5046
52935 3664
60931 3662
57677 3759
2314 3762
57677 6972
2314 3700
57677 3675
2314 3637
34426 3705
34426 4777
34426 5152
34426 4160
34426 3783
34426 6037
57967 3694
57967 3788
57967 3660
57967 3670
57967 6114
57967 6202
34426 4486
57967 3742
34426 3694
57967 6169
34426 3650
57967 6352
34426 4019
57967 3654
34426 3764
57967 6166
34426 4180
57967 6177
34426 3645
57967 3743
34426 3689
5580 4204
2314 3878
2314 3688
2314 4836
15643 5170
5580 3867
5580 7233
57677 52
2314 3870
15643 3704
15643 7199
5580 3873
15643 6432
5580 3703
5580 3763
5580 4743
5580 5328
15643 6209
5580 4493
15643 3694
15643 4689
5580 5030
15643 3819
5580 3659
34426 3697
34426 3805
34426 6143
34426 3734
34426 3660
34426 6541
15643 4215
57967 4249
57967 3640
57967 4269
57967 3950
57967 6171
57967 2002
57967 3813
57967 6472
34426 4272
57967 3674
34426 4852
57967 5079
34426 3691
57967 6191
57967 3679
34426 4800
60652 5009
20820 3662
60652 3619
60652 7185
20820 3649
60643 4225
20800 3807
60643 3736
60643 3954
34426 5027
34426 3746
34426 3668
34426 4763
34426 5650
34426 3737
20800 3605
57967 3721
57967 3768
57967 4627
57967 5003
57967 3853
34426 3708
57967 6207
34426 3667
57967 4661
34426 4973
57967 3893
34426 3632
57967 6907
34426 3770
57967 3776
34426 4762
20800 4932
57967 3909
34426 3639
57967 6646
34426 3702
57967 4656
34426 3803
12469 4981
13804 3604
62876 3655
44358 3699
59531 3766
44358 3704
44358 7498
59531 199
44358 5038
44358 3645
59531 3645
44358 3679
59531 3754
34426 3673
34426 6069
34426 3791
34426 3794
34426 3797
34426 6082
57967 3679
57967 3797
57967 3804
57967 3638
57967 6128
34426 3736
57967 6235
34426 3644
57967 3685
34426 3679
57967 6295
34426 3748
57967 6219
34426 3691
57967 3667
34426 3765
57967 6213
34426 3709
57967 6799
34426 3670
57967 3701
34426 3920
34426 3815
34426 4666
34426 5248
57967 4504
57967 3704
57967 3650
57967 6113
34426 3649
57967 6234
34426 3717
57967 3809
34426 3685
57967 6121
34426 3672
57967 6205
34426 3917
57967 3785
34426 3755
57967 6405
34426 3800
57967 6314
34426 3770
57967 3740
34426 3642
7404 4299
50417 3797
7404 3819
7404 7185
50417 6509
7404 3777
50417 6443
7404 4800
7404 5061
50417 3758
50417 6152
7404 3653
7404 3884
7404 6244
50417 3884
7404 4667
50417 5004
34426 4092
34426 3708
34426 3644
34426 5323
34426 5029
34426 3750
57967 3779
57967 3786
57967 3724
57967 4672
57967 5234
34426 4064
57967 2285
34426 3819
57967 6210
57967 6209
57967 3661
34426 3651
7404 4165
57967 6148
57967 1370
34426 3844
4286 4143
50417 3618
23698 3833
4286 4686
4286 7462
23698 4758
23698 6991
4286 3687
23698 6733
4286 112
23698 3784
23698 3985
23698 3696
4286 3829
4286 6110
4286 3837
4286 5070
23698 3672
23698 5047
23698 7029
4286 4388
23698 6539
4286 4129
23698 6439
4286 3750
23698 6514
23698 6479
4286 3635
23698 6394
4286 3661
23698 6387
4286 3621
23698 6499
4286 3694
23698 6409
4286 3759
23698 6441
4286 4650
23698 6435
4286 4207
34426 3683
34426 3735
34426 4629
34426 5083
34426 3658
34426 4741
34426 4992
34426 3708
34426 3664
34426 4766
23698 7173
4286 3677
4286 3868
4286 6378
4286 3934
23698 6460
4286 3708
4286 3694
4286 6234
4286 3703
4286 3787
4286 4728
4286 5183
4286 3685
23698 6705
4286 4132
23698 6586
4286 3954
23698 6536
23698 7531
4286 5506
23698 6512
23698 6451
4286 3698
23698 6967
23698 6597
4286 3655
23698 6378
23698 6450
4286 3661
23698 6837
23698 6552
4286 6099
57967 5824
34426 6429
57967 3787
57967 4660
57967 5280
57967 3678
57967 3692
57967 3917
57967 3686
23698 6479
23698 6422
4286 5292
23698 7048
4286 5080
57967 6232
34426 3709
57967 6279
34426 3784
57967 3787
34426 3691
57967 6683
34426 3687
57967 6189
34426 3639
57967 3706
34426 4108
23698 6409
23698 6962
4286 5173
23698 6397
23698 6495
4286 3718
23698 7658
23698 6416
4286 3823
23698 6399
23698 6398
4286 5361
23698 6474
34426 3760
34426 3843
34426 6170
34426 3820
34426 3668
34426 5214
23698 7380
4286 5516
23698 6392
23698 7084
4286 5227
23698 6497
4286 5285
23698 6515
34426 3686
34426 6075
34426 3651
34426 3722
34426 3670
34426 6071
23698 6473
4286 3697
23698 6466
23698 6634
4286 3662
23698 6959
4286 5489
34426 3643
34426 6171
34426 3682
23698 6561
23698 7135
4286 5261
23698 6426
4286 6369
23698 6420
23698 497
4286 5163
23698 6446
4286 5176
23698 6902
23698 7015
4286 5121
57967 3772
57967 6221
34426 3645
57967 3690
23698 6419
8931 3655
23698 6403
4286 5310
57967 3606
34426 6561
23698 6451
4286 5319
23698 7044
23698 6401
4286 3635
57967 6166
57967 5054
34426 5030
57967 3808
23698 6382
23698 6498
4286 3722
23698 6998
23698 6395
4286 4073
23698 6384
23698 6987
4286 5125
4286 3699
23698 6412
23698 6389
4286 5205
23698 6549
23698 6425
4286 4172
57967 6274
34426 3766
57967 6425
57967 3690
34426 3756
23698 6511
23698 6723
4286 4092
23698 7088
23698 6473
4286 5313
23698 6819
23698 7081
4286 5230
23698 6398
23698 6432
4286 3786
57967 4971
23698 6613
4286 3637
57967 3692
23698 6378
23698 6582
4286 5457
57967 3713
57967 3642
23698 6444
23698 6988
4286 5127
23698 6375
23698 6567
4286 5036
57967 6198
57967 6603
34426 3800
57967 3689
57967 4816
34426 5008
57967 4995
26445 5335
42825 4215
20299 3902
51019 3646
12154 3688
57967 3658
34426 3629
57967 6117
57967 7279
34426 5026
57967 3738
23698 6410
4286 4895
23698 6555
23698 7162
4286 5196
57967 3701
57967 3758
57967 253
23698 6551
23698 6959
4286 4968
23698 6416
23698 6890
4286 4966
23698 6447
23698 6487
4286 5232
23698 6556
23698 6452
4286 5138
23698 6459
4286 4128
57967 6688
34426 3846
57967 6184
57967 3685
34426 3650
57967 3623
57967 6230
23698 6422
23698 7099
4286 5863
57967 4936
34426 4974
57967 3645
57967 3643
57967 4821
34426 5115
57967 4042
34426 3926
23698 6466
23698 6401
4286 3708
57967 6233
57967 6207
34426 3949
57967 3786
57967 6133
34426 3625
57967 6751
57967 3666
34426 3766
23698 7607
8415 4237
23698 6440
4286 4231
23698 6405
4286 3653
23698 6464
23698 6891
4286 3761
57967 4243
57967 6755
34426 3629
57967 3666
23698 6393
54049 3822
43812 3753
29479 3858
15165 3749
33596 3671
23698 7291
4286 4152
45885 5009
23698 7113
4286 5085
57967 6217
34426 3695
57967 6181
57967 3664
34426 3644
23698 6401
24737 4839
23698 7017
4286 4240
23698 6469
4286 4291
23698 6576
23698 7015
4286 5102
23698 6461
23698 7049
4286 5146
29056 3791
8931 3653
23698 6392
8931 7547
23698 6475
4286 4944
23698 6417
57967 4220
57967 6195
34426 3792
57967 4649
23698 6428
4286 4922
23698 6424
57967 6111
34426 4245
57967 89
34426 3642
57967 5259
57967 6775
34426 3681
57967 5819
57967 3844
34426 3641
57967 6255
57967 3635
34426 4691
57967 5125
57967 6165
34426 3788
57967 3658
57967 6137
34426 3676
57967 44
34426 3629
23698 6905
4286 3643
13569 4625
23698 6507
23698 7105
4286 5329
23698 6374
57967 5176
57967 6197
34426 3659
57967 3632
23698 6885
4286 4975
46869 5022
23698 6570
23698 6412
4286 4093
23698 7369
23698 7154
4286 5390
23698 6418
23698 6415
4286 4913
