flow_ID proc_time
55799 6826
49235 4024
55799 3987
55799 7076
49235 4026
49235 14676
55799 3252
49235 3986
49235 6793
55799 4050
55799 4075
49235 5452
49235 5385
55799 6405
12789 6478
41047 5311
12789 4292
12789 4331
41047 4225
49235 3773
55799 3908
41047 11699
12789 3894
41047 4111
41047 6275
12789 3814
12789 4937
41047 1168
12789 4150
41047 3786
12789 3800
41047 3791
12789 3811
35316 3825
49238 3790
35316 6136
35316 4294
49238 3928
49238 7230
35316 4160
35316 6566
49238 3998
49238 4483
35316 3938
35316 6348
49238 3804
49238 3895
35316 4831
49238 4912
35316 6288
49238 4186
35316 6473
500 3924
24661 3870
500 4093
500 6720
24661 3940
24661 7487
500 3968
500 4501
24661 5391
24661 5417
500 4365
500 6347
24661 3994
24661 4125
500 4058
24661 4259
500 3964
24661 4925
500 6498
47605 3933
84 4041
47605 3930
47605 7094
84 4130
84 7451
47605 3878
47605 3976
84 3903
84 6381
47605 3928
47605 4078
84 8073
84 7064
47605 4045
84 6290
47605 3807
84 3941
47605 3862
20984 4233
24644 3825
20984 4775
20984 5944
24644 4070
20984 6356
24644 4424
24644 4017
20984 3958
24644 3934
20984 5023
24644 5283
20984 3932
59897 3897
69 3894
59897 4733
59897 4256
69 7216
69 7558
59897 4542
59897 3908
69 6392
59897 4877
59897 4309
69 5749
69 5828
59897 16
69 3782
59897 4757
25081 5257
41030 3886
25081 3916
25081 4174
41030 4373
41030 7604
25081 4130
25081 3965
41030 3933
41030 5148
25081 5293
25081 4138
41030 4059
25081 6498
41030 4321
41030 4306
25081 3905
25081 5531
55800 7263
49223 5188
55800 3898
55800 4418
49223 3957
41030 3823
25081 3921
49223 7464
55800 4499
55800 4002
49223 3896
49223 6415
55800 4264
55800 4100
49223 4925
49223 5758
55800 3951
55800 3928
49223 5082
55800 3890
12794 5202
41027 4054
12794 3914
12794 4113
41027 4752
41027 7365
12794 4026
12794 3879
41027 4092
41027 5040
12794 5142
12794 3937
12794 8903
41027 524
41027 4956
12794 2283
35323 4095
49218 4089
35323 3933
35323 6608
49218 4037
41027 3922
12794 3757
49218 7317
35323 4195
35323 5701
49218 4545
49218 6267
35323 4266
35323 3896
49218 3831
49218 4920
35323 3894
35323 5140
507 3826
24641 3815
507 3807
507 4950
24641 3838
49218 3830
35323 3936
24641 7392
507 4369
507 6271
24641 4389
24641 6292
507 3824
507 4542
24641 5113
24641 5212
507 4773
507 3873
24641 4008
507 3769
47610 4914
64 5329
47610 698
64 4072
64 6642
47610 3947
47610 3877
64 3980
64 3928
47610 4860
47610 5278
64 4560
64 6380
47610 3763
47610 3942
64 3906
47610 3874
37372 4265
41033 3796
37372 5952
37372 5602
41033 3802
41033 7850
37372 4897
37372 5183
41033 4423
41033 5032
37372 5505
37372 3979
37372 6404
41033 3750
41033 3717
41033 3824
37372 4196
37372 3884
10749 3746
49224 3685
10749 4490
10749 6319
49224 3736
41033 3677
37372 3599
49224 8091
10749 4708
10749 3711
49224 3783
49224 5032
10749 3719
10749 5208
49224 4119
49224 6499
10749 5281
49224 6415
10749 3870
49224 6583
10749 3697
49224 6570
10749 3700
49224 6414
10749 3748
49224 6443
10749 6079
49224 6508
10749 3734
49224 6452
10749 4676
49224 5473
10749 4107
49224 6417
10749 3698
49224 6540
10749 4700
49224 6434
10749 4115
49224 6389
10749 3682
49224 6885
10749 1120
49224 4956
10749 3593
41469 3757
24651 3751
41469 4304
41469 4367
24651 4820
24651 7370
41469 3671
41469 3754
24651 3674
24651 6119
41469 3661
41469 3814
24651 4766
41469 6597
24651 4461
24651 3802
41469 3668
24651 3847
41469 3687
24651 3748
41469 4688
6652 5216
74 4106
6652 3642
6652 4208
74 3726
74 7202
6652 3726
6652 3698
74 3831
74 6242
6652 3675
6652 3814
74 3821
74 7228
6652 3756
74 3704
6652 4466
74 3679
6652 3641
61950 3689
24654 4665
61950 5033
61950 4417
24654 3672
24654 7134
61950 5022
61950 3708
24654 3637
24654 3796
61950 4702
61950 5154
24654 4254
24654 4855
61950 4251
24654 5000
61950 3697
24654 3728
61950 3674
18943 4112
79 3752
18943 3674
18943 6263
79 3658
79 7383
18943 3862
18943 5566
79 4994
79 6197
18943 3667
18943 3833
79 4146
79 3835
18943 692
79 3732
18943 3682
49663 3679
41036 3653
49663 3781
49663 6434
41036 4363
41036 6958
49663 3686
49663 3905
41036 3709
41036 6204
49663 3654
49663 6726
49663 3802
41036 3841
41036 3740
41036 4986
49663 5602
41036 3754
49663 3722
41036 3677
49663 4633
31230 4990
49229 3642
31230 5419
31230 5398
49229 3736
49229 7203
31230 3929
31230 5069
49229 3701
49229 3803
31230 3782
31230 6150
49229 3679
49229 4822
31230 5036
31230 3763
49229 3657
31230 3745
20966 3709
24684 3761
20966 4337
20966 6265
24684 3806
24684 7079
20966 3749
20966 3760
24684 4763
24684 5322
20966 3736
20966 6167
20966 3767
24684 3689
24684 4863
24684 6178
20966 3667
20966 3654
59879 3680
109 3680
59879 3687
59879 6274
109 4942
