flow_ID proc_time
9838 4759
54668 10133
9838 6219
54668 4813
54668 4938
9838 10300
54668 5697
9838 7380
54668 4924
54668 5355
9838 3266
54668 6077
54668 5875
9838 3906
44654 5300
30095 1503
30095 13121
44654 6927
30095 5851
30095 6165
44654 20094
5743 17706
5518 17845
65133 17790
30090 17807
18028 1619
5515 6119
18028 7356
5515 1165
18028 2377
5515 4236
18028 3718
18028 4946
18028 5072
5515 3425
18028 8016
5515 4369
18028 4869
52844 5215
46472 5133
52844 1380
46472 6561
46472 5122
52844 4304
46472 8198
52844 7232
46472 10264
52844 5868
46472 4096
52844 12007
30317 818
54665 5541
30317 7198
54665 6406
30317 4910
30317 4219
54665 9910
30317 5501
30317 5400
30317 4308
54665 1421
30317 3927
30317 11908
24171 1279
30080 6113
24171 4365
30080 4253
54665 11570
30317 6694
30080 5222
24171 13936
30080 3686
24171 4092
24171 5210
30080 3392
24171 5081
24171 8285
5505 8976
58986 181
30080 9104
5505 4089
58986 3941
58986 3186
5505 8813
58986 2969
5505 3477
5505 2076
58986 6507
5505 2794
58986 6419
28266 5207
46466 5107
28266 890
46466 3947
46466 10085
28266 1942
46466 4077
46466 4650
28266 2493
46466 4859
46466 6559
28266 8926
54891 5301
54659 3771
54891 5144
54891 6019
54659 4496
46466 5553
28266 4281
54659 2455
54891 7814
54659 4439
54891 7022
54659 3875
54659 7256
54891 4476
54891 135
54659 11281
15977 4005
46471 4147
15977 10491
46471 6557
46471 7922
15977 4709
46471 4130
15977 3949
15977 4408
46471 8857
15977 455
46471 7486
15977 4680
34408 10687
54662 4974
34408 4059
34408 9930
54662 56
34408 4948
34408 2505
54662 6319
34408 6942
54662 5829
34408 3809
54662 7457
34408 2831
3688 4007
30085 4347
3688 5198
30085 5391
30085 5607
3688 10026
30085 4147
3688 2294
30085 7124
30085 11162
3688 10354
30085 12878
3688 13772
30085 5605
3688 4004
30085 4398
3688 4044
30085 13878
3688 8963
30085 8520
3688 4969
30085 7203
3688 5379
30085 4382
3688 13582
30085 9294
3688 12066
30085 5780
3688 4154
3688 5377
30085 10230
3688 5602
46697 4105
5508 2285
46697 7426
5508 4329
46697 9977
5508 4123
46697 4458
46697 1238
5508 1649
5508 11966
46697 4215
24164 6599
30100 3468
24164 7179
5508 4110
46697 5547
30100 9566
24164 5867
30100 4091
30100 4213
24164 8100
30100 3865
30100 4027
24164 5649
58981 9705
5525 5439
58981 4043
58981 7763
5525 3935
30100 4038
24164 5962
5525 5549
58981 11281
5525 1181
58981 5033
58981 12902
5525 817
58981 91
5525 4863
58981 3936
28261 4944
46486 143
28261 5789
46486 4134
28261 9289
46486 5326
28261 9095
46486 6559
46486 4051
28261 5759
46486 1631
28261 5966
54884 6161
54679 10110
54884 4787
54679 4252
54679 13737
54884 5116
54679 6043
54679 12354
54884 2590
54884 12752
54679 1966
54884 4005
54884 13125
15974 4578
46483 9011
15974 5630
46483 12385
54679 11257
54884 9138
46483 4892
15974 11273
46483 7228
46483 5875
15974 4329
15974 11261
46483 584
15974 3999
15974 7687
46483 11291
34407 7386
54674 3802
34407 4111
34407 7108
54674 8256
54674 5241
34407 9846
54674 5251
54674 6109
34407 4560
34407 6849
54674 9
3687 6424
30097 10973
54674 6090
34407 3954
30097 6999
3687 2019
30097 5398
30097 4600
3687 5678
30097 6557
30097 4000
3687 10145
30097 5993
3687 3832
46694 4393
5520 3360
46694 7082
5520 7968
46694 5354
5520 4686
5520 4017
46694 5864
46694 2131
5520 11100
46694 3661
40544 1662
46489 5613
40544 5415
46489 821
5520 31830
46694 27887
