flow_ID proc_time
41663 5572
25779 4191
41663 4057
41663 7526
25779 4721
25779 15986
41663 4839
25779 715
41663 5193
41663 5400
25779 3925
25779 4003
41663 4989
25779 5331
41663 4160
25779 4023
41663 4154
6846 9425
1202 5957
6846 4423
6846 6932
1202 3901
1202 7714
6846 5904
6846 4181
1202 4917
1202 5325
6846 3927
6846 6499
1202 4027
1202 3952
6846 4042
1202 4350
6846 3929
1202 5015
6846 5257
62140 3863
25782 4035
62140 3987
62140 4383
25782 5158
25782 7438
62140 4973
62140 3981
25782 3892
25782 6552
62140 3929
62140 5009
25782 4652
25782 9510
62140 2411
25782 3761
62140 3936
19133 4879
1207 8231
19133 206
1207 3807
1207 7575
19133 5264
19133 4353
1207 3866
1207 4159
19133 5887
19133 5395
1207 4283
1207 6554
19133 3885
19133 4806
1207 5149
19133 3832
49853 3872
42164 3837
49853 3801
49853 4357
42164 3770
42164 7762
49853 5626
49853 3817
42164 3805
42164 8899
49853 4878
49853 4963
49853 5370
42164 21
42164 6665
49853 3829
49853 3779
31420 3835
50357 3835
31420 3815
31420 7077
50357 3849
42164 3908
49853 3905
50357 8121
31420 4078
31420 5223
50357 3828
50357 3876
31420 4913
31420 6414
50357 4353
50357 6660
31420 765
37553 3823
42149 3803
37553 3760
37553 6721
42149 3805
50357 6238
31420 4243
42149 9065
37553 6376
37553 5300
42149 4448
42149 4022
37553 4531
37553 6399
37553 4435
42149 1062
42149 5374
37553 550
10928 3951
50340 3924
10928 5492
10928 5779
50340 3973
42149 4306
37553 3772
50340 8694
10928 7215
10928 4112
50340 4604
50340 4301
10928 3872
10928 6660
50340 4445
50340 6383
10928 328
50340 3889
10928 4309
41648 3978
25767 4971
41648 5653
41648 4376
25767 4215
25767 8148
41648 1539
25767 1378
41648 147
41648 4161
25767 1395
25767 4961
41648 6162
25767 4639
41648 3909
25767 3920
41648 4137
6833 4018
1190 3893
6833 5348
6833 5381
1190 4097
1190 7820
6833 1339
1190 6406
1190 3998
6833 4381
6833 6393
1190 5059
6833 5452
1190 4205
6833 3959
1190 4208
6833 4285
62131 4305
25762 3877
62131 3930
62131 7025
25762 4983
25762 7045
62131 5410
62131 4012
25762 5090
25762 5444
62131 3881
62131 6460
25762 3919
25762 3983
62131 3972
25762 4312
62131 6495
25762 5311
62131 4226
19122 3892
1187 3883
19122 1032
1187 4545
1187 6962
19122 956
1187 5231
1187 3947
19122 4882
19122 4930
1187 5614
1187 4066
19122 3977
19122 4675
1187 4926
19122 5223
49842 3946
42144 4029
