flow_ID proc_time
9351 11600
54032 9643
9351 11459
9351 10656
54032 13124
54032 17633
9351 5652
9351 5444
54032 1633
54032 8144
9351 6210
54032 10099
9351 16899
54032 6242
9351 10877
54032 6141
9351 5543
54032 4267
9351 11549
44167 4972
29459 10984
44167 5711
44167 8337
29459 10139
29459 8769
44167 10116
29459 3950
44167 11887
29459 4834
29459 8659
44167 4115
29459 12689
44167 183
29459 9898
29459 10897
44167 4050
29459 9854
44167 5225
5254 8747
4882 4643
5254 1255
4882 4942
4882 9189
5254 10354
4882 1724
5254 8935
4882 10690
5254 7713
4882 10404
5254 5284
4882 11756
5254 4217
4882 9280
5254 7430
4882 9372
5254 5788
64644 9956
29462 4551
64644 9424
64644 15523
29462 13951
29462 8949
64644 3993
64644 6274
64644 11009
29462 4817
29462 10296
29462 13214
64644 5988
29462 11716
64644 10964
29462 11267
64644 9343
64644 6270
29462 12738
64644 3992
17541 7553
4887 5037
17541 12732
17541 7931
4887 5653
4887 12667
17541 2809
17541 6204
17541 5717
4887 4235
4887 6211
17541 2204
4887 11348
4887 4272
17541 4717
17541 12751
52357 8144
45844 9522
52357 14068
45844 10817
4887 6402
17541 10438
45844 12412
52357 10854
52357 7891
45844 5965
45844 1473
52357 6147
45844 7587
52357 5836
52357 6780
29828 4401
54037 7918
54037 8710
29828 5259
54037 4962
29828 9153
54037 6294
29828 13276
29828 10211
40073 9305
45829 7855
40073 2932
45829 5300
54037 4260
29828 7956
45829 10565
40073 4371
40073 16046
45829 6075
45829 9323
40073 4086
45829 228
40073 11677
40073 2294
9352 11942
54020 7020
9352 4740
54020 4948
45829 11358
40073 11132
54020 7666
9352 7925
9352 5191
9352 8294
9352 11729
54020 4631
54020 8057
54020 4005
54020 10295
9352 10333
54020 7105
9352 11545
54020 5227
9352 10437
44168 5063
29447 4284
44168 6029
44168 12062
29447 9793
54020 5770
9352 4453
29447 9789
44168 5285
44168 8254
29447 15573
44168 7739
29447 1086
44168 9997
29447 5684
44168 9928
29447 7344
44168 11897
29447 5836
44168 10100
29447 15819
44168 13721
5257 6755
4870 10114
5257 8420
5257 11764
4870 10561
4870 11304
5257 9735
5257 4128
5257 10107
4870 4564
5257 12249
4870 4058
5257 4337
4870 1564
5257 8918
4870 9281
5257 5237
64651 5544
29442 12418
64651 10805
64651 7116
29442 6247
29442 8612
64651 14173
29442 1348
64651 16401
64651 5659
29442 9775
64651 3986
29442 7137
64651 4250
29442 5224
64651 10969
17546 8501
4867 7030
17546 3826
4867 8230
4867 14055
17546 12482
17546 3020
4867 3585
4867 8456
4867 4350
17546 4821
4867 8079
17546 336
17546 4014
52362 4818
45824 6979
52362 8553
45824 4880
4867 5703
17546 12262
45824 6341
52362 5534
52362 10824
52362 11375
45824 1755
45824 8135
52362 5905
45824 4104
52362 11462
45824 6058
52362 10604
52362 6736
29835 12195
54017 5507
29835 2812
54017 11790
45824 3789
52362 10896
54017 13670
29835 8084
29835 3401
54017 4014
54017 12496
54017 3073
29835 10162
29835 10885
54017 7101
29835 6702
54017 11705
29835 10144
54017 6511
29835 12456
54017 7365
29835 13269
54017 10506
29835 9390
54017 10002
29835 8453
54017 6548
29835 10378
54017 10856
29835 4668
54017 12164
29835 9643
54017 11056
29835 4051
29835 9937
54017 12016
29835 10130
23693 6163
29448 4002
23693 10186
23693 11637
29448 6075
29448 9670
23693 8143
23693 4711
29448 12307
29448 10405
23693 4536
29448 12263
29448 63
23693 9154
23693 11212
29448 4027
23693 10618
29448 5173
23693 4708
29448 7372
23693 11463
58508 10081
4873 6452
58508 6896
4873 7752
4873 5574
58508 2420
4873 5259
58508 10860
4873 9228
4873 4263
58508 12706
58508 7860
