flow_ID proc_time
27144 6861
47866 7814
27144 10845
47866 23840
27144 16495
47866 2640
47866 4242
27144 7810
47866 7225
27144 2854
53769 4387
56059 4167
53769 2020
47866 10277
27144 8165
56059 2562
53769 3906
53769 8456
56059 3072
53769 3461
56059 8395
53769 2194
14859 5019
47871 2460
56059 9757
53769 8052
47871 1584
14859 13764
47871 1127
14859 7334
14859 4275
47871 5022
47871 3210
14859 8513
14859 13995
33290 6740
56062 4855
33290 5101
33290 11882
56062 10640
56062 9174
33290 10066
56062 7139
56062 4097
33290 7981
56062 6228
33290 4109
2570 2633
31485 10242
31485 5588
2570 4881
2570 5081
31485 9302
2570 9662
31485 4004
31485 5296
2570 5522
45579 11099
6908 6741
45579 8574
6908 6774
31485 4750
2570 15140
6908 9385
45579 6524
45579 6668
6908 8980
45579 5307
45579 11356
6908 6870
45579 5409
45579 11229
6908 13501
23166 8530
31308 4930
23166 9224
31308 5633
31308 3561
23166 7006
31308 12350
23166 1559
31308 283
23166 6184
31308 2363
23166 8223
57983 4087
6733 4615
57983 8015
6733 10947
57983 4644
6733 2659
57983 6772
6733 3890
57983 8244
57983 3849
27263 5284
47694 9454
27263 11098
47694 1981
27263 5674
27263 8414
47694 7511
47694 6374
27263 4066
27263 10584
47694 4815
47694 489
27263 4977
27263 5186
53886 4124
55887 13054
53886 8450
53886 10882
55887 8897
55887 6059
53886 11405
55887 3432
53886 9317
55887 4143
53886 6968
55887 12139
55887 13815
53886 10103
14972 6996
47691 4776
14972 7378
47691 4027
47691 7313
14972 4039
14972 4713
47691 3402
14972 7714
47691 4683
47691 11396
14972 4871
47691 3935
14972 10842
14972 15036
33405 4456
55882 9663
33405 5280
55882 5617
55882 10110
33405 3115
55882 10007
33405 4327
55882 3808
55882 5949
33405 2318
55882 5410
33405 13079
2685 4027
31305 8449
2685 12757
31305 723
2685 5514
31305 8737
2685 4045
31305 10004
31305 762
31305 7694
2685 3471
6728 7428
45692 9254
6728 5006
45692 9040
6728 9034
45692 6343
6728 12732
45692 9692
6728 9432
45692 7923
6728 12545
45692 11112
6728 11324
45692 10113
6728 15395
45692 12127
6728 11561
6728 5499
45692 11643
6728 9858
45692 6367
6728 11404
45692 8723
39546 5730
47681 4276
39546 8118
47681 4477
39546 9025
47681 9649
39546 4285
47681 4665
39546 5285
47681 10232
39546 7375
47681 7926
39546 6048
8827 3957
55872 9512
8827 12871
55872 11137
8827 4366
55872 4553
55872 4350
8827 8534
55872 5095
43643 11546
31299 5012
31299 1998
43643 6941
43643 9779
4730 665
6722 5230
4730 11310
6722 10052
6722 6329
4730 10171
6722 3430
4730 10244
6722 2589
6722 9183
4730 4411
64120 9844
31302 6008
64120 10075
31302 9591
31302 7532
64120 3995
31302 8387
31302 9227
64120 3708
31302 8538
31302 8232
64120 5223
64120 5658
17017 7577
6727 10041
17017 4695
6727 6652
17017 5093
17017 5478
6727 9314
17017 4956
6727 1339
17017 3295
6727 5266
51833 5284
47684 3913
51833 4527
47684 13320
47684 5295
51833 8327
47684 3804
47684 4441
51833 9076
51833 5228
47684 1796
51833 1379
47684 12472
29304 7997
55877 6155
29304 9629
55877 7790
55877 5645
29304 9007
55877 6016
29304 9804
55877 2048
29304 5577
55877 4234
29304 10382
55877 11909
29304 12650
39541 499
47701 9149
47701 5282
39541 3324
47701 11832
8820 6298
55892 15280
55892 7668
55892 9027
8820 5818
55892 365
8820 5838
8820 1504
55892 5559
55892 4868
8820 2215
43636 6144
31319 11508
43636 6492
31319 8563
31319 792
43636 10123
43636 5194
43636 8863
31319 5206
43636 6768
31319 3163
31319 1820
43636 5323
43636 3899
31319 5293
4725 9222
6742 5966
4725 11310
6742 8685
6742 6244
4725 8856
6742 6606
6742 5429
4725 9107
6742 207
4725 988
6742 5880
64119 1870
31314 10141
31314 7042
31314 7004
64119 5168
64119 349
31314 8579
31314 6907
64119 10825
64119 4549
64119 1132
17014 9089
6739 11760
17014 7100
6739 10295
51830 6143
47696 3880
51830 5692
47696 11506
47696 7323
51830 2578
47696 4566
47696 14140
51830 4072
47696 7143
51830 4343
47696 1360
51830 5302
29303 4785
55889 57
29303 6425
55889 10680
29303 4316
55889 9546
29303 5587
29303 6876
55889 2776
55889 6245
29303 10114
29303 8038
55889 9984
23153 5180
31320 7227
23153 9674
31320 8154
31320 135
23153 4358
31320 3872
23153 7644
31320 12486
23153 9444
57968 5131
6745 5737
57968 10941
6745 7667
31320 4392
23153 7525
6745 6936
57968 4240
57968 6069
6745 3736
57968 9483
57968 1897
6745 4302
6745 1807
57968 11976
27248 7485
47706 4317
27248 10314
47706 8181
6745 4233
57968 8756
47706 12000
27248 9876
27248 7108
47706 3173
27248 89
47706 9222
27248 3381
53873 3029
55899 10742
55899 12694
47706 9531
27248 8375
47711 5300
14963 4132
14963 4362
47711 8023
14963 6526
47711 5468
47711 5827
14963 11723
33394 2574
55902 6392
33394 12576
55902 11363
47711 9233
14963 5716
55902 9218
33394 9623
55902 11950
33394 520
55902 4437
55902 7051
33394 4571
33394 10886
2674 2472
31325 7047
2674 14928
31325 12874
55902 11872
33394 9503
31325 10411
2674 4766
31325 4204
31325 1742
2674 6010
31325 10574
2674 7147
45683 6813
6748 3378
45683 7729
31325 4468
2674 11105
6748 8499
45683 6684
45683 1549
6748 8936
45683 8902
6748 1725
6748 14709
45683 11342
39531 7114
47741 4767
39531 9348
47741 5919
6748 3925
45683 13745
47741 7165
39531 5533
39531 4998
47741 8672
39531 8672
47741 12184
39531 4993
47741 11270
39531 9477
8810 8135
55932 5186
8810 4031
8810 12826
55932 11459
55932 2470
8810 10608
8810 3052
55932 4748
6782 5231
4715 8658
6782 7406
4715 9714
6782 6257
6782 10504
4715 1318
6782 4243
6782 4231
4715 7972
4715 1231
6782 14069
64105 9276
31354 6835
64105 9408
31354 6042
31354 11409
64105 5166
31354 9372
64105 4259
31354 6425
64105 3419
31354 6586
64105 4628
17000 9309
6779 5106
17000 7721
6779 5407
6779 6899
17000 2221
6779 4408
6779 593
17000 4731
17000 1166
6779 4602
6779 4303
17000 6145
6779 8370
51816 5394
47736 4060
51816 9319
47736 7872
47736 3026
51816 6834
47736 5132
51816 9037
47736 5576
51816 2529
29289 3162
55929 9328
55929 3753
29289 7654
29289 4433
55929 9189
29289 6116
29289 2656
55929 3852
29289 10484
23151 2448
31344 7125
23151 12399
31344 11095
55929 9782
29289 6842
23151 6917
6769 8515
57966 5971
57966 3382
6769 7462
57966 10090
6769 1105
6769 6069
57966 2054
6769 16281
57966 12947
27246 4249
47730 8991
27246 11261
47730 9365
47730 323
27246 13321
47730 5236
27246 6764
47730 5735
27246 10359
53871 1897
55923 5629
53871 10377
55923 8289
47730 7005
27246 6017
55923 3054
53871 6679
55923 11336
53871 1244
55923 9807
53871 6684
53871 4322
55923 6479
14957 4023
47735 4262
14957 10162
47735 6904
47735 4026
14957 8470
47735 11403
14957 10416
14957 6040
47735 4081
47735 11910
14957 8126
33388 4420
55926 4341
33388 8174
47735 3798
14957 3935
55926 5261
33388 4165
55926 2662
33388 4881
33388 2094
55926 7337
33388 11967
2668 3865
31349 7860
2668 8693
31349 14523
55926 13520
33388 11752
31349 3731
2668 8189
2668 11609
31349 8531
2668 7655
45677 837
6772 11268
45677 4853
6772 4827
45677 5910
45677 12030
6772 5332
45677 10469
6772 4803
45677 3936
45677 10729
