flow_ID proc_time
0 0
9623 6499
53456 4110
9623 156
9623 0
53456 4415
53456 12339
9623 14934
53456 462
53456 0
9623 3912
9623 4048
53456 4623
53456 4020
9623 3924
9623 4075
53456 4181
9623 5083
44439 5293
28883 4125
44439 3982
44439 4516
28883 4847
28883 4744
44439 620
44439 0
28883 3967
28883 5159
44439 660
28883 3337
28883 0
44439 721
5526 3882
4306 3861
5526 3914
5526 4401
4306 8254
28883 4393
44439 5429
4306 4977
5526 4092
5526 4130
4306 4358
4306 4030
5526 4009
5526 5032
4306 4626
4306 5467
5526 4129
4306 3901
5526 6738
4306 4489
5526 4020
64916 4124
28886 3940
64916 170
64916 0
28886 4024
28886 5033
64916 3997
64916 5071
28886 5318
28886 4174
64916 3971
64916 4090
28886 4559
28886 4089
64916 692
28886 4143
64916 4869
17813 5481
4311 3943
17813 3893
17813 4888
4311 3980
4311 5449
17813 3864
17813 4106
4311 4141
4311 5117
17813 4118
17813 5306
17813 4184
4311 3897
4311 3961
4311 3985
17813 1670
17813 0
52629 4046
45268 3846
52629 5268
52629 5732
45268 4603
4311 3850
17813 3803
45268 4912
52629 3999
52629 4339
45268 3932
45268 6431
52629 5110
52629 5642
45268 4410
45268 4001
52629 5212
52629 3996
45268 3938
52629 4071
30100 3895
53461 4930
30100 3936
30100 5615
53461 3861
53461 5238
30100 144
30100 0
53461 4024
53461 4177
30100 4220
30100 214
53461 358
53461 0
53461 4107
30100 4814
30100 4474
40345 3895
45253 4261
40345 3898
40345 4255
45253 4512
53461 7175
30100 4450
45253 6448
40345 4180
40345 4026
45253 3949
45253 4154
40345 4037
40345 4321
45253 5233
45253 4165
40345 5805
40345 5528
45253 3961
40345 4065
9624 3874
53444 4864
9624 4065
9624 4421
53444 4320
53444 6357
9624 5569
9624 6309
53444 3907
53444 4010
9624 3801
9624 3964
9624 4284
53444 535
53444 426
53444 0
9624 602
9624 0
44440 3813
28871 3752
44440 4163
44440 4314
28871 4647
53444 3800
9624 3725
28871 7616
44440 191
44440 0
28871 3796
28871 3911
44440 3802
44440 3971
28871 3902
28871 3998
44440 945
5529 5401
4294 3775
5529 3784
5529 4109
4294 3838
28871 3907
44440 3885
4294 5190
5529 5063
5529 3962
4294 5222
4294 4273
5529 4099
5529 6490
4294 4593
4294 3956
5529 14
5529 0
4294 3891
5529 5362
64923 5213
28866 4007
64923 3960
64923 4245
28866 4189
28866 5673
64923 676
64923 0
28866 5294
28866 4104
64923 5488
64923 4254
28866 4032
28866 4079
64923 211
28866 3918
64923 4011
17818 3878
4291 4124
17818 3937
17818 5211
4291 5930
4291 5600
17818 522
17818 0
4291 4090
4291 5077
17818 4193
17818 665
4291 330
4291 0
4291 10679
17818 4389
52634 3907
45248 3936
52634 3930
52634 6689
45248 4103
4291 4068
17818 3845
45248 5838
52634 1170
52634 0
45248 4239
45248 4090
52634 193
45248 3888
45248 4098
52634 354
53441 6708
30107 4442
53441 4274
30107 4805
53441 6783
30107 3968
53441 4329
30107 4022
53441 6983
30107 4122
53441 4778
30107 4181
53441 4436
30107 1387
30107 0
53441 5652
30107 3856
23965 4150
28872 4218
23965 3870
23965 4340
28872 3928
28872 6209
23965 3898
23965 5435
28872 3942
28872 4200
23965 4176
23965 4198
28872 4038
23965 4266
28872 4115
28872 4482
23965 4924
28872 3972
23965 5276
28872 4490
23965 5320
58780 3956
4297 3906
58780 3984
58780 4363
4297 3968
4297 6174
58780 3961
58780 5450
4297 626
4297 0
58780 4807
58780 4592
4297 4724
4297 3988
58780 3937
4297 4053
58780 4949
4297 5618
58780 4085
28060 3922
45258 3884
28060 3929
28060 4433
45258 3897
45258 6130
28060 0
45258 4539
45258 4063
28060 3999
28060 4170
45258 4631
45258 4049
28060 4340
45258 3943
28060 5052
45258 3894
28060 5215
54685 4111
