flow_ID proc_time
5704 6527
5626 9964
5704 4780
5626 706
5704 22437
5626 6863
5626 10167
5704 4425
5626 3051
5704 1987
5626 5310
5704 6477
65098 11733
30206 15050
65098 13098
30206 2216
30206 959
65098 4897
65098 1757
30206 7841
65098 7411
30206 6168
65098 5598
30206 6605
65098 1474
17995 5035
5631 5049
17995 6246
5631 7440
5631 10037
17995 8209
5631 2843
17995 7675
5631 4898
17995 5991
17995 3779
5631 9442
52811 874
46588 7104
52811 2034
46588 7410
46588 10776
52811 6478
46588 1216
52811 6029
46588 7441
46588 11595
52811 1626
46588 6090
52811 6775
30282 574
54781 7008
30282 8561
54781 801
30282 3231
54781 114
30282 1103
30282 3713
54781 3393
30282 5648
30282 5868
24146 5213
30172 7323
24146 5275
30172 9107
54781 11978
30282 15862
30172 8964
24146 7932
30172 3714
24146 3291
30172 879
24146 8645
58963 8264
5597 13729
58963 1459
5597 13024
24146 10224
30172 11182
5597 13146
58963 6600
58963 1554
5597 12856
58963 4036
58963 8765
5597 2273
58963 3601
28243 877
46558 7067
46558 10845
5597 12588
58963 6001
46558 6095
28243 7854
46558 2983
28243 3145
28243 1742
46558 7685
28243 3460
46558 11994
28243 5592
54866 7244
54751 9189
54866 6604
54751 2683
54866 2189
54751 6378
54866 5213
54866 3846
54751 1061
54866 12071
15952 5993
46555 12203
15952 6072
15952 11642
46555 6105
54751 6106
54866 6943
46555 8896
15952 3514
15952 2736
46555 2779
15952 6219
46555 3568
15952 8833
34385 4237
54746 5003
34385 6872
54746 10314
46555 14075
15952 14200
54746 11642
34385 10740
54746 8413
34385 2182
54746 597
34385 11947
54746 14345
34385 8192
3665 6126
30169 6199
3665 7651
30169 10507
30169 7884
3665 5155
3665 1891
30169 9648
3665 2938
30169 6016
3665 3248
3665 5988
30169 7537
46672 4339
46672 6911
5592 3944
5592 9584
46672 11073
5592 1266
46672 2404
5592 5586
5592 2333
46672 11581
40534 2197
46545 9305
40534 7488
46545 11938
46672 6241
5592 16466
46545 5261
46545 979
40534 912
40534 4337
46545 1876
40534 10884
9815 5360
54736 8176
9815 7258
54736 11358
46545 12720
40534 9916
54736 10471
9815 4660
9815 138
54736 5103
9815 2168
54736 7061
54736 5498
9815 6355
54736 5583
9815 7206
54736 8774
9815 11715
54736 9365
9815 7738
54736 7539
9815 11895
54736 7184
9815 10972
54736 10720
9815 8200
54736 5315
9815 10366
54736 11169
9815 12916
54736 8842
9815 3219
9815 2027
54736 12935
44631 6722
30163 9824
44631 4419
30163 377
44631 6370
30163 1521
44631 9646
30163 11398
44631 5382
30163 1855
44631 12383
30163 5990
44631 5449
30163 9268
5718 7985
5586 10044
5718 5698
5718 8114
5586 1268
5718 2748
5586 1482
5718 783
5586 6386
5718 8492
5586 5076
5718 13250
65108 7059
30166 7786
65108 5938
30166 6007
30166 8796
65108 7210
30166 823
65108 524
30166 6661
65108 4526
30166 4864
65108 7223
5591 7448
18005 1355
18005 3499
5591 5274
5591 8874
18005 4238
18005 647
5591 8341
18005 1009
18005 9969
52821 10063
46548 11531
52821 7367
52821 5896
46548 5960
46548 10661
52821 8611
46548 5227
52821 5537
52821 3501
46548 5422
46548 2642
52821 2033
52821 729
46548 6046
30292 1716
54741 10276
30292 5564
54741 8968
54741 13489
30292 1025
30292 3558
54741 3603
30292 5256
54741 5833
54741 8342
30292 2122
54741 8614
30292 2781
40537 9946
46533 12210
40537 1860
46533 1099
40537 7494
46533 7935
40537 3832
40537 8029
46533 7134
46533 1431
40537 1176
9816 8172
54724 7030
9816 7046
54724 9138
46533 11337
40537 8164
54724 10679
9816 5117
9816 1357
54724 1597
9816 2821
54724 697
9816 3691
54724 5407
9816 9221
44632 2116
30151 9261
44632 2083
30151 6691
44632 2271
30151 9759
44632 8479
30151 9411
44632 6976
5721 9767
5574 7935
5721 3871
5574 762
5721 5255
5574 6597
5574 6552
5721 5444
5574 523
5721 8160
5574 11113
5721 11800
65115 4971
30146 12874
65115 6569
65115 6211
30146 7221
30146 8492
65115 5105
30146 4903
30146 8239
65115 1924
65115 8841
30146 2338
30146 4630
65115 1831
18010 1596
5571 8018
18010 35
5571 10914
30146 10615
65115 13885
5571 9015
18010 1956
5571 3387
18010 123
5571 2500
18010 4869
5571 7564
18010 9669
52826 5602
46528 9856
52826 7751
46528 9038
46528 6385
52826 3399
46528 1858
52826 1548
52826 3811
46528 7246
46528 6653
46528 5249
52826 1330
30299 9873
54721 13328
30299 1868
54721 9279
46528 12074
52826 6500
54721 7548
30299 2221
30299 705
54721 7832
30299 10498
24157 5909
30152 5094
24157 6986
30152 120
24157 11039
30152 2220
24157 4292
24157 5709
30152 1206
30152 7147
24157 7930
58972 9445
5577 11644
58972 1896
5577 13479
30152 8356
24157 8544
5577 5923
58972 4910
5577 6954
58972 5760
5577 4926
5577 9043
58972 1693
58972 4472
5577 11179
28252 8422
46538 5829
28252 6318
28252 6740
46538 8916
46538 10532
28252 6704
28252 1856
46538 2090
28252 6106
46538 4868
46538 5040
28252 5648
46538 6553
28252 283
46538 7581
54877 6233
54731 7895
54877 1947
54731 5528
54731 7439
54877 4393
54731 11816
54731 6396
54877 3381
54731 3927
54877 4022
15967 8049
46543 6917
15967 3668
46543 12747
46543 5460
15967 4641
15967 930
46543 1005
15967 6906
46543 761
46543 4314
15967 15147
3678 5239
30157 915
3678 3708
3678 3861
30157 3928
3678 1919
30157 1947
3678 5704
30157 3840
30157 2890
3678 5026
46687 6830
5580 7660
46687 5566
5580 10981
5580 2358
46687 3275
46687 1286
5580 7505
5580 3292
5580 570
46687 8180
46687 2984
5580 13677
24174 8809
30092 11970
24174 1495
30092 2754
24174 5848
30092 5841
30092 13746
24174 1345
24174 1546
30092 5089
30092 1334
30092 2017
24174 7090
58991 5957
5517 6226
58991 11366
5517 8639
5517 12504
58991 2195
5517 4830
58991 1095
5517 3077
58991 8452
5517 2398
5517 8685
58991 4252
28271 7132
46478 6900
28271 6455
46478 10088
46478 9894
28271 4511
46478 4315
28271 642
46478 63
46478 97
28271 8439
54671 12109
54894 23
54671 8884
54671 8843
54894 2776
54671 7009
54894 4835
54671 2801
54894 2723
54671 5664
54894 446
15980 7062
46475 8580
15980 5219
15980 6677
46475 5477
15980 8378
46475 3771
15980 1982
46475 8467
15980 2961
34413 4952
54666 5472
34413 4902
34413 8016
54666 12381
46475 10832
15980 10833
54666 10956
34413 8214
54666 3614
34413 4943
34413 1143
54666 7150
54666 8089
34413 7733
3693 10060
30089 10160
3693 2419
30089 11220
30089 13664
3693 5026
30089 1090
3693 7331
30089 7355
30089 8058
3693 190
3693 1516
30089 10110
46700 1305
5512 11572
5512 11462
5512 10714
46700 4252
46700 618
5512 7405
