flow_ID proc_time
28235 9820
15944 3881
3657 4890
34426 4119
3706 5330
52862 4248
18033 10480
58999 9214
46708 5739
57967 4108
34426 3998
33322 4073
15944 4061
16936 3911
3657 4919
33327 5270
28235 4528
17004 4285
3706 3842
34426 5294
3657 4298
15944 4259
33377 3965
52862 3961
28235 7390
3706 5159
52862 4588
40556 4144
52847 3895
58985 4104
8825 3923
46708 3929
8828 5227
58999 5213
46708 4466
58999 4386
8822 4009
18033 3911
18033 7312
57967 4133
17004 4212
16936 4924
33377 1685
33377 0
33322 3922
33327 4050
57967 13519
34426 11318
57967 4576
34426 4887
57967 5419
34426 5843
16936 5183
3657 3857
34426 3912
16936 6779
3657 3896
17004 5144
3706 4050
17004 4478
3706 4068
17004 5084
3706 5239
33377 5532
52862 4294
33377 4153
52862 4078
33327 6287
28235 3901
33327 5717
28235 3961
33327 6485
28235 4107
33322 5329
15944 4493
33322 4489
15944 4867
8788 5242
58985 3916
33368 4122
40556 4002
33373 3889
52847 4002
40556 4022
52847 4066
58985 4387
34426 3992
34426 170
34426 0
28235 4433
15944 3925
52862 4484
3657 4106
3706 4126
15944 4150
28235 4036
34426 4138
34426 4078
3657 5169
52862 5327
3706 4160
34426 3898
34426 7319
8825 4872
8828 3942
8825 5064
46708 3912
8825 6636
46708 3914
8825 4094
46708 3948
8828 6047
58999 4211
46708 4886
46708 5611
34426 4003
34426 4109
8822 5186
8828 4309
58999 3910
8828 4111
58999 4126
8822 7973
18033 4582
58999 3851
58999 4195
8822 4022
18033 3886
18033 4664
18033 6645
57967 4087
34426 80
8788 3887
58985 7645
33373 5252
52847 4018
57967 3919
34426 4293
57967 4068
33368 1401
33368 0
40556 3891
57967 3912
17004 4996
33327 5554
28235 3897
28235 3925
28235 4008
33322 4306
15944 104
15944 364
15944 0
16936 4591
3657 1717
3657 138
3657 0
17004 3897
17004 4074
3706 3929
3706 633
3706 0
33377 3929
16936 4097
3657 3851
57967 4386
33377 422
33377 0
52862 4230
52862 3895
52862 3885
33322 4834
15944 3844
33327 3986
28235 3863
8825 3916
8825 5158
46708 3902
46708 5689
57967 3946
57967 4313
34426 4020
57967 464
57967 0
34426 4048
57967 4205
57967 4287
34426 5031
57967 3870
57967 5360
34426 3896
57967 4134
57967 3958
34426 3991
8828 4574
58999 4102
58999 4009
41148 4957
8828 8195
58999 5788
8822 4095
8822 4123
18033 215
18033 0
57967 4407
57967 4058
57967 4310
34426 4967
57967 3934
57967 5241
57967 4053
34426 3953
57967 4108
57967 3898
34426 4035
57967 4007
57967 5789
34426 3917
33322 5393
15944 4333
33327 4042
28235 3887
16936 3931
3657 3855
17004 4175
3706 3939
57967 5261
57967 5774
34426 4027
57967 4032
8825 6287
46708 4566
33377 4129
52862 4083
8828 3918
58999 3855
57967 4669
34426 5058
57967 1965
34426 4206
8822 4048
18033 3883
57967 4008
57967 4132
34426 3867
57967 4115
60931 3953
34426 3900
60931 5603
13969 4024
13969 5068
41148 5485
13969 6354
41148 3911
13969 4256
41148 3909
41148 6388
13969 4454
13969 185
13969 0
52935 4860
52935 6514
60931 4660
52935 4573
60931 3894
52935 4397
60931 4232
41148 4170
41148 1221
41148 0
52935 4403
60931 4013
60931 4128
13969 88
41148 4067
52935 3885
52935 4170
60931 1067
60931 1156
60931 0
34426 4369
34426 4297
34426 597
34426 0
34426 4351
57967 237
57967 3188
