flow_ID proc_time
20942 4354
24588 3980
20942 6153
20942 5119
24588 12690
24588 7234
20942 6626
24588 4628
24588 5212
20942 4466
24588 4052
20942 3814
20942 4077
24588 3981
24588 7241
20942 215
59855 4168
13 3846
59855 5788
59855 12204
13 8091
24588 5267
20942 3726
13 7568
59855 3924
59855 4395
13 4928
59855 5576
13 3910
13 6545
59855 3923
13 4198
59855 5344
13 5556
59855 3971
13 3843
59855 1565
25039 4109
40974 3972
25039 3779
25039 6953
40974 5377
40974 7736
25039 4218
25039 3824
25039 3956
40974 3826
40974 3931
40974 3887
25039 3833
40974 4879
25039 5387
40974 3871
25039 212
40974 3939
25039 3700
55758 3782
49167 3884
55758 4657
55758 5250
49167 5190
49167 7202
55758 3830
55758 3815
55758 6223
49167 259
49167 3890
55758 6018
49167 5263
55758 4760
49167 6360
55758 1001
49167 3899
55758 4009
12748 4884
40971 5960
12748 4002
12748 7235
40971 3932
12748 6734
12748 6768
40971 4262
40971 3998
40971 3717
40971 7019
12748 5169
40971 4057
12748 4743
40971 6275
12748 4041
40971 3816
12748 4957
40971 4556
12748 5673
35277 3777
49162 4826
35277 5181
35277 7436
49162 3923
49162 7418
35277 4042
35277 3841
35277 6237
49162 3810
49162 4596
49162 6583
35277 3813
49162 3921
35277 5547
49162 6304
35277 3806
35277 4016
49162 3938
35277 4003
461 4239
24585 4930
461 5274
461 7174
24585 4851
24585 8009
461 4309
461 3956
461 6587
461 3998
24585 4042
24585 2098
24585 4437
461 4072
24585 6507
461 4048
24585 4088
461 4620
461 3918
47564 4919
8 5317
47564 4046
47564 7375
8 3992
24585 3804
461 3780
8 7709
47564 3924
47564 3927
47564 4055
8 3876
8 3942
8 3927
47564 5644
8 4922
47564 6438
8 4398
47564 891
8 4446
47564 3745
37322 4863
40961 6090
37322 5199
37322 7138
40961 3806
40961 7438
37322 4112
37322 5233
37322 3992
37322 6373
40961 3913
40961 5082
40961 5373
40961 4026
37322 4708
40961 6390
37322 3852
40961 3937
37322 4961
40961 3818
37322 3919
40961 5032
37322 5162
10699 3922
49152 4364
10699 4759
10699 7035
49152 3813
49152 7322
10699 406
10699 4072
49152 3782
49152 6427
49152 5343
10699 3844
49152 6722
10699 3956
49152 4312
10699 3924
49152 3912
10699 3913
49152 5034
10699 5229
41419 3937
24579 4373
41419 3888
41419 6616
24579 3819
24579 7520
41419 4502
41419 5137
41419 4752
24579 3764
24579 4484
24579 6359
41419 4247
24579 5112
41419 6080
24579 3948
41419 3965
41419 4389
24579 3938
41419 3865
6602 4853
2 6064
6602 4354
6602 6726
2 4368
2 7389
6602 4133
6602 4431
6602 6363
2 299
2 6422
6602 4365
2 3896
6602 4837
2 5256
6602 117
2 3803
6602 4838
61896 3850
24582 5236
61896 3783
61896 6800
24582 4245
24582 7257
61896 4066
61896 5304
61896 5196
61896 4929
24582 1072
24582 3789
24582 10334
61896 12530
24582 7734
61896 9405
24582 4260
61896 7231
24582 228
61896 2700
18889 3660
7 4254
18889 3666
18889 6466
7 3758
7 8054
18889 5188
18889 4323
18889 5939
7 4311
7 3731
7 3917
18889 3675
7 6320
18889 4234
7 6421
18889 11875
7 9646
18889 7153
7 6532
18889 3793
7 13998
18889 5353
7 9834
7 6796
18889 12480
7 13857
18889 18709
7 7701
18889 5155
7 6479
18889 11503
7 6416
18889 4148
18889 3684
7 3806
18889 3861
49609 3695
40964 4915
49609 3724
49609 5795
40964 3710
40964 7468
49609 3673
49609 3831
40964 4031
40964 6325
49609 3702
40964 3919
49609 4135
49609 6600
40964 3821
49609 6495
40964 5099
40964 4797
49609 5039
40964 3672
49609 3880
40964 3644
49609 3874
31176 3846
49157 4242
31176 3676
31176 7045
49157 5418
49157 7667
31176 461
49157 4044
31176 6146
49157 3754
49157 4994
31176 4281
49157 5828
31176 3668
49157 4830
31176 1128
37317 3701
40981 3684
37317 3719
37317 6943
40981 3652
49157 3686
31176 3772
40981 8560
37317 575
37317 4900
40981 1311
40981 3916
37317 4082
40981 6134
37317 11219
40981 3900
37317 3741
37317 2365
40981 6510
10692 3682
49172 4244
10692 10920
10692 9173
49172 14378
49172 7549
10692 50
10692 7808
49172 41
49172 5257
10692 9500
49172 14189
