flow_ID proc_time
0 0
55799 4401
49235 3819
55799 4008
55799 6839
49235 1184
49235 0
55799 120
55799 0
49235 3904
49235 4502
55799 4367
55799 12509
49235 4259
55799 7033
12789 6233
41047 3914
12789 3796
12789 4329
41047 3753
49235 3915
55799 4827
41047 6448
12789 1585
12789 0
41047 3875
41047 4550
12789 4067
12789 4199
41047 4179
41047 4106
12789 5155
41047 3872
12789 5247
41047 3951
12789 3999
35316 4144
49238 4203
35316 4092
35316 4426
49238 4054
49238 6261
35316 3897
35316 5298
49238 2324
49238 0
35316 3896
35316 4103
49238 3969
49238 4332
35316 4109
49238 4326
35316 5267
49238 4035
35316 5402
500 3995
24661 3974
500 4370
500 4444
24661 3894
24661 5093
500 4153
500 5214
24661 3987
24661 5432
500 3927
500 4136
24661 3891
24661 4028
500 3976
24661 4719
500 3899
24661 5560
500 5535
47605 4006
84 4456
47605 6376
47605 7315
84 3892
84 5166
47605 4001
47605 3970
84 4462
84 4023
47605 5000
47605 5379
84 5433
84 4253
47605 4994
84 4018
47605 3935
84 3936
47605 4306
20984 4138
24644 3929
20984 4087
20984 5414
24644 5348
24644 5150
20984 857
20984 0
24644 4787
24644 4696
20984 4784
20984 4269
24644 5059
20984 5708
24644 4082
24644 6368
20984 4415
24644 3828
20984 3927
24644 3956
20984 4461
59897 3784
69 3784
59897 4147
59897 5466
69 5281
69 5082
59897 161
59897 0
69 4169
69 4122
59897 4031
59897 4053
69 3916
69 5050
59897 1114
69 4777
59897 3895
25081 4032
41030 3925
25081 4111
25081 4410
41030 3909
41030 6545
25081 1148
25081 0
41030 6482
41030 4057
25081 3882
25081 4097
41030 3950
25081 4088
41030 427
41030 0
25081 4560
25081 4115
55800 3895
49223 3904
55800 3929
55800 4880
49223 3946
41030 3973
25081 3857
49223 8002
55800 1786
55800 0
49223 4454
49223 4044
55800 3984
55800 4058
49223 3931
49223 4035
55800 366
49223 3965
55800 5095
12794 4217
41027 3913
12794 495
12794 0
41027 3929
41027 5155
12794 3988
12794 4177
41027 79
41027 0
12794 3923
12794 4388
12794 4127
41027 257
41027 4243
12794 4500
12794 4934
35323 5748
49218 3986
35323 490
35323 0
49218 4112
41027 3912
49218 5188
35323 3967
35323 3950
49218 5248
49218 5518
35323 4538
35323 4229
49218 4486
49218 4145
35323 2635
507 4022
24641 4108
507 247
507 0
24641 6305
49218 4161
35323 3883
24641 5192
507 4807
507 4116
24641 3893
24641 4017
507 4401
507 5939
24641 447
24641 0
507 3982
507 3913
24641 3917
507 3850
47610 3931
64 4159
47610 807
47610 0
64 5942
64 4750
47610 4380
47610 4021
64 3994
64 4479
47610 460
64 4877
64 5649
47610 137
64 3924
47610 4071
37372 4071
41033 3954
37372 3960
37372 4726
41033 4160
41033 7651
37372 1715
37372 0
41033 3967
41033 4052
37372 3956
37372 4036
37372 4140
41033 530
41033 0
41033 5099
37372 2073
10749 3976
49224 3927
49224 7141
10749 4254
49224 6665
10749 4020
49224 4382
10749 3980
49224 4450
10749 3785
49224 7203
10749 5096
49224 6671
10749 4496
49224 5168
10749 1632
10749 0
49224 3859
10749 3879
41469 3993
24651 3855
41469 4623
41469 4166
24651 3781
24651 6642
41469 203
41469 0
24651 4087
24651 3927
41469 3908
41469 3901
24651 3928
41469 4312
24651 335
24651 0
41469 5357
24651 5662
41469 3973
24651 3899
41469 4817
6652 3986
74 3982
6652 4042
6652 6696
74 4813
74 6876
6652 1084
6652 0
74 3928
74 4078
6652 3885
6652 4372
74 4560
74 5154
6652 6243
74 3960
6652 4133
74 3908
6652 3929
61950 3944
24654 4139
61950 4109
61950 4223
24654 5122
24654 6489
61950 141
61950 0
24654 4084
24654 4513
61950 3949
61950 4090
24654 4532
24654 4159
61950 4179
24654 5181
61950 198
24654 5231
18943 3997
79 3905
18943 3915
18943 4764
79 4140
79 7520
18943 684
18943 0
79 4155
79 4029
18943 5445
18943 4045
79 4504
79 4256
18943 3888
18943 4882
79 5257
18943 4028
49663 3867
41036 4130
49663 4200
49663 4714
41036 3921
41036 5188
49663 3956
49663 5018
41036 4153
41036 5476
49663 164
49663 1090
49663 0
41036 3794
41036 3789
41036 3893
49663 3773
41036 4184
49663 5225
41036 3827
49663 5361
31230 3992
49229 3804
31230 3957
31230 4442
49229 3885
49229 5357
31230 4173
31230 5131
49229 4454
49229 0
31230 3918
31230 3913
49229 4082
49229 4222
31230 159
31230 0
