flow_ID proc_time
27757 4410
45686 4107
27757 6097
45686 4951
45686 7411
27757 384
45686 3898
45686 3983
27757 12250
27757 5490
45686 4671
45686 6847
27757 604
45686 3939
27757 6648
54380 3922
53879 3898
54380 5048
54380 9627
53879 6990
53879 7713
54380 3884
54380 4016
53879 3914
53879 5109
54380 5371
54380 4077
53879 4076
53879 4167
54380 5497
53879 5044
54380 5815
53879 3966
54380 3989
15470 3983
45683 4055
15470 3938
15470 5360
45683 3903
45683 7537
15470 3914
15470 4004
45683 3937
45683 6371
15470 4512
15470 4225
45683 5356
45683 5355
15470 3932
15470 4440
45683 6517
15470 3835
33903 4072
53874 5088
33903 5103
33903 4422
53874 3818
53874 7437
33903 5106
33903 3946
53874 3814
53874 4096
33903 4825
33903 5299
53874 3938
53874 4872
33903 1535
53874 3863
33903 3698
3183 3832
29297 3758
3183 3924
3183 6751
29297 3971
29297 7444
3183 3973
3183 4423
29297 4050
29297 4009
3183 3916
3183 4075
29297 7708
29297 5465
3183 99
29297 5300
3183 3831
46190 4021
4720 3918
46190 4045
46190 4139
4720 3768
46190 6451
46190 6316
4720 4518
4720 4597
4720 3891
46190 3933
4720 3935
46190 5832
4720 5132
46190 3758
40040 3827
45689 3783
40040 3942
40040 6743
45689 3948
45689 9694
40040 7393
40040 4046
45689 4155
45689 6413
40040 3807
40040 5004
45689 5224
45689 4247
40040 3951
45689 4042
40040 5370
45689 5144
40040 4683
9321 3813
53880 3788
9321 4284
9321 5347
53880 5465
53880 8490
9321 5561
9321 3979
53880 3922
53880 6326
9321 4041
9321 4078
53880 5851
9321 5455
53880 5029
53880 4154
9321 973
44137 7529
29307 3958
44137 5147
44137 4615
29307 4965
53880 5259
9321 3868
29307 8194
44137 4935
44137 4018
29307 4217
29307 6395
44137 3917
44137 5122
29307 5407
29307 4018
44137 4194
44137 3900
29307 5240
44137 5341
5224 4035
4730 3908
5224 3880
5224 4430
4730 4928
4730 7466
5224 4174
5224 3962
4730 3892
4730 6380
5224 4080
5224 4043
5224 9417
4730 1335
4730 5811
5224 4456
4730 3994
5224 4457
4730 4116
5224 4355
64618 5589
29310 5328
64618 3933
64618 4462
29310 4078
29310 7378
64618 4278
64618 3962
29310 3965
29310 6413
64618 4737
64618 3959
29310 5280
29310 5424
64618 3840
64618 3890
17515 3964
4735 4011
17515 3829
17515 6633
4735 4677
29310 3876
64618 3750
4735 9633
17515 5913
17515 3890
4735 4801
4735 5466
17515 3803
17515 6263
4735 4076
4735 3968
17515 3986
17515 3918
4735 4922
17515 3877
52331 5234
45692 4021
52331 3907
52331 4416
45692 4691
45692 7388
52331 306
45692 3956
45692 3969
52331 3825
52331 3976
45692 3976
45692 4247
52331 3964
52331 4055
45692 3916
52331 4819
29802 5133
53885 6910
29802 4291
29802 4245
53885 3829
53885 7430
29802 476
53885 3841
53885 6253
29802 3894
29802 3870
29802 4787
53885 1229
53885 3852
29802 3729
29802 4348
23666 3821
29276 4666
23666 3875
23666 5253
29276 5195
53885 3888
29802 3668
29276 6813
23666 3767
23666 3733
29276 3724
29276 6229
23666 3658
23666 3788
29276 3658
29276 7968
23666 700
58483 3816
4701 4238
58483 3704
58483 6345
4701 3797
29276 3675
23666 3680
4701 7390
58483 4903
58483 3884
4701 5008
4701 3855
58483 4437
58483 6163
4701 3864
4701 6453
58483 4963
4701 6444
58483 3761
4701 6557
58483 3677
4701 6563
58483 3725
4701 6659
58483 3706
4701 6401
58483 3692
4701 6408
58483 3854
4701 7269
58483 4282
4701 4133
58483 4702
4701 6837
58483 3654
4701 6519
58483 3810
4701 6606
58483 3849
4701 6551
58483 3723
4701 6433
58483 78
4701 3652
58483 3651
27763 5316
45662 5005
27763 3850
27763 4304
45662 3727
45662 7498
27763 4861
27763 3789
45662 4063
45662 4934
27763 3822
27763 5177
45662 3800
27763 6274
45662 3792
45662 7026
27763 4388
27763 4212
54386 3673
53855 3632
54386 3835
54386 6462
53855 3679
45662 3703
27763 3739
53855 7152
54386 3702
54386 5075
53855 4126
53855 3817
54386 4114
54386 6138
53855 3692
53855 3727
54386 3683
54386 5372
15472 5163
45659 3664
15472 3813
15472 4000
45659 3656
53855 4656
54386 5165
45659 7417
15472 3984
15472 3752
45659 3848
45659 6733
15472 6337
45659 3684
45659 3776
15472 3725
15472 4506
45659 3681
15472 3618
33905 3650
53850 4720
33905 5060
33905 4093
53850 4171
53850 7228
33905 1166
53850 3686
53850 3874
33905 3663
33905 6146
53850 3794
53850 6243
33905 1098
53850 3818
33905 3637
3185 3869
29273 3750
3185 3677
3185 6481
29273 3687
29273 8068
3185 3684
3185 4836
29273 5069
29273 3776
3185 3679
3185 6148
3185 3830
29273 38
29273 6640
3185 3645
3185 3662
46192 3793
4696 3694
46192 4422
46192 6337
4696 3747
29273 3793
3185 3732
4696 7455
46192 6222
46192 5598
4696 3812
4696 3790
46192 3758
46192 6273
4696 3639
4696 4760
46192 807
40054 3651
45649 4429
40054 3742
40054 5197
45649 4995
4696 3656
46192 3638
45649 7245
40054 5068
40054 4705
45649 4820
45649 5241
40054 3638
40054 6158
40054 3759
45649 3678
45649 3742
45649 6046
40054 3696
45649 3708
40054 4804
45649 4178
40054 4227
9335 4684
53840 3684
9335 5121
9335 4420
53840 3856
53840 7213
9335 3847
9335 5188
53840 3647
53840 3844
9335 4326
9335 6146
53840 3796
53840 6120
9335 3667
9335 4531
53840 3678
9335 3582
44151 3651
29267 3871
44151 3769
44151 6440
29267 3747
29267 7199
44151 6239
44151 4829
29267 3639
29267 5164
44151 4363
44151 6222
44151 3826
29267 3803
29267 4764
29267 5097
44151 3800
44151 3708
5238 3743
4690 3853
5238 3651
5238 6524
4690 3708
29267 3764
44151 4625
4690 7265
5238 5111
5238 3716
4690 3672
4690 3913
5238 4735
