flow_ID proc_time
42021 1377
28011 8024
42021 5370
28011 3940
28011 13512
42021 4678
28011 7994
42021 5887
28011 4043
42021 5303
28011 505
42021 58
7204 4216
3434 5588
7204 4474
28011 5548
42021 6275
7204 6430
3434 5825
3434 5373
7204 1077
3434 5189
3434 5110
7204 3231
3434 5405
7204 1488
3434 3969
3434 6269
7204 6525
62502 3943
28014 4850
62502 4737
62502 8650
28014 7810
3434 5680
7204 4017
28014 8057
62502 6740
62502 5513
28014 805
28014 4082
62502 5716
28014 6146
62502 4057
28014 4004
62502 3939
62502 1464
28014 5815
19495 5391
3439 4086
19495 5071
3439 4580
3439 7365
19495 4475
19495 2226
3439 1161
3439 7808
19495 6093
3439 5302
19495 4471
3439 5196
19495 5961
3439 4553
19495 4043
50215 4016
44396 8494
50215 1775
44396 4024
44396 6068
50215 3106
44396 4063
50215 4485
44396 5163
50215 4104
44396 4056
50215 4952
44396 9711
50215 3459
44396 4043
50215 3877
31782 6815
52589 5062
31782 4536
31782 5493
52589 5444
52589 7889
31782 4030
31782 3866
31782 5185
31782 4379
52589 1099
52589 3446
31782 4614
52589 4042
31782 3963
52589 5471
31782 5118
31782 5108
21566 3753
27980 4954
21566 3826
21566 8058
27980 5879
52589 3916
31782 3959
27980 5360
21566 58
21566 523
27980 786
21566 3901
27980 5625
21566 5841
27980 5839
21566 41
27980 5515
21566 7169
60479 6276
3405 4182
60479 3946
60479 6675
3405 8005
3405 7245
60479 5408
60479 775
56382 5520
52559 4891
52559 7571
56382 1690
56382 3788
52559 2304
52559 778
52559 2132
56382 7423
56382 5171
52559 3956
56382 4168
13372 6315
44363 3858
13372 3872
13372 6850
44363 8547
52559 6043
56382 3820
44363 6100
13372 4354
13372 3889
44363 429
44363 7036
13372 6743
44363 4095
13372 3805
44363 7367
13372 4445
35901 4155
52554 3862
35901 4874
35901 6328
52554 5774
44363 3815
13372 3873
52554 6421
35901 2313
35901 4024
52554 5256
52554 1646
35901 4031
52554 4115
35901 578
52554 5138
35901 566
52554 4847
35901 7166
1085 5966
27977 6979
1085 4508
1085 4914
27977 5071
27977 6730
1085 3963
1085 4392
27977 2646
27977 4105
1085 4528
27977 5816
1085 6312
27977 5653
1085 3750
1085 5123
27977 6129
1085 5546
48188 4622
3400 4117
48188 3965
48188 8396
3400 6730
3400 7760
48188 4127
48188 1200
48188 4085
3400 3991
3400 4234
44353 5111
37946 4028
44353 7053
37946 7117
44353 4994
37946 5759
44353 6425
37946 3864
37946 4607
44353 6185
37946 3685
44353 7436
37946 5970
44353 4256
37946 4391
44353 7009
37946 3926
44353 5192
37946 3808
44353 8443
37946 7114
44353 4559
37946 3166
44353 3838
37946 3984
11323 4709
52544 8539
11323 828
52544 3784
52544 5394
11323 2443
52544 3814
11323 6135
52544 4817
11323 6195
52544 3878
52544 3990
11323 6982
52544 7665
11323 5315
52544 4719
11323 4995
11323 7612
42043 6392
27971 3677
42043 3634
42043 6444
27971 5065
52544 7012
11323 3646
27971 9249
42043 5619
42043 3783
27971 3819
27971 2711
27971 1276
42043 6955
42043 4982
27971 3863
42043 2715
7226 3638
3394 4291
7226 4073
7226 6239
3394 4537
27971 5099
42043 3617
3394 6689
7226 681
7226 3975
3394 1886
7226 3667
3394 3972
7226 8066
3394 4369
7226 3658
7226 3818
3394 3830
7226 5593
62520 5430
27974 5930
62520 3772
62520 6677
27974 6140
27974 5093
62520 4642
62520 2573
27974 4964
27974 3627
27974 5147
62520 5592
27974 4958
62520 3861
27974 4003
62520 4867
27974 5272
62520 3795
19513 3796
3399 5112
19513 6139
19513 4839
3399 3669
3399 9121
19513 7010
19513 3978
19513 3880
19513 7234
3399 1844
3399 3714
3399 3839
19513 1799
3399 6093
3399 3754
19513 3674
19513 4150
50233 7321
44356 5917
50233 4659
50233 8326
44356 5908
3399 3728
44356 5916
50233 860
50233 4908
44356 3680
44356 4010
50233 3862
44356 3792
50233 5223
44356 5907
50233 338
44356 4949
50233 7057
31800 5993
52549 3805
31800 3679
31800 5799
52549 6399
52549 7638
31800 4994
31800 5212
31800 867
52549 558
52549 3981
31800 4827
52549 5147
31800 3824
52549 5805
31800 4830
52549 3860
31800 3758
52549 3618
31800 5923
37941 7316
44373 4594
37941 5127
37941 4716
44373 8640
44373 5102
37941 3699
37941 4799
44373 4183
37941 5818
44373 3761
37941 1501
44373 3856
44373 4526
44373 6452
37941 3405
11316 5082
52564 3768
11316 3694
11316 5061
52564 6507
52564 5042
11316 4807
11316 20
52564 3677
52564 3663
3414 6973
7221 1393
3414 4876
7221 7467
3414 4656
3414 1111
7221 5123
62519 6058
27986 6170
62519 3890
62519 8485
27986 6633
27986 8600
62519 7241
62519 3962
27986 3827
27986 1765
62519 6498
62519 3771
62519 3822
27986 2806
27986 2824
62519 3637
62519 3645
19510 2612
3411 5138
19510 4710
3411 3682
3411 5586
19510 251
3411 3637
3411 5697
19510 6462
3411 3918
19510 3645
19510 4229
3411 7587
19510 3934
3411 3656
