flow_ID proc_time
48128 6228
3352 6320
48128 2581
3352 4067
3352 3830
48128 366
48128 7536
3352 2160
48128 515
37894 4092
44305 8337
37894 5128
37894 5663
44305 4271
3352 4545
48128 5041
44305 5976
37894 25
44305 3115
37894 1516
44305 635
37894 2866
44305 5182
44305 4599
11271 3921
52496 7006
11271 2305
52496 5201
52496 5331
11271 4234
52496 5604
52496 4553
11271 3844
11271 4191
52496 2816
11271 3893
52496 5261
11271 3927
52496 3858
11271 6813
41991 6226
27923 4710
41991 3946
41991 4418
27923 3044
41991 4065
41991 4001
27923 3919
27923 6537
41991 3221
27923 4058
27923 751
41991 5443
41991 3882
7174 4383
3346 3937
7174 7294
7174 7559
3346 5756
3346 5595
7174 3991
7174 4927
3346 5007
7174 4116
7174 4971
3346 4954
3346 6368
7174 5063
3346 3873
7174 3843
62468 3906
27926 6007
62468 1055
27926 3819
27926 525
62468 6409
27926 4229
62468 4745
62468 3222
27926 2300
27926 5003
62468 2546
27926 1240
62468 3794
19461 3828
3351 7148
19461 3315
3351 4776
3351 7521
19461 6694
3351 1935
19461 3895
19461 4465
3351 4965
19461 368
3351 5641
19461 4753
50181 4207
44308 4137
50181 4094
50181 4687
44308 4350
44308 6430
50181 4323
50181 5340
44308 4298
44308 7560
50181 4653
50181 4168
44308 4221
44308 4830
44308 5664
50181 1706
31748 5077
52501 5389
31748 4340
31748 6289
52501 5767
44308 5752
50181 4299
52501 5802
31748 6447
52501 2041
31748 4002
31748 4056
52501 2652
31748 4133
31748 3886
52501 3852
31748 3902
37897 3853
44293 6544
37897 648
44293 3927
44293 7572
37897 4787
44293 3845
44293 3996
37897 4237
37897 2205
44293 1163
44293 4206
37897 5363
11272 5628
52484 3877
11272 625
52484 7004
44293 5573
37897 8332
52484 7524
11272 1330
52484 5045
11272 3958
11272 4104
52484 8031
11272 3917
41992 4363
27911 4189
41992 4016
41992 6370
27911 4843
52484 6437
11272 3894
27911 5314
41992 5341
27911 1231
41992 4137
41992 5740
27911 4180
27911 7379
41992 991
27911 4807
41992 7508
7177 1299
3334 5274
7177 4319
3334 3871
3334 6714
7177 1370
3334 4903
3334 4630
7177 5686
3334 5507
3334 4142
7177 4173
7177 3882
3334 5083
62475 4431
27906 4458
62475 4864
62475 8682
27906 1372
62475 309
27906 4218
27906 5479
62475 4276
62475 40
27906 835
27906 7818
62475 1059
19466 4358
3331 4439
19466 4366
3331 4932
27906 4785
62475 3856
3331 6805
19466 6762
3331 4050
3331 4036
19466 4288
19466 4649
3331 1775
19466 2527
50186 3898
44288 9220
50186 2264
44288 3901
3331 4144
19466 5337
44288 8640
50186 1506
44288 3958
44288 4100
50186 5616
44288 4139
44288 5996
50186 5239
44288 5084
50186 3750
44288 5422
50186 5694
44288 6381
50186 3827
44288 4290
50186 3671
44288 6422
50186 5281
44288 6557
50186 7901
44288 4267
50186 3673
44288 6130
50186 3663
44288 5747
50186 5066
44288 4337
50186 3824
44288 6166
50186 3745
44288 6519
50186 5744
44288 5230
50186 3802
50186 2408
44288 7587
31755 7099
52481 5513
52481 4368
31755 1292
21517 1298
27912 7460
27912 3707
52481 3874
31755 4000
27912 5835
21517 136
27912 3932
27912 5534
21517 3995
27912 3882
27912 3930
21517 3982
21517 4208
60428 977
3337 6158
60428 5581
3337 3802
27912 4961
21517 6647
3337 5030
60428 241
3337 5795
60428 5351
60428 4918
3337 824
60428 972
3337 5131
3337 3913
60428 3802
25612 4427
44298 2587
25612 6193
44298 6284
25612 6357
44298 1148
25612 3691
25612 3889
44298 5819
25612 1019
44298 3758
52491 4107
25612 9715
56333 6682
52491 3683
52491 5921
56333 4340
52491 3679
52491 3806
56333 3621
56333 6126
52491 3667
52491 4510
52491 3856
56333 3381
13327 5805
44303 5104
44303 4522
52491 5799
56333 4630
44303 5122
13327 3733
13327 3854
44303 5264
13327 4899
13327 8395
44303 4970
13327 3762
35854 3809
52494 600
35854 5062
44303 3771
13327 3746
52494 6768
35854 1494
52494 264
52494 3717
35854 4635
1038 4001
27917 3817
1038 3640
1038 5403
27917 5916
52494 7492
35854 6877
27917 5254
1038 3663
1038 5637
27917 2702
1038 3937
1038 3806
27917 4908
27917 7969
1038 3688
27917 3749
1038 3612
48143 5027
3340 4867
48143 4961
3340 3635
3340 6196
48143 5181
3340 5436
3340 4298
48143 3825
48143 5795
3340 7838
48143 3836
3340 3638
3340 4768
48143 5607
3340 3589
48143 307
37911 3692
44333 3673
37911 2172
44333 4397
44333 6160
37911 5080
37911 5099
44333 5545
37911 3729
37911 3928
44333 1748
44333 1710
37911 5899
37911 4743
44333 5100
37911 3628
11286 3809
52524 5992
11286 373
52524 3675
52524 6814
11286 3166
52524 3667
52524 5714
11286 4030
11286 5162
52524 5294
11286 3772
52524 3663
52524 3729
11286 7136
42006 7121
27951 4005
42006 750
27951 3933
52524 7733
11286 7461
27951 4959
42006 4003
42006 6245
27951 1228
42006 5655
42006 7631
27951 3069
42006 419
3374 3716
3374 4359
7191 1905
3374 4100
7191 3865
3374 3871
7191 4262
62485 3652
27946 3829
62485 4323
62485 7269
27946 5738
3374 5830
7191 3637
27946 5692
62485 6844
27946 15
62485 3752
62485 5425
27946 2690
62485 3774
62485 3654
27946 3709
62485 4886
19476 441
3371 5183
19476 717
3371 4253
3371 6419
19476 1721
3371 3771
3371 4388
19476 4794
19476 221
3371 1354
3371 1455
19476 2004
3371 3776
19476 4117
50196 4652
44328 5871
50196 5601
44328 4370
44328 5821
50196 3996
50196 5218
44328 6328
44328 3938
50196 4787
50196 5685
44328 4509
50196 4022
50196 3636
31765 3680
52521 7051
31765 6640
52521 4305
44328 3797
50196 4568
52521 8205
31765 3728
52521 4418
52521 5846
31765 3732
31765 5511
52521 1122
31765 157
52521 3819
27936 3880
21523 3640
21523 4249
27936 8085
21523 5044
60434 5295
3361 3881
60434 3829
60434 7644
3361 6090
3361 5749
60434 4031
60434 4214
3361 4292
60434 5100
60434 3882
60434 3748
3361 3599
3361 2949
60434 707
25618 2876
44322 7984
25618 1571
44322 3684
3361 3681
60434 3701
44322 6035
25618 3830
25618 3708
44322 3698
44322 4897
25618 3565
44322 3678
44322 3933
25618 3730
25618 3332
44322 5706
56339 3796
52515 3884
56339 3750
56339 8479
52515 262
56339 988
52515 1883
56339 5456
56339 6
52515 4847
52515 5458
52515 4891
56339 3675
56339 3659
13329 3293
44327 6611
13329 520
44327 3682
52515 3728
56339 7409
44327 6400
13329 4086
13329 4875
44327 3724
44327 6202
13329 5472
13329 3970
44327 3790
44327 4786
13329 6388
35856 5912
52518 3704
35856 3638
35856 4194
52518 4867
44327 7345
13329 6181
52518 5154
35856 3944
35856 7752
52518 1340
35856 3815
35856 3860
35856 7327
52518 321
35856 962
1040 3285
27941 5804
1040 1265
27941 3803
52518 4175
1040 3678
1040 1307
27941 5022
48145 4628
3364 5083
48145 3704
48145 8425
3364 7816
3364 4796
48145 3700
48145 4671
3364 522
48145 4649
48145 1567
3364 2544
48145 3888
48145 4333
3364 3897
48145 3800
21532 1261
27956 4647
21532 5674
27956 3804
27956 6884
21532 3109
27956 3667
27956 3889
21532 4093
27956 1844
21532 5121
27956 3809
21532 3046
27956 4419
60445 3885
3381 3826
60445 3782
60445 5868
3381 2432
60445 4164
60445 3716
3381 3505
60445 4404
60445 4674
3381 3726
3381 4258
60445 5411
25629 5809
44342 5107
25629 3781
25629 4149
44342 8953
3381 7448
60445 6954
44342 5270
25629 4262
25629 5628
44342 192
25629 3769
25629 3862
44342 6662
25629 976
44342 3625
25629 3612
56348 3742
52535 8145
56348 3706
52535 3797
52535 1808
56348 5113
52535 3954
56348 3799
56348 5811
52535 2602
56348 777
52535 6635
56348 8489
13342 8170
44339 3880
13342 3781
13342 4149
44339 4762
44339 6531
13342 3684
13342 3761
44339 3766
44339 4896
13342 421
52530 7137
35871 1727
52530 3821
52530 6131
35871 2408
52530 3759
52530 1034
35871 4358
1055 369
27953 5296
1055 4219
27953 3690
27953 6496
1055 3656
1055 4702
27953 5237
27953 5571
1055 120
27953 3830
1055 3786
27953 2628
1055 542
48158 5111
3376 4744
48158 5750
3376 4325
3376 5311
48158 4212
3376 5226
3376 4970
48158 268
3376 2605
48158 460
37912 3985
44345 5512
37912 1273
44345 3705
44345 7148
37912 2654
44345 3767
44345 3813
37912 3849
37912 830
44345 5131
44345 1176
44345 291
37912 6805
11289 6130
52536 3802
11289 3668
11289 4164
52536 4886
52536 7559
11289 121
52536 3705
52536 7899
11289 2303
52536 3790
52536 3800
52536 3859
11289 4039
42009 4775
27963 5432
42009 3857
42009 4111
27963 5630
27963 5043
42009 3747
42009 3765
27963 5312
42009 1187
27963 3776
42009 3853
27963 234
42009 961
7192 3659
3386 6737
7192 5209
3386 3759
3386 5047
7192 3794
3386 6890
7192 7253
3386 4054
3386 4573
7192 3887
3386 5031
3386 6579
3386 7229
3386 4317
7192 3910
3386 4297
7192 3969
3386 5282
7192 3721
62490 5065
27966 7861
62490 3465
27966 4405
27966 4473
62490 3689
62490 3691
27966 4496
62490 7210
62490 5020
27966 7835
62490 3946
27966 4261
27966 4321
62490 1265
27966 1258
62490 4713
19483 5087
3391 760
19483 5557
3391 5141
19483 1936
3391 6437
3391 6197
19483 3671
19483 5979
3391 3538
19483 3781
3391 3872
19483 3792
3391 3684
19483 4312
50203 1883
44348 5037
50203 4117
44348 3660
44348 7595
50203 5031
50203 3887
44348 4332
50203 3797
31770 3846
52541 6974
31770 621
52541 3872
52541 5436
31770 5006
52541 4750
52541 3829
31770 3648
31770 7636
52541 3013
31770 193
52541 3789
31770 6210
37999 4719
44429 5581
37999 3663
37999 4264
44429 3665
44429 8320
37999 4607
37999 3829
44429 3757
44429 5705
37999 1611
37999 4013
44429 4211
44429 4761
44429 7032
37999 3298
11374 3833
52620 3698
11374 3759
11374 6269
52620 4694
44429 4739
37999 3632
52620 6379
11374 4930
52620 3887
52620 3927
11374 3756
11374 4319
52620 5549
11374 3908
11374 3604
52620 4656
11374 6841
42094 3703
28047 6920
42094 6
28047 3920
28047 7652
42094 2598
28047 391
42094 4036
28047 5758
42094 3915
28047 3695
28047 1562
42094 2921
28047 4190
42094 3652
7279 4695
3470 5785
7279 5172
3470 3898
3470 6570
7279 4284
7279 4858
3470 5240
3470 928
7279 5772
3470 3767
7279 3780
3470 1581
7279 3248
62573 4650
28042 5181
62573 3682
62573 6517
28042 5382
28042 5125
62573 4029
