flow_ID proc_time
0 0
48128 6537
3352 5377
48128 3922
48128 4767
3352 3967
3352 342
48128 7174
48128 0
3352 0
3352 5254
48128 4255
48128 4471
3352 4641
3352 4697
48128 4819
37894 3869
44305 6245
37894 4131
37894 4550
44305 4040
3352 4555
48128 3931
44305 5345
37894 4000
37894 4495
44305 5215
44305 5422
37894 3938
37894 4051
44305 4121
44305 3984
44305 3927
37894 3941
44305 3948
37894 3865
11271 4959
52496 5197
11271 3937
11271 4722
52496 3934
52496 5047
11271 4084
11271 3961
52496 4661
52496 7468
11271 150
11271 0
52496 3917
52496 4020
11271 4170
52496 3931
11271 3936
52496 4111
11271 3896
41991 4042
27923 5084
41991 5175
41991 5877
27923 3858
27923 5248
41991 3910
41991 4140
27923 4111
27923 5089
41991 5776
41991 4051
27923 3901
27923 3930
41991 12
41991 0
27923 3946
41991 4419
7174 4633
3346 5643
7174 4591
7174 6612
3346 7212
3346 7613
7174 457
7174 0
3346 4554
3346 4112
7174 3921
7174 4057
3346 4106
3346 4353
7174 3927
7174 5218
3346 5234
7174 3896
62468 3844
27926 3965
62468 4006
62468 4233
27926 3955
27926 5210
62468 3906
62468 6258
27926 5275
27926 4230
62468 3955
62468 4038
62468 4715
27926 3940
27926 3900
27926 4303
62468 4899
27926 5231
62468 6940
27926 4310
62468 3960
19461 3957
3351 4066
19461 3907
19461 4211
3351 4120
3351 7035
19461 4507
19461 5781
3351 4016
3351 4194
19461 4100
19461 4063
3351 3906
3351 4700
19461 4044
19461 6677
3351 5243
19461 4016
50181 3921
44308 4060
50181 4064
50181 4238
44308 5117
44308 6399
50181 1045
50181 0
44308 4295
44308 4071
50181 3959
50181 2169
44308 3993
44308 4982
44308 5338
50181 4086
50181 3874
31748 4057
52501 3939
31748 4110
31748 4261
52501 3981
44308 3939
50181 3819
52501 7940
31748 4406
31748 4197
52501 4031
52501 4417
31748 3851
31748 4029
52501 3994
52501 4205
31748 432
31748 0
52501 3925
31748 3842
37897 3991
44293 3890
37897 4144
37897 4198
44293 4026
44293 8684
37897 697
37897 0
44293 106
44293 0
37897 4869
37897 4565
37897 4129
44293 987
44293 3967
37897 827
11272 5345
52484 3882
11272 3850
