flow_ID proc_time
57878 2721
6865 7142
57878 6796
6865 5602
6865 8055
57878 5510
57878 1092
6865 4108
6865 4042
6865 4128
57878 4290
6865 7377
57878 4075
6865 5608
57878 3898
57878 5313
27158 7909
47826 6108
27158 230
47826 6183
6865 4943
47826 8194
27158 5291
27158 4141
47826 1025
47826 5166
27158 6716
47826 4108
27158 6418
47826 1192
27158 586
47826 4133
27158 6661
53783 4870
56019 7944
53783 5077
53783 6347
56019 5281
56019 7666
53783 1364
56019 5222
53783 4795
56019 267
53783 5139
56019 5272
53783 1445
56019 5526
53783 3881
56019 4110
53783 8309
14869 3954
47831 4495
14869 3945
14869 8103
47831 6490
47831 7279
14869 772
47831 4208
47831 4569
47831 8303
14869 4781
47831 5300
14869 4128
47831 5447
14869 2322
47831 4078
14869 3963
33300 3779
56022 5497
33300 4764
56022 3772
56022 5892
33300 601
33300 4251
33300 7939
56022 5740
56022 706
56022 256
33300 346
56022 4329
33300 8476
56022 5423
33300 4087
56022 3949
33300 6670
2580 5906
31445 5098
2580 4086
2580 4811
31445 7687
31445 6576
2580 3927
2580 4447
2580 6536
31445 1125
31445 4555
2580 5081
31445 137
2580 7576
2580 861
31445 3990
2580 5701
45589 5423
6868 3961
45589 5079
45589 7540
6868 7344
6868 5692
45589 4732
45589 4281
45589 3168
6868 432
6868 5097
6868 6735
45589 5477
6868 4021
45589 4457
6868 3954
45589 4363
23064 4206
31428 5185
23064 5325
23064 7886
31428 7139
6868 8049
45589 4183
31428 8753
23064 3600
23064 4022
31428 4042
31428 4320
23064 5544
31428 4062
23064 3923
31428 6583
23064 1898
31428 5008
23064 3783
57881 4608
6853 5753
57881 5058
6853 3861
6853 8949
57881 2161
57881 4163
57881 5270
6853 879
6853 3779
6853 3109
57881 7133
57881 3912
6853 4096
57881 4993
6853 256
57881 4295
27161 4981
47814 7014
27161 6309
27161 5119
47814 3899
47814 6865
27161 1966
27161 4068
47814 4871
47814 3672
27161 4521
47814 4184
27161 3926
47814 5256
27161 1156
53784 5064
56007 4006
53784 3423
56007 4317
47814 4624
27161 6793
56007 5529
53784 611
53784 7444
56007 4393
56007 4339
53784 3850
56007 633
53784 4459
53784 3767
53784 4896
56007 6698
53784 3853
14874 4022
47811 4010
14874 5386
47811 3896
47811 7827
14874 4653
14874 4102
47811 3869
47811 3935
47811 6823
14874 6907
31425 1630
31425 1112
2587 3141
31425 5805
2587 5782
31425 4349
2587 4612
31425 7109
2587 3913
31425 6283
2587 5187
31425 4200
2587 3776
31425 6116
2587 6388
31425 4184
2587 4940
31425 5321
2587 4220
31425 6274
2587 5323
31425 8466
2587 5120
31425 3857
2587 4166
45594 3901
6848 6209
45594 4707
45594 4824
6848 4789
6848 6464
45594 3140
45594 3800
45594 6374
6848 439
6848 5079
45594 5045
6848 825
45594 5541
45594 859
39452 3687
47817 5989
39452 6083
8733 4863
56008 6922
8733 4170
43549 3765
31435 5178
43549 204
31435 3643
31435 8170
43549 470
43549 3910
31435 3671
31435 2443
43549 3617
31435 3811
43549 4580
31435 5703
43549 2298
4636 3849
6858 5102
4636 4803
4636 4802
6858 3660
31435 5927
43549 8238
6858 5332
4636 3770
4636 543
6858 3693
6858 4660
6858 5878
4636 4526
6858 4034
4636 3867
6858 5661
4636 4156
4636 3926
64030 3639
31438 4649
64030 6078
31438 5813
6858 3663
4636 3635
31438 7156
64030 1045
64030 4820
31438 5120
31438 2037
64030 3803
31438 3775
64030 3805
31438 4885
64030 887
16927 4759
6863 5130
16927 4642
6863 3810
31438 3857
64030 4290
6863 5219
16927 93
16927 5147
16927 6939
6863 1703
6863 5340
16927 4086
6863 51
16927 6543
16927 3691
6863 3792
16927 5113
6863 6540
51743 4577
47820 4995
51743 3787
51743 7228
47820 6703
47820 4795
51743 5533
51743 6800
47820 4829
51743 5911
47820 3760
47820 3078
51743 5358
51743 4086
47820 3957
51743 871
47820 6647
29214 3699
56013 5836
29214 1523
56013 4923
56013 4974
29214 1454
29214 3953
29214 3892
56013 3216
56013 3938
29214 3784
56013 1383
29214 6747
29214 3668
56013 3650
29214 4092
56013 5319
23046 3819
31468 3903
23046 5403
23046 7377
31468 4756
31468 5070
23046 1193
31468 4222
31468 3855
31468 8966
23046 7621
31468 3773
23046 4107
31468 6108
23046 280
57863 3815
6893 3768
57863 4858
57863 6033
6893 4268
31468 3941
23046 4945
6893 4940
57863 1355
57863 3790
6893 3906
6893 3930
6893 4138
6893 4656
57863 6601
6893 4811
27143 6281
47854 4640
6893 3914
57863 4645
47854 7134
27143 2818
27143 3816
47854 3958
47854 2232
27143 4307
47854 5037
27143 5199
47854 5769
27143 966
53766 3889
56047 3749
53766 865
56047 4773
47854 5310
27143 4212
56047 5779
53766 3652
53766 3729
53766 3935
53766 7857
56047 150
56047 271
56047 5134
53766 6851
56047 3890
53766 3688
56047 5732
53766 6613
14852 4071
47851 5095
14852 3788
14852 5931
47851 5604
56047 5234
53766 3585
47851 6062
14852 3917
14852 4002
47851 3654
47851 5305
14852 5623
47851 3937
14852 4165
47851 5129
14852 6537
47851 5002
14852 3675
33285 3819
56042 5866
33285 4264
33285 4291
56042 3678
56042 7520
33285 4064
33285 3700
33285 3783
33285 4483
56042 189
56042 3904
56042 5175
33285 1051
56042 3967
33285 3642
56042 2699
33285 4150
33285 3846
2565 3658
31465 4805
2565 1361
31465 3666
31465 7012
2565 3039
8707 5192
56032 5137
56032 7331
8707 138
8707 3911
8707 8732
56032 2925
56032 5015
56032 3827
8707 5677
56032 5928
8707 3668
56032 3788
8707 3906
56032 2139
8707 5458
8707 5073
43523 4129
31459 8243
43523 3306
31459 3673
31459 7513
43523 3929
43523 806
31459 3644
31459 6751
31459 5674
43523 3643
31459 3785
43523 3833
31459 7508
43523 1942
31459 3699
43523 3737
4610 3742
6882 4262
4610 6709
4610 4131
6882 3661
6882 7945
4610 3644
4610 3864
4610 6189
6882 1452
6882 100
6882 4384
4610 2777
6882 6452
6882 4074
4610 3688
4610 4682
64000 331
31462 4689
64000 4343
31462 8317
6882 6665
4610 3655
31462 5559
64000 5089
64000 3948
31462 145
31462 7360
64000 5686
31462 4140
64000 4274
31462 4484
64000 4528
31462 3765
64000 3596
16897 4784
6887 6308
16897 2723
6887 3797
6887 7418
16897 3544
6887 3693
16897 4766
6887 5822
16897 5218
6887 3805
6887 3938
16897 255
6887 5136
6887 5385
16897 6531
6887 856
16897 6313
16897 3705
51713 4335
47844 4707
51713 170
47844 4658
47844 7367
51713 2999
47844 3956
47844 2632
51713 4156
51713 3724
51713 4933
47844 5208
47844 6649
51713 1772
29184 3821
56037 3764
29184 2881
56037 4808
47844 3867
51713 4915
56037 6649
29184 4712
29184 4377
56037 3849
29184 4465
56037 6937
29184 3884
56037 5270
29184 4218
56037 5803
29184 989
39437 3811
47861 3681
39437 3948
39437 5078
47861 5135
56037 3790
29184 3616
47861 5078
39437 3762
39437 4281
47861 2161
39437 5091
39437 5252
47861 3808
47861 4446
39437 1580
47861 5134
47861 3736
39437 4298
39437 5766
8716 863
56052 6367
8716 5462
56052 6926
47861 7616
39437 4549
43532 3643
31479 7356
43532 4886
31479 3893
43532 3659
31479 2209
43532 1602
4621 5147
6902 3824
4621 5746
4621 4163
6902 4195
6902 8189
4621 2534
6902 4994
4621 4252
6902 4278
4621 4014
6902 3962
4621 3817
6902 6914
4621 3988
6902 5690
4621 2529
64015 58
31474 3981
64015 4268
31474 4011
31474 7212
64015 3832
64015 3870
31474 4183
64015 4686
31474 3886
64015 3739
64015 5619
31474 6769
64015 5706
31474 7457
31474 856
64015 5709
64015 3890
31474 8201
16910 689
64015 9469
6899 5014
16910 4104
6899 4902
6899 5728
16910 3662
16910 3748
16910 7524
6899 2929
6899 3982
16910 5401
6899 5182
16910 4574
6899 3841
16910 3664
6899 2387
16910 417
51726 3691
47856 3818
51726 2215
47856 4283
47856 6880
51726 5030
51726 1659
51726 4348
47856 1962
47856 2303
51726 3652
47856 4869
57864 322
6905 3671
6905 3693
6905 2091
57864 6641
57864 3837
6905 4487
57864 3517
57864 1635
6905 6274
27144 3779
47866 6443
27144 4866
27144 4241
47866 3745
47866 7692
27144 5684
47866 3637
27144 3843
47866 5824
27144 4355
47866 3754
47866 3812
47866 6338
47866 3895
27144 3763
27144 8412
53769 6978
56059 3886
53769 3806
53769 4106
56059 6551
47866 7795
27144 6997
56059 5794
53769 3793
53769 1419
56059 5764
56059 5272
56059 5350
53769 6384
56059 5735
53769 3814
56059 3841
53769 3822
56059 3827
53769 136
56059 4397
14859 3772
47871 5113
14859 4272
47871 3860
47871 8575
14859 5732
14859 168
47871 4061
47871 3842
14859 4269
47871 4990
14859 7322
47871 4638
14859 1235
47871 7909
14859 6693
33290 4475
56062 3689
33290 3811
33290 6494
56062 4975
56062 7561
33290 5158
33290 5848
56062 5239
33290 3988
56062 3904
56062 1139
33290 1985
56062 5290
33290 3998
56062 1522
33290 5010
33290 3677
2570 3676
31485 8063
2570 779
31485 3775
31485 6737
2570 4429
31485 3791
2570 6817
31485 4837
2570 3659
31485 3776
2570 3158
31485 5954
2570 442
45579 4082
6908 3792
45579 4015
6908 3759
31485 3628
2570 3595
6908 2560
45579 4873
45579 5880
6908 6564
45579 3833
6908 3887
45579 1576
6908 5946
45579 4939
6908 3786
45579 8215
23166 488
31308 6345
23166 4112
31308 3667
31308 5501
23166 497
31308 4820
23166 7883
31308 2561
23166 3794
31308 3769
23166 8386
31308 5152
23166 3750
23166 3963
31308 9198
23166 7698
57983 6300
6733 3933
57983 4239
57983 5117
6733 6841
6733 5194
57983 3700
57983 4853
6733 978
57983 6052
57983 4115
6733 6293
57983 4080
6733 3799
6733 4789
57983 5452
6733 5260
57983 6146
6733 3692
57983 3689
6733 3911
57983 4587
27263 7172
47694 3887
27263 4644
27263 6048
47691 2067
14972 6535
14972 3960
47691 4658
14972 7028
47691 4498
14972 3675
47691 4225
14972 2100
33405 3714
55882 3647
33405 3743
55882 4994
47691 3688
14972 3665
55882 5178
33405 3801
33405 3852
55882 4966
33405 6234
55882 5293
33405 3841
55882 3781
55882 1095
33405 7390
33405 3799
55882 7378
33405 4877
2685 3974
31305 4208
2685 4713
2685 5712
31305 3699
55882 3754
33405 5561
31305 6574
2685 3924
2685 3807
31305 3870
2685 6497
31305 5611
31305 4875
2685 4355
31305 468
2685 6965
2685 3776
2685 3964
45692 5145
6728 4109
45692 3803
45692 5093
6728 5121
31305 6334
2685 5829
6728 5248
45692 504
45692 4832
6728 933
6728 243
45692 3774
6728 3988
45692 3925
6728 4322
45692 4801
45692 5450
39546 2518
47681 7354
39546 440
47681 3779
6728 3784
45692 6889
47681 7441
39546 5212
39546 3938
39546 4032
47681 3661
55872 6473
8827 4095
55872 4065
8827 7764
55872 4068
8827 3856
55872 6373
8827 3962
55872 4632
8827 3875
55872 8545
8827 7235
55872 5433
8827 6418
55872 6392
8827 6712
55872 5374
8827 145
55872 5371
8827 4830
43643 3821
31299 5245
43643 3702
43643 7581
31299 6744
31299 5085
43643 3809
43643 5080
31299 6909
43643 4051
31299 4769
43643 5497
31299 5463
43643 3657
31299 3823
43643 4027
31299 261
43643 4242
31299 5335
43643 6574
4730 5082
6722 4018
4730 3767
4730 4458
6722 4350
6722 6069
4730 5504
4730 1877
6722 5213
6722 3695
6722 3991
4730 4871
6722 7703
4730 4054
51833 25
47684 3670
47684 539
51833 3699
47684 2863
51833 6210
51833 3775
51833 3666
29304 3830
55877 6120
29304 4114
29304 4228
55877 3770
47684 8886
51833 7195
55877 4943
29304 3677
29304 1153
55877 3644
55877 3738
55877 4861
29304 7200
55877 5962
29304 4000
55877 3976
29304 4293
55877 4261
29304 4629
39541 2144
47701 7513
39541 376
47701 3668
47701 5115
39541 2777
47701 3817
47701 6837
39541 6179
47701 3963
39541 3850
39541 361
47701 4109
47701 3785
47701 4810
47701 5639
39541 4836
8820 3830
55892 3664
8820 3670
8820 7685
55892 6597
55892 7401
8820 3742
8820 5795
55892 5907
55892 4580
8820 3674
55892 4025
8820 4219
55892 3984
55892 603
8820 4531
43636 3798
31319 3927
43636 4369
31319 9947
31319 7418
43636 5056
31319 6570
31319 3917
43636 3782
31319 4813
43636 4137
31319 5256
43636 4016
31319 413
31319 3147
43636 3914
43636 3820
4725 2596
6742 7734
4725 570
6742 3822
6742 5072
4725 1993
6742 3985
4725 5874
6742 1935
4725 5174
6742 3888
4725 1965
6742 7197
4725 3811
6742 3947
4725 6065
64119 7121
31314 5536
64119 3925
64119 4252
31314 4013
31314 5205
64119 3660
64119 3708
31314 4110
64119 7382
64119 3813
31314 4383
31314 6539
64119 4584
31314 3927
64119 3676
31314 2980
64119 2461
31314 3825
64119 3735
17014 3118
6739 4951
17014 4624
6739 6532
6739 7004
17014 3691
17014 3710
6739 3715
17014 4158
6739 4754
6739 4524
17014 3462
6739 3688
17014 263
6739 3765
51830 3715
47696 5836
51830 2779
47696 1581
47696 49
47696 4563
51830 858
47696 778
47696 60
47696 676
51830 4603
29303 1611
55889 6384
29303 2300
55889 3868
55889 1307
29303 3995
29303 3817
55889 1851
29303 921
55889 2411
29303 1330
55889 2432
55889 4878
29303 3772
23153 369
31320 5860
27248 1104
47706 4060
27248 4309
47706 4064
27248 8051
53873 1130
55899 4024
53873 4381
55899 3650
55899 2856
53873 4582
55899 4621
53873 2757
55899 2424
55899 23
53873 4074
53873 8004
14963 1779
47711 6561
47711 4793
47711 4781
14963 3768
14963 3604
47711 8
14963 842
14963 4002
47711 3645
14963 2447
47711 7733
33394 4215
33394 583
55902 4844
