flow_ID proc_time
0 0
27324 4290
47946 11496
27324 7506
27324 7606
47946 5305
47946 14119
27324 6151
27324 545
27324 0
47946 3914
47946 5459
47946 3895
27324 3885
47946 4292
27324 3894
47946 3961
27324 644
53949 8
56139 5438
53949 0
53949 4758
56139 4063
47946 3902
56139 6303
53949 51
53949 4063
56139 397
56139 0
56139 4243
53949 3932
56139 4078
53949 4358
56139 4938
53949 5292
56139 4237
53949 4159
56139 3926
53949 4051
15039 3883
47951 3916
15039 3949
15039 5956
47951 3992
47951 8117
15039 5081
15039 5857
15039 4028
47951 1930
47951 0
47951 4077
15039 3894
47951 4150
15039 3906
47951 4945
15039 5251
47951 4226
15039 4805
47951 3906
15039 5186
33470 4202
56142 3909
33470 3877
33470 5866
56142 5501
56142 5732
33470 3933
33470 4074
56142 3917
33470 4257
56142 4150
56142 5124
33470 6135
56142 4040
33470 4277
56142 4121
33470 3899
56142 3924
33470 3955
56142 4471
33470 7777
2750 5397
31565 3975
2750 3942
2750 4409
31565 3981
31565 5644
2750 3923
2750 5028
31565 5421
2750 4021
31565 4045
2750 4172
31565 3894
31565 4043
2750 4999
31565 5468
2750 5688
2750 3901
31565 4106
2750 4465
31565 3871
2750 3908
45759 3918
6988 5366
45759 3959
45759 6256
6988 4148
6988 5265
45759 17
45759 0
6988 6833
45759 4037
6988 5305
6988 5563
45759 3939
6988 4056
45759 3901
6988 4662
45759 4079
6988 4390
45759 4363
6988 5994
45759 3929
39591 5250
47981 3873
39591 4588
39591 4304
47981 3962
47981 5121
39591 1312
39591 0
47981 6088
39591 4328
47981 4124
39591 4115
47981 4097
47981 4215
39591 4144
47981 4013
39591 4912
47981 5506
39591 3928
47981 6116
39591 3978
47981 3764
39591 4923
8870 3909
56172 3989
8870 3793
8870 6701
56172 4698
56172 6903
8870 4151
8870 4345
56172 3938
8870 3956
56172 4871
56172 5288
8870 3744
56172 3927
8870 4257
56172 4124
8870 4291
56172 3955
8870 3931
56172 4768
8870 5428
43686 3962
31599 3970
43686 4167
43686 4339
31599 3964
31599 4995
43686 85
43686 0
31599 5613
43686 4043
31599 4544
31599 4069
31599 4045
31599 5110
43686 5176
31599 4002
43686 3878
31599 3912
43686 4818
43686 4302
4775 3925
7022 3934
4775 5084
4775 5791
7022 4255
7022 5101
4775 3972
4775 3959
4775 4230
7022 3930
7022 149
7022 0
4775 4418
7022 4014
4775 4094
7022 4009
4775 6809
7022 4195
4775 3846
7022 3961
4775 4821
64165 4835
31594 5258
64165 4042
64165 4905
31594 3909
51876 5005
47976 5406
51876 4042
47976 3928
51876 3956
47976 7164
51876 3927
47976 3919
51876 4043
29349 4376
56169 5102
29349 3960
29349 5767
56169 4049
56169 5050
29349 3938
29349 3955
29349 4123
56169 1201
56169 925
56169 0
29349 4077
56169 4236
29349 3874
56169 4147
29349 580
29349 0
23203 4093
31584 4901
23203 4383
23203 6030
31584 4714
56169 4070
29349 4013
31584 5152
23203 4088
23203 4955
23203 8168
31584 1916
31584 0
31584 4028
23203 4152
31584 4171
23203 3922
31584 4476
23203 5402
31584 5870
23203 3903
31584 4333
23203 4768
31584 6841
23203 4467
31584 4338
23203 5316
31584 5670
23203 3928
31584 4319
23203 4260
31584 6646
23203 3956
31584 4565
23203 3901
31584 4449
23203 5538
31584 5649
23203 4015
31584 4659
23203 4025
31584 6676
23203 6321
31584 4324
23203 571
23203 0
31584 3900
23203 3929
58018 3907
7009 4883
58018 5342
58018 4353
7009 4377
7009 5752
58018 67
58018 0
7009 4090
58018 6417
7009 4648
58018 4273
7009 3908
7009 4133
58018 4041
7009 4185
58018 4779
7009 5654
58018 259
27298 4108
47970 3971
27298 3901
27298 4490
47970 4133
7009 4202
58018 7149
47970 6729
27298 249
27298 0
47970 3884
27298 4038
47970 3907
47970 4036
27298 5731
47970 5562
27298 3914
47970 3924
27298 3927
27298 4275
53923 4020
56163 3881
53923 3967
53923 5493
56163 5280
47970 4050
27298 3880
56163 5147
53923 3933
53923 3921
56163 3842
53923 4059
56163 4973
56163 5383
53923 3937
56163 3961
53923 3892
56163 4013
53923 3401
53923 0
56163 3891
53923 4056
15009 5028
47975 3890
15009 4195
33440 4216
56166 3902
33440 4059
33440 5383
56166 5218
56166 2765
33440 8702
33440 0
56166 0
