flow_ID proc_time
40712 4379
46841 3930
40712 4066
40712 4730
46841 3951
46841 14160
40712 7770
46841 6265
46841 4093
40712 4057
40712 4145
46841 3953
46841 5107
40712 1542
9993 4415
55032 9196
9993 2016
55032 3909
46841 3888
40712 3834
55032 8149
9993 3970
9993 3995
55032 3971
55032 4023
9993 3965
9993 4009
55032 2521
9993 271
44809 4610
30459 5322
44809 3743
44809 4410
30459 3895
55032 4021
9993 3877
30459 5543
44809 132
30459 4548
30459 5555
44809 4417
44809 4219
30459 4064
30459 6535
44809 3933
44809 6335
30459 3975
44809 3786
5896 3824
5882 3795
5896 4789
5896 5507
5882 3783
5882 5162
5896 3822
5896 3998
5882 3835
5882 3953
5896 4233
5896 5013
5882 5152
5882 4046
5896 292
65290 3962
30462 3810
65290 3908
65290 4082
30462 3813
5882 3829
5896 3754
30462 7376
65290 376
30462 3966
30462 6578
65290 5460
65290 4121
65290 4188
30462 698
30462 4894
65290 921
18187 4426
5887 3798
18187 4350
18187 4099
5887 3850
30462 3815
65290 3743
5887 7501
18187 80
5887 3820
5887 3942
18187 3799
18187 5052
5887 5164
5887 4193
18187 397
5887 3903
18187 4067
53003 3943
46844 3962
53003 3952
53003 8323
46844 5304
46844 6382
53003 4318
53003 4663
46844 3936
46844 4056
53003 3944
53003 3960
53003 4031
46844 964
46844 5280
53003 3852
46844 4248
53003 3904
46844 3933
53003 4861
30474 3775
55037 3802
30474 3813
30474 4170
55037 3895
55037 7303
30474 165
55037 3868
55037 4120
30474 3815
30474 3929
55037 4029
55037 3894
30474 3312
24338 3873
30428 3920
24338 3852
24338 4874
30428 4032
55037 3897
30474 3990
30428 5165
24338 5038
24338 6437
30428 3934
30428 3926
24338 3962
24338 4066
24338 4049
30428 105
30428 4155
24338 299
59155 5231
5853 3975
59155 3977
59155 4213
5853 4527
30428 3842
24338 3877
5853 4734
59155 3928
59155 3870
5853 2710
59155 3789
59155 3938
5853 3826
5853 3837
59155 4026
59155 3801
28435 3792
46814 3904
28435 377
46814 5639
5853 3944
46814 5196
28435 38
46814 4663
46814 4158
28435 5675
28435 5429
46814 3927
46814 4011
28435 497
46814 3898
28435 3981
55058 3937
55007 3949
55058 4560
55058 4035
55007 7516
55007 6527
55058 487
55007 4340
55007 4018
55058 3966
55058 4190
55007 3894
55007 5501
55058 240
55007 4020
55058 3903
16144 3930
46811 3903
16144 3872
16144 6675
46811 5338
46811 5133
16144 3977
16144 4156
46811 3862
46811 4031
16144 3979
16144 4039
16144 5087
46811 1353
46811 3939
16144 346
34577 5567
55002 3936
34577 4394
34577 4246
55002 3952
46811 5158
16144 4336
55002 6869
34577 183
55002 3958
55002 4071
34577 4152
34577 3975
55002 3846
55002 4933
34577 2075
30425 6603
3857 3661
