flow_ID proc_time
21209 7065
25656 4173
21209 3984
21209 4852
25656 3798
25656 615
21209 5415
25656 6119
21209 10827
21209 6356
25656 7236
25656 3959
21209 1263
60120 6263
1081 3807
60120 4315
60120 4224
1081 4033
25656 3826
21209 3779
1081 7509
60120 597
1081 4393
1081 4031
60120 3941
60120 6388
1081 3901
1081 4035
60120 3868
60120 4955
25304 3955
42042 6281
25304 3899
25304 4330
42042 3828
1081 3775
60120 3759
42042 7416
25304 3954
25304 5648
42042 4001
42042 6245
25304 5214
25304 4547
42042 5177
42042 5307
25304 3969
25304 3921
42042 3806
25304 3770
56025 3930
50235 5161
56025 4099
56025 5861
50235 4027
50235 7498
56025 4933
56025 5261
50235 4056
50235 4010
56025 4244
56025 6520
50235 3817
50235 6422
56025 151
50235 4789
56025 5275
13019 6100
42047 6145
13019 4803
13019 4508
42047 4235
42047 7719
13019 4188
13019 4022
42047 3883
42047 8042
13019 4695
13019 5063
13019 5459
42047 449
42047 6344
13019 4758
13019 4086
35546 4028
50238 3712
35546 3933
35546 6790
50238 3994
42047 3942
13019 3898
50238 7977
35546 4909
35546 5409
50238 3937
50238 4054
35546 3908
35546 6411
50238 3987
50238 6430
35546 1965
50238 4068
35546 4411
730 3913
25661 3838
730 4920
730 5973
25661 4375
25661 7829
730 4938
730 5603
25661 3918
25661 4105
730 3945
730 6511
730 4170
25661 1416
25661 4114
730 4851
25661 3886
730 4757
25661 4170
730 4906
47835 5278
1084 4541
47835 3913
47835 4721
1084 4833
1084 6982
47835 4271
47835 6636
1084 4487
1084 6484
47835 3846
47835 4142
1084 5401
1084 5266
47835 558
21226 3918
25724 3784
21226 5337
21226 5871
25724 4044
1084 4067
47835 4093
25724 7631
21226 4050
21226 3952
25724 4276
25724 5058
21226 5474
21226 4159
21226 6733
25724 432
25724 5635
21226 3838
21226 3703
60139 3781
1149 3950
60139 4113
60139 8988
1149 3829
25724 3990
21226 3872
1149 7911
60139 5267
60139 5366
1149 4161
1149 4075
60139 3957
60139 6422
1149 4617
1149 5311
60139 1326
25323 4141
42110 3926
25323 4017
25323 4210
42110 5040
1149 5249
60139 4013
42110 8322
25323 4939
25323 3979
42110 4957
42110 5335
25323 3959
25323 6405
42110 3901
42110 4436
25323 699
42110 4882
56042 5216
50303 3980
56042 3803
56042 4081
50303 5432
50303 6986
56042 4088
56042 3940
50303 3805
50303 6306
56042 3811
56042 5014
50303 5733
50303 3919
56042 5315
56042 6687
50303 3834
56042 3927
13032 3817
42107 3924
13032 3846
13032 4268
42107 3837
42107 7355
13032 812
42107 4608
42107 5369
13032 3838
13032 5070
13032 6279
42107 3836
42107 4127
42107 4025
13032 4819
42107 5134
13032 3807
42107 3838
13032 3795
35561 3897
50298 3763
35561 4174
35561 6578
50298 4790
50298 7268
35561 4445
35561 4131
50298 5261
50298 5535
35561 4264
35561 6198
50298 3712
50298 6455
35561 3878
50298 6522
35561 3688
50298 6538
35561 3789
50298 6434
35561 4042
50298 6669
35561 5941
50298 6510
35561 5654
35561 5343
50298 4579
35561 3786
50298 6532
35561 4866
50298 31143
35561 27757
745 14177
25721 18368
745 6328
25721 3657
25721 8009
745 5063
745 3820
25721 3840
25721 6257
745 3748
745 6294
25721 3965
745 6338
25721 3670
25721 3763
745 3713
745 4929
47848 6167
1144 3912
47848 4048
47848 3865
1144 4564
25721 4736
745 5006
1144 7007
47848 3971
47848 3762
1144 3666
1144 6151
47848 3781
47848 6290
1144 4458
1144 3902
47848 3714
47848 3647
37614 3640
42097 3687
37614 4803
37614 5520
42097 3877
1144 3715
47848 3696
42097 7225
37614 3712
37614 3717
42097 3712
42097 4825
37614 6277
37614 3862
42097 6042
42097 6270
37614 3654
37614 4430
42097 3631
37614 3664
10991 3693
50288 3686
10991 4812
10991 5308
50288 3687
50288 7216
10991 3761
10991 5096
50288 4078
50288 3798
10991 3830
10991 6222
50288 3694
50288 6598
10991 3800
10991 3683
50288 3675
10991 3659
41711 3805
25715 3638
41711 3699
41711 6455
25715 3686
25715 7280
41711 3697
41711 4842
25715 5716
25715 3793
41711 3640
41711 6174
41711 3771
25715 4688
25715 3705
25715 5631
41711 4425
25715 3659
41711 3785
25715 3844
41711 3670
6894 6425
1138 3695
6894 3801
6894 4052
1138 3664
1138 7649
6894 3670
6894 3758
1138 3693
1138 6106
6894 3781
6894 3833
1138 3833
1138 6859
6894 3686
6894 3655
1138 3742
6894 3612
62188 4744
25718 5882
62188 3633
62188 3988
25718 3758
25718 7266
62188 3917
62188 3828
25718 4319
25718 5078
62188 3914
62188 5792
62188 6239
25718 3760
25718 3957
25718 3850
62188 3938
62188 3810
19181 4853
1143 5154
19181 3641
19181 3944
1143 3735
25718 3773
62188 4618
1143 7286
19181 4319
19181 3735
1143 3655
1143 6153
19181 3658
19181 4909
1143 5061
1143 4393
19181 3635
19181 4124
1143 4648
19181 3748
49901 5010
42100 3666
49901 3713
49901 4030
42100 3681
42100 7194
49901 3729
49901 3788
42100 4225
42100 6215
49901 3819
49901 3910
49901 6342
42100 4112
42100 3772
42100 6209
49901 4858
49901 4418
31468 3781
50293 3635
31468 3745
31468 6472
50293 3684
42100 3619
49901 3730
50293 7418
31468 3672
31468 6014
50293 4216
50293 3954
31468 3698
31468 6294
50293 3697
50293 4832
31468 1246
50293 3686
31468 3735
37601 3649
42085 3639
37601 3784
37601 6449
42085 3706
42085 7198
37601 3686
37601 3782
42085 5175
42085 5206
37601 3710
37601 6168
37601 3795
42085 3650
42085 3628
42085 6171
37601 3664
42085 3668
37601 3834
42085 3682
37601 3863
10976 4857
50276 4444
10976 4985
10976 3984
50276 3658
50276 7369
10976 5134
10976 3759
50276 3689
50276 3858
10976 4319
10976 6328
50276 3761
50276 6257
10976 3685
10976 3695
50276 3642
10976 3803
41696 4382
25703 3642
41696 5198
41696 5301
25703 3703
25703 7803
41696 4260
41696 5484
25703 3698
25703 3779
41696 4418
41696 6220
41696 6385
25703 3705
25703 4306
25703 3752
41696 6540
6881 4968
1126 3688
6881 3777
6881 4091
1126 3703
25703 4672
41696 5372
1126 7471
6881 5347
6881 3703
1126 4074
1126 6160
6881 3650
6881 6174
1126 3623
1126 3870
6881 3670
6881 3689
1126 6065
6881 3626
62179 3665
25698 3666
62179 3818
62179 5238
25698 3873
25698 7276
62179 3709
62179 3929
25698 4323
25698 6586
62179 4149
62179 4804
62179 5132
25698 3670
25698 3806
25698 6053
62179 3661
25698 3638
62179 3652
25698 3658
62179 3838
19170 3703
1123 4663
19170 5836
19170 3927
1123 3823
1123 7072
19170 6071
19170 3841
1123 4039
1123 3797
19170 4829
19170 5157
1123 3661
1123 4889
19170 898
49890 3755
42080 3698
49890 4452
49890 5437
42080 4998
1123 3667
19170 3601
42080 7435
49890 3867
49890 3800
42080 4653
42080 5107
49890 3831
49890 6163
42080 3683
42080 3744
49890 8
42080 6023
49890 3609
31459 3659
50273 3770
31459 3807
31459 5047
50273 3701
50273 7226
31459 4563
31459 3828
50273 3684
50273 6204
31459 3851
31459 4990
50273 5001
50273 3809
31459 3691
31459 4155
50273 4734
31459 5062
21221 3678
25704 3819
21221 3759
21221 3963
25704 4654
25704 7304
21221 5095
21221 3851
25704 3681
25704 6126
21221 3621
21221 4880
21221 5227
25704 3778
25704 4747
25704 6143
21221 4380
25704 3735
21221 3663
25704 4325
21221 5295
60132 5214
1129 3731
60132 3707
60132 4481
1129 4263
1129 7324
60132 167
1129 1
60132 3690
60132 3840
1129 3854
1129 6097
60132 3659
60132 3800
25316 3647
42090 3801
25316 3768
25316 6403
42090 3787
1129 3641
60132 4068
42090 7232
25316 5156
25316 3731
42090 4068
42090 3830
25316 4396
25316 5883
25316 6179
42090 3731
42090 4186
42090 3790
25316 4766
42090 5048
25316 3619
42090 3647
25316 3631
56037 3723
50283 4232
56037 3646
56037 6278
50283 3638
50283 7144
56037 3782
56037 4761
50283 5589
50283 3795
56037 3771
56037 6210
50283 3793
50283 3768
56037 3740
50283 4707
56037 5176
50283 3654
13031 3781
42095 3629
13031 3639
13031 6429
42095 3667
42095 7762
13031 4958
13031 3765
42095 4665
42095 5159
13031 3641
13031 6233
13031 6243
42095 4284
42095 4178
42095 3747
13031 4368
13031 3714
35558 4827
50286 5034
35558 4436
35558 3996
50286 3767
42095 3827
13031 3661
50286 7860
35558 5918
35558 3796
50286 3764
50286 6147
35558 3746
35558 4490
50286 4220
50286 5317
35558 4097
35558 3649
742 3636
25709 4640
742 5680
742 3967
25709 3668
50286 3698
35558 3643
25709 7205
742 3693
742 3891
25709 4307
25709 6293
742 4232
742 3830
742 6223
25709 3682
25709 3628
25709 3851
742 3692
742 4755
25709 5194
742 3600
47847 3647
1132 4197
47847 3722
47847 4966
1132 5110
1132 7967
47847 5973
47847 3828
1132 4201
1132 6176
47847 4246
47847 6181
1132 3736
1132 3933
47847 2018
37631 4974
42061 3804
