flow_ID proc_time
46772 5248
5288 8689
46772 5063
46772 5887
5288 11026
5288 14699
46772 11343
5288 6522
5288 5790
46772 350
5288 9292
5288 9944
46772 5765
40626 6774
46241 4695
40626 100
46241 6138
5288 4822
46772 8030
46241 7616
40626 6966
40626 9776
46241 2822
40626 502
46241 3773
40626 1843
46241 6190
46241 5124
40626 7270
9907 238
54432 7786
9907 7978
54432 6384
54432 6541
9907 7290
54432 6552
54432 7190
9907 5705
9907 6326
54432 5306
9907 6881
54432 6147
9907 8040
9907 5921
44723 4451
29859 4752
44723 5247
44723 4838
29859 6039
29859 7557
44723 6494
44723 7236
29859 1291
44723 2752
29859 3437
44723 6113
29859 6409
44723 4920
5810 6462
5282 5611
5810 4439
5810 4559
5282 8147
5282 8673
5810 7822
5810 5191
5282 280
5810 1233
5810 5429
5282 4964
5282 5776
5810 4880
5810 5468
65200 7197
29862 8125
65200 6778
65200 8976
29862 7523
5282 6274
5810 4691
29862 6700
65200 7022
29862 5363
29862 6000
65200 6922
65200 6358
29862 1531
65200 2319
29862 5080
65200 7312
18097 6461
5287 6212
18097 162
5287 6829
5287 6792
18097 2924
5287 4270
18097 6835
18097 4516
5287 2494
5287 4408
18097 6840
5287 19
18097 8404
18097 6467
52913 5085
46244 6551
52913 6621
46244 6662
46244 7421
52913 5257
46244 4333
52913 4230
52913 5569
46244 5792
52913 842
46244 7330
52913 7540
30384 4534
54437 5045
30384 4977
54437 6297
54437 9105
30384 6415
30384 9871
54437 5598
30384 4888
30384 6429
54437 8885
54437 2636
30384 1346
40637 5151
46261 5366
40637 5442
46261 7564
54437 5738
30384 5164
46261 5733
40637 2776
46261 2129
40637 6340
40637 7271
46261 1311
40637 2978
9916 5616
54452 7659
9916 1123
54452 5487
46261 7264
40637 5387
54452 6457
9916 2132
54452 5932
54452 7826
9916 5153
9916 9239
54452 8681
54452 6610
9916 2816
54452 5703
9916 4777
44732 6338
5302 3376
5302 4170
5821 8751
5302 6443
5821 7541
5302 5610
5821 5951
65215 4257
29874 5426
65215 2524
29874 4961
29874 8449
65215 6620
29874 2041
65215 4402
65215 5224
29874 7126
29874 8257
65215 5723
65215 7334
18110 5908
5299 6420
18110 2015
5299 5976
29874 4512
65215 4967
5299 8379
18110 4271
5299 2791
18110 5074
18110 5597
5299 5042
5299 8315
18110 6997
18110 5991
5299 5245
18110 3946
52926 4739
46256 6887
52926 2769
46256 6590
46256 7941
52926 7659
46256 3231
52926 5306
46256 6800
46256 7289
52926 6694
46256 4907
52926 6893
46256 6224
52926 5179
46256 8491
52926 5674
46256 10072
52926 8384
46256 4355
52926 4774
46256 9136
52926 7158
46256 6367
52926 4709
46256 6199
52926 4212
46256 6831
52926 4209
46256 6223
52926 5281
46256 6563
52926 8805
46256 5797
52926 4437
46256 4557
46256 5603
52926 7737
30399 4380
54449 6457
30399 5133
30399 4433
54449 7173
54449 9737
30399 8302
30399 8015
54449 6595
54449 4720
30399 4185
54449 4446
30399 4178
54449 5831
30399 8021
30399 6545
24249 4718
29880 5867
24249 1791
29880 4234
54449 7004
30399 4544
29880 5856
24249 6699
29880 5715
29880 8042
24249 3214
29880 2670
24249 4151
29880 7196
29880 5957
24249 4462
59064 4642
5305 7361
59064 6142
59064 6017
5305 4257
5305 9328
59064 6896
59064 5101
5305 3410
59064 1666
5305 1417
59064 2189
5305 8813
5305 5690
59064 4003
28344 4339
46266 4631
28344 7208
28344 4640
46266 6764
46266 8839
28344 5863
28344 6831
46266 5334
46266 6058
28344 2076
46266 5430
28344 8345
46266 261
28344 3203
54969 1436
54459 4710
54969 7083
54459 5119
54459 6539
54969 1695
54459 5145
54459 4864
54969 5828
54969 7395
54459 4770
54459 4847
54969 4037
16059 4098
46271 7179
16059 4164
16059 5714
46271 6922
46271 15282
16059 12644
46271 7920
46271 4547
16059 6224
16059 3374
46271 6812
46271 5152
46271 7300
46271 7280
16059 3673
34490 6428
54462 4030
34490 4219
54462 5170
54462 7924
34490 6832
54462 2491
34490 3870
34490 6290
54462 5153
54462 4829
34490 4045
34490 5950
3770 4584
29885 4843
3770 3186
29885 6565
29885 6894
3770 2766
29885 3961
3770 4358
3770 4652
3770 6584
29885 3278
29885 233
3770 6363
3770 2410
29885 6067
46779 6064
5308 4892
46779 3065
5308 7313
5308 5290
46779 3711
5308 3416
46779 5415
46779 6105
5308 4683
5308 1412
46779 5250
46779 7883
40611 5824
46237 3515
40611 1885
46237 6517
46237 5337
40611 4485
40611 7034
46237 6811
46237 5417
40611 4354
46237 7042
40611 5871
46237 3915
40611 6577
46237 8666
40611 5809
46237 7332
40611 5765
9890 3984
54428 6775
9890 4617
9890 5595
54428 6197
54428 6943
9890 6651
9890 6244
54428 5628
9890 6461
9890 5788
54428 5004
54428 8299
9890 6574
29855 6840
29855 7564
44706 6754
29855 1496
44706 861
29855 5564
44706 4820
29855 6297
29855 5019
44706 4852
29855 6952
44706 3506
29855 5994
5795 197
5278 6911
5795 5954
5278 6530
5278 5078
5795 3936
5278 5783
5278 6970
5795 4005
5278 4154
5278 7514
5795 4494
5278 7310
5795 4073
5278 6359
5795 7766
65185 5610
29850 5662
65185 4500
65185 4753
29850 4461
29850 8098
65185 6794
65185 8115
29850 5421
65185 4830
29850 5754
65185 5027
29850 4898
29850 4021
65185 7524
29850 2310
65185 10233
65185 8352
18080 6286
5275 4681
18080 4390
5275 4247
5275 8919
18080 8763
5275 6316
5275 4702
18080 4623
18080 5141
5275 6839
5275 6479
18080 6030
18080 7764
52896 6893
46232 5873
52896 4617
46232 4832
5275 8076
18080 4794
46232 5999
52896 6669
46232 1355
52896 4344
52896 4160
46232 4121
29840 7015
24231 5592
24231 6667
29840 5217
29840 8300
24231 6305
24231 8787
29840 1257
24231 4120
24231 2157
29840 2069
29840 3153
24231 3009
59046 4545
5265 5322
59046 6545
59046 6353
5265 4923
29840 6196
24231 3793
5265 7933
59046 6322
59046 5844
5265 4035
59046 1960
5265 3822
59046 4260
5265 4801
59046 5090
28326 4865
46226 5637
28326 7571
28326 4458
46226 4565
46226 6237
28326 5250
28326 5432
46226 4873
46226 6794
28326 6161
28326 1833
46226 5544
46226 3655
28326 3177
54951 3836
54419 6792
54951 6105
54951 6280
54419 4416
46226 5320
28326 5726
54419 7751
54951 6225
54951 5344
54419 4435
54951 3968
54951 4490
54419 2121
54951 1533
16037 7494
46231 5820
16037 4818
16037 4931
46231 7964
54419 5838
54951 6647
46231 9093
16037 3912
46231 5236
16037 4389
16037 4817
46231 5252
46231 7915
16037 6479
16037 4857
34468 6186
54422 6384
34468 3881
54422 7516
46231 7673
16037 5840
54422 5477
34468 6437
34468 6474
54422 717
34468 8377
34468 2237
54422 740
54422 2662
34468 5185
34468 6538
3748 7468
29845 5908
3748 5953
3748 6110
29845 5871
54422 5343
34468 3997
29845 8597
3748 6971
3748 5206
29845 7733
29845 5669
3748 5945
29845 2514
3748 4736
46757 6299
5268 8311
46757 1372
5268 3761
29845 3734
3748 5481
5268 7381
46757 6853
5268 2873
46757 4193
46757 4587
5268 2131
5268 7899
46757 5378
46757 5297
5268 4030
