flow_ID proc_time
27551 2358
47310 10559
47310 4075
47310 15044
27551 7356
47310 5914
47310 4129
27551 13175
27551 11922
47310 202
27551 4081
27551 6444
47310 10259
54174 3824
55503 3816
54174 2990
55503 8787
55503 8626
54174 11051
55503 6957
55503 4126
54174 5671
55503 7966
54174 4827
55503 3371
54174 6240
15260 3923
47307 3874
15260 10285
47307 5799
47307 705
15260 10167
15260 4149
15260 8907
47307 2330
15260 4900
15260 6442
47307 5506
15260 3757
33693 5693
55498 12537
33693 1464
55498 3942
55498 5877
33693 6349
33693 7988
55498 11546
33693 3418
55498 4111
55498 3757
33693 8060
33693 5395
2973 3913
30921 7578
2973 5440
2973 9100
30921 5104
30921 9954
2973 3629
30921 5909
30921 5886
2973 997
2973 1493
30921 3952
30921 4164
2973 417
30921 3885
2973 4387
45980 3364
6344 7069
45980 11373
6344 1611
45980 4406
45980 4152
6344 7759
45980 7125
45980 12030
6344 5790
45980 3915
45980 6629
6344 12521
45980 11723
39834 5569
47297 4137
39834 4188
39834 11093
47297 8395
47297 5614
39834 4352
47297 1649
39834 5344
39834 5233
47297 6249
47297 7918
47297 4044
39834 12740
9115 10025
55488 4445
9115 4495
9115 8912
55488 8161
47297 5577
39834 4446
55488 3703
9115 7373
55488 4963
9115 10063
55488 430
9115 3967
9115 10280
55488 5862
9115 3849
43931 3244
30915 12282
30915 5514
30915 11468
43931 4738
30915 626
43931 4521
43931 1653
30915 1292
30915 106
43931 927
5018 5659
6338 3995
5018 4339
5018 11404
6338 8995
30915 5493
43931 4286
6338 9991
5018 3370
6338 3953
6338 2210
5018 7109
6338 3919
5018 10331
64408 10195
30918 6518
64408 4179
17305 4244
6343 6627
6343 6575
17305 3923
17305 11215
6343 5829
17305 4819
17305 5660
6343 3232
17305 6455
6343 3856
17305 5028
52121 815
47300 4987
52121 5486
47300 3958
47300 7999
52121 137
47300 4056
47300 12726
52121 4664
52121 4305
47300 1713
47300 7346
52121 4659
47300 7009
52121 3776
29592 4015
55493 4206
29592 2931
55493 5321
55493 5142
29592 1970
55493 5513
55493 4009
29592 4382
55493 10157
55493 443
29592 11895
29592 3814
55493 20527
55493 12153
29592 10755
55493 14009
29592 12583
55493 7982
29592 6197
55493 5501
29592 4297
55493 5385
29592 5846
29592 6408
55493 11185
39829 4116
47317 4214
39829 3948
39829 13552
47317 11469
47317 9135
39829 8907
47317 1185
39829 3769
39829 6555
47317 1454
47317 4003
39829 6876
47317 3205
39829 3911
9108 1167
55508 11556
55508 3987
55508 9201
9108 2331
55508 3910
55508 11835
9108 3638
55508 4049
55508 6887
9108 3145
55508 3843
9108 5476
43924 6166
30935 11643
43924 7317
30935 3518
43924 3262
30935 4357
30935 11378
43924 3970
30935 3992
30935 4053
43924 7543
30935 3284
43924 3998
5013 6893
6358 8900
5013 5005
5013 4492
6358 6128
6358 7834
5013 4395
5013 7789
6358 7442
6358 12042
5013 2782
6358 3882
6358 7174
5013 3205
6358 7586
5013 3825
64407 6356
30930 6266
64407 1027
30930 12731
30930 6520
64407 3903
64407 10137
