flow_ID proc_time
38019 7479
24037 3815
38019 3906
38019 11509
24037 8834
24037 11383
38019 5176
24037 9948
38019 5159
38019 3939
38019 5737
38019 3856
24037 3888
24037 5118
38019 9549
24037 7852
38019 5633
24037 4017
38019 4022
24037 11423
38019 4296
38019 661
24037 3842
24037 55
38019 3828
42212 5259
40303 8191
42212 6161
40303 5331
40303 1269
42212 10792
42212 3830
42212 3831
42212 6402
42212 4584
40303 7593
42212 4405
40303 3906
42212 3962
40303 10564
40303 5309
42212 3934
40303 4024
42212 5054
40303 5370
40303 4249
40303 3749
42212 11193
38088 9058
23809 5717
38088 3760
38088 7348
23809 3940
23809 6744
38088 4244
38088 3885
38088 3956
38088 6310
38088 11090
23809 3835
23809 759
38088 4523
23809 10631
38088 4459
23809 4722
38088 4797
57886 5233
55007 11656
57886 5182
55007 4000
55007 8850
57886 4864
57886 4009
55007 4021
57886 4039
38088 3848
38088 11596
23809 5101
38088 5678
23809 3876
38088 3832
57886 4124
55007 10741
57886 6005
38088 3962
38088 3959
23809 4010
23809 6317
38088 7930
23809 11780
38088 4449
38088 3891
38088 3897
38088 3910
23809 4913
23809 1560
38088 7908
38088 3923
23809 3895
23809 4105
38088 3847
23809 11252
38088 1097
38088 7619
64794 6176
23809 8246
27681 5368
64794 4037
23809 952
64794 12993
38088 11387
40353 6406
27681 4228
27681 6533
64794 5090
27681 11079
64794 6
64794 5026
59623 3896
40353 6033
27681 1771
40353 4924
64794 3932
59623 5910
59623 6891
40353 3984
64794 5546
27681 4204
40353 4293
27681 4613
64794 5109
27681 7229
27681 6546
64794 4067
27681 11200
64794 10214
27681 9461
64794 15851
40353 153
27681 7432
64794 5843
59623 5308
40353 3862
59623 9210
40353 3974
59623 6132
59623 5124
40353 10927
59623 4504
59623 4763
40353 5022
59623 5403
59623 4553
40353 3887
59623 10342
40353 6023
59623 4391
40353 13011
59623 4869
59623 6667
40353 3903
59623 11306
59623 4425
40353 3855
59623 5327
40353 12804
59623 5188
40353 3785
59623 4378
59623 11177
40353 7440
59623 4456
40353 4497
38088 4939
38088 12682
23809 3511
38088 6180
42386 5319
33031 4116
42386 11136
33031 7204
33031 6618
42386 3976
42386 5857
33031 11968
42386 11414
38088 2978
23809 4048
23809 11111
38088 6866
38088 3899
38088 4097
42386 11404
23809 4682
23809 5252
38088 4046
38088 3989
38088 3940
23809 4726
23809 3872
38088 4839
30163 4050
33031 13904
42386 13288
38224 9786
30163 6333
30163 4901
38088 3830
38088 4827
38224 2448
30163 4533
38224 4305
30163 4108
23809 3664
38088 3883
45191 3975
30163 9796
52952 12274
45191 8228
45191 4964
40353 4041
38088 4719
42386 5495
64794 768
57886 3860
52952 11850
57886 7533
40353 4006
40353 6979
38088 1248
52952 8119
45191 5286
45191 4237
45191 4115
27681 5213
64794 9060
23809 10208
38088 6984
59623 4503
59623 4078
40353 3870
59623 4032
40353 11958
52952 878
52952 4209
38224 4233
45191 3977
45191 4214
52952 10426
45191 5532
30163 5395
33031 3865
42386 3890
33031 4501
42386 5163
55007 2443
57886 6157
57886 4036
55007 3955
57886 5021
38224 11395
30163 1574
25715 4122
23718 4071
25715 3820
25715 6548
23718 4078
23718 35
23718 5241
25715 1122
23718 11071
25715 3991
25715 4229
25715 4109
25715 10566
23718 3330
23718 5036
23718 5180
23718 6021
49480 4568
23593 11796
23593 3866
23593 4082
23593 4325
49480 2549
49480 3039
23593 4794
49480 5130
23593 4078
25715 11530
23718 7413
49480 4566
49480 3836
23718 5177
25715 8892
23718 10802
25715 8473
23593 6474
23593 4166
25715 3951
25715 3902
49480 11562
23593 1622
23718 3790
23718 4155
23718 4754
49480 5364
23593 4026
25715 5851
1137 3973
23718 619
25715 3843
40097 12689
1137 3112
40097 4059
40097 5325
1137 2703
1137 1671
1137 903
1137 4365
1137 4311
40097 4902
1137 3838
40097 4604
1137 4034
40097 12446
1137 4874
40097 4773
1137 3830
40097 4803
1137 5277
1137 13067
64559 8908
49474 4178
64559 3861
64559 5031
49474 4086
49474 5530
49474 9840
64559 6294
49474 4537
49474 5386
64559 5451
1137 4422
1137 4026
40097 3795
40097 3739
49474 3914
64559 6869
40097 4091
40097 4373
64559 4182
1137 11444
40097 9155
49474 1561
40097 3963
40097 3871
1137 7489
64559 743
1137 4016
1137 6782
40097 4933
49474 5563
49474 10621
40097 1579
1137 4248
64559 4001
64559 4644
1137 10415
40097 6527
49474 4748
40097 3980
40097 3821
49474 6615
64559 4003
1137 3893
49474 6885
49474 5354
64559 3945
49474 1420
64559 5279
49474 4265
64559 4930
49474 6055
64559 4027
49474 4308
49474 10379
49474 6556
49474 4639
64559 5787
49474 5409
64559 13002
49474 4312
64559 4883
49474 5538
64559 3856
49474 12803
64559 11030
49474 6660
64559 4019
49474 6338
64559 4980
49474 5448
64559 5346
49474 4338
64559 4391
49474 6283
64559 4005
49474 5449
64559 5393
49474 8870
64559 8714
49474 4577
64559 4031
49474 6185
49474 4340
64559 3996
49474 2667
64559 5233
49474 4273
64559 4483
49474 9609
49474 5566
64559 4006
49474 12001
64559 10682
49474 6215
49474 5353
49474 4795
49474 2526
49474 4553
49474 4784
49474 11525
49474 6888
49474 4248
49474 5324
49474 4470
49474 6844
49474 8976
49474 5469
49474 14949
49474 5497
49474 10312
49474 4482
49474 4602
49474 10290
49474 6525
49474 5402
49474 9844
64559 7103
49474 6803
49474 4509
64559 12612
49474 4366
49474 5562
49474 3567
64559 3780
49474 4223
49474 8541
64559 6414
