flow_ID proc_time
6169 5489
710 4956
6169 6228
6169 4760
710 3920
710 14817
6169 1018
710 5221
710 4112
6169 4900
6169 6453
710 9582
710 5286
6169 3916
6169 5366
61467 6294
25282 4046
61467 4130
61467 5809
25282 4632
710 5296
6169 4055
25282 7441
61467 173
25282 4353
25282 4088
61467 3905
61467 6441
25282 4639
25282 3986
61467 3895
61467 4736
18458 5373
707 5276
18458 4082
18458 6754
707 3788
25282 3828
61467 3775
707 7634
18458 3788
18458 3938
707 6089
707 6340
18458 3907
18458 5109
707 3795
707 5218
18458 4710
707 3806
18458 4236
707 3819
18458 4874
49178 5132
41664 3819
49178 3933
49178 4556
41664 3835
41664 7477
49178 4527
49178 3856
41664 3852
41664 6082
49178 4683
49178 4067
41664 4095
41664 6417
49178 5700
49178 3992
41664 6242
49178 3826
30747 4402
49857 3920
30747 4851
30747 7147
49857 4723
49857 7683
30747 360
49857 3829
49857 4006
30747 3799
30747 6307
30747 4960
49857 5258
49857 3819
49857 3905
30747 3686
30747 3821
20509 3866
25288 4794
20509 5582
25288 8149
20509 3781
20509 3903
25288 3784
25288 6341
20509 3783
20509 3933
25288 4889
25288 5557
20509 3835
20509 6771
59420 3957
713 3818
59420 4956
59420 5715
713 3800
25288 3900
20509 4075
713 7538
59420 3810
59420 4800
713 4269
713 4992
59420 5614
59420 4074
59420 6420
713 402
713 4118
59420 554
24604 4961
41674 5188
24604 3924
24604 4132
41674 3973
713 4806
59420 5071
41674 7374
24604 4136
24604 4068
41674 4064
41674 8120
24604 5359
24604 6467
41674 4146
41674 3971
24604 3816
24604 3805
41674 4813
24604 5109
55325 3790
49867 3838
55325 3844
55325 4122
49867 3984
49867 7366
55325 3981
55325 4017
49867 3817
49867 6316
55325 3930
55325 6276
55325 5259
49867 2458
49867 3854
55325 4587
55325 3817
12319 3925
41679 3806
12319 4813
12319 5494
41679 3810
49867 4506
55325 3866
41679 7398
12319 4639
12319 3902
41679 4003
41679 7298
12319 3822
12319 4432
41679 3815
41679 6682
12319 3835
41679 3811
41679 3937
12319 3831
34846 3974
49870 4945
34846 5591
34846 4269
49870 3905
49870 7708
34846 5309
34846 4072
49870 3979
49870 5570
34846 4518
34846 5405
49870 3921
49870 5524
34846 5615
49870 3911
34846 5920
49870 4100
34846 3914
30 3971
25293 4010
30 6198
30 5768
25293 3862
25293 7241
30 4677
30 6232
25293 4024
25293 3933
30 6194
30 3951
25293 3845
25293 4939
30 993
25293 3965
30 4269
47135 3918
716 3898
47135 813
716 4142
716 7291
47135 373
716 4106
716 5384
47135 4011
47135 39
716 1083
716 3957
47135 4537
47135 3937
36871 3907
41709 3990
36871 5452
36871 5696
41709 3958
716 3825
47135 3776
41709 7456
36871 4620
36871 5064
41709 4459
41709 7267
36871 3741
36871 3961
41709 3886
41709 6440
36871 3785
41709 6673
36871 3733
41709 6702
36871 3970
41709 6428
36871 3616
41709 6410
36871 3770
41709 7473
36871 4114
41709 6859
36871 4598
41709 6526
36871 3673
41709 4111
36871 4029
41709 6440
36871 3788
41709 6426
36871 3626
41709 6444
36871 3801
41709 6458
36871 3696
41709 6378
36871 2078
41709 3837
36871 3590
10246 3677
49900 3668
10246 3724
10246 5010
49900 5120
49900 7239
10246 3688
10246 3717
49900 3684
49900 6317
10246 3780
10246 6781
49900 3783
10246 6251
49900 3706
49900 3754
10246 3769
10246 3748
40966 4699
25327 5082
40966 3704
40966 4030
25327 3684
49900 3651
10246 4599
25327 8815
40966 6148
40966 3778
25327 3682
25327 6329
40966 3634
40966 3761
25327 4727
25327 5043
40966 3637
40966 3730
6151 3676
750 3813
6151 3677
6151 6303
750 4143
25327 3820
750 8009
6151 4961
6151 3835
750 3792
750 3807
6151 4636
6151 5148
750 3651
750 6119
6151 3735
6151 3756
750 3687
6151 3653
61445 3659
25322 3670
61445 3675
61445 6348
25322 3671
25322 7244
61445 5592
61445 4720
25322 5628
25322 3819
61445 3671
61445 6170
25322 3739
25322 4772
61445 925
25322 3626
61445 3603
18436 3745
747 4249
18436 3759
18436 6316
747 3684
747 7347
18436 3754
18436 3698
747 4809
747 5150
18436 3656
18436 7089
18436 3764
747 177
747 6070
18436 3683
18436 4428
49156 3659
41704 3679
49156 3709
49156 6638
41704 3871
747 3959
18436 3879
41704 7648
49156 5340
49156 5278
41704 3941
41704 4016
49156 3766
49156 6436
