flow_ID proc_time
46772 4515
5288 5071
46772 1427
5288 3929
5288 7679
46772 3918
46772 4012
5288 6536
5288 6424
46772 3933
46772 4051
5288 4225
5288 3947
46772 6592
46772 8450
40626 4235
46241 3919
40626 698
46241 5227
5288 4144
46772 4323
46241 7970
40626 3921
40626 4008
46241 3994
46241 4035
40626 6246
40626 4046
46241 4060
46241 4164
40626 3954
46241 4879
40626 6863
46241 3990
40626 4741
9907 4358
54432 4938
9907 5299
9907 4948
54432 4043
54432 7688
9907 3990
9907 4294
54432 3922
54432 4150
9907 7696
9907 5386
54432 3920
54432 4095
9907 6260
54432 4127
9907 5030
54432 5271
9907 4098
44723 4093
29859 3797
44723 5946
44723 5928
29859 3909
29859 4884
44723 3884
44723 6318
29859 3940
29859 4270
44723 4890
44723 5389
29859 4285
29859 4201
44723 4171
44723 5591
29859 5273
44723 3877
5810 3884
5282 3947
5810 3963
5810 5455
5282 5859
5282 11741
5810 4193
5810 3868
5282 3979
5282 4965
5810 5157
5810 4520
5810 4229
5282 4103
5282 4944
5282 5435
5810 4146
5810 4130
65200 3893
29862 6399
65200 4550
65200 4288
29862 4133
5282 3927
5810 6454
29862 7610
65200 4902
65200 10118
29862 4064
29862 4054
65200 3895
65200 6566
29862 5015
29862 4101
65200 4111
65200 6007
29862 5461
65200 7715
18097 3921
5287 3824
18097 3827
18097 4723
5287 6280
5287 7000
5287 4049
18097 4430
18097 5230
18097 5335
5287 3943
5287 3876
5287 4984
18097 5300
5287 4445
18097 4046
5287 4003
18097 4137
52913 6434
46244 3942
52913 3926
52913 5432
46244 4255
46244 7861
52913 4750
52913 6415
46244 4015
46244 3898
52913 6859
52913 6606
46244 4468
46244 4267
52913 6674
52913 3790
46244 4005
52913 4245
30384 4107
54437 5140
30384 5070
30384 4325
54437 3803
54437 7421
30384 4103
30384 3997
54437 3892
54437 6627
30384 3847
30384 4162
30384 4154
54437 3747
54437 6799
54437 4521
30384 3811
30384 4052
40637 6247
46261 4772
40637 5227
40637 4162
46261 3776
54437 3805
30384 7048
46261 7722
40637 6148
40637 3870
46261 3782
46261 3903
40637 6144
40637 3957
46261 3942
46261 3874
40637 6928
40637 4103
9916 4266
54452 4830
9916 5109
9916 4676
54452 3938
46261 4964
40637 5086
54452 5111
9916 4452
9916 6292
54452 3902
54452 4163
9916 5630
9916 5350
54452 3818
54452 3890
9916 4849
9916 5143
54452 3806
9916 4416
44732 7277
29879 5624
44732 3883
44732 4249
29879 4964
29879 7026
44732 3912
29879 4067
29879 6224
44732 3799
44732 3935
29879 3789
29879 6282
44732 4573
44732 3965
29879 4792
44732 5120
5821 3747
5302 3998
5821 3759
5821 5321
5302 5320
5302 7349
5821 5114
5821 3945
5302 3919
5302 4050
5821 6157
5821 4025
5821 4013
5302 6346
5302 4750
5302 3917
5821 3825
5302 6127
5821 3835
5302 4594
5821 4147
65215 3949
29874 6485
65215 4086
65215 4233
29874 3957
29874 7728
65215 4502
65215 6517
29874 3697
29874 3851
65215 3714
65215 4991
29874 5551
29874 3892
65215 3701
65215 4729
18110 5027
5299 3878
18110 4181
18110 3991
5299 6095
29874 3804
65215 3665
5299 7399
18110 3779
18110 5887
5299 6202
5299 3827
18110 3676
18110 4378
5299 4166
5299 6119
18110 3729
18110 3674
5299 3667
18110 6026
52926 4277
46256 3636
52926 4484
52926 6406
46256 3647
46256 7282
52926 3713
52926 6017
46256 3724
46256 3904
52926 6041
52926 3875
46256 3675
46256 6433
52926 3883
46256 6533
52926 5026
46256 6409
52926 3725
46256 6535
52926 3877
46256 5993
52926 5061
46256 6413
52926 3795
46256 6970
52926 5548
46256 6505
52926 3699
46256 6650
52926 3822
46256 6449
52926 3894
46256 6902
52926 4802
46256 6507
52926 6130
46256 6666
52926 3923
46256 6427
52926 4134
52926 3682
46256 4701
52926 5086
30399 3670
54449 3699
30399 4632
30399 6295
54449 4122
54449 7132
30399 4998
30399 3713
54449 3721
54449 7927
30399 5581
30399 4270
30399 6410
54449 3764
54449 6277
30399 3663
30399 4166
24249 3679
29880 4652
24249 4992
24249 4099
29880 3908
54449 3868
30399 3657
29880 7379
24249 3841
24249 3735
29880 315
24249 5513
24249 3810
29880 3685
29880 4766
24249 4995
29880 3665
24249 3926
29880 4087
24249 4315
59064 4698
5305 5130
59064 4310
59064 4110
5305 4164
5305 7251
59064 3741
59064 6337
5305 3687
5305 3812
59064 4653
59064 5350
5305 3709
5305 3883
59064 4636
5305 5037
59064 4419
5305 4215
59064 3769
28344 3717
46266 6144
28344 3682
28344 4140
46266 3706
46266 7104
28344 4701
28344 5682
46266 4185
46266 3962
28344 3720
28344 7167
46266 3678
28344 4009
46266 4691
46266 5812
46266 3701
28344 4220
28344 3765
54969 6123
54459 3664
54969 3745
54969 3966
54459 3688
54459 7354
54969 5239
54969 3974
54459 3882
54459 4046
54969 3824
54969 6485
54459 3650
54459 6120
54459 3682
54969 3975
54969 3722
16059 4153
46271 3659
16059 6090
16059 4026
46271 3705
46271 7072
16059 3658
16059 6000
46271 4126
46271 3915
16059 6062
16059 4403
46271 3817
16059 3769
46271 6238
46271 3712
46271 3639
16059 3652
34490 6037
54462 3772
34490 3838
34490 3980
54462 6142
54462 7359
34490 3629
34490 3741
54462 3836
54462 3777
34490 6915
34490 3818
54462 3754
54462 6141
54462 3775
34490 4154
34490 4299
3770 4684
29885 5140
3770 3692
3770 3941
29885 4428
29885 6817
3770 4076
3770 4279
29885 3721
29885 6139
3770 5005
3770 3950
3770 6189
29885 4110
29885 3854
29885 4823
3770 5071
29885 3773
3770 3747
29885 3661
3770 4727
46779 4985
5308 3634
46779 3685
46779 4479
5308 3783
5308 7391
46779 4161
46779 6083
5308 3655
5308 3767
46779 4357
46779 5337
5308 5075
5308 3794
5308 3658
46779 3692
46779 6077
40611 3640
46237 4308
40611 3859
40611 5173
46237 4998
46237 4905
40611 476
46237 3675
46237 3781
40611 3776
40611 6154
46237 3690
40611 3744
46237 4913
46237 5055
40611 4458
46237 3777
40611 4276
46237 6107
40611 3712
9890 4018
54428 3651
9890 3657
9890 6463
54428 3753
54428 7207
9890 3658
9890 6168
54428 3666
54428 3783
9890 3790
9890 3615
54428 13852
54428 5886
9890 4472
54428 3696
9890 3773
44706 6204
29855 3772
44706 3699
44706 4168
29855 4730
29855 7849
44706 3650
44706 6081
29855 4131
29855 3786
44706 3892
44706 6155
29855 4124
44706 6203
29855 3951
29855 3737
44706 3715
29855 3690
44706 3736
29855 4898
44706 5830
5795 3686
5278 3778
5795 3692
5795 4096
5278 6032
5278 7404
5795 4529
5795 3874
5278 4702
5278 5208
5795 3668
5795 3856
5278 6093
5278 3756
5795 3667
5278 4632
5795 5004
5278 3644
5795 3785
65185 3868
29850 4823
65185 5130
65185 4076
29850 4572
29850 6797
65185 4142
65185 3913
29850 4676
29850 5265
65185 3864
65185 6129
29850 3666
65185 3921
29850 5488
29850 4459
65185 4368
29850 4306
65185 4897
29850 5763
65185 3665
18080 3704
5275 3836
18080 5968
18080 3981
5275 3683
5275 7218
18080 58
5275 4219
5275 5291
18080 5055
18080 3955
5275 3747
5275 4697
18080 5436
18080 3648
52896 3827
46232 3635
52896 4264
52896 3986
46232 4690
5275 5154
18080 3635
46232 7255
52896 3715
52896 3706
46232 6164
46232 3816
52896 4399
52896 6179
46232 4369
46232 3751
52896 3756
52896 4792
46232 4960
52896 3792
30369 3789
54425 3663
30369 3800
30369 3922
54425 4638
54425 7262
30369 8
54425 3628
54425 6167
30369 3769
30369 3815
54425 4768
54425 5134
30369 3801
30369 3652
54425 3648
30369 4596
24231 5146
29840 3682
24231 4250
24231 4210
29840 4916
29840 6832
24231 3758
24231 3842
29840 4427
29840 4969
24231 5225
24231 3845
24231 6226
29840 4963
29840 5016
29840 3868
24231 179
59046 3710
5265 4643
59046 672
5265 3696
29840 3668
24231 3706
5265 7216
59046 1170
5265 3808
5265 3975
59046 3708
59046 6163
5265 3633
5265 6105
59046 346
5265 3677
59046 3603
28326 3618
46226 3718
28326 6486
28326 5364
46226 4071
46226 7136
28326 5045
28326 3925
46226 3857
46226 3848
28326 5269
28326 5164
28326 6807
46226 3781
46226 3684
46226 3865
28326 1383
54951 3643
54419 3825
54951 3768
54951 3804
54419 4762
46226 4975
28326 4380
54419 7832
54951 3745
54951 3783
54419 5129
54419 5359
54951 3819
54951 6208
54419 3692
54419 4297
54951 4370
54951 4235
16037 4776
46231 5074
16037 3742
16037 3997
46231 3663
54419 3701
54951 3722
46231 7348
16037 149
46231 6264
16037 3665
16037 3834
46231 5669
46231 4495
16037 364
34468 3700
54422 5505
34468 4544
34468 3944
54422 3843
46231 3644
16037 3603
54422 7240
34468 3684
34468 3707
54422 3659
