flow_ID proc_time
7814 6329
2834 4214
7814 3439
2834 4381
2834 1066
7814 25
2834 3831
2834 3920
7814 3899
2834 3937
7814 4892
2834 5490
7814 4798
2834 4001
7814 5120
2834 3969
7814 3768
63108 3910
27414 3812
63108 3929
63108 5755
27414 5133
27414 5098
63108 65
63108 4100
27414 108
27414 3926
63108 4812
27414 8514
63108 5731
27414 4038
63108 4876
63108 3794
20101 3812
2839 3744
20101 4827
20101 6330
2839 3840
27414 3928
63108 3732
2839 7740
20101 3945
20101 4823
2839 3777
20101 5289
2839 3835
2839 3985
20101 3832
2839 3999
20101 3845
2839 3858
20101 4862
20101 4774
2839 5149
20101 3767
50821 3935
43796 3814
50821 3858
50821 7111
43796 3789
43796 10251
50821 2319
43796 5231
50821 3983
43796 4308
43796 6395
50821 4808
43796 5036
50821 4612
43796 6340
50821 3791
50821 5529
43796 3821
50821 3752
32388 4284
51989 3920
32388 5067
32388 6648
51989 3838
51989 7419
32388 4189
32388 3844
32388 4379
32388 6334
51989 3797
51989 3782
51989 6312
51989 5428
32388 4533
51989 6366
32388 3774
51989 7065
32388 4616
51989 3798
32388 3794
51989 7069
32388 3931
38537 3899
43781 3787
38537 4456
38537 7283
43781 3935
43781 7395
38537 4154
38537 5305
38537 4080
43781 3924
43781 4107
43781 6507
38537 3795
43781 4948
38537 5214
43781 3900
38537 3884
38537 3918
43781 3892
38537 4897
11912 4185
51972 5228
11912 3878
11912 8091
51972 5423
51972 7105
11912 5650
11912 7012
11912 5224
11912 5031
51972 594
51972 3893
51972 3942
11912 5109
51972 5566
11912 3801
51972 5152
11912 7700
51972 3945
11912 4234
51972 3802
11912 3804
42632 3874
27399 3882
42632 4818
42632 5622
27399 4947
27399 7331
42632 3911
42632 4291
42632 6543
27399 47
27399 3919
42632 4184
27399 4127
42632 3821
27399 6664
42632 4135
42632 3813
7817 4957
2822 5339
7817 4799
7817 4786
2822 3882
27399 4822
42632 5223
2822 7353
7817 389
7817 5066
7817 6455
2822 3851
2822 3843
2822 4560
2822 4035
7817 3830
2822 6256
7817 3817
2822 3906
7817 3926
2822 4028
7817 3976
2822 5505
7817 5398
63115 3926
27394 3951
63115 3929
63115 6999
27394 6879
27394 7802
63115 5875
63115 4004
63115 4083
27394 4037
27394 4911
27394 5398
63115 4477
27394 6551
63115 3939
27394 3963
63115 3838
27394 4043
63115 3912
27394 4885
63115 5579
20106 3939
2819 3960
20106 3921
20106 7002
2819 4110
2819 7706
20106 4121
20106 5029
20106 5485
2819 3872
2819 3887
2819 6240
20106 4779
2819 3925
20106 4878
2819 6302
20106 3983
2819 3855
20106 3804
2819 4827
20106 3879
50826 4816
43776 5135
50826 3923
50826 7123
43776 3809
43776 7372
50826 3847
50826 3837
50826 6710
43776 3871
43776 3795
43776 6257
50826 3962
43776 3928
50826 3816
43776 6353
50826 3887
50826 3775
43776 3837
50826 3784
32395 4933
51969 5234
32395 3979
32395 6570
51969 3680
51969 7190
32395 4022
32395 5991
32395 6128
32395 3751
51969 4551
51969 4617
51969 5056
51969 3794
32395 4146
51969 6595
32395 3866
51969 3711
32395 3676
32395 3628
22157 3668
27400 4694
22157 5391
22157 6516
27400 4179
51969 3725
32395 3625
27400 7347
22157 3998
22157 4957
22157 5698
27400 4080
27400 3798
27400 6201
22157 3648
27400 3935
22157 4786
27400 6503
22157 4391
27400 6428
22157 3746
27400 6395
22157 3654
27400 6435
22157 3652
27400 4162
22157 3655
27400 6442
22157 3656
27400 6359
22157 3854
27400 6386
22157 3708
27400 6495
22157 4874
27400 6502
22157 3629
27400 6641
22157 3841
27400 6566
22157 3650
27400 6606
22157 4081
27400 6522
22157 3784
22157 3825
27400 3695
22157 3590
61068 3595
2825 3837
61068 8837
61068 5629
2825 3734
2825 7083
61068 3697
61068 3753
2825 3813
61068 6101
2825 3810
61068 6220
2825 3829
2825 3773
61068 4937
2825 5133
61068 4154
2825 4755
61068 3755
61068 5013
26252 3681
43786 3648
26252 3664
26252 6489
43786 3697
2825 3661
61068 3643
43786 7752
26252 3744
26252 3706
43786 3651
26252 4805
43786 5028
43786 3818
26252 6697
43786 3808
26252 3692
43786 3701
26252 3628
26252 3756
56973 4651
51979 5105
56973 3792
56973 6506
51979 3656
43786 3857
26252 3616
51979 7209
56973 3663
56973 5078
51979 3712
56973 3771
51979 3780
51979 6698
56973 3780
51979 6129
56973 4574
51979 3736
56973 3643
56973 4302
51979 3797
56973 4762
13967 5143
43791 3810
13967 4316
13967 6482
43791 4526
43791 7111
13967 4270
13967 4770
13967 5232
43791 3676
43791 3658
43791 5005
13967 5116
43791 3889
13967 3665
43791 6191
13967 756
43791 3632
13967 3651
36494 3652
51982 4777
36494 4853
36494 6678
51982 3644
51982 7189
36494 3673
36494 3684
36494 6238
36494 3768
51982 3742
51982 3686
51982 4817
51982 5185
36494 4517
51982 6270
36494 3709
51982 4426
36494 3800
51982 4113
36494 3683
51982 3877
36494 4642
1678 5088
27405 3688
1678 3680
1678 6474
27405 3831
27405 7123
1678 5266
1678 5439
27405 4629
27405 3904
1678 3648
27405 6121
1678 3824
1678 3842
27405 4657
27405 5144
27405 3794
1678 3785
1678 3805
48783 3645
2828 4704
48783 5241
48783 6608
2828 5460
2828 7231
48783 5069
48783 4481
2828 4034
2828 6175
48783 3656
2828 5765
48783 486
2828 4179
48783 4176
2828 3694
2828 3750
2828 3643
48783 4777
48783 3663
38531 4998
43805 3651
38531 3811
38531 6439
43805 3645
43805 7532
38531 6214
38531 4812
43805 3713
43805 5088
38531 4430
43805 6240
38531 3752
38531 3805
43805 4632
43805 5182
43805 3707
38531 2006
11906 4688
51996 5015
11906 3661
11906 6651
51996 5169
51996 7710
11906 3680
11906 3846
51996 3631
11906 6607
51996 3664
11906 6156
51996 4159
51996 3818
11906 3782
51996 6143
11906 3811
51996 3875
11906 4649
51996 5005
11906 3784
51996 3641
11906 3757
42626 3667
27423 3669
42626 4101
42626 6566
27423 3719
27423 7075
42626 6028
42626 4239
27423 3844
27423 4836
42626 5117
27423 4770
42626 3723
42626 6218
27423 3967
27423 3923
27423 4697
42626 38
7811 3690
2846 3662
7811 3651
7811 6477
2846 3746
2846 7756
7811 5538
7811 5046
2846 3694
2846 4222
7811 3761
2846 6139
7811 3916
7811 6135
2846 3810
7811 3892
2846 3799
2846 4866
2846 5076
7811 3684
7811 4402
63105 3780
27418 3831
63105 4359
63105 7016
27418 4682
27418 7358
63105 4909
63105 3805
27418 3803
27418 4800
63105 5143
27418 3787
63105 3671
63105 6584
27418 3839
27418 3805
27418 4716
63105 5242
63105 4296
20096 3683
2843 3690
20096 3673
20096 6683
2843 3798
2843 8278
20096 6136
20096 5131
2843 3727
2843 3857
20096 3631
2843 6251
20096 4858
20096 6306
2843 3788
20096 4851
2843 5114
2843 3732
2843 3688
20096 180
50816 3667
43800 4719
50816 4993
50816 5269
43800 5572
43800 7179
50816 6189
50816 3688
43800 3935
43800 6235
50816 3638
43800 3957
50816 4674
50816 5165
43800 3785
43800 6112
43800 3665
50816 3653
50816 3741
32385 3652
51993 3690
32385 3659
32385 6599
51993 5255
51993 7260
32385 5937
32385 3821
51993 3777
51993 6156
32385 3648
51993 3751
32385 3784
32385 6159
51993 3630
32385 6179
51993 4863
51993 3842
51993 3720
32385 512
22151 4651
27408 5118
22151 3640
22151 6443
27408 3701
27408 7951
22151 6026
22151 3711
27408 6726
22151 3928
27408 3835
27408 6336
27408 3878
22151 4564
27408 6215
22151 3833
27408 3892
22151 3697
27408 3710
22151 3624
61062 3653
2833 6187
61062 3847
61062 6457
2833 3767
2833 8208
61062 6426
61062 3776
2833 3642
61062 6168
2833 3753
2833 6167
61062 3671
2833 3787
61062 3655
2833 4757
61062 4995
2833 3801
61062 3622
2833 3789
61062 3764
26246 3680
43794 3823
26246 4981
26246 6435
43794 3756
43794 8244
26246 6206
26246 3747
43794 3673
43794 6592
26246 3669
43794 3825
26246 4707
26246 5265
43794 3822
43794 6216
43794 3675
26246 53
56967 3756
51987 3677
56967 3693
56967 7287
51987 4990
51987 7199
56967 5824
56967 3753
51987 3765
51987 6239
56967 3878
51987 3871
56967 3659
56967 6115
51987 3661
56967 6197
51987 3650
51987 3852
56967 4309
51987 4677
56967 5002
51987 3644
56967 3680
13957 3648
43799 3658
13957 3637
13957 7602
43799 3645
43799 8251
13957 6345
13957 3883
43799 3659
43799 4436
13957 4692
43799 5127
13957 3684
13957 6122
43799 3677
43799 3862
43799 3671
13957 4436
13957 3649
36484 4858
51990 5163
36484 3795
36484 6415
51990 4106
51990 7323
36484 5722
36484 3796
51990 5185
36484 5129
51990 3651
51990 6283
36484 3828
51990 3912
36484 3827
51990 6109
36484 3688
51990 3827
36484 6970
51990 4248
36484 5098
1668 5041
27413 3666
1668 3684
1668 6453
27413 3642
27413 7695
1668 5995
1668 4119
27413 4659
27413 5135
1668 3611
27413 6156
1668 3671
1668 3809
27413 5119
1668 5222
27413 5007
27413 5196
1668 3758
27413 4298
27413 3793
1668 3677
48773 5631
2836 5032
48773 3823
48773 6743
2836 4584
2836 7242
48773 4401
48773 3728
2836 4135
48773 6138
2836 3741
2836 6130
48773 3698
2836 3977
48773 3777
2836 6605
48773 5243
2836 3634
48773 4101
2836 3920
48773 3651
22152 4631
27396 3673
22152 5169
22152 6705
27396 4309
27396 7243
22152 6280
22152 4281
27396 3677
22152 6133
27396 4100
22152 6187
27396 3665
27396 6707
22152 4522
27396 3876
22152 3867
27396 6049
22152 3833
27396 3816
22152 3616
27396 3636
22152 3670
61065 3651
2821 4818
61065 5246
61065 5235
2821 5047
2821 7587
61065 5761
61065 3713
61065 6156
2821 408
2821 4966
61065 5006
2821 3794
61065 3730
2821 4742
61065 245
26249 3625
43782 3729
26249 3652
26249 6440
43782 3603
2821 3657
61065 3702
43782 7950
26249 5975
26249 3669
43782 3810
26249 6140
43782 3785
43782 3813
26249 3671
43782 6370
26249 3681
43782 3854
43782 4717
26249 4410
43782 4946
26249 3811
56968 3670
51975 3647
56968 3738
56968 6590
51975 4247
51975 7095
56968 5954
56968 5687
51975 3801
56968 3757
51975 2494
56968 4658
51975 4339
56968 4713
51975 3885
56968 3803
51975 3897
56968 4331
56968 3655
13962 3628
43779 3682
13962 3962
13962 6329
43779 4271
43779 7087
13962 4828
13962 3707
43779 3658
13962 3781
43779 4686
13962 5176
43779 3687
43779 6239
13962 4341
43779 3937
13962 4202
43779 6075
13962 4355
43779 3635
13962 3682
43779 4127
13962 3661
36491 3663
51970 3623
36491 4701
36491 6655
51970 4357
51970 7965
36491 6008
36491 4252
51970 3678
36491 6136
51970 3685
51970 6228
36491 3688
51970 3908
36491 3657
51970 6301
36491 4351
36491 4126
1675 3683
27393 3634
1675 3676
51970 4646
1675 5478
36491 5360
27393 3811
27393 7208
1675 3818
1675 4417
1675 6154
27393 473
27393 5219
1675 5009
27393 3783
1675 3757
27393 4720
1675 5148
1675 3752
48778 3659
2816 3643
48778 3657
48778 6422
2816 3695
27393 3753
1675 3602
2816 7257
48778 6254
48778 3824
48778 5321
2816 1949
2816 3793
48778 3674
2816 6676
48778 3680
2816 3707
48778 4341
48778 4773
2816 5089
48778 4125
38540 3642
43785 3638
38540 3666
38540 6564
43785 5029
43785 7373
38540 5824
38540 5954
38540 3771
43785 214
43785 5110
38540 3659
43785 6227
38540 4851
43785 6352
38540 3691
38540 4352
43785 3702
11917 3681
38540 3738
51976 3699
11917 4699
11917 6572
51976 4964
51976 6760
11917 4201
11917 3835
51976 3830
11917 6160
51976 3893
11917 6943
51976 3701
51976 4350
11917 3647
51976 6147
11917 4115
51976 4191
11917 4485
51976 6319
11917 4257
51976 3638
11917 3754
42637 3819
27403 3822
42637 4355
42637 6441
27403 3865
27403 7397
42637 6092
42637 3679
42637 4874
27403 158
27403 3750
42637 3767
27403 6155
42637 4180
27403 4942
42637 241
27403 3839
42637 3653
7820 4096
2826 3758
7820 4335
7820 6417
2826 4622
2826 7752
7820 5985
7820 3848
7820 4825
7820 5077
2826 3635
2826 3749
2826 3658
2826 6556
7820 3780
2826 3772
7820 4088
2826 6091
7820 3631
2826 3644
7820 3809
2826 3763
7820 3908
63118 3657
27406 4907
63118 5241
63118 6891
27406 3793
27406 7516
63118 6146
63118 3749
63118 6328
27406 4176
27406 3686
27406 6150
63118 3632
27406 3787
63118 3684
27406 6127
63118 3744
63118 3612
20111 3688
2831 3669
20111 4081
20111 6617
2831 4920
27406 6396
63118 3750
2831 7251
20111 3873
20111 6251
20111 6188
2831 3695
2831 4033
2831 3720
2831 4803
20111 5776
2831 3790
20111 3638
2831 6096
