flow_ID proc_time
34048 7450
3328 4247
23811 7256
22411 4952
3328 5389
63368 3926
34048 5834
3328 6459
34048 4477
22414 3957
23811 1409
63368 3287
22411 7084
22414 8500
22411 2090
3328 1582
3328 5404
63368 7303
34048 6919
63368 4482
34048 3936
22414 5112
22414 6393
23811 3969
22411 6509
3328 5494
3328 354
3328 5561
3328 5541
34048 4345
23811 3956
34048 5815
3328 7071
3328 168
23811 5207
3328 7031
63368 5301
22411 3829
22411 3786
3328 4230
63368 2423
34048 4491
22411 4863
22414 6947
22411 5574
34048 5538
34048 3807
22414 3830
22414 6213
23811 4011
22411 4078
3328 6103
22411 7354
3328 3941
22411 5104
3328 3887
23811 5403
22411 4018
22411 4000
22411 4169
3328 5019
22411 4753
22411 6352
22411 7326
3328 8069
63368 6484
34048 3800
22414 3916
23811 3761
3328 4929
3328 281
3328 78
3328 6828
22411 5009
22411 3945
3328 3794
22411 1555
3328 5365
3328 5214
22411 4045
3328 838
22411 5568
22411 3933
3328 4177
22411 7617
3328 5476
22411 4547
3328 3929
22411 6248
3328 4070
3328 4339
3328 4530
3328 6440
3328 5435
22411 3890
22411 6362
3328 4167
22411 5054
3328 4019
22411 6115
3328 111
22411 2978
3328 5716
3328 4058
22411 4001
3328 6542
22411 7457
3328 4011
22411 3889
3328 3902
3328 4213
3328 4105
3328 3925
3328 4075
3328 6852
22411 2605
3328 3797
22411 4319
3328 6115
22411 6031
3328 4231
22411 4037
3328 5223
22411 5585
3328 4976
22411 3909
3328 3947
22411 5222
3328 4402
22411 4259
3328 5029
22411 7572
3328 7063
23893 6416
44368 4089
6632 3918
23893 3535
6631 4912
44368 3798
44368 5424
6632 5978
6632 6952
23893 4536
6632 7993
23893 6933
6632 6811
23893 1024
23893 3926
6631 4205
6631 7751
44368 4616
6631 5472
44368 5274
44368 3949
44368 5059
6632 4173
6632 6408
23893 4120
6631 1588
44368 4075
44368 3898
6632 3902
6631 8672
44368 6925
3328 4731
3328 5353
3328 3990
3328 2829
3328 1047
22411 3931
22411 4052
3328 6678
22411 5587
3328 3918
22411 3817
3328 143
22411 8247
22411 4264
3328 4698
22411 6674
3328 5281
22411 5553
3328 3807
22411 3459
3328 6066
3328 4369
15513 4796
50966 4326
15513 7742
15513 5273
50966 3949
15513 5906
50966 8826
15513 6786
50966 3867
3328 4345
3328 3538
22411 3949
22411 4017
3328 4924
22411 7756
3328 4030
22411 3968
3328 508
22411 5174
22411 4525
3328 5019
22411 2857
3328 7711
3328 4063
22411 3924
22411 1053
3328 5364
3328 3921
22411 5034
3328 3823
63650 6323
22411 5310
3328 3971
22411 5545
32935 4213
5817 4931
63650 822
46773 4942
32935 4008
32935 4915
5817 6204
5817 423
63650 5275
63650 4892
46773 5329
46773 3076
32935 6567
32935 3752
5817 4379
46773 5971
3328 5357
3328 1260
3328 2746
3328 4191
22411 3918
22411 3323
22411 2619
22411 457
22411 4141
3328 6414
