flow_ID proc_time
14203 5052
43455 4470
14203 4017
14203 6699
43455 3960
43455 3181
14203 8787
43455 185
14203 4079
14203 4062
43455 3940
43455 5124
14203 3894
43455 5089
14203 9795
14203 6300
36730 3903
51646 3927
36730 3911
36730 5424
51646 9057
51646 5020
36730 3952
36730 4012
51646 4830
51646 4413
36730 3818
36730 3926
51646 3899
51646 4915
36730 3991
36730 5675
1914 3810
27069 3777
1914 3873
1914 4755
27069 3810
51646 4055
36730 3783
27069 7502
1914 406
27069 3861
27069 3918
1914 3821
1914 4254
27069 3838
27069 4000
1914 788
27069 5243
1914 3912
49019 6709
2492 4612
49019 4106
49019 4329
2492 3885
2492 5166
49019 1635
2492 118
49019 3958
49019 4623
2492 3896
2492 4010
49019 477
2492 4947
49019 5141
38755 5210
43421 3682
38755 4196
38755 4389
43421 3938
43421 7509
38755 4073
38755 5143
43421 5154
43421 3935
38755 3795
38755 3936
43421 3747
43421 4171
38755 3656
43421 3795
38755 3757
12130 6316
51612 5282
12130 3864
12130 4379
51612 4379
51612 4979
12130 4106
12130 4032
51612 3939
51612 4993
12130 5236
12130 4042
12130 4117
51612 3936
51612 4577
51612 4096
12130 4167
12130 4872
42850 5133
27039 3785
42850 3920
42850 4348
27039 4113
51612 3925
12130 4918
27039 6421
42850 4298
42850 3917
27039 6227
27039 4175
42850 3770
42850 6311
27039 3834
27039 3969
42850 3877
42850 3965
8035 3820
2462 4764
8035 5184
27039 3800
42850 3727
8035 4724
2462 4247
2462 6068
8035 5250
8035 4058
2462 4114
2462 4031
8035 3876
8035 4472
8035 4137
2462 5506
2462 5178
2462 4592
8035 3941
8035 3830
63329 3971
27034 3904
63329 3833
63329 5258
27034 10142
2462 5934
8035 3838
27034 4786
63329 3782
63329 3953
27034 5078
27034 5314
63329 3841
63329 3912
27034 3819
27034 3959
63329 4791
63329 3861
27034 5024
63329 5237
20320 4000
2459 4390
20320 3881
20320 4515
2459 3913
2459 7280
20320 3830
20320 3867
2459 3834
2459 3942
20320 3854
20320 3927
20320 4973
2459 550
2459 3900
20320 460
51040 3904
43416 4991
51040 5153
51040 4348
43416 4067
2459 3923
20320 3871
43416 5130
51040 4356
51040 6446
43416 4054
43416 4172
51040 3898
51040 4181
43416 3902
43416 4032
51040 4469
51040 4935
32609 5268
51609 3910
32609 4484
32609 4302
51609 4677
43416 3863
51040 4830
51609 5951
32609 4799
32609 3963
51609 3801
51609 3964
32609 577
51609 5264
51609 3974
32609 3924
32609 3826
51609 4134
32609 3889
22375 3919
22375 3743
61286 3803
2449 3774
61286 5427
61286 6077
2449 4669
2449 4643
61286 5517
61286 3976
2449 4310
2449 4962
61286 5156
61286 4016
61286 3882
2449 3920
2449 3900
2449 3782
61286 3891
61286 5490
26470 5043
43410 3778
26470 3768
26470 4238
43410 4617
2449 3716
61286 3588
43410 6964
26470 3878
26470 3707
43410 3662
43410 4234
26470 5013
26470 4007
43410 4695
43410 5076
26470 3763
43410 3688
26470 3698
43410 3816
26470 5572
57191 5092
51603 3794
57191 3774
57191 4083
51603 3669
51603 5981
57191 3773
57191 4995
51603 3710
51603 3824
57191 3818
57191 3823
51603 4102
51603 6468
57191 3884
51603 4086
