flow_ID proc_time
27551 4348
47310 4055
27551 4049
27551 4770
47310 4036
47310 15154
27551 6176
47310 6146
47310 4090
27551 4062
27551 5117
47310 5435
47310 4056
27551 421
47310 3923
27551 3829
54174 4004
55503 4336
54174 3856
54174 6714
55503 3808
55503 7320
54174 3983
54174 12588
55503 7673
55503 5537
54174 8160
54174 6404
55503 4841
55503 3941
54174 4915
55503 4033
54174 4931
55503 5877
54174 3918
15260 3975
47307 4082
15260 3829
15260 5273
47307 5295
47307 7365
15260 3899
15260 3869
47307 3931
47307 6305
15260 3820
15260 5020
47307 5129
47307 3872
15260 4470
15260 6142
47307 3829
15260 3875
33693 3910
55498 3890
33693 3829
33693 5350
55498 4256
55498 10134
33693 6438
33693 3869
55498 4059
55498 6326
33693 3941
33693 3968
55498 4446
55498 6410
33693 3923
33693 4807
55498 5283
33693 3824
2973 3983
30921 3819
2973 3839
2973 5409
30921 5176
30921 7430
2973 3803
2973 4444
30921 3867
30921 6295
2973 4032
2973 5013
2973 5847
30921 1027
30921 5753
2973 4029
30921 3986
2973 4025
30921 6970
2973 3941
45980 6310
6344 3941
45980 3918
45980 4505
39834 4805
47297 5165
39834 3816
39834 4934
47297 3850
47297 7980
39834 31
47297 3902
47297 3880
39834 4867
39834 5303
39834 8804
47297 15
47297 3868
39834 3947
9115 3960
55488 5007
9115 5155
9115 4312
55488 3835
47297 3755
39834 3749
55488 7558
9115 4062
9115 3829
55488 3837
55488 6426
9115 3872
9115 4004
55488 4792
55488 6006
9115 3864
9115 3785
55488 3846
9115 4820
43931 5709
30915 3776
43931 4363
43931 3975
30915 4270
30915 7343
43931 1614
30915 3858
30915 5099
43931 368
43931 4098
30915 3854
30915 3897
30915 3881
43931 557
5018 3815
6338 4815
5018 3808
5018 5621
6338 3799
30915 3791
43931 3799
6338 7331
5018 407
6338 3928
6338 4045
5018 4811
5018 5423
6338 3837
6338 4956
5018 578
64408 4012
30918 3795
64408 6399
64408 6749
30918 4716
6338 3887
5018 3795
30918 7131
64408 1943
30918 3978
30918 4586
64408 4346
64408 6396
30918 3931
30918 4009
64408 3992
64408 4046
30918 3939
64408 5119
6343 7553
17305 3920
17305 4113
6343 3939
6343 6536
17305 3935
17305 4099
6343 3927
6343 6387
17305 1428
6343 4381
17305 4020
52121 5039
47300 5129
52121 3793
52121 4155
47300 4133
47300 7457
52121 289
47300 3885
47300 3919
52121 4829
52121 5327
52121 6307
47300 4471
47300 4018
47300 3869
52121 3862
47300 3806
52121 4867
47300 5332
52121 3915
29592 4001
55493 3820
29592 5085
29592 5089
55493 5205
55493 7231
29592 4525
29592 6687
55493 4116
55493 6268
29592 3814
29592 4903
55493 4996
55493 7069
29592 5290
55493 7094
29592 4935
55493 6418
29592 3701
55493 6596
29592 3792
55493 6479
29592 4962
55493 6413
29592 3651
55493 6433
29592 4831
55493 6405
29592 4054
55493 6472
29592 3706
55493 6427
29592 223
55493 5172
29592 3587
39829 4561
47317 3674
39829 4622
39829 7426
47317 3851
47317 7746
39829 4535
39829 3914
47317 4249
47317 6209
39829 3645
39829 4931
47317 5096
39829 6234
47317 4238
47317 3883
39829 3735
47317 3658
39829 3745
47317 4661
39829 5146
9108 3667
55508 3687
9108 3663
9108 4068
55508 4805
55508 7129
9108 4943
9108 3831
55508 3679
55508 6273
9108 5108
55508 4431
55508 5252
9108 4481
55508 3692
9108 3658
55508 3648
9108 3660
43924 4669
30935 5025
43924 3675
43924 4120
30935 3648
30935 7830
43924 6522
43924 3848
30935 3748
30935 4878
43924 5405
43924 3788
30935 3760
30935 6147
43924 3672
30935 3838
43924 3796
30935 3699
43924 3798
5013 3666
6358 5652
5013 5037
5013 4309
6358 4534
6358 6844
5013 3888
5013 3936
6358 4273
6358 3791
5013 3634
5013 6157
6358 4095
6358 6124
5013 3821
6358 3772
5013 3823
6358 4070
5013 3850
64407 3834
30930 4870
64407 5285
64407 4362
30930 3782
30930 7400
64407 5079
64407 3800
30930 3656
30930 3963
64407 3683
64407 6156
64407 4734
30930 1525
30930 3773
64407 3647
64407 3855
17302 3614
6355 4703
17302 5284
17302 4854
6355 3688
30930 3719
64407 3795
6355 7345
17302 4145
17302 3764
6355 3683
6355 4767
17302 3749
17302 5151
6355 3643
6355 6284
17302 4275
17302 3678
17302 3617
52118 4671
47312 4994
52118 3719
52118 4101
47312 4620
47312 7174
52118 5295
52118 3722
47312 3755
47312 6139
52118 3611
52118 3963
52118 6125
47312 4092
47312 4138
47312 4450
52118 3699
52118 3691
29591 4629
55505 5021
29591 3712
29591 4181
55505 3671
47312 4114
52118 3728
55505 7425
29591 4919
29591 3842
