flow_ID proc_time
42021 5082
28011 4232
42021 4059
42021 7552
28011 3978
28011 14730
42021 4715
28011 3787
28011 4195
42021 4857
28011 5385
42021 4010
42021 3922
28011 3931
28011 3983
42021 642
7204 4504
3434 3804
7204 3826
28011 3831
42021 3753
7204 7247
3434 5148
3434 7484
7204 4620
7204 4042
3434 4118
3434 9281
7204 5420
3434 5367
7204 4057
7204 7080
3434 4794
3434 4049
7204 1261
62502 3900
28014 4929
62502 5223
62502 6996
28014 4000
3434 4105
7204 4037
28014 7558
62502 3847
62502 4108
62502 4084
28014 4211
28014 3914
28014 3997
62502 8945
28014 5418
62502 3884
28014 3999
62502 925
28014 3936
62502 5216
19495 5251
3439 6546
19495 4020
19495 7295
3439 4149
3439 7666
19495 4059
19495 3964
19495 6366
3439 3965
3439 3934
3439 6517
19495 3966
3439 4050
19495 3831
3439 6300
19495 1046
3439 4008
19495 3809
50215 3852
44396 3867
50215 3940
50215 7286
44396 3802
44396 7237
50215 4035
50215 3871
44396 3793
44396 6331
50215 3822
50215 4438
44396 4077
50215 3903
31782 5310
52589 5245
31782 5080
31782 7327
52589 3899
52589 7526
31782 4305
31782 3841
31782 6314
31782 6308
52589 3926
52589 62
52589 6437
31782 3773
52589 3947
31782 3886
52589 6329
31782 4055
31782 3947
21566 3873
27980 3934
21566 3891
21566 6747
27980 4091
52589 6359
31782 4941
27980 7853
21566 1633
21566 3896
27980 3787
27980 3772
27980 6249
21566 3791
27980 3953
21566 5150
27980 6576
21566 4272
21566 4715
27980 3905
21566 4214
60479 3799
3405 3803
60479 3883
60479 6627
3405 4954
3405 7321
60479 3971
60479 4313
60479 4155
60479 3995
3405 1260
3405 5164
3405 4055
60479 3892
3405 6482
60479 4764
3405 4312
60479 5365
3405 5178
60479 3807
3405 3883
60479 3813
25663 3815
44366 3809
25663 3791
25663 6727
44366 4509
44366 7364
25663 254
25663 5793
44366 610
44366 6383
25663 4158
44366 4041
25663 5807
44366 5439
25663 4062
25663 3964
44366 3936
25663 3958
56382 5193
52559 5177
56382 4166
56382 6641
52559 5947
52559 8033
56382 1132
56382 6691
56382 6937
52559 593
52559 3779
52559 6877
56382 3763
52559 3952
56382 5080
52559 5219
56382 3864
56382 3784
13372 3863
44363 3915
13372 3801
13372 6558
44363 4081
52559 4793
56382 5095
44363 7733
13372 6897
44363 4453
44363 4157
44363 4908
13372 5336
44363 4057
13372 4611
44363 4998
13372 4686
13372 5119
35901 3842
52554 3788
35901 3867
35901 6981
52554 3879
44363 3768
13372 3719
52554 8470
35901 632
35901 4935
52554 1249
52554 3873
35901 3821
52554 6684
35901 3789
52554 3822
35901 3751
35901 5031
52554 5142
35901 3735
1085 3799
27977 3761
1085 3746
1085 6915
27977 3726
27977 7238
1085 3967
1085 5779
1085 3859
27977 3683
27977 5028
27977 5149
1085 3687
27977 6141
1085 3877
27977 3801
1085 202
27977 5196
1085 3768
48188 3672
3400 3723
48188 3695
48188 6815
3400 3702
3400 7158
48188 524
48188 3830
48188 6118
3400 275
3400 3705
3400 5854
48188 4238
3400 3823
48188 3865
3400 4773
48188 5891
3400 3826
48188 3733
3400 3716
48188 3700
37946 3689
44353 3668
37946 3837
37946 7056
44353 3675
44353 8433
37946 689
37946 6352
44353 3702
44353 3729
44353 3821
37946 4722
44353 5189
37946 3713
44353 6408
37946 3764
44353 6413
37946 4411
44353 6430
37946 3648
44353 6451
37946 4955
44353 4173
37946 5095
37946 3839
44353 7029
37946 3755
44353 6521
37946 3673
44353 6468
37946 5096
44353 6424
37946 3652
37946 3705
44353 3672
37946 3728
11323 3694
52544 3689
11323 4756
11323 6795
52544 4518
52544 7012
11323 3762
11323 3737
52544 3787
11323 6257
52544 3639
11323 6211
52544 4152
52544 6156
11323 3851
52544 3846
11323 3786
52544 4875
11323 1235
42043 4110
27971 4176
42043 4233
42043 6927
27971 4478
52544 3835
11323 3592
27971 7233
42043 3943
42043 3805
42043 6162
27971 3654
27971 4049
27971 3811
42043 3632
27971 6946
42043 3704
27971 3740
42043 3702
42043 3714
7226 6924
3394 3886
7226 3644
7226 6717
3394 3805
27971 3679
42043 3617
3394 7205
7226 5402
7226 3912
7226 3782
3394 705
3394 5728
7226 3777
3394 6141
7226 3658
3394 3801
7226 3765
7226 3737
3394 3646
7226 4608
62520 4983
27974 3665
62520 3677
62520 6437
27974 4361
27974 6910
62520 3790
62520 3723
62520 6141
27974 3681
27974 3693
27974 6152
62520 4083
27974 3782
62520 4877
27974 5158
62520 3788
62520 3730
27974 3647
62520 3605
19513 4695
3399 4964
19513 3675
19513 6923
3399 3707
3399 7359
19513 4562
19513 4794
19513 5145
19513 5066
3399 3793
3399 5024
3399 4154
3399 3914
19513 3656
3399 6111
19513 3752
3399 3742
19513 4136
19513 5307
50233 5011
44356 3633
50233 3838
50233 6614
44356 3696
3399 3646
19513 3639
44356 7667
50233 3999
50233 3718
50233 4039
44356 64
44356 5350
50233 3823
44356 6947
50233 3686
44356 6236
50233 117
44356 3815
50233 3596
31800 3843
52549 3832
31800 3892
31800 4265
52549 3762
52549 7267
31800 4088
31800 3756
31800 4845
31800 5168
52549 3749
52549 3649
52549 3620
52549 4793
31800 5786
52549 3767
31800 3628
52549 4790
31800 5052
52549 3668
31800 3666
52549 3847
31800 3764
37941 3670
44373 3821
37941 4375
37941 6936
44373 5166
44373 7428
37941 4213
37941 3665
44373 3748
44373 6145
37941 3818
44373 3804
37941 4715
37941 5990
44373 3817
44373 454
37941 4339
37941 3693
11316 3614
52564 3645
11316 3758
11316 6729
52564 3663
52564 7434
11316 4056
11316 3725
11316 6240
11316 3814
52564 3634
52564 3689
52564 4076
52564 6339
11316 3867
52564 5795
11316 5044
52564 3745
11316 3701
52564 3736
11316 3632
52564 4776
11316 5315
42036 3818
27991 3671
42036 3781
42036 6443
27991 3888
27991 7052
42036 3858
42036 4748
27991 5017
27991 3756
42036 3635
27991 6136
42036 3650
42036 3894
27991 4786
27991 5313
27991 3701
42036 3645
42036 3756
7221 4680
3414 4973
7221 3858
7221 6331
3414 3816
3414 8050
7221 5
3414 4863
3414 5267
7221 3761
3414 6140
7221 3769
7221 6156
3414 3681
7221 3747
3414 3643
3414 3757
3414 3670
7221 4648
7221 5187
62519 3667
27986 3650
62519 3675
62519 6571
27986 3823
27986 7503
62519 458
27986 4984
27986 3731
62519 3655
27986 6149
62519 4355
62519 4818
27986 5007
27986 3800
27986 4111
62519 3639
19510 6821
3411 3639
3411 7104
19510 3972
19510 4825
3411 5042
3411 3825
19510 3679
3411 6199
19510 3661
19510 3802
3411 3664
19510 6171
3411 3710
3411 6111
3411 3777
19510 3909
19510 3710
50230 3662
44368 3670
50230 3683
50230 6499
44368 3630
44368 7742
50230 843
44368 4241
44368 4944
50230 5009
44368 4213
50230 3844
50230 6245
44368 3752
44368 4290
44368 5870
50230 4345
50230 3660
31799 3745
52561 3766
31799 3649
31799 6566
52561 3676
52561 7073
31799 5727
31799 5039
52561 4625
52561 3811
31799 4753
52561 5149
31799 3795
31799 6163
52561 3656
31799 3826
52561 4749
52561 5213
52561 3655
21553 5366
21553 6619
27992 5309
27992 7033
21553 6672
21553 3841
27992 3649
27992 7283
21553 5058
27992 3787
21553 4658
21553 5144
27992 4331
27992 4760
21553 3698
27992 4956
21553 3667
27992 3664
21553 3909
60464 3649
3417 3683
60464 3806
60464 6447
3417 4981
60464 3718
3417 3676
60464 6167
3417 4309
60464 4717
3417 5315
