flow_ID proc_time
57219 4638
51427 4024
57219 4017
57219 7344
51427 5247
51427 13909
57219 5375
57219 3966
51427 4080
51427 4016
57219 4052
51427 6533
57219 4983
57219 4271
51427 3946
51427 6565
57219 4082
57219 4404
14209 3850
43239 3993
14209 6466
14209 4608
51427 4074
43239 5827
57219 3866
43239 7422
14209 4105
14209 3918
43239 5351
14209 5374
43239 6030
43239 4514
14209 3970
43239 6320
14209 3916
43239 3875
14209 3885
14209 11658
36736 9939
51430 4851
36736 3981
36736 4383
51430 3946
43239 6342
51430 7476
36736 4891
36736 5536
36736 4101
51430 4067
51430 3884
51430 5316
36736 6224
51430 3991
36736 4467
51430 3978
36736 4835
36736 5384
51430 3895
36736 3778
1920 3822
26853 4811
1920 8010
1920 4392
26853 3795
26853 5988
1920 5309
1920 3928
1920 3948
26853 2927
26853 1306
1920 5274
26853 3924
26853 6599
1920 4689
1920 4327
26853 3940
1920 3751
49025 6179
2276 3795
49025 3977
49025 5284
2276 4719
2276 6899
49025 3886
49025 4188
49025 4080
49025 5146
2276 5247
2276 4180
2276 4610
2276 4024
49025 6375
2276 5574
49025 5395
2276 4030
49025 3955
2276 3881
49025 5745
49025 4246
22412 3933
26868 3858
22412 4958
22412 5698
26868 6078
26868 5217
22412 4887
22412 5473
22412 4208
26868 4562
26868 3954
26868 5268
22412 5201
26868 4007
22412 3952
26868 4096
22412 3995
22412 4859
61325 5749
2293 4021
61325 4063
61325 4681
26868 5089
2293 7459
22412 3850
2293 5217
61325 4639
61325 6155
61325 4178
61325 4184
2293 3894
2293 4888
2293 5381
2293 3979
61325 3883
2293 4056
61325 4895
2293 5707
61325 4188
2293 3861
61325 12847
2293 4050
61325 5374
26509 12028
43254 4045
26509 4155
26509 4948
43254 4975
43254 7563
26509 5148
26509 3878
26509 4149
43254 3999
43254 6556
26509 6024
43254 4023
26509 3905
43254 6460
26509 3902
26509 3896
43254 3896
26509 4016
57228 4891
51447 5235
57228 3904
57228 4753
51447 4154
51447 7430
57228 4303
57228 3955
57228 5125
51447 4608
51447 4576
57228 4679
51447 6324
57228 4005
51447 4005
