flow_ID proc_time
0 0
20942 1694
24588 4758
20942 7276
20942 0
24588 7087
24588 4409
20942 4242
24588 4223
24588 0
24588 918
20942 3208
59855 5051
13 4371
59855 3458
59855 0
13 5431
24588 4256
20942 4535
13 6747
59855 2447
13 3945
59855 4173
13 704
13 161
59855 485
13 0
13 1230
59855 1511
59855 2256
25039 1280
40974 4234
25039 0
25039 6100
40974 5855
40974 7583
25039 1034
25039 1321
40974 885
40974 1129
40974 0
25039 1898
40974 4298
25039 303
40974 4244
25039 3862
55758 200
49167 3989
55758 0
55758 4898
49167 5
49167 0
55758 966
55758 3130
49167 4247
49167 3331
55758 4063
49167 4249
55758 4023
49167 4145
55758 2280
49167 3943
55758 3865
12748 3899
40971 3805
12748 1175
12748 0
40971 5326
40971 5949
12748 770
12748 4082
40971 1490
40971 0
40971 4271
12748 4084
40971 1097
12748 1084
40971 4911
12748 4654
40971 7999
12748 7941
35277 182
49162 4021
35277 1494
35277 0
49162 4327
49162 4982
35277 1227
35277 937
49162 1
49162 0
35277 4340
49162 3019
35277 5675
35277 1980
49162 3803
35277 4492
461 911
24585 3790
461 0
461 4265
24585 30
24585 0
461 4892
461 2040
461 1755
24585 597
24585 4100
461 890
24585 4115
24585 3834
461 2858
47564 2285
8 5352
47564 207
47564 0
8 4283
24585 4410
461 4448
8 7195
47564 1527
47564 2381
8 1448
8 533
8 0
47564 4772
8 3992
47564 4863
8 4265
47564 2840
8 4249
47564 3945
37322 3967
40961 6609
37322 599
37322 0
40961 4506
40961 5131
37322 4525
37322 417
37322 4054
40961 2945
40961 0
40961 446
40961 2203
37322 1805
40961 1220
37322 789
40961 4269
40961 4606
37322 4368
10699 4191
49152 4531
10699 1437
10699 0
49152 4868
49152 5870
10699 331
49152 4109
49152 1548
49152 0
10699 5201
10699 3924
49152 4095
10699 3895
49152 3911
10699 808
49152 4355
41419 435
24579 4146
41419 2063
41419 0
24579 4928
24579 5943
41419 1210
24579 322
24579 0
41419 3891
24579 4069
41419 4649
24579 4265
41419 3127
24579 4475
41419 4943
6602 1088
2 6789
6602 0
2 4396
2 6254
6602 765
6602 2543
2 1716
2 158
2 0
6602 461
2 3897
6602 86
6602 1281
2 4475
61896 3921
24582 4082
61896 1717
61896 0
24582 4945
24582 8123
61896 5272
61896 4020
61896 2636
24582 1275
24582 0
24582 445
24582 3949
61896 5082
24582 2323
61896 788
24582 1271
61896 1920
24582 4887
61896 4049
18889 3953
7 5194
18889 4443
18889 4464
7 647
7 0
18889 3924
18889 4326
18889 4547
7 1937
7 374
18889 3909
18889 5191
7 4671
18889 4778
7 4341
18889 4422
7 4521
18889 4426
7 645
18889 5242
18889 3931
7 7569
18889 5696
7 4291
18889 4074
7 4950
18889 4271
7 4458
18889 5939
7 5664
18889 1046
18889 0
7 4092
18889 3893
49609 4799
40964 4464
49609 1391
49609 0
40964 3898
40964 4982
49609 1281
40964 3919
40964 6156
49609 5295
40964 4040
49609 4410
49609 4142
40964 3875
49609 6446
40964 1170
40964 0
49609 4285
40964 3989
49609 4379
49609 5047
31176 5268
49157 3866
