flow_ID proc_time
1642 5175
27261 5507
1642 5387
1642 4689
27261 3957
27261 14846
1642 6621
1642 4231
27261 6113
27261 4976
1642 5314
1642 3999
27261 4043
27261 4229
1642 4985
1642 5137
48747 4394
2684 7370
48747 3866
48747 5362
2684 5445
27261 4023
1642 3958
2684 6281
48747 5336
48747 3940
2684 4086
2684 4045
48747 3861
48747 6619
2684 5527
2684 4136
48747 3900
2684 3929
48747 5902
2684 5246
48747 4370
38515 4062
43613 4919
38515 6204
38515 4348
43613 3903
43613 5340
38515 4956
38515 5456
43613 4715
43613 4225
38515 4628
38515 5058
43613 8010
43613 4696
38515 3899
43613 6890
38515 5412
43613 5173
38515 4441
11890 3932
51804 3881
11890 6279
11890 4389
51804 4697
51804 4651
11890 11156
11890 6107
51804 3955
51804 4072
11890 3940
11890 5176
51804 5361
51804 4086
11890 3942
11890 3787
51804 4869
11890 5131
42610 3992
27231 3952
42610 4523
42610 5317
27231 5175
27231 5077
42610 3728
42610 7134
27231 5190
27231 4123
42610 3802
42610 4169
42610 6440
27231 3968
27231 3867
27231 3995
42610 4125
27231 4889
42610 6103
27231 4871
42610 4199
7795 3958
2654 4870
7795 5391
7795 4413
2654 3886
2654 7272
7795 6607
7795 4159
2654 4100
2654 4017
7795 3861
7795 6916
2654 3950
2654 4223
7795 3872
2654 4006
7795 6398
2654 3884
7795 6571
63089 4279
27226 3922
63089 4940
63089 5474
27226 4278
27226 5263
63089 5285
63089 5297
27226 4700
27226 4050
63089 4466
63089 5005
27226 5435
63089 4070
27226 4898
27226 4081
63089 4056
27226 6214
63089 3937
27226 3897
63089 4141
20080 4115
2651 4918
2651 5235
20080 3870
50800 4643
43608 4028
50800 4273
50800 6881
43608 4863
43608 7707
50800 4336
50800 4135
43608 525
50800 4421
50800 4141
43608 4116
50800 5089
43608 6083
43608 12591
50800 4653
43608 3907
50800 6281
43608 4109
50800 5741
32369 4680
51801 5118
32369 7621
32369 6183
51801 3927
51801 5485
32369 4795
32369 5416
51801 4180
51801 4061
32369 3787
32369 8407
51801 4496
51801 4163
32369 4601
32369 4059
22135 5036
27216 5256
22135 4797
22135 4649
27216 4941
51801 5455
32369 4032
27216 5611
22135 4461
22135 6469
27216 4176
27216 4086
22135 3984
22135 174
27216 6906
22135 4460
27216 6647
22135 4993
61046 5288
2641 3970
61046 4422
61046 4981
2641 4169
2641 7743
61046 3917
61046 4795
2641 4074
2641 5134
61046 5319
61046 4244
2641 3932
2641 4031
61046 5815
61046 5432
2641 4090
61046 3921
26230 4036
43602 5059
26230 5701
26230 10804
43602 4090
43602 6526
26230 5151
26230 5496
43602 4524
26230 5626
26230 6449
26230 6973
43602 4129
43602 4371
43602 5984
26230 5242
43602 6421
26230 3946
43602 4084
26230 4551
56951 3914
51795 6252
56951 3867
56951 4427
51795 3938
51795 6297
56951 5418
56951 4004
51795 4944
51795 4010
56951 5258
56951 5234
51795 3947
51795 4294
56951 4853
51795 5872
56951 3812
51795 5287
56951 5265
51795 4339
56951 3932
51795 6858
56951 3967
51795 9706
56951 4007
51795 6629
56951 4631
51795 5321
56951 5724
51795 4445
56951 3912
51795 6829
56951 3900
56951 4194
51795 4279
56951 4913
13941 5438
43607 3932
13941 3915
13941 4442
43607 5170
43607 7233
13941 4034
13941 4710
43607 5877
43607 6296
13941 5561
13941 6271
43607 4299
13941 6804
43607 4192
43607 4364
13941 4603
13941 4089
36468 5278
51798 8083
36468 4949
36468 4216
51798 4063
43607 5633
13941 5451
51798 5258
36468 3920
36468 4107
51798 6858
51798 4066
36468 4105
27221 3968
1652 6410
1652 4433
27221 4078
51798 4015
36468 3843
27221 7592
1652 4547
1652 4214
27221 4126
27221 7844
1652 5826
27221 4165
27221 7073
1652 5227
1652 5374
27221 4036
1652 3902
48757 3898
2644 4357
48757 7046
48757 4180
2644 4147
2644 5274
48757 5079
48757 5409
2644 4436
2644 4051
48757 4113
48757 6632
2644 4848
2644 4255
48757 3947
48757 4462
2644 6503
48757 3909
22136 3972
27204 4160
22136 4078
22136 5316
27204 5173
27204 5176
22136 3951
22136 5070
27204 5696
27204 6654
22136 4909
22136 4161
27204 4739
22136 3921
61049 3916
2629 4845
61049 5707
61049 4269
2629 4071
2629 5231
61049 5110
61049 5329
2629 3852
2629 3964
61049 3885
61049 6249
2629 3944
2629 3938
61049 3953
61049 4840
2629 6351
61049 3905
26233 3782
43590 3781
26233 6886
26233 6422
43590 3820
43590 5077
26233 4387
26233 4909
43590 5213
43590 4130
26233 3942
26233 8399
26233 5382
43590 5238
43590 4281
43590 4347
26233 3893
26233 5136
56952 5457
51783 3993
56952 3926
56952 4256
51783 6279
43590 5426
26233 3875
51783 5031
56952 3959
56952 4982
51783 5565
13946 3945
13946 4384
43587 4937
43587 7183
13946 3876
13946 4059
43587 5113
43587 5420
13946 4334
13946 8969
43587 4125
13946 5222
43587 6055
43587 3983
13946 4107
43587 3965
13946 5262
43587 5398
13946 4074
36475 4553
51778 4442
36475 5387
36475 5448
51778 3957
51778 4968
36475 4166
36475 9646
51778 2532
36475 3932
36475 3950
51778 3795
51778 6292
36475 4263
36475 4760
51778 4323
36475 3797
1659 5240
27201 6621
1659 5613
27201 4193
2624 3955
48762 4140
48762 9697
2624 3957
27201 3989
1659 4024
2624 8296
48762 4262
48762 4152
2624 4022
2624 4065
48762 5119
48762 6156
2624 4057
2624 4169
48762 4925
48762 5227
2624 3991
48762 3843
38524 3919
43593 8166
38524 5792
43593 4369
43593 5248
38524 5129
38524 5467
43593 4016
43593 4007
38524 3912
38524 5083
38524 5601
43593 3893
43593 3968
43593 8351
38524 5392
43593 3929
38524 3920
43593 3895
38524 4045
11901 5058
51784 5225
11901 5091
11901 4353
51784 4065
51784 7501
11901 4440
11901 3932
42621 5955
27211 4155
27211 5437
42621 3970
42621 6699
27211 7574
27211 4149
42621 3991
42621 4841
42621 6356
27211 4754
27211 4580
27211 4286
42621 4546
42621 6269
7804 4053
2634 3910
7804 4129
7804 5418
2634 5296
27211 3967
42621 3858
2634 5371
7804 4127
7804 6563
2634 4112
2634 4046
7804 3907
7804 6459
2634 3940
2634 4010
7804 4301
7804 4130
63102 4875
27214 8204
63102 4105
63102 5281
27214 9288
2634 7796
7804 5363
27214 5258
63102 3911
63102 3969
27214 4780
27214 5372
63102 3779
63102 3961
27214 3814
27214 4981
63102 5087
63102 3786
27214 3836
63102 3927
20095 4796
2639 5552
20095 3918
20095 4399
2639 5247
2639 7553
20095 4453
20095 4100
2639 4714
2639 5264
20095 5326
20095 4280
20095 4210
2639 4149
2639 5249
2639 5321
20095 7398
2639 4581
20095 3925
2639 5123
20095 5430
50815 3167
43596 10759
50815 4586
43596 3852
43596 7323
50815 3854
50815 4048
43596 3936
43596 6262
50815 3800
50815 4385
43596 3983
43596 5129
50815 5794
43596 4111
50815 5015
43596 5286
50815 3927
32382 3868
51789 3994
32382 5155
32382 6718
51789 4507
51789 5001
32382 3957
32382 6506
51789 6726
51789 4004
32382 3762
32382 3988
51789 6140
51789 4077
32382 3834
51789 4009
32382 3895
51789 8958
32382 14834
22130 8825
27228 4467
22130 3851
22130 4462
27228 6345
27228 5907
22130 3858
22130 3987
27228 5342
27228 5125
22130 4058
22130 4219
27228 4142
22130 6449
27228 4559
27228 4255
22130 4859
27228 5239
22130 4110
27228 3922
22130 4410
61043 7577
2653 5296
61043 3942
61043 4524
2653 3876
2653 7513
61043 3880
61043 3989
2653 3957
2653 4049
61043 6243
61043 4041
2653 4549
2653 4098
61043 4458
2653 306
61043 10411
61043 4530
26227 3905
43614 5087
26227 5552
26227 4378
43614 4613
43614 6243
26227 6910
26227 4015
43614 4036
43614 4051
26227 3982
26227 6410
43614 3953
26227 7134
43614 4816
43614 4133
26227 6302
43614 3917
26227 4047
43614 3881
26227 3928
56946 6430
51807 4134
56946 4561
56946 4857
51807 5275
51807 7714
56946 3924
56946 4209
51807 3943
51807 5681
56946 5557
56946 4371
51807 3324
56946 6642
51807 5601
56946 4016
51807 4415
56946 3918
13936 3925
43611 5482
13936 5051
13936 4421
43611 3822
43611 8453
13936 4575
43611 5965
43611 4113
13936 3825
13936 4034
43611 6364
13936 4004
43611 4047
43611 4111
13936 3824
43611 4824
13936 5170
43611 3963
13936 3856
36465 3780
51802 5497
36465 5156
36465 4252
51802 4568
51802 5620
36465 6368
36465 4045
51802 4556
51802 4191
36465 3848
36465 6772
51802 10892
36465 3861
51802 4017
36465 8233
51802 5121
36465 3821
1649 4018
27225 3962
1649 4806
1649 5639
27225 3771
27225 6022
1649 4051
1649 6296
27225 4422
27225 3931
1649 4006
1649 4920
27225 5347
27225 3844
2648 4920
2648 5371
48752 5302
48752 6282
2648 3880
2648 5023
48752 12711
2648 6650
48752 4119
38518 4556
43601 5080
38518 5727
38518 4896
43601 3954
43601 5970
38518 5137
38518 5448
43601 4274
43601 4132
38518 4225
38518 7011
43601 4138
43601 4685
38518 3955
38518 4039
43601 6248
38518 4011
11895 4431
51792 4021
11895 3932
11895 6716
51792 4079
51792 5330
11895 3954
11895 7351
51792 5447
51792 4557
11895 3942
11895 4802
51792 5604
11895 5465
51792 4473
51792 3990
11895 3937
11895 12854
42615 10523
27219 4918
42615 4637
42615 4165
27219 6320
7798 5368
2642 6665
7798 4101
7798 4386
2642 5013
2642 6745
7798 3954
7798 4268
2642 3941
2642 6403
7798 4147
7798 4020
2642 4058
7798 5032
2642 5979
2642 4197
7798 4316
7798 7346
63092 6211
27222 10888
63092 5302
63092 5745
27222 3976
2642 4020
7798 3941
27222 7693
63092 4258
63092 4018
27222 4306
27222 5015
63092 5287
63092 4519
27222 3917
27222 8591
63092 4913
63092 6288
27222 5382
63092 4096
20085 3947
2647 3876
20085 4898
20085 5607
2647 5050
20085 5335
2647 3931
20085 4094
50805 3913
43604 5042
50805 6050
50805 4130
43604 3937
43604 6170
50805 8207
50805 3943
43604 3906
43604 3965
50805 3912
50805 6810
43604 3983
43604 4064
50805 4414
50805 4086
43604 6342
50805 3925
32372 3881
51797 4112
32372 5848
32372 5782
51797 4247
51797 5054
32372 3951
32372 6334
51797 4966
51797 4281
32372 5329
32372 6752
51797 4535
32372 4025
51797 4157
51797 4191
32372 6347
38521 3924
43589 4098
38521 6280
38521 5641
43589 5198
51797 4135
32372 3876
43589 7016
38521 5649
43589 5686
38521 5746
43589 5573
38521 12035
43589 5598
38521 4059
43589 6776
38521 4042
43589 4339
38521 4835
43589 5448
38521 3987
43589 6929
38521 8251
38521 3954
43589 3779
38521 4772
11896 5256
51780 3820
11896 3828
11896 4155
51780 4825
51780 6719
11896 3860
11896 3862
51780 982
11896 4029
11896 4073
51780 4719
27207 4570
42616 4114
42616 5035
27207 8077
27207 4167
42616 3997
42616 5089
27207 5129
27207 4181
42616 4021
42616 3787
27207 3850
42616 6319
7801 3900
2630 3717
7801 3902
7801 4627
2630 5548
2630 5960
7801 3544
2630 6211
2630 6428
7801 4741
7801 4079
7801 3933
2630 4076
2630 6171
2630 4646
7801 3941
7801 4015
63099 3878
