flow_ID proc_time
65289 10079
30473 4599
24335 4076
28644 4774
24335 3909
53229 3895
30473 4481
24335 5407
30473 4899
28654 5146
65289 3953
65289 6057
28644 3995
28654 4701
28644 692
24335 10187
53229 8176
28644 0
24335 4943
28654 4412
28654 6457
65289 4667
24335 4067
28654 4440
65289 3913
53229 6245
30473 4125
53229 5562
30473 8405
28644 991
24335 4985
28644 4117
24335 3964
30473 4401
65289 4259
24335 695
24335 114
24335 0
24335 3926
28654 4050
65289 4000
28654 3941
65289 4615
24335 3973
24335 5018
65289 780
65289 0
28644 3866
28644 4069
24335 6544
53229 4040
30473 5011
53229 5368
30473 4367
30473 4079
24335 4058
24335 3953
30473 2663
30473 0
28654 4765
65289 3778
28644 3922
53229 3833
53229 4829
28644 5333
28654 4715
65289 3877
53229 3744
53229 3875
30473 4419
28644 4011
28644 1595
24335 4091
28644 670
28644 17
24335 3969
28644 4546
28644 364
24335 3865
13385 3909
51023 3834
13385 4887
13385 4491
51023 5175
51023 5772
13385 3994
51023 4011
13385 6642
51023 3950
13385 3903
13385 1734
13385 0
24335 310
24335 4000
24335 4007
24335 4026
24335 4097
28644 4657
28644 3956
28644 2301
24335 3898
51023 4319
13385 4333
51023 4087
51023 5120
13385 4000
28644 5036
28644 1113
28644 5533
24335 12864
28644 1036
28644 952
24335 3915
27359 3899
49765 4029
27359 7366
27359 5887
49765 4052
49765 5350
27359 3965
49765 4367
27359 3944
49765 5509
27359 1335
27359 0
49765 3984
27359 3997
27359 4075
27359 112
49765 3896
49765 641
49765 851
49765 0
27359 255
24335 3957
24335 4002
24335 4086
24335 4048
24335 3994
24335 7
24335 0
28644 725
28644 0
28644 4120
28644 6370
24335 4283
28644 4006
28644 4020
24335 3881
28644 166
24335 5087
28644 5749
28644 4129
24335 3883
28644 4139
24335 4077
24335 25
24335 4603
28644 3898
28644 5168
24335 332
49765 3876
28644 3897
28644 3982
28644 1057
28644 4352
24335 4034
28644 6413
24335 3944
28644 3902
24335 3954
28644 4294
24335 6280
28644 5181
24335 5425
28644 3939
24335 3906
24335 3975
24335 4125
24335 4204
24335 3992
28644 3880
28644 4004
24335 5372
28644 1503
28644 94
28644 4265
28644 4089
24335 3934
28644 4403
24335 4110
28644 4033
24335 4875
28644 5409
24335 4270
28644 4162
24335 3919
28644 3977
24335 4121
24335 3939
24335 4020
24335 999
24335 1395
24335 1001
24335 4079
24335 4366
24335 3983
28644 3890
24335 5286
28644 5475
24335 4081
28644 4094
24335 3846
28644 3919
24335 3922
28644 4145
24335 5067
28644 5499
24335 3913
28644 3970
24335 4478
28644 4011
24335 4275
28644 4131
24335 3935
28644 4911
24335 5227
28644 4258
24335 3871
28644 3934
24335 3849
28644 3991
24335 3947
28644 4096
28644 4890
24335 4033
24335 615
24335 0
24335 4150
24335 4241
24335 3924
24335 4024
28644 3877
28644 4154
24335 3909
28644 6048
24335 5475
28644 3915
24335 3891
28644 4691
24335 4052
28644 4116
24335 3853
28644 3924
24335 4041
28644 5563
24335 8755
28644 4182
24335 3915
28644 4018
24335 3854
26172 3941
50005 3915
26172 4041
26172 4421
50005 4028
50005 7739
26172 5130
50005 4302
26172 3902
26172 4038
50005 4546
50005 4010
50005 4973
26172 4158
26172 5290
26172 478
26172 0
50005 4389
50005 3901
50005 3907
50005 4167
50005 3911
26172 3910
24335 106
24335 894
24335 3994
24335 1371
28644 22
28644 0
28644 4199
24335 3904
28644 5094
24335 5569
28644 4059
24335 4565
28644 4080
24335 3964
28644 4236
24335 3894
28644 4122
28644 4496
24335 4737
28644 2060
24335 4066
29570 3913
48944 4122
29570 3885
29570 4355
48944 3925
48944 7677
29570 4643
48944 4328
29570 3862
48944 5010
29570 6329
48944 5285
29570 3900
29570 5333
24335 4079
28644 4338
24335 4166
28644 4089
24335 4633
28644 4904
24335 5249
28644 5390
1652 3867
32367 4454
28644 4086
24335 3923
28644 3949
24335 4219
28644 4012
24335 3983
28644 6921
24335 4127
28644 6810
24335 4067
28644 4090
24335 4050
28644 4298
28644 4093
24335 6106
48944 4092
48944 5354
48944 4295
48944 6791
29570 4026
48944 4321
29570 4889
48944 5850
48944 4304
29570 3947
48944 4311
29570 3871
48944 5714
48944 5716
29570 4267
48944 4856
48944 4299
48944 5301
29570 5330
48944 4448
48944 4676
29570 3896
48944 4359
48944 9006
29570 5387
48944 5291
48944 5818
29570 3971
48944 4317
48944 4453
29570 3924
48944 6732
48944 4369
29570 4059
48944 4334
29570 4039
48944 4502
48944 6754
29570 3985
48944 4282
48944 4291
29570 3857
48944 6663
48944 4322
29570 3906
24335 3959
28644 3932
24335 3897
29570 5114
28644 4039
28644 5522
24335 3934
28644 4163
24335 3962
28644 6341
24335 4250
10387 4075
28644 4399
24335 3935
28644 5298
24335 5435
24335 3912
28644 4190
24335 4076
28644 4702
24335 3927
28644 3890
24335 4091
28644 5078
24335 5294
28644 4083
24335 3916
28644 4001
24335 4032
28644 4079
24335 3872
28644 4098
24335 3904
28644 3938
24335 5375
28644 5391
24335 4068
28644 4269
24335 3919
28644 3915
24335 6386
57568 4106
32367 4126
4149 4479
28644 5029
32367 5929
24335 4007
28644 4261
24335 3956
28644 3957
24335 3901
16580 3900
1652 4110
1652 4604
25113 3896
48944 4930
48944 6164
29570 4388
48944 4326
29570 4506
48944 4351
29570 4380
48944 6669
48944 4562
29570 3912
48944 4513
29570 4384
48944 6606
29570 3923
48944 5270
29570 6312
48944 4323
29570 3919
48944 6793
29570 4014
48944 4267
48944 4558
29570 4006
48944 6724
48944 4329
29570 3954
48944 4318
48944 4456
29570 3907
48944 7052
48944 4816
29570 3984
48944 4290
48944 4836
29570 4894
28644 3931
48944 5628
29570 4276
48944 4284
48944 4305
48944 6925
48944 4381
29570 4123
28644 3975
24335 4262
37010 6740
22577 3905
49695 4127
57568 4065
57568 6237
32367 5225
57568 4284
32367 4194
32367 4185
63933 3892
10387 4177
12008 4073
25113 4111
16580 5005
16580 6537
1652 4792
16580 4290
1652 4099
48944 4487
48944 5395
29570 4177
35699 5329
4149 3903
48944 4659
48944 4320
48944 4719
48944 6830
48944 5194
48944 4338
48944 4556
48944 5201
48944 5542
29570 3900
48944 4167
48944 4304
48944 4199
29570 4809
48944 5693
48944 4238
48944 6676
29570 3804
48944 4491
48944 4440
12002 3988
49695 3884
39356 3782
37010 3881
57568 1603
57568 0
60285 3876
22577 4137
29570 3920
32367 3986
48944 4802
48944 4314
29570 4884
1652 8335
37010 4941
10387 4272
4149 4143
25113 4437
49695 4307
22577 4230
32367 4317
32367 4412
32367 5392
48944 5814
29570 4151
48944 4335
29570 4064
48944 5314
29570 4172
48944 6199
29570 4175
48944 4429
29570 4385
48944 4484
29570 4919
48944 5678
29570 4703
48944 4278
29570 3941
48944 4505
29570 3981
48944 6825
29570 5029
48944 6734
29570 4407
48944 4319
29570 5073
48944 5790
29570 4049
48944 4364
29570 3933
57568 4269
32367 4258
57568 4447
32367 5051
60285 3884
60285 7512
22577 6135
60285 4293
22577 3946
60285 4296
22577 4092
63933 7504
10387 4270
63933 4404
10387 4007
63933 4350
10387 3908
63933 4819
10387 7371
35699 4278
35699 6617
4149 4681
35699 4325
4149 3912
35699 4366
4149 4560
39356 6998
37010 4902
39356 4766
37010 3898
39356 4267
37010 4754
39356 4130
37010 5785
48944 5740
29570 3887
48944 4474
29570 4436
48944 4316
29570 4097
48944 5829
29570 4151
48944 5630
29570 4082
48944 6919
29570 4958
48944 4326
48944 7203
29570 3984
48944 6813
29570 5267
48944 4516
29570 3941
48944 4407
29570 4869
48944 5704
29570 5027
48944 4312
29570 4472
48944 4573
29570 3971
48944 6763
29570 3924
29570 5620
48944 4784
29570 3880
48944 5311
29570 4391
48944 5723
29570 3838
48944 4348
29570 4367
48944 4787
29570 4606
48944 6687
29570 3888
48944 4299
29570 4044
48944 4410
29570 4194
48944 8024
29570 5012
48944 6090
29570 4085
48944 4287
29570 3893
48944 4427
29570 5344
48944 6665
29570 4626
12002 4151
12002 4110
48944 4331
29570 3935
48944 5330
29570 5708
48944 4319
29570 4061
48944 4439
29570 3894
48944 4755
29570 5290
48944 6652
29570 4788
48944 4500
29570 4090
49695 3941
48944 4298
48944 6668
48944 4433
48944 4296
48944 4591
48944 6733
48944 6833
48944 4334
48944 4357
48944 4515
29570 4988
48944 6426
48944 4475
48944 4436
48944 4288
48944 8136
29570 3995
37010 3973
10387 4240
4149 4131
25113 3988
22577 4119
49695 667
49695 0
32367 3935
1652 147
1652 0
1652 3921
48944 4312
29570 3920
48944 5440
29570 3903
48944 5661
29570 3952
48944 4490
29570 7937
48944 4308
29570 3904
48944 6847
29570 3992
48944 4499
29570 4135
48944 4598
29570 4056
48944 5297
29570 3931
48944 5800
29570 4332
48944 4310
29570 3914
29570 3925
12002 5215
49695 5368
12008 3930
25113 3921
12008 4143
25113 4058
48944 4560
48944 4301
29570 6121
16580 5234
1652 3964
39356 4228
37010 3921
16580 4597
1652 6155
63933 4171
10387 3933
39356 4048
37010 4140
63933 4966
10387 4107
