flow_ID proc_time
27144 2129
47866 6081
27144 4628
47866 4082
47866 14270
27144 1985
47866 2684
27144 4963
27144 4142
47866 5066
47866 6324
27144 3948
27144 4787
53769 3971
56059 3972
53769 4122
47866 3890
27144 4867
53769 5671
56059 4034
56059 8155
53769 6078
53769 13973
56059 8458
56059 8171
53769 4269
53769 6667
56059 4076
56059 3997
53769 3953
53769 3900
14859 6041
47871 4918
14859 3967
14859 4592
47871 5116
56059 4115
53769 4809
47871 7182
14859 4313
14859 4038
47871 3885
47871 6395
14859 3768
14859 3924
47871 4850
47871 5214
14859 3812
14859 3829
47871 3972
14859 3779
33290 1254
56062 5
56062 10095
33290 8706
33290 3846
56062 3925
56062 3917
33290 4853
33290 5316
56062 3804
56062 6339
33290 3799
33290 3803
56062 3794
33290 4777
2570 5121
31485 3732
2570 4289
2570 4371
31485 3847
31485 8951
2570 7312
2570 3871
31485 4196
31485 6250
2570 4243
2570 3998
2570 6358
31485 4272
31485 3775
31485 4878
2570 5191
2570 3887
45579 3882
6908 5976
45579 3877
45579 5301
6908 5351
31485 3873
2570 3761
6908 7549
45579 5057
45579 5028
6908 5910
6908 4247
45579 3958
45579 6519
6908 4207
6908 4066
45579 34
6908 3973
45579 3794
23166 3783
31308 3962
23166 3961
23166 6604
31308 4306
31308 7637
23166 5948
23166 3832
31308 3811
31308 6231
23166 3794
23166 5059
23166 5424
31308 691
31308 4861
23166 5162
31308 3785
23166 3934
31308 3925
23166 3880
57983 3807
6733 3809
57983 3768
57983 6630
6733 3785
6733 10630
57983 8841
57983 4979
6733 5256
6733 4128
57983 4048
57983 6340
6733 3946
6733 4063
57983 888
6733 3899
57983 3742
27263 3808
47694 4006
27263 3817
27263 6582
47694 3890
47694 8250
27263 6320
27263 6347
47694 4160
47694 7341
27263 3024
27263 5106
47694 5325
47694 4038
47694 4002
27263 3918
47694 3898
27263 3942
47694 4940
27263 5232
53886 3947
55887 3964
53886 3989
53886 4438
55887 5926
55887 7063
53886 6236
53886 3998
55887 3973
55887 6398
53886 3893
53886 3996
55887 5406
55887 5218
53886 4235
55887 3814
53886 3918
55887 3928
53886 6599
14972 3935
47691 4956
14972 5219
14972 4964
47691 3868
47691 7773
14972 6321
14972 4032
47691 3896
47691 3990
14972 4891
14972 5286
47691 3928
47691 4951
14972 3960
47691 5183
14972 4186
47691 3895
14972 3977
33405 3949
55882 4321
33405 4998
33405 6618
55882 3904
55882 7226
33405 4893
33405 4891
55882 5184
55882 4128
33405 3940
33405 6340
55882 6245
55882 5332
33405 5097
55882 5207
33405 3918
55882 4079
33405 4379
2685 3948
31305 3861
2685 3920
2685 6787
31305 3913
31305 7905
2685 6232
2685 5318
31305 3968
31305 5538
2685 4072
2685 6387
31305 4048
2685 4197
31305 3939
31305 6469
2685 3857
31305 4342
2685 3970
31305 4020
2685 3934
45692 3988
6728 3908
45692 5541
45692 5696
6728 6314
6728 7873
45692 6523
45692 6195
6728 3973
6728 4045
45692 3890
45692 6548
6728 4065
6728 6738
45692 5345
6728 7344
45692 5626
6728 7301
45692 5636
6728 6961
45692 5349
6728 6516
45692 4566
6728 7879
45692 5910
6728 6616
6728 6459
45692 5204
6728 6934
45692 5149
6728 7051
45692 5180
45692 5039
39546 5029
47681 3668
39546 3873
39546 7266
47681 3640
47681 7287
39546 3808
39546 3793
47681 3664
47681 6135
39546 4206
39546 3787
47681 4780
39546 6622
47681 4546
47681 3746
39546 3685
47681 3676
39546 3744
47681 3793
39546 4634
8827 5023
55872 3797
8827 3666
8827 4614
55872 3655
55872 7234
8827 6874
8827 3754
55872 3685
55872 6333
8827 4257
8827 3797
55872 3712
55872 6248
8827 4538
55872 3745
8827 3822
55872 3934
8827 3688
43643 3655
31299 5281
43643 5019
43643 4274
31299 3646
31299 7814
43643 5996
43643 5029
31299 3751
31299 4266
43643 4232
43643 6159
31299 3909
31299 3822
43643 4639
31299 5035
43643 3687
31299 3665
43643 3690
4730 3723
6722 7531
4730 3725
4730 6500
6722 3667
6722 7753
4730 6295
4730 3733
6722 5591
6722 5208
4730 3667
4730 6145
6722 3813
6722 3802
4730 4626
4730 5037
64120 3758
31302 3794
64120 3688
64120 4260
31302 4785
31302 8673
64120 7095
64120 3997
31302 3838
31302 6101
64120 3714
64120 3811
31302 4698
64120 5148
31302 3764
31302 3740
31302 4669
64120 5043
64120 3798
17017 3646
6727 3781
17017 4444
17017 4955
6727 5923
6727 7110
17017 4790
17017 3712
6727 3692
6727 6125
17017 3710
17017 4982
6727 3660
6727 5118
17017 3823
6727 3636
17017 3682
6727 4666
17017 5069
51833 3658
47684 3727
51833 3690
51833 4066
47684 4871
47684 7142
51833 4124
51833 3885
47684 3825
47684 6182
51833 3681
51833 3867
47684 4824
51833 5112
47684 3737
47684 3829
51833 4438
47684 5560
51833 5370
47684 3680
51833 3729
29304 3684
55877 3642
29304 3742
29304 6456
55877 4415
55877 7536
29304 5774
29304 3724
55877 5172
55877 5184
29304 3691
29304 6136
55877 3782
55877 3762
29304 3722
55877 4801
29304 4992
55877 3677
29304 4145
39541 3741
47701 3674
39541 3692
39541 4949
47701 5999
47701 7270
39541 3836
39541 3722
47701 3960
47701 6804
39541 3686
39541 4826
47701 5064
39541 3819
47701 3704
47701 6082
39541 3729
47701 3655
39541 3648
47701 4102
39541 3872
8820 3661
55892 3845
8820 5146
8820 5300
55892 3698
55892 7689
8820 6450
8820 5165
55892 3720
55892 3859
8820 3712
8820 6278
55892 3659
55892 4813
8820 5051
55892 3633
8820 3668
55892 3768
8820 3862
43636 3788
31319 4258
43636 5255
43636 5351
31319 5999
31319 7271
43636 6874
43636 6097
31319 3672
31319 3775
43636 3834
43636 6263
31319 4046
43636 3903
31319 3702
31319 6184
43636 3704
31319 3674
43636 4740
31319 3816
43636 3733
4725 4682
6742 5023
4725 3818
4725 4153
6742 3683
6742 7293
4725 3702
4725 3738
6742 3663
6742 4804
4725 5071
6742 4365
6742 6283
4725 3801
6742 3659
4725 3806
6742 4293
4725 3725
64119 3659
31314 4708
64119 5051
64119 4093
31314 3667
31314 7687
