flow_ID proc_time
59672 4484
313 4406
59672 4090
59672 5574
313 5437
313 14140
59672 1344
313 4012
313 3897
313 6374
59672 4076
313 4025
59672 5281
313 6330
59672 4064
59672 4770
24856 4153
41274 3939
24856 5049
313 5311
59672 9673
24856 4708
41274 4901
41274 8034
24856 85
24856 6257
41274 636
41274 3907
24856 4784
41274 6382
24856 3914
41274 3979
24856 4831
41274 5174
24856 388
55577 3942
49467 4519
55577 3892
55577 7077
49467 3790
49467 7867
55577 4341
55577 4082
55577 4006
49467 6388
49467 5464
55577 5334
49467 4049
55577 6759
49467 4027
55577 3917
55577 3869
49467 4887
55577 5399
12571 3748
41279 3769
12571 3804
12571 6931
41279 4244
41279 7327
12571 4089
12571 5213
12571 3960
41279 832
41279 6396
12571 4826
41279 5061
12571 5760
41279 6363
12571 32
41279 3937
12571 3918
35098 4282
49470 7191
35098 3852
35098 7135
49470 3825
49470 7566
35098 3991
35098 5148
49470 256
49470 1150
49470 3915
35098 3897
49470 6221
35098 4689
49470 3868
35098 3762
49470 4775
35098 5163
49470 3777
35098 3801
282 4011
24893 3803
282 4278
282 6999
24893 4730
24893 6879
282 733
282 3906
24893 181
24893 4064
282 4822
24893 6394
282 3889
24893 7907
282 3891
282 5371
24893 3949
282 3802
47387 3918
316 3927
47387 3979
316 7475
47387 129
47387 4504
47387 6351
316 3888
316 54
316 6381
47387 3844
316 3953
47387 3857
316 6216
47387 3906
47387 3782
37123 3855
41245 3784
37123 3807
37123 6539
41245 3983
316 3946
47387 4748
41245 9374
37123 1625
37123 5019
41245 5134
41245 4315
41245 3911
37123 3781
41245 4109
37123 3846
41245 3948
37123 3831
37123 3996
41245 3758
37123 4247
10498 4614
49436 5407
10498 3849
10498 4718
49436 4360
49436 7544
10498 4307
10498 3811
10498 6253
10498 6614
49436 3782
49436 3790
49436 3914
49436 5531
10498 5499
49436 4079
10498 3784
49436 5852
10498 5241
49436 3929
10498 3792
49436 4243
10498 4607
41218 4032
24863 3962
41218 4035
41218 6657
24863 4794
24863 7422
41218 4354
41218 3958
41218 6742
24863 4190
24863 4087
24863 3926
41218 4938
24863 5313
41218 4180
24863 5084
41218 335
6403 4203
286 3924
6403 5046
6403 6749
286 4017
24863 4056
41218 3895
286 8049
6403 1952
6403 5049
286 4336
286 5254
286 4030
6403 4012
286 6361
6403 3893
286 4430
6403 3906
286 5415
6403 3914
286 5281
6403 3760
