flow_ID proc_time
16942 9853
51758 4595
39469 3864
1949 4029
16942 4972
42907 5184
39469 3907
42910 3932
51758 3927
39469 7863
16942 7118
51758 6496
42910 3876
42910 3842
42907 3810
42910 12651
51758 6952
42910 6953
51758 4308
1949 3976
42907 7548
39469 3807
42907 6617
39469 7440
1949 7498
16942 3861
1949 6566
16942 3801
42910 6562
51758 3789
51758 3983
51758 4864
51758 5715
51758 3875
39469 3899
16942 4382
39469 6398
51758 6210
51758 4030
16942 3910
51758 4915
51758 5194
51758 3780
51758 3994
16942 3914
39469 6736
51758 5098
39469 5358
16942 5002
51758 9435
42910 3989
42910 4070
51758 3995
42910 3884
42910 3890
42910 4339
42907 3892
42907 6640
39469 3913
39469 5139
39469 4586
42910 4744
1949 6410
16942 3949
16942 3946
16942 3869
42910 3923
1949 4002
16942 4042
42910 6395
51758 3873
42910 6543
51758 3870
42910 4022
51758 4868
42910 5333
51758 4039
42910 6442
51758 3962
42910 3912
51758 4294
51758 8655
51758 3909
51758 4047
51758 4990
51758 5149
42910 6709
42910 6365
51758 4264
42910 3859
55202 3815
1949 3792
16942 3761
42910 3811
42910 3815
42910 6578
51758 3920
42910 6362
42910 5579
51758 3807
42907 3789
1949 4873
16942 3862
42910 5270
51758 4345
39469 4312
42910 4893
51758 5143
42910 5059
51758 3972
42910 5136
51758 3818
42910 7831
51758 3822
42910 6345
51758 5092
42910 4348
51758 3801
57170 4004
42907 6711
39469 3919
42910 6913
51758 3975
1949 6548
16942 3911
1949 3896
16942 4948
42907 5732
42910 3979
42907 6479
39469 3916
42907 3899
42907 3936
39469 3890
1949 6316
16942 3774
1949 3791
16942 3796
42910 4031
42910 127
51758 4812
42910 5269
42910 3851
42910 6384
42910 4114
51758 4036
42910 6463
51758 4128
42910 3879
51758 3884
15518 4992
55202 5260
55202 7036
42910 5050
51758 5237
42910 4540
51758 4866
42910 5855
51758 3939
42910 4076
51758 3919
42910 6472
51758 3913
42910 3981
51758 4895
1949 5237
16942 4110
36958 3891
42907 3931
25294 3939
57170 3892
57170 7127
42907 3954
39469 4910
42910 5408
15518 6412
51758 3794
51758 4018
51758 4790
51758 5228
51758 3897
51758 4006
42907 4736
25294 5202
25294 3857
25294 7923
57170 3873
25294 6618
57170 3796
25294 6526
57170 3831
57170 3759
42910 3800
42910 3861
42910 3810
42910 3805
42910 4816
42910 3939
42910 5216
42910 403
42910 5250
42910 870
416 3967
36958 3777
42910 6360
51758 6903
42910 56
25294 3823
25294 3889
25294 5289
57170 5215
57170 4199
51758 3786
51758 5355
51758 5185
51758 4368
51758 3828
15518 7446
55202 3954
15518 6603
55202 3750
15518 6624
55202 3759
55202 3814
42910 3771
42910 3946
42910 4786
42910 5083
42910 4105
42910 2152
42910 6292
42910 1256
25294 3902
15518 5111
15518 6391
15518 3964
51758 3781
57170 4799
55202 4904
25294 4500
51758 3952
51758 4010
51758 4075
51758 6289
51758 3918
51758 3989
51758 4944
51758 5216
51758 3906
51758 3893
42910 4669
42910 5179
42910 3673
42910 3734
42910 4939
51758 3698
42910 7163
51758 4185
42910 3743
51758 4306
42910 3851
51758 4688
42910 6385
51758 3866
42910 5149
51758 6136
42910 3674
42910 3716
42910 3626
42910 3792
42910 3696
42910 5389
42910 5283
51758 3684
42910 6248
51758 3738
42910 3679
51758 4621
42910 5229
51758 3633
42910 6205
51758 3817
42910 3629
51758 4671
51758 5116
51758 3732
51758 3700
51758 4747
51758 11482
51758 4327
42910 3770
42910 3657
42910 4794
42910 5063
42910 4104
42910 3688
42910 4827
42910 958
42910 5113
42910 6335
51758 3639
42910 3725
51758 3701
42910 6161
42910 6167
51758 3801
42910 3672
51758 3675
594 3705
30859 4766
594 4958
594 6985
30859 3622
30859 7594
594 4203
30859 6766
594 4531
30859 6364
594 4592
30859 6250
594 4956
594 3966
30859 3750
30859 6121
30859 3691
594 3658
594 3797
594 7410
594 3735
594 3879
51758 3839
51758 6212
51758 3865
51758 3843
51758 6331
51758 3888
30859 3765
594 3611
30859 3796
51758 6104
42910 3845
42910 3702
42910 3715
51758 3842
42910 4704
42910 5993
42910 3717
42910 3905
51758 3712
42910 6203
51758 3685
42910 3745
51758 6036
42910 3826
51758 4400
42910 6786
51758 3827
42910 4852
51758 5668
594 5202
30859 3662
42910 3781
42910 6186
51758 3824
51758 3802
51758 3756
51758 3711
51758 4774
51758 5468
42910 3936
42910 5078
51758 3702
42910 6379
51758 5103
42910 3857
51758 4140
57407 3809
30859 3680
42910 3643
42910 3737
42910 4833
42910 5095
42910 3801
42910 3806
42910 3831
51758 4797
42910 6410
51758 3693
42910 4988
51758 3758
42910 5810
51758 3776
42910 5394
51758 3683
42910 6237
51758 3730
42910 3879
51758 3968
42910 6187
51758 3740
42910 3666
51758 4798
51758 5052
51758 3807
51758 4633
51758 6316
51758 3771
51758 3949
51758 4676
51758 5110
51758 3737
51758 3749
42910 1081
42910 3876
42910 3841
42910 4903
42910 6290
51758 3792
42910 5048
42910 3788
51758 6293
42910 3111
51758 5006
42910 507
42910 3759
42910 385
42910 6232
42910 6259
51758 3678
42910 3684
42910 5084
51758 4510
42910 5283
42910 5077
51758 5207
42910 4003
42910 111
51758 3682
9804 3694
51758 3988
44762 3861
9804 3674
51758 6158
51758 3811
51758 4945
51758 4680
51758 5146
44762 3686
44762 7576
9804 6073
44762 1116
9804 5369
9804 4242
44762 7665
9804 5113
42910 4253
42910 3686
42910 6088
42910 3801
42910 976
42910 4839
51758 5025
42910 5104
51758 5237
42910 3789
51758 3714
42910 6450
51758 4152
42910 6555
51758 3788
42910 3867
51758 3912
44762 3634
9804 3772
42910 7024
42910 3653
51758 3718
53956 3648
50723 3715
53956 3697
53956 6987
50723 5707
25367 3712
55728 4721
25367 5133
25367 6795
55728 3824
54741 3858
38852 3698
54741 3684
54741 6822
38852 3841
43037 3666
43103 4781
43037 4938
62407 3663
62407 4351
51758 4685
51758 5184
51758 3805
51758 4138
51758 6009
51758 3737
61146 3629
42910 3803
42910 3775
42910 5536
42910 5055
42910 3827
42910 3782
42910 4894
51758 3689
42910 6208
51758 4929
42910 4107
51758 4008
42910 3817
51758 4824
42910 5650
51758 3781
42910 5397
51758 4478
42910 3779
51758 3642
42910 6213
51758 3628
42910 4751
51758 5037
6034 3663
9018 3832
6034 3777
6034 6908
9018 4817
9018 4717
9018 7833
6034 5728
9018 6244
6034 3743
6034 4261
9018 3828
9018 6218
9018 6260
6034 3656
9018 3798
6034 3700
6034 6170
9018 3696
42910 6151
51758 3605
42910 6232
51758 3649
42910 3724
51758 3916
31055 3692
42910 4191
51758 5981
64461 3760
31055 3852
31055 6835
6034 1571
51758 3659
51758 6117
51758 4304
51758 5033
51758 4697
51758 5231
6034 3688
9018 6355
6034 3622
42910 3753
42910 3684
42910 4655
9018 5163
6034 3606
9018 4254
6034 3752
9018 3860
6034 3628
42910 3672
42910 3866
42910 4659
42910 6899
51758 5262
42910 6229
51758 3672
42910 3667
51758 3721
42910 6276
51758 3746
42910 6302
51758 3670
42910 4147
51758 3692
51758 3737
42910 7416
51758 3676
42910 3676
51758 3697
28838 3649
64461 4824
64461 5165
31055 3646
31055 3727
64461 3664
31055 3837
9018 3848
6034 4668
9018 3687
6034 4973
51299 3737
28838 3779
28838 345
51299 3929
64461 3634
28838 3673
51758 3654
51758 6170
51758 3687
51758 3702
51758 4623
51758 5243
51299 3669
51299 7429
28838 5399
51299 6482
28838 4084
51299 7438
28838 6222
51299 6455
28838 5298
42910 3778
42910 6265
42910 4240
42910 3745
42910 3658
42910 3710
42910 6352
51758 3659
42910 6179
51758 4640
42910 3670
51758 3779
42910 6348
51758 3644
42910 6236
51758 3683
42910 3806
51758 3861
42910 6432
51758 4035
42910 6577
51758 3695
42910 3728
51758 3906
62540 3649
55202 304
57407 5938
15518 5182
15518 3813
55202 3592
15518 3672
55202 4085
35913 4117
3626 3647
62540 3672
62540 2132
51758 5031
51758 3731
51758 3751
51758 219
51758 3684
44582 3738
35913 3780
42910 4684
42910 5006
35913 7310
42910 3814
42910 3924
42910 3725
42910 3724
42910 6457
51758 3785
51758 3625
42910 4117
51758 4014
42910 7163
51758 3794
42910 6487
51758 5301
42910 3662
51758 3685
42910 6185
51758 3816
42910 6202
51758 3789
42910 4165
51758 3859
36867 4169
3626 3735
3626 3710
62540 4938
6548 3666
36867 3670
36867 6802
3626 4137
62540 3713
6548 3908
6548 7679
36867 5474
6548 6552
36867 4548
6548 6490
36867 5179
36867 3815
44582 3988
44582 5753
35913 5142
44582 3676
6548 3712
6548 3953
36867 6191
35913 3958
6548 3622
44582 3725
6548 6545
36867 3987
51758 5040
51758 4397
51758 3869
51758 6104
51758 3735
51758 3799
42910 3783
42910 3655
42910 1227
42910 3851
42910 3800
42910 4802
42910 5053
51758 5172
42910 3654
51758 3857
42910 5644
51758 3646
42910 6232
51758 5069
