flow_ID proc_time
17508 4276
4715 4079
17508 4925
17508 6717
4715 3883
4715 14429
17508 1985
4715 3855
4715 3957
17508 4825
4715 4943
17508 5095
17508 4249
4715 3790
4715 5005
17508 5162
17508 3799
4715 3893
17508 3834
52324 3783
45672 4079
52324 6176
52324 5867
45672 11758
45672 7221
52324 4031
52324 4470
52324 8309
45672 5273
45672 3881
45672 4215
52324 4338
45672 6766
52324 4839
45672 4093
52324 5004
45672 5116
52324 5329
52324 4295
29797 3888
53865 3961
29797 3879
29797 7307
53865 4381
53865 7445
29797 453
29797 5058
53865 5496
53865 4202
53865 4051
29797 3938
53865 4052
29797 4966
53865 4147
29797 5240
29797 5520
53865 3902
29797 3871
23651 6845
29280 4032
23651 4782
23651 6654
29280 4290
29280 7320
23651 3935
23651 5345
23651 4054
29280 4273
29280 3889
29280 6285
23651 3930
29280 5065
23651 5401
29280 5376
23651 1052
29280 3894
23651 3837
58466 4015
4705 4027
58466 3923
58466 7299
4705 4901
4705 7790
58466 3932
58466 4421
58466 6358
58466 4020
4705 3902
4705 4936
4705 7648
4705 4074
58466 3764
4705 6298
58466 4123
4705 4103
58466 618
27746 5579
45666 3800
27746 4738
27746 7057
45666 3984
4705 4017
58466 3910
45666 7532
27746 848
45666 4053
27746 4019
45666 6064
45666 5366
27746 4906
45666 7058
27746 4035
45666 4050
27746 198
45666 4853
27746 5262
54371 3879
53859 3924
54371 7120
54371 7373
53859 3829
53859 7392
54371 799
53859 4375
54371 4736
53859 5800
54371 5316
53859 3912
53859 6678
54371 4065
53859 4534
54371 3800
53859 4855
54371 927
15457 3802
45671 4264
15457 4132
15457 6767
45671 3962
53859 3915
54371 4010
45671 7589
15457 4545
15457 3859
45671 3820
15457 6273
45671 3770
45671 3943
15457 6562
45671 4335
15457 4122
45671 3932
15457 3015
33888 4781
53862 5242
33888 4135
33888 4298
53862 4583
45671 3993
15457 3740
53862 7188
33888 3909
33888 4040
33888 6396
33888 6374
53862 3789
53862 4287
53862 4006
53862 6400
33888 3921
53862 4050
33888 3959
53862 4349
33888 1021
3168 3966
29285 3991
3168 4010
3168 6831
29285 6387
53862 4388
33888 3883
29285 7623
3168 3952
3168 4099
3168 5013
29285 1319
29285 4071
3168 3818
29285 6264
3168 3970
29285 3826
3168 3936
3168 5254
46177 5327
4708 4017
46177 4704
46177 6699
4708 4116
29285 3891
3168 3736
4708 7344
46177 382
4708 3904
46177 4174
4708 4969
4708 5429
46177 3957
4708 5214
46177 8688
4708 4029
46177 4320
46177 3892
4708 3984
46177 5185
23660 5253
29300 3787
23660 4378
23660 6885
29300 3909
29300 7334
23660 454
23660 6414
29300 170
29300 6382
23660 4058
29300 4140
23660 5257
29300 5404
23660 42
29300 3824
23660 5185
58477 5301
4725 3760
58477 3850
58477 6754
4725 3908
4725 7305
58477 4335
58477 7059
58477 5325
58477 4747
4725 5195
4725 3721
4725 3666
4725 3818
58477 3687
4725 6268
58477 3843
4725 3754
58477 4680
4725 5035
58477 3828
4725 3683
58477 3781
27757 3721
45686 3709
27757 3703
27757 6482
45686 3718
45686 7162
27757 4027
27757 3700
27757 4856
45686 69
45686 4498
27757 3663
45686 6074
27757 3763
45686 8536
27757 5951
45686 6543
27757 3631
45686 6593
27757 3659
45686 6586
27757 4992
45686 4293
27757 3916
45686 6414
27757 3803
45686 6426
27757 4035
45686 6427
27757 3781
45686 6887
27757 3819
45686 6540
27757 45
45686 3731
27757 3626
54380 3821
53879 3690
54380 3793
54380 6784
53879 4920
53879 6971
54380 3799
54380 3690
54380 6180
54380 6834
53879 3741
53879 3823
53879 3643
53879 4895
54380 3707
53879 5059
54380 3667
53879 4866
54380 5004
54380 4405
15470 3669
45683 4120
15470 3801
15470 6525
45683 4299
53879 3832
54380 3621
45683 7490
15470 3776
15470 3764
45683 3770
15470 6148
45683 3703
45683 4690
15470 3799
45683 6167
15470 3678
45683 3730
15470 3662
15470 5488
33903 5027
53874 4119
33903 3730
33903 6485
53874 3732
45683 3664
15470 3620
53874 8152
33903 4634
33903 3701
53874 3669
33903 5262
53874 4092
53874 5174
33903 3689
53874 6122
33903 3772
53874 3745
33903 3693
33903 3799
53874 3653
33903 4652
3183 5087
29297 3668
3183 3673
3183 6437
29297 3671
29297 7074
3183 3661
3183 4803
3183 5156
29297 290
29297 6901
3183 4481
29297 4772
3183 5119
29297 3903
3183 4111
3183 3806
29297 3706
3183 4649
46190 4981
4720 3693
46190 3639
46190 6590
4720 3691
4720 7233
46190 3655
46190 4702
46190 5174
