flow_ID proc_time
1642 4277
27261 10679
1642 6192
1642 5499
27261 3889
27261 15108
1642 6701
1642 4096
27261 7413
27261 4022
1642 4662
1642 5251
27261 5254
27261 4008
1642 3880
1642 3928
48747 6368
2684 3965
48747 3879
48747 4351
2684 4498
27261 4941
1642 5238
2684 9831
48747 3915
48747 6103
2684 5029
2684 4056
48747 3985
48747 6274
2684 3780
2684 3853
48747 4972
2684 5170
48747 3818
2684 3958
48747 3931
38515 4805
43613 5130
38515 3935
38515 4339
43613 3774
43613 7587
38515 3803
38515 4891
43613 4962
43613 5355
38515 4696
38515 5749
43613 4772
43613 4278
38515 3790
43613 6306
38515 3801
43613 3895
38515 6076
11890 3954
51804 5232
11890 5739
11890 4248
51804 3819
51804 7639
11890 5272
11890 4000
51804 3825
51804 3915
11890 5101
11890 5434
51804 3849
51804 4017
11890 4819
11890 6083
51804 3800
11890 4195
42610 3899
27231 6102
42610 3960
42610 4114
27231 3785
27231 7438
42610 3945
42610 4987
27231 5153
27231 4082
42610 4650
42610 3944
42610 6488
27231 7658
27231 5258
27231 3919
42610 4130
27231 4227
42610 4813
27231 5141
42610 4494
7795 3748
2654 3742
7795 4150
7795 5332
2654 3945
2654 4987
7795 5139
2654 3837
7795 4730
2654 3802
7795 4085
63089 5210
27226 5147
63089 3779
63089 4229
27226 3824
27226 10081
63089 5914
63089 4453
27226 3936
27226 3957
63089 4726
63089 6438
27226 3849
63089 3938
27226 4828
27226 5350
63089 3894
27226 4229
63089 3794
27226 5558
63089 5111
20080 4122
2651 3921
20080 3788
20080 5028
2651 5587
2651 7819
20080 3940
20080 4350
2651 3823
2651 6265
20080 3881
20080 3973
2651 5091
2651 6485
20080 4864
2651 3791
20080 6569
2651 5589
20080 5257
50800 3794
43608 3889
50800 3781
50800 5264
43608 5133
43608 7335
50800 3932
50800 3910
43608 3869
43608 5103
50800 5269
50800 3948
43608 3849
50800 4463
43608 3818
43608 4854
50800 5156
43608 3833
50800 4874
43608 3927
50800 5544
32369 5288
51801 4288
32369 3840
32369 4636
51801 4927
51801 6311
32369 4183
32369 6366
51801 6731
51801 4477
32369 3900
32369 6501
51801 7196
51801 3980
32369 6837
32369 3857
22135 3827
27216 3919
22135 4389
22135 6717
27216 3892
51801 3913
32369 5265
27216 7525
22135 3898
22135 4013
27216 3895
27216 6423
22135 3925
22135 3994
27216 4909
27216 5325
22135 4930
61046 5392
2641 3947
61046 3946
61046 4381
2641 7199
2641 7571
61046 4951
61046 5348
2641 4808
2641 4240
61046 4338
61046 6396
2641 4367
2641 5185
61046 5281
61046 3951
2641 3921
61046 3870
26230 4369
43602 5133
26230 5390
26230 4895
43602 4023
43602 7727
26230 3879
26230 5107
43602 5251
43602 3999
26230 3974
26230 4846
56951 5152
51795 3833
56951 4529
56951 4008
51795 4851
51795 7258
56951 4986
56951 4323
51795 3869
51795 3817
56951 3782
56951 6137
51795 3722
51795 6472
56951 5317
51795 6406
56951 4419
51795 6497
56951 3763
51795 6419
56951 3703
51795 6429
56951 3671
51795 6493
56951 5126
51795 4034
56951 4123
51795 6457
56951 3676
51795 7795
56951 4997
51795 6971
56951 3652
56951 3808
51795 6134
56951 3607
13941 3665
43607 3719
13941 3674
13941 5084
43607 4981
43607 7202
13941 5013
13941 3923
43607 3696
43607 4903
13941 5028
13941 3793
43607 3864
13941 6810
43607 4058
43607 3739
13941 4666
13941 5646
36468 3634
51798 4077
36468 3787
36468 5036
51798 5011
43607 3831
13941 3658
51798 7884
36468 5300
36468 5167
51798 6944
51798 3941
36468 4688
36468 6244
51798 3681
51798 3751
36468 3737
36468 4718
1652 6012
27221 3649
1652 3657
1652 4108
27221 3670
51798 6001
36468 3598
27221 7201
1652 3837
1652 3713
27221 4535
27221 4987
1652 5247
1652 4090
27221 3733
27221 3832
1652 6707
1652 3650
27221 4373
1652 3725
48757 3805
2644 6534
48757 4117
48757 4114
2644 3668
2644 7302
48757 4330
48757 4747
2644 5058
2644 3774
48757 3645
48757 6197
2644 4148
2644 3793
48757 3906
48757 5135
2644 5075
48757 3605
22136 3651
27204 3670
22136 4698
22136 5517
27204 3744
27204 7149
22136 3828
22136 3777
27204 4703
27204 5182
22136 3665
22136 3774
22136 6160
27204 3763
27204 3679
27204 5439
22136 4983
27204 4500
22136 3751
27204 3619
22136 4704
61049 5051
2629 3633
61049 3634
61049 4063
2629 3635
2629 7244
61049 4889
61049 5050
2629 3859
2629 3816
61049 4116
61049 6280
2629 3658
2629 3925
61049 3675
61049 6052
2629 3834
61049 3629
26233 3654
43590 3628
26233 4676
26233 5317
43590 3820
43590 7219
26233 3853
26233 4848
43590 5659
43590 3813
26233 3744
26233 4797
26233 5266
43590 3630
43590 4309
43590 3822
26233 6085
26233 3629
56952 3680
51783 3656
56952 3801
56952 6315
51783 3648
43590 3789
26233 3605
51783 7228
56952 3763
56952 3729
51783 3685
51783 3830
56952 4643
56952 5206
51783 3668
51783 3766
56952 3736
56952 6027
51783 3676
56952 3667
13946 4338
43587 3669
13946 5214
13946 5352
43587 3680
43587 7368
13946 3830
13946 3777
43587 4693
43587 5137
13946 3893
13946 3797
43587 6831
13946 3832
43587 3944
43587 6100
13946 4418
43587 3665
13946 3624
43587 4133
13946 5973
36475 3671
51778 3821
36475 3830
36475 3979
51778 6948
36475 5075
36475 3706
51778 3852
51778 6217
36475 3705
36475 3797
51778 3694
51778 5559
36475 5174
36475 3786
51778 3767
36475 4110
1659 3827
27201 6046
1659 3774
1659 3991
27201 4368
27201 7020
1659 3815
1659 3728
27201 3715
27201 6754
1659 3649
1659 4001
27201 5992
27201 3851
27201 3795
1659 3653
1659 3638
48762 4750
2624 5027
48762 4229
48762 3969
2624 4429
27201 4655
2624 6904
48762 3938
48762 4431
2624 5248
2624 5218
48762 3878
48762 3975
2624 4678
2624 5122
48762 3688
48762 3827
2624 3652
48762 4307
38524 5963
43593 3851
38524 3691
38524 4148
43593 3639
43593 7322
38524 4403
38524 3714
43593 4733
43593 5158
38524 4261
38524 4838
38524 5180
43593 4682
43593 4999
43593 3793
38524 3637
43593 3652
38524 4667
38524 3670
11901 4160
51784 3657
11901 3693
11901 6735
51784 3766
51784 7374
11901 3789
11901 3866
51784 3739
51784 6681
11901 3748
51784 3627
51784 6805
11901 3831
11901 3666
51784 3749
11901 3634
42621 6101
27211 3661
42621 3677
42621 3973
27211 6121
27211 7322
42621 4769
42621 5040
27211 3669
27211 3833
42621 3839
42621 6151
42621 4255
27211 4702
27211 6237
27211 3745
42621 3694
42621 3665
7804 4804
2634 5193
7804 4262
7804 4188
2634 3646
27211 4717
42621 4961
2634 7487
7804 134
2634 4728
2634 5343
7804 3705
7804 3797
2634 5365
2634 5264
7804 3682
7804 3678
63102 3659
27214 4891
63102 5135
63102 4091
27214 3836
2634 3890
7804 3594
27214 7365
63102 5409
63102 5096
27214 4463
27214 3821
63102 4132
63102 6222
27214 3698
27214 3823
63102 4630
63102 5500
27214 3630
63102 3764
20095 3649
2639 3693
20095 6073
20095 4051
2639 3744
2639 7052
20095 4317
20095 3806
2639 4819
2639 5313
20095 3702
20095 6138
20095 3804
2639 3683
2639 5043
2639 5085
20095 3821
2639 3705
20095 3659
2639 4705
20095 5001
50815 3832
43596 4184
50815 4321
50815 5933
43596 5102
43596 7080
50815 4285
50815 3727
43596 3742
43596 6134
50815 3861
50815 6180
43596 4274
43596 3732
50815 3613
43596 3683
50815 4642
43596 5183
50815 3740
32382 3748
51789 7398
32382 4162
32382 5561
51789 3724
51789 6168
32382 3698
32382 3841
