flow_ID proc_time
24535 8851
59179 4270
24535 3924
24535 6937
59179 6353
59179 12594
59179 10977
59179 6042
24535 4002
59179 3817
24535 555
24535 578
24535 3578
59179 4040
59179 7769
24535 4343
59179 4742
24535 985
59179 5186
59179 3421
24535 5364
26253 4228
28201 4475
26253 4000
26253 8053
28201 6858
59179 5794
28201 7122
28201 212
26253 390
26253 3935
26253 4101
28201 2948
26253 3851
26253 8363
28201 8133
28201 3890
26253 3973
28201 2746
26253 3004
28201 6935
28201 3805
24535 3957
24535 3981
59179 4595
59179 1294
24535 3848
38150 4052
33034 4550
114 7912
38150 6860
61539 5309
33034 3833
38150 5224
33034 7586
61539 8875
114 5933
114 5509
114 5697
114 4156
61539 6704
38150 8229
61539 4304
61539 4244
33034 7802
38150 5046
33034 2485
38150 3991
38150 9481
114 2447
38150 3843
61539 4075
33034 5083
61539 1396
33034 613
33034 6920
114 5117
38150 7345
114 4013
38150 3924
114 3835
114 4130
114 5075
114 6750
38150 5103
114 4524
38150 5092
114 4535
114 5286
38150 3948
114 5470
114 4696
114 7533
38150 4843
114 7844
114 5867
38150 5184
114 7684
38150 4682
114 5096
114 5591
38150 7516
114 4385
114 4563
38150 6296
114 5270
24535 4245
24535 6119
114 5627
38150 4079
114 4189
114 5942
114 5538
38150 3926
114 10901
38150 11869
114 13916
38150 12194
24535 529
38150 6804
24535 2089
59179 6055
59179 19520
24535 15725
114 13252
47066 9072
38150 5902
34619 8692
47066 764
34619 3983
34619 1166
34619 4331
47066 4544
34619 4362
34619 4018
47066 3853
47066 5047
47066 4499
24535 3976
24535 4135
38150 5525
34619 1158
34619 3943
47066 3816
34619 6542
47066 4897
34619 6536
43621 4148
59179 4138
59179 4254
24535 3833
2382 6084
43621 5904
114 4227
114 4202
38150 5114
114 4333
114 5340
114 5886
114 4316
38150 3840
114 5575
114 5456
38150 4344
114 5646
114 5625
38150 4065
114 6902
114 4296
38150 4980
114 949
38150 3882
114 8137
114 4350
38150 3895
114 6119
114 5940
38150 3936
2382 3725
114 6116
114 4195
38150 3733
114 6235
114 5133
38150 3758
114 5358
114 4204
38150 3825
114 6737
114 5428
38150 3829
114 7224
34619 6570
2382 5589
2382 4136
43621 4060
43621 393
43621 5357
47066 5437
38150 3742
2382 4004
43621 6306
2382 5949
2382 4166
2382 4121
2382 7900
43621 2626
34619 342
34619 904
34619 8123
47066 7848
47973 4059
2382 3930
34461 4280
47973 2099
34461 4990
34461 5917
34461 211
47973 245
47973 4278
47973 4821
34461 5171
47973 5235
34461 4113
59179 5560
39477 7580
26164 5046
29239 4200
36406 4461
51766 3984
13879 6043
16950 7667
34461 5837
59179 4958
24535 3917
48695 5502
64055 3968
47973 7116
27036 6466
63901 4453
39477 3754
26164 3637
2456 3832
39321 5601
29239 4019
36406 7795
27033 5037
51766 4672
63896 4776
13879 3948
51610 6952
16950 4377
16950 5005
13879 5615
51766 10566
36406 7820
29239 6011
26164 4044
39477 6911
22939 5108
48695 4297
43419 4083
64055 3748
48695 6258
64055 8194
34461 6075
34461 1609
47973 6145
51610 4787
63896 3594
27033 3599
39321 3603
2456 3622
63901 6043
27036 4829
63896 7010
63896 262
13879 3814
39321 5463
39321 7095
39321 5333
2456 2307
2456 4109
36406 3579
29239 5144
27033 7261
27033 4206
27033 6909
51766 5391
51610 5044
51610 5112
51610 5155
16950 3611
27036 3719
27036 3965
39477 4994
63901 6794
63901 4514
63901 4180
26164 3664
22939 3607
43419 4589
43419 6345
43419 4048
43419 5006
64055 6312
22939 5138
22939 4096
22939 7550
48695 4927
29239 3810
36406 3850
13879 4580
34461 5348
39477 3755
16950 4715
51766 3683
26164 4721
16950 3686
51766 6318
26164 5659
64055 6006
48695 3685
13879 3618
39477 3618
29239 1452
29239 2405
29239 776
2456 132
29239 8190
39321 5449
39321 3812
36406 3593
63896 3991
13879 2314
63896 6410
27036 4772
39477 5148
27036 5731
39477 5083
63901 5909
26164 5348
63901 3722
26164 3717
63901 1036
26164 1976
63901 4615
26164 5113
51610 3874
16950 5997
51610 5132
16950 3638
51610 3651
16950 3641
51610 2795
16950 5663
16950 3623
22939 378
48695 8351
2456 7733
43419 999
64055 3617
63896 3649
13879 2601
63896 3786
63896 3623
13879 5248
27036 4318
2456 6185
27036 2110
39477 626
29239 4107
2456 6527
29239 4390
2456 5469
2456 5151
29239 6663
2456 3900
29239 3604
2456 5424
2456 6724
29239 3605
2456 6347
2456 4760
2456 4529
2456 3293
29239 3620
2456 4083
2456 5352
29239 6386
27033 3772
