flow_ID proc_time
24272 1469
29732 5293
24272 9156
24272 317
29732 2309
24272 9112
29732 3175
24272 3952
24272 4134
29732 2331
29732 474
24272 546
29732 5725
24272 4870
59089 3883
5157 3901
59089 3727
5157 3918
5157 5270
59089 3914
59089 4117
5157 4531
59089 1774
5157 2133
59089 2751
28369 4023
46118 5328
28369 4607
28369 4270
46118 3917
5157 4024
59089 3896
46118 4992
28369 2314
46118 3951
46118 5044
28369 177
46118 374
28369 1974
46118 3911
28369 3901
54992 4031
54311 3913
54992 3811
54992 4195
54311 3801
54311 1380
54992 5596
54311 1533
54992 1307
54311 710
54992 2066
54311 3965
54992 3770
16082 3931
46115 4168
16082 3958
16082 6519
46115 5317
46115 4740
16082 455
46115 2281
16082 4184
16082 1185
46115 2010
46115 1321
16082 3842
46115 3799
16082 1305
46115 5910
34515 3949
54306 3894
34515 1369
54306 3819
54306 1443
34515 3951
54306 627
34515 647
54306 3771
54306 4427
34515 2295
54306 3993
34515 4031
3795 4093
29729 3961
3795 1402
29729 4999
29729 1181
3795 4078
29729 237
3795 171
3795 1700
29729 2110
29729 1648
3795 85
29729 3897
29729 4263
3795 3899
46802 4986
5152 3947
46802 2989
5152 4153
5152 5148
46802 2675
5152 229
46802 1754
5152 506
46802 1617
46802 887
5152 4381
40660 4718
46121 3830
40660 3824
46121 1708
40660 3967
40660 4307
46121 1501
40660 3842
40660 4087
40660 4065
46121 394
40660 2152
9941 3822
54312 3826
9941 538
54312 3781
46121 3932
40660 3801
54312 5147
9941 624
54312 425
9941 3832
9941 4958
54312 1438
9941 1202
44757 3902
29739 6157
44757 1356
29739 4241
54312 3904
9941 3847
29739 5345
44757 2762
29739 72
44757 991
29739 1990
29739 38
44757 3812
44757 3850
29739 3911
44757 4754
5844 392
5162 3823
5844 778
5162 3825
5162 5961
5844 2310
5162 1820
5844 1264
5162 785
5844 1800
5162 3841
5844 3697
65238 3954
29742 3791
65238 5026
65238 7163
29742 437
65238 1133
29742 3947
29742 4205
65238 1389
65238 1726
29742 1571
29742 2071
65238 467
18135 183
5167 4021
18135 829
5167 3891
29742 4103
65238 3789
5167 8051
18135 3027
5167 3917
5167 4242
18135 2245
5167 3999
5167 6148
18135 5333
5167 4372
18135 4660
5167 4541
18135 3640
5167 4086
18135 4580
5167 5145
18135 5090
5167 4227
18135 3654
5167 4037
18135 3772
5167 4183
18135 3694
5167 4195
18135 3665
5167 6443
18135 4359
5167 4100
18135 3682
5167 7033
18135 5254
5167 5184
18135 4072
5167 4089
18135 3123
5167 3668
18135 3619
52951 3673
46124 3699
52951 169
46124 3642
46124 5837
52951 2466
46124 646
52951 1106
46124 4078
52951 3919
46124 1566
52951 691
30422 262
54317 3642
30422 905
54317 4382
46124 4792
52951 5203
54317 5268
30422 2394
54317 3727
54317 3795
30422 3678
30422 3824
54317 2041
30422 2680
24270 3810
29708 3905
24270 151
29708 4687
54317 3811
30422 4915
29708 4907
24270 1379
29708 3694
29708 3797
24270 3765
24270 616
29708 26
24270 623
59087 111
5133 5132
59087 1303
5133 5154
29708 3790
24270 3647
5133 5009
59087 2107
5133 3743
5133 3865
59087 3833
59087 3965
5133 1112
59087 1611
28367 5066
29705 5757
3789 848
29705 144
3789 3849
3789 3813
29705 3683
3789 3799
29705 366
3789 3772
29705 4912
3789 3806
29705 3859
3789 5090
46796 3626
5128 4149
46796 854
5128 3809
5128 5309
46796 1287
5128 1352
46796 789
5128 115
46796 2398
40650 4137
46081 3663
40650 3733
40650 4250
46081 3830
46081 4855
40650 3803
40650 3732
46081 1195
40650 384
46081 3685
40650 4612
46081 260
46081 1651
40650 794
9931 3709
54272 3989
9931 195
54272 3687
54272 6034
9931 1245
54272 1162
9931 1420
54272 1101
54272 1188
9931 992
44747 4362
29699 3886
44747 3610
44747 4423
29699 3715
29699 4901
44747 1568
29699 3657
29699 4794
44747 303
29699 3775
44747 3843
29699 3787
29699 1977
44747 2448
5834 3695
5122 3706
5834 785
5122 3649
5122 4911
5834 1575
5122 2547
5834 67
5122 171
5834 329
5122 3634
5122 3650
5834 3664
65224 3782
29702 3663
65224 498
29702 3688
29702 75
65224 2681
29702 595
65224 493
29702 543
29702 17
65224 3688
65224 3616
29702 3820
65224 3680
18121 3655
5127 3661
18121 1473
5127 3791
5127 6785
18121 3726
5127 34
18121 809
5127 1339
18121 3651
18121 3760
5127 3682
18121 3658
52937 3855
46084 4641
52937 553
46084 3671
46084 4840
52937 2337
46084 34
52937 1496
46084 3699
52937 3755
52937 3804
46084 960
52937 3799
52937 4969
30408 3646
54277 3678
30408 366
54277 3772
54277 4827
30408 3726
30408 3882
54277 838
30408 3830
30408 3818
54277 3782
54277 5209
30408 3222
40645 1365
46101 5051
40645 4041
46101 4461
54277 3690
30408 3600
46101 5572
40645 1236
46101 3612
46101 3948
40645 742
40645 737
46101 404
46101 1091
46101 104
40645 3805
40645 3795
46101 3676
40645 3722
9924 3753
54292 3766
9924 1809
54292 3845
54292 7256
9924 2338
54292 1472
9924 198
54292 3917
54292 4484
9924 1424
44740 3782
29719 3759
44740 285
29719 4519
54292 3709
9924 3591
29719 5553
44740 2658
29719 2088
44740 3698
44740 622
29719 2285
29719 1220
44740 3668
29719 3680
44740 3633
29719 3672
44740 3828
5829 3780
5142 3924
5829 1127
5142 3641
5142 1153
5829 4549
5142 1115
5829 1182
5142 151
5142 98
5829 35
5142 3816
5829 4154
65223 3791
29714 4662
65223 2723
29714 3685
29714 4753
65223 1966
29714 3850
29714 3957
65223 3713
65223 4003
29714 1473
65223 2017
29714 3670
65223 4449
18118 4288
5139 5071
18118 1647
5139 4017
5139 4895
18118 2360
5139 524
18118 2428
18118 2750
5139 198
5139 648
18118 3630
5139 3762
18118 3693
5139 3706
18118 4096
52934 3663
46096 3631
52934 1382
46096 3798
46096 7151
52934 1388
46096 1383
52934 942
46096 237
52934 170
46096 95
52934 223
30407 3718
54289 3832
30407 375
54289 5523
54289 6971
30407 2410
54289 59
30407 1530
54289 837
30407 3795
54289 3629
30407 1334
24257 3884
29720 4602
24257 4130
24257 5583
29720 3973
29720 4825
24257 1782
29720 441
24257 1754
29720 662
24257 1720
29720 3646
24257 3609
59072 3657
5145 4620
59072 575
5145 4060
5145 5023
59072 2303
5145 994
59072 3671
59072 3801
5145 1619
59072 685
5145 4154
54299 4859
54977 1983
54299 3683
54299 3934
54977 1250
54299 3645
54299 3814
54977 1762
54299 4906
54977 4903
16067 4213
46111 3662
16067 3795
16067 4204
46111 4698
46111 4484
16067 1469
46111 115
16067 558
16067 1420
46111 2270
46111 605
16067 3717
46111 3672
16067 3836
46111 3638
16067 3651
34498 3743
54302 3675
34498 1624
54302 3856
54302 5112
34498 1301
54302 4875
54302 5627
34498 985
54302 289
54302 758
34498 2011
3778 3674
29725 3659
3778 681
29725 3755
29725 4847
3778 1449
29725 3648
29725 5336
3778 3789
3778 4074
29725 3785
3778 3957
29725 3787
29725 1060
3778 1345
46787 3645
5148 3915
46787 3666
46787 3974
5148 3715
5148 419
46787 3918
5148 351
46787 1279
5148 581
5148 1749
46787 3654
46787 3678
24486 3765
30572 3669
24486 1396
30572 5177
30572 812
24486 3865
30572 340
24486 3667
24486 3792
30572 3795
24486 3751
30572 160
24486 1707
59303 4141
5997 4516
59303 197
5997 4662
5997 7545
59303 2817
5997 435
59303 1830
5997 3681
5997 5411
5997 4087
59303 3674
5997 4243
59303 3681
5997 4169
5997 4132
59303 3742
5997 5207
46958 3682
46958 3778
28583 879
46958 3655
28583 4007
46958 1694
46958 414
28583 3844
28583 3818
46958 5118
28583 3678
55206 5081
55151 3834
55206 1405
55151 3653
55151 4956
55206 3728
55206 3750
55151 1499
55206 2034
55151 647
55206 3740
55151 1325
55206 3682
55206 5025
16292 3770
46955 3816
16292 1006
46955 3871
46955 4829
16292 324
46955 349
16292 4173
16292 80
46955 4123
46955 1706
16292 3821
46955 5071
16292 3653
46955 4114
16292 3673
34725 4258
55146 3764
34725 213
55146 3778
55146 4772
34725 1109
55146 381
34725 1152
55146 4053
55146 3821
34725 3697
55146 3618
34725 305
55146 3624
4005 3645
30569 3686
4005 3680
4005 4337
30569 3672
30569 4779
4005 426
30569 1506
4005 1813
30569 3741
4005 3797
30569 1371
4005 3651
30569 3678
4005 3741
30569 3750
4005 4116
47012 3659
5992 3695
47012 3756
47012 4837
5992 3745
5992 2400
47012 5130
5992 3883
47012 76
5992 1108
5992 3777
47012 3660
40866 1140
46945 3733
40866 200
46945 3666
46945 4888
40866 166
46945 1799
40866 3641
40866 212
46945 1484
46945 3925
40866 4752
46945 5002
40866 3686
46945 3650
40866 3829
10147 3717
55136 3644
10147 3735
10147 3931
55136 4395
55136 4481
10147 3683
10147 4826
55136 1192
10147 3697
10147 3806
55136 1263
10147 3702
55136 3698
10147 3710
55136 4208
10147 3754
44963 3735
30563 3674
44963 3667
44963 3946
30563 4374
30563 6130
44963 3920
30563 3900
30563 3786
5991 5288
18337 4102
53153 3782
46948 4103
53153 133
46948 3651
46948 4871
53153 1975
46948 76
53153 526
53153 435
46948 2888
46948 286
53153 3660
46948 3673
53153 3681
46948 3846
53153 3863
30624 3696
55141 4403
30624 3659
30624 3954
55141 3684
55141 4972
30624 795
55141 1193
30624 3261
55141 222
30624 3684
55141 60
30624 3655
30624 4094
40877 3714
46965 3643
40877 1266
46965 4317
46965 5532
40877 1991
46965 1257
40877 3813
40877 3826
46965 1465
40877 2068
46965 3678
40877 3597
10156 3649
55156 3700
10156 799
55156 3941
55156 17
10156 2456
55156 1527
10156 3685
10156 3813
55156 1476
10156 1925
55156 3702
10156 3601
44972 3640
30583 3791
44972 714
30583 3778
30583 5817
44972 2932
30583 3673
30583 3852
44972 1160
44972 66
30583 721
30583 1014
30583 10
44972 3983
44972 4477
30583 4218
44972 3834
6061 4653
6006 3740
6061 2629
6006 4406
6006 4511
6061 1388
6006 158
6061 1262
6006 3703
6006 3747
6061 3672
6006 3822
6061 649
6006 4695
65455 3748
30578 5048
65455 1262
30578 3652
30578 4844
65455 3696
65455 3709
30578 428
65455 1774
30578 3980
65455 3767
30578 252
65455 3997
30578 3742
65455 4984
30578 4243
18350 3667
6003 3791
18350 2368
6003 3971
6003 4783
18350 1995
6003 875
18350 2373
6003 13
6003 1992
18350 1940
53166 3805
46960 3665
53166 1844
46960 4279
46960 7523
53166 2649
46960 3689
46960 4386
53166 1128
46960 3688
53166 3744
46960 200
46960 1596
53166 1751
30639 3752
55153 4852
30639 714
55153 4374
55153 4778
30639 603
55153 769
30639 1632
55153 4039
55153 3803
30639 3647
30639 3687
24489 3798
30584 4878
24489 92
30584 4328
55153 3693
30639 3603
30584 5173
24489 2302
30584 3807
30584 3907
24489 1184
24489 4038
30584 3817
30584 419
24489 1766
30584 5023
24489 3920
59304 4128
6009 5081
59304 165
6009 3683
6009 4829
59304 1782
6009 4099
6009 3859
59304 560
6009 2745
6009 139
59304 3625
59304 3674
6009 4109
59304 3757
28584 3626
46970 3663
28584 1009
46970 3702
46970 4835
28584 136
46970 2007
28584 3744
28584 5081
46970 3642
46970 132
28584 3833
28584 3673
46970 3635
28584 3707
55209 176
55163 3707
55209 3947
55163 4157
55163 4734
55209 2967
55163 525
55209 3652
55209 4090
55163 697
55209 2359
55163 3691
55209 3631
16299 3834
46975 3783
16299 1276
46975 3632
46975 546
16299 3687
46975 1
16299 1573
46975 908
16299 1742
46975 3709
16299 3631
34730 3764
55166 3661
34730 3884
55166 3856
55166 4905
34730 1960
55166 427
34730 1536
55166 3672
34730 3965
55166 1999
34730 3810
55166 257
34730 458
4010 3778
30589 5009
4010 218
30589 3715
30589 5122
4010 2357
30589 1186
4010 3835
4010 3772
30589 2393
30589 1130
4010 474
30589 3643
4010 4751
47019 3774
6012 5054
47019 1279
44978 1618
30559 2036
30559 872
44978 3835
44978 3754
30559 4672
44978 5130
6067 1590
5982 4748
6067 1512
5982 3664
5982 5002
6067 1635
5982 59
6067 2473
5982 3736
6067 3804
5982 117
6067 3803
5982 1099
6067 794
65457 5123
30554 3660
65457 1595
30554 3682
30554 4859
65457 2623
30554 661
65457 1569
30554 3745
30554 4922
65457 3690
30554 5046
65457 4969
30554 4144
65457 3794
30554 4066
65457 3807
30554 4041
65457 3669
30554 4119
65457 3728
30554 4351
65457 3990
30554 6551
65457 5005
30554 5642
65457 5357
30554 4205
65457 2451
65457 849
30554 3741
18352 3690
5979 3790
18352 1228
5979 3809
5979 4833
18352 2841
5979 1988
18352 2029
18352 481
5979 763
18352 1569
53168 3635
46936 3649
53168 400
46936 3821
5979 3766
18352 3612
46936 4893
53168 2972
46936 581
53168 2936
46936 307
53168 614
46936 4116
53168 4580
30641 3860
55129 4272
30641 368
55129 3657
55129 95
30641 2966
55129 3126
30641 160
30641 166
55129 3857
55129 864
30641 1763
24503 922
30544 3846
24503 4052
30544 3648
55129 3763
30641 4093
30544 589
24503 3233
30544 2384
24503 673
30544 3780
30544 6374
24503 3858
59318 3668
5969 3660
59318 3661
59318 5090
5969 3810
30544 3733
24503 4984
5969 45
59318 2857
5969 1280
59318 1447
5969 4105
59318 3776
5969 2014
5969 1008
59318 3705
59321 676
59321 56
5957 568
5957 1706
59321 205
5957 3927
5957 3777
59321 3768
28601 806
46918 3911
28601 1304
46918 444
28601 2800
46918 2014
28601 1084
46918 1989
28601 700
55224 1074
55111 3599
55224 926
55111 3639
46918 3683
28601 3625
55111 5825
55224 2068
55111 1557
55224 552
55111 751
55224 3724
55224 3745
55111 8741
55224 7815
16314 629
46915 3708
16314 3630
46915 30
16314 2574
46915 589
16314 2090
46915 1658
46915 3715
16314 3783
34747 3648
55106 3649
34747 1438
55106 3687
55106 6733
34747 3940
55106 1427
34747 1712
55106 3727
34747 3816
55106 362
34747 274
55106 439
34747 2036
4027 3653
30529 3949
4027 3638
4027 5133
30529 3933
30529 2035
4027 4378
30529 1709
4027 3696
4027 3949
4027 1307
30529 3762
4027 4050
47034 3623
5952 3713
47034 624
5952 3850
5952 6040
47034 1758
5952 1645
47034 473
47034 422
5952 379
47034 3656
5952 3715
47034 3985
5952 3649
47034 4512
40892 1606
46921 4472
40892 651
46921 4707
46921 619
40892 3749
40892 8
46921 1742
40892 1442
46921 568
46921 889
40892 2298
10173 404
55112 3862
10173 2019
55112 4768
55112 5024
10173 2147
55112 1328
55112 309
10173 2862
10173 205
55112 1403
55112 1588
10173 1180
44989 3677
30539 3655
44989 486
30539 3718
30539 683
44989 3776
44989 441
30539 2121
44989 259
30539 65
44989 2280
6076 111
5962 4310
6076 3980
5962 3780
5962 2148
6076 3894
5962 974
6076 3759
6076 671
5962 235
5962 2699
5962 805
6076 2278
65470 3771
30542 3726
65470 603
30542 3678
30542 354
65470 2807
30542 1175
65470 3879
65470 4445
30542 138
65470 1633
30542 4749
30542 3745
65470 3898
18367 3694
5967 3676
18367 786
5967 4131
5967 5013
18367 2298
5967 516
18367 1132
5967 286
5967 2909
18367 2689
5967 850
18367 3690
53183 230
46924 3828
53183 1317
46924 3779
46924 4790
53183 2121
46924 2021
53183 2422
46924 167
46924 897
53183 101
46924 3765
53183 3667
30654 402
55117 3948
30654 1809
55117 3840
55117 178
30654 2817
55117 995
30654 130
55117 1050
55117 1744
30654 406
55117 3909
30654 3656
40847 3666
46861 3807
40847 2721
46861 3794
46861 4924
40847 227
46861 1453
40847 16
46861 3670
40847 5085
46861 962
40847 944
46861 550
40847 177
10126 4093
55052 3942
10126 3681
10126 3944
55052 3648
55052 4807
10126 2853
55052 1629
10126 3666
10126 4741
55052 2480
55052 1010
10126 765
55052 2028
10126 1386
44942 3653
30479 3727
44942 3616
44942 4394
30479 130
44942 4659
44942 3842
30479 1262
44942 832
44942 1139
30479 329
30479 959
30479 823
44942 165
30479 91
44942 3791
6031 3698
5902 3639
6031 1816
5902 4014
5902 5264
6031 2547
5902 601
6031 1595
5902 1227
6031 5123
5902 3797
6031 643
5902 3626
65421 3654
30474 3778
65421 3686
65421 3980
30474 68
65421 2026
30474 1654
65421 1493
30474 1314
65421 3915
30474 5062
65421 744
18316 872
5899 3708
18316 2162
5899 3816
30474 3724
65421 3780
5899 100
18316 2751
5899 2448
18316 861
5899 2058
18316 3157
18316 1169
5899 3836
53132 3770
46856 3743
53132 1263
46856 3697
46856 4779
53132 2391
46856 3834
46856 3960
53132 502
46856 828
53132 4830
46856 5081
53132 4282
46856 704
53132 1268
30605 3706
55049 3805
30605 1356
55049 3730
55049 5239
30605 2326
55049 1284
30605 2042
55049 3620
55049 8163
30605 6576
55049 4061
30605 3766
55049 4096
30605 3833
55049 4111
30605 4089
55049 4230
30605 4039
55049 4558
30605 4234
55049 4049
30605 4921
55049 5418
30605 5494
55049 5072
30605 3721
55049 6513
30605 6208
55049 4153
30605 3735
55049 4148
30605 3773
55049 4072
30605 4637
55049 5236
30605 2356
30605 1113
55049 5093
24459 299
30464 3669
24459 1513
30464 193
24459 2303
30464 377
24459 1201
24459 857
30464 921
30464 571
24459 452
59274 544
5889 3759
59274 1452
5889 4356
30464 3951
24459 3624
5889 4725
59274 634
5889 1656
59274 1582
5889 105
59274 972
5889 4892
59274 3617
28554 2313
46850 5251
28554 183
46850 3780
46850 1103
28554 4510
46850 1713
28554 791
46850 358
28554 3753
46850 799
46850 1465
28554 4062
28554 4741
46850 4268
28554 5178
55179 3676
55043 3891
55179 2016
55043 4142
55043 4960
55179 1254
55043 2020
55179 1810
55043 3640
55043 3760
55179 3702
55043 3700
55179 1561
55043 3692
16265 1297
46855 4386
16265 729
46855 4149
46855 641
16265 3025
46855 2369
16265 1528
46855 3925
16265 3776
46855 338
5909 3690
59269 3714
28549 54
46870 3775
28549 4299
46870 4722
46870 5063
28549 693
46870 269
28549 1510
46870 3679
28549 3924
46870 498
46870 1243
28549 1949
55172 201
55063 3661
55172 358
55063 206
55172 2836
55063 3762
55063 3848
55172 387
55063 99
55172 1150
16262 3817
46867 4386
16262 358
46867 3682
46867 6210
16262 4272
46867 161
16262 1706
16262 210
46867 262
46867 2347
16262 3863
46867 3772
16262 3668
46867 3728
16262 3676
34695 3673
55058 3656
34695 2019
55058 3997
55058 6069
34695 1119
55058 2025
34695 1429
55058 375
34695 595
3975 834
30481 3747
3975 2116
30481 4639
55058 3829
34695 3623
30481 5495
3975 2034
30481 2026
3975 1229
30481 1996
3975 2089
3975 553
30481 3654
46982 3684
5904 3808
46982 1716
5904 4136
5904 509
46982 4126
5904 74
46982 4856
5904 913
46982 1127
46982 180
5904 3765
40832 3827
46873 3673
40832 340
46873 3648
46873 422
40832 3912
46873 719
40832 404
40832 2816
46873 286
40832 1944
10113 3676
55064 3757
10113 2354
55064 4302
46873 3810
40832 3590
55064 4901
10113 1127
55064 3647
55064 4856
10113 1390
55064 3793
10113 889
55064 3778
10113 3630
44929 4133
30491 3650
44929 758
30491 3664
30491 4737
44929 2817
30491 3783
30491 3812
44929 419
44929 908
30491 3638
30491 4159
44929 833
6016 4165
5914 3806
6016 1382
5914 3726
30491 3813
44929 3595
5914 577
6016 4472
5914 950
6016 524
5914 223
5914 2937
6016 819
65410 3690
30494 3684
65410 1523
30494 3630
30494 741
65410 3026
30494 107
65410 2493
30494 335
65410 215
30494 2545
65410 325
18307 4969
5919 3658
18307 578
5919 3664
5919 5082
18307 602
5919 3646
5919 3883
18307 1407
5919 4028
18307 3882
5919 2628
18307 3719
5919 1222
18307 1048
53123 4254
46876 3928
53123 1642
46876 3665
46876 4829
53123 2680
46876 3712
46876 3819
53123 1382
46876 2397
53123 2105
30594 16
55069 5616
30594 1963
55069 3720
46876 3658
53123 3627
55069 4792
30594 2132
55069 3886
55069 6787
30594 192
55069 1427
55069 3779
30594 637
55069 5286
24474 5046
30524 3651
24474 1061
30524 171
30524 91
24474 3010
30524 4401
24474 900
30524 628
24474 2051
59291 3749
5949 3657
59291 2385
5949 3613
30524 3664
24474 3610
5949 4845
59291 745
5949 3626
5949 3850
59291 1755
5949 1742
59291 3657
5949 3666
59291 3963
28571 346
46910 215
28571 4133
46910 4733
28571 564
46910 2163
28571 1586
46910 317
28571 3683
46910 3870
28571 934
46910 3817
55194 972
55103 3641
55194 250
55103 4045
55103 893
55194 4121
55103 1557
55194 3695
55194 3976
55103 1289
55103 1164
55194 1262
55103 415
55194 3655
16280 4071
46907 4688
16280 1116
46907 1503
16280 2306
46907 463
16280 1674
46907 3640
16280 3858
46907 3968
46907 3846
16280 4321
46907 3666
16280 1776
46907 4334
34713 1333
55098 3781
34713 1067
55098 3677
55098 4910
34713 730
55098 1738
34713 533
55098 810
55098 374
34713 894
55098 1003
34713 942
44959 3775
30515 3767
44959 120
30515 5005
6046 758
5938 3637
6046 2801
5938 3716
5938 1104
6046 3844
6046 15
5938 1564
6046 1169
5938 3820
5938 4056
6046 3654
5938 4978
6046 4315
5938 5199
6046 5297
5938 4055
6046 3744
5938 4084
6046 3642
5938 4226
6046 3635
5938 4034
5938 6949
6046 5131
5938 4133
6046 5435
5938 5422
6046 3842
65436 3807
30518 3682
65436 3746
65436 4393
30518 564
65436 2312
30518 81
65436 3674
65436 4068
30518 3619
65436 4903
30518 2795
65436 5050
30518 3705
65436 274
30518 3670
18333 3806
5943 3748
18333 407
5943 3873
5943 4807
18333 1730
5943 554
18333 476
5943 3025
5943 123
18333 523
5943 2298
18333 707
53149 3828
46900 3631
53149 2616
46900 153
53149 3812
53149 3699
46900 1325
53149 1851
53149 829
46900 933
46900 2358
53149 3709
46900 5007
53149 3686
46900 3769
53149 3766
30620 58
55093 3657
30620 3979
55093 3754
55093 4763
30620 2411
55093 2348
30620 3768
30620 4264
55093 3671
55093 3934
30620 2277
30620 2947
55093 4937
40849 3776
46885 5068
40849 201
46885 3672
46885 4977
40849 468
46885 647
40849 2856
46885 4055
40849 3945
46885 1994
40849 3881
46885 3720
40849 2122
46885 5115
10128 4192
55076 3662
10128 1613
55076 3636
55076 375
10128 2928
55076 1624
10128 81
55076 1804
10128 3743
55076 1122
10128 3921
10128 3773
44944 62
30503 3818
44944 1619
30503 3924
30503 4896
44944 2317
30503 1578
44944 4214
30504 4150
24469 2160
30504 3661
30504 4911
24469 1550
30504 2056
24469 1667
30504 3633
24469 4812
30504 699
24469 2618
59284 186
5929 3803
59284 3982
5929 3699
30504 4321
24469 3631
5929 5091
59284 1114
5929 1589
59284 1241
5929 1649
59284 1178
28564 4974
46890 3705
28564 407
46890 3718
