flow_ID proc_time
8030 9164
22093 3864
8030 4954
8030 6541
22093 3780
22093 15145
8030 4947
22093 6700
8030 4278
8030 6201
8030 5312
8030 4753
22093 4402
8030 3971
22093 4866
8030 5443
8030 4186
22093 3881
22093 4015
8030 6771
8030 9424
22093 3916
22093 3866
22093 5169
22093 5522
8030 4048
8030 3943
22093 4150
22093 5070
8030 5221
8030 4075
22093 3818
22093 3819
8030 5840
8030 4380
22093 4239
22093 3901
8030 4995
8030 5409
22093 3815
22093 3862
8030 3819
8030 4912
22093 5564
8030 3794
8030 3858
22093 4922
22093 5204
8030 3790
8030 3984
22093 4050
22093 7192
8030 5123
8030 3988
22093 3762
22093 4079
8030 6279
8030 5747
22093 3982
22093 3846
8030 5173
8030 6475
22093 3837
22093 4329
8030 3957
8030 4964
22093 5646
22093 3906
8030 3754
8030 4164
22093 5178
22093 5237
8030 3854
8030 3862
22093 3794
22093 5072
8030 5323
8030 3864
22093 3809
22093 4019
8030 4905
8030 5397
22093 7304
8030 3868
8030 5468
22093 5291
22093 6776
8030 5925
8030 5279
22093 4104
22093 4152
8030 4109
8030 3990
22093 5005
22093 5561
8030 4155
8030 3940
22093 3963
22093 4077
8030 5088
8030 5319
22093 4067
5831 4431
32409 3907
5831 5050
5831 5976
32409 4012
32409 7929
5831 4632
32409 6829
5831 3915
22093 3984
8030 5163
5831 6172
5831 4806
5831 3979
32409 4202
32409 6465
5831 3939
32409 3934
5831 5091
5831 5376
32409 3830
32409 3883
5831 3885
32409 4820
32409 5311
5831 3852
32409 3837
32409 5182
5831 5399
8030 3865
22093 5898
22093 3898
8030 4916
5831 5485
32409 3924
32409 3975
5831 4077
8030 6299
22093 4507
22093 4174
8030 4355
5831 4949
32409 5268
32409 4067
5831 4536
22093 4024
8030 4025
5831 4174
32409 6236
5831 3965
8030 4189
22093 4093
22093 4007
8030 6376
5831 4000
32409 4152
32409 4014
5831 3897
8030 6532
22093 3923
22093 4389
8030 3918
5831 5123
32409 5274
32409 4023
5831 6281
8030 4064
22093 3928
22093 6816
8030 4022
5831 3943
32409 4007
32409 5022
5831 6079
8030 4255
22093 3891
22093 3975
8030 3871
5831 5072
32409 5332
32409 4090
5831 3926
8030 4364
22093 6413
22093 4481
8030 4003
5831 4104
32409 4686
32409 6330
5831 4222
22093 5501
22093 3971
8030 4038
5831 4084
32409 6494
32409 3977
5831 4482
8030 4018
22093 3867
22093 6315
8030 3903
5831 4122
32409 3992
32409 4983
5831 5283
8030 4387
22093 4116
22093 5183
8030 5354
5831 3860
32409 3809
32409 3932
5831 3805
8030 6195
22093 3798
22093 3870
8030 4370
5831 4917
32409 5241
32409 3997
5831 3962
8030 3965
22093 3878
22093 6420
8030 4094
5831 3953
32409 3904
32409 5038
5831 5939
8030 3987
22093 3953
22093 4005
8030 4983
5831 5369
32409 4015
32409 3849
5831 3782
8030 6853
22093 4619
22093 4033
8030 3642
5831 3730
32409 5996
32409 3742
5831 3741
