flow_ID proc_time
47575 5443
44 4380
47575 4048
47575 5382
44 3973
44 17513
47575 1555
44 6234
44 4076
47575 3974
47575 12381
44 9643
44 4570
47575 188
37327 3947
40973 3922
37327 3931
37327 6691
40973 3822
44 3995
47575 3765
40973 7863
37327 608
40973 5313
40973 3978
37327 3834
37327 6274
40973 4928
40973 3821
37327 1938
10702 3806
49164 4816
10702 5139
10702 4343
49164 3936
40973 3851
37327 4774
49164 7463
10702 4246
10702 6352
49164 4066
49164 6577
10702 3821
10702 3943
49164 7476
49164 5303
10702 5078
10702 6263
49164 5433
10702 3909
41422 3853
24591 3900
41422 4100
41422 4584
24591 3773
24591 7455
14 7446
6607 4184
6607 5071
14 3770
14 5434
6607 3763
6607 6299
14 3804
14 6440
6607 3971
6607 3897
14 3827
6607 3895
61901 3783
24586 4861
61901 5113
61901 5474
24586 4842
24586 7043
61901 5147
61901 3884
24586 3812
24586 3933
61901 3900
61901 6377
61901 6720
24586 3802
24586 3877
24586 3886
61901 3909
61901 5577
18892 5864
11 3988
18892 3791
18892 4150
11 3910
24586 6170
61901 3779
11 7708
18892 4305
18892 4025
11 3783
11 6267
18892 5067
18892 6334
11 3830
11 3941
18892 3805
18892 4789
11 5180
18892 4193
49612 3917
40968 3899
49612 3774
49612 6482
40968 4010
40968 7572
49612 3808
49612 8785
40968 5886
40968 6363
49612 3777
49612 6730
49612 5254
40968 993
40968 5030
49612 5268
49612 3763
31181 3925
49161 3802
31181 3816
31181 5293
49161 6029
40968 3804
49612 4353
49161 7861
31181 5176
31181 6484
49161 731
31181 5018
31181 4072
49161 4035
49161 4055
31181 61
49161 3888
31181 3884
20939 4909
24576 3944
20939 431
24576 4041
24576 9997
20939 2008
24576 3916
24576 6520
20939 3876
20939 6411
20939 6513
24576 545
24576 4890
20939 3865
24576 4820
20939 5730
24576 5337
20939 4967
59850 4532
1 3950
59850 6268
59850 4269
1 3888
1 8088
59850 3896
59850 4445
1 4327
1 6696
59850 3938
59850 6379
1 3916
1 3957
59850 492
25034 6298
40962 3915
25034 4063
25034 4251
40962 3936
1 4066
59850 4912
40962 7511
25034 4020
25034 3979
40962 3919
40962 5474
25034 5375
25034 4067
40962 4086
40962 6202
25034 3834
25034 3920
40962 3829
25034 3902
55755 3794
49155 6143
55755 3804
55755 4239
49155 4526
49155 7003
