flow_ID proc_time
58951 13409
5613 4936
58951 8048
58951 6512
5613 4280
5613 3882
58951 12040
58951 1901
5613 8334
58951 7515
5613 9923
58951 7667
5613 15477
58951 6043
28231 9128
46574 9422
28231 5457
46574 8364
28231 5144
46574 5126
46574 8598
28231 4211
46574 151
28231 8953
54854 11995
54767 5407
54854 3810
54767 6162
46574 7950
28231 12232
54767 13089
54854 910
54767 5355
54767 8412
54854 1498
54767 4634
54767 3162
54854 7727
54854 15884
15940 10583
46571 16253
15940 2872
46571 474
15940 6374
15940 9034
46571 478
15940 2018
46571 9122
15940 2419
15940 6561
46571 6583
34373 8909
54762 11337
34373 11890
34373 8994
54762 3687
34373 8388
54762 7440
34373 1560
54762 2115
54762 380
34373 8634
54762 2172
34373 9311
3653 7557
30185 10538
3653 2249
30185 6344
30185 11436
3653 9261
30185 8081
3653 3758
3653 48
30185 3686
3653 5196
46660 6821
5608 7568
46660 8281
5608 13267
30185 6818
3653 8482
5608 9379
46660 6098
5608 1999
46660 1620
46660 5865
5608 4067
5608 4369
46660 305
40514 5977
46561 10489
40514 3905
46561 5963
46660 8835
5608 9000
46561 11609
40514 6492
40514 7049
46561 4607
40514 660
46561 197
40514 14757
9795 8868
54752 5949
9795 109
54752 12620
46561 7010
40514 10635
54752 10083
9795 8985
54752 13908
9795 5049
9795 6868
54752 648
9795 7888
54752 1929
44611 357
9795 9723
30179 7043
44611 698
30179 6496
44611 3893
44611 1482
30179 1524
30179 3162
44611 7584
30179 8202
44611 3271
30179 6354
44611 980
30179 7119
5698 12433
5602 5840
5698 2044
5602 2437
5698 6320
5698 8983
5602 5846
5602 6412
5698 3543
5602 5636
5698 3533
5698 7100
5602 12451
65088 5242
30182 7920
65088 8720
30182 1850
65088 9441
30182 3420
65088 4439
30182 1994
65088 4651
65088 5721
30182 12362
17985 5769
5607 10675
17985 4511
5607 6826
5607 7876
17985 2340
5607 1117
17985 2523
17985 4085
5607 2284
17985 6214
5607 6265
17985 8123
5607 12690
17985 6932
52801 1487
52801 2237
46564 8898
46564 5750
52801 2085
46564 10944
52801 7129
46564 7925
46564 9666
52801 6006
46564 10403
52801 11815
46564 10061
52801 8648
46564 6418
52801 9647
46564 6030
52801 6113
46564 6230
52801 5679
46564 7851
52801 7253
46564 9237
52801 9182
46564 7434
46564 5710
52801 6609
46564 6783
52801 8040
30272 635
54757 9257
54757 7758
