flow_ID proc_time
8776 4374
55812 5205
8776 4265
8776 6062
55812 3965
55812 14252
8776 5445
55812 6681
55812 4450
8776 4271
8776 5030
55812 5375
55812 6772
8776 4372
8776 3954
55812 3866
8776 4846
43592 4363
31239 5227
43592 3927
43592 4348
31239 3858
31239 7657
43592 329
31239 4286
31239 7795
43592 4452
43592 9851
31239 5949
31239 3921
43592 4931
31239 5488
43592 4498
43592 3993
4681 4004
6662 4667
4681 4096
4681 6762
6662 4080
6662 7538
4681 5123
4681 3922
6662 5233
6662 5671
4681 3987
4681 6430
6662 4987
6662 3806
4681 2725
6662 4297
4681 4325
64075 3929
31234 3890
64075 3944
64075 5886
31234 3940
31234 10593
64075 7647
64075 4333
31234 3896
31234 4416
64075 4871
64075 5026
31234 5298
31234 6816
64075 453
31234 3931
64075 3765
16970 4165
6659 4893
16970 5731
16970 4422
6659 4105
6659 7428
16970 4218
16970 4964
6659 6330
6659 3984
16970 3936
16970 6598
16970 6393
6659 3935
6659 4497
6659 3938
16970 4117
6659 7806
16970 5361
6659 6315
16970 4349
51786 3912
47616 3931
51786 3869
51786 5515
47616 5270
47616 7948
51786 4624
51786 3968
47616 3936
47616 6386
51786 4764
51786 6366
47616 4563
47616 4067
51786 26
47616 5687
51786 4403
29259 4364
55809 3850
29259 3799
29259 5295
55809 5339
55809 7396
29259 3931
29259 4005
55809 3840
55809 6248
29259 3990
29259 6281
29259 6716
55809 3948
55809 3797
55809 5371
29259 696
23117 4245
31240 3804
23117 3851
23117 5458
31240 5138
55809 3800
29259 3827
31240 7770
23117 4580
23117 5029
31240 5107
31240 3935
23117 3838
23117 6292
31240 3914
31240 4941
23117 567
31240 3822
23117 3899
57932 4357
6665 3907
57932 3910
57932 6659
6665 5036
6665 7114
57932 1977
6665 3909
6665 4034
57932 3782
57932 4491
57932 4100
6665 412
6665 5325
57932 3814
6665 3916
57932 3852
6665 4173
57932 3818
27212 3941
47626 3967
27212 3810
27212 6804
47626 3809
47626 7437
27212 549
47626 4397
47626 6333
27212 4842
27212 5411
47626 3828
47626 3885
27212 437
53837 4095
55819 4505
53837 4000
53837 4640
55819 4862
47626 3978
27212 4791
55819 7453
53837 4253
53837 3982
55819 3812
55819 6340
53837 4786
53837 4937
55819 5705
55819 3968
53837 255
55819 4043
53837 3900
14927 4896
47631 5297
14927 4414
14927 4693
47631 3834
47631 7501
14927 4646
14927 3956
47631 3836
47631 5053
14927 3939
14927 5298
47631 3915
47631 7378
14927 4058
14927 4929
47631 3885
14927 3793
33358 3800
55822 4836
33358 5102
33358 4247
55822 3758
55822 7489
33358 3891
33358 4099
55822 3763
55822 4026
33358 4791
33358 5285
33358 6200
55822 3804
55822 3764
55822 3859
33358 4012
55822 4192
33358 4927
55822 5575
33358 3922
2638 3879
31245 3763
2638 3765
2638 5271
31245 5161
31245 7663
2638 4498
2638 4477
31245 4598
31245 6458
2638 3931
2638 6188
31245 4398
31245 6391
2638 3766
31245 6406
2638 5075
31245 6423
2638 3723
31245 6455
2638 4163
31245 6654
2638 6172
31245 6459
2638 4523
31245 4089
2638 3689
31245 6612
2638 3668
31245 6697
2638 4593
31245 6476
2638 394
31245 5119
2638 3733
45647 3725
6668 3838
45647 4999
45647 3888
6668 5589
6668 7648
45647 4417
45647 3761
6668 3885
6668 6155
45647 3680
45647 6186
6668 3754
45647 6253
6668 3668
6668 3728
45647 3649
6668 3683
45647 5477
6668 5212
45647 3914
39491 4178
47645 3886
39491 3662
39491 5235
47645 5128
47645 7393
39491 4337
39491 3733
47645 3700
47645 6223
39491 3671
39491 6150
47645 3850
47645 4880
39491 4177
47645 3822
39491 3674
47645 3691
39491 7277
8770 3761
55836 3769
8770 3741
8770 4150
55836 3684
55836 7256
8770 3747
8770 3860
55836 4690
55836 6214
8770 3844
8770 3898
55836 5228
55836 5109
8770 3646
55836 3678
8770 3697
55836 3915
8770 4419
43586 6041
31263 3705
43586 3648
43586 4362
31263 3775
31263 8193
43586 4615
43586 5939
31263 4193
31263 5035
43586 5541
43586 3802
31263 3865
31263 6138
43586 575
31263 4671
43586 5120
4675 3836
6686 3689
4675 3674
4675 4598
6686 3683
6686 7796
4675 4486
4675 3790
6686 4071
6686 4923
4675 5066
4675 3944
4675 6129
6686 3722
6686 3653
6686 3751
4675 3673
4675 3692
64065 4663
31258 5042
64065 4399
64065 4536
31258 3658
6686 3720
4675 4632
31258 7349
64065 4342
64065 3735
31258 3689
31258 6145
64065 3787
64065 6146
31258 3668
31258 3782
64065 3685
64065 3689
31258 4692
64065 4937
16960 3677
6683 3785
16960 3743
16960 4230
6683 6738
6683 6791
16960 4800
16960 3892
6683 3867
6683 6773
16960 3687
16960 5060
16960 5084
6683 585
6683 4636
16960 4637
6683 5623
16960 3674
6683 3893
16960 3902
51776 3805
47640 3818
51776 3793
51776 6763
47640 3813
47640 8231
51776 5790
51776 4039
47640 4765
47640 5258
51776 4229
51776 6291
47640 3787
47640 3792
47640 6144
51776 4237
51776 3663
29249 3814
55833 3671
29249 3763
29249 4827
55833 5079
55833 7742
29249 5984
29249 3751
55833 3718
55833 6641
29249 3913
29249 6165
29249 3806
55833 4100
55833 3650
55833 6134
29249 3766
55833 3639
29249 4398
55833 3727
29249 3810
23111 4634
31248 5014
23111 3673
23111 4167
31248 3670
31248 8883
23111 6953
23111 6111
31248 3634
31248 3841
23111 294
31248 3930
31248 970
23111 637
57926 3646
6673 4670
57926 5041
57926 4588
6673 3629
6673 7721
57926 5646
57926 5174
6673 3773
6673 3766
57926 3673
57926 6303
6673 3661
57926 6211
6673 3675
6673 3718
57926 3683
6673 3822
57926 3820
6673 4735
57926 5444
27206 3647
47634 3671
27206 3663
27206 4254
47634 4833
47634 8108
27206 6375
27206 3795
47634 3855
47634 6160
27206 4540
27206 6815
47634 5131
47634 3906
47634 4241
27206 3649
27206 4656
53831 5049
55827 3694
53831 3664
53831 4155
55827 3871
55827 7396
53831 6372
53831 3708
55827 3806
55827 4900
53831 5169
53831 3832
55827 4925
53831 5180
55827 3778
55827 6316
53831 3663
55827 3660
53831 3740
55827 3853
53831 3649
14917 3652
47639 4656
14917 5772
14917 3932
47639 4037
47639 7755
14917 5573
14917 5122
47639 4547
47639 3819
14917 4460
14917 6217
47639 3652
47639 6152
14917 4390
14917 3704
47639 3691
14917 4050
33348 3663
55830 3639
33348 4786
33348 5362
55830 4526
55830 7368
33348 6139
33348 5105
55830 3699
55830 3950
33348 3681
33348 6312
33348 6385
55830 3689
55830 3814
33348 4006
33348 4397
2628 4671
31253 5043
2628 3876
2628 3987
31253 4331
55830 3732
33348 4708
31253 7946
2628 6509
2628 3765
31253 3692
31253 6128
2628 3833
2628 4815
31253 5001
31253 3749
2628 345
45637 3655
6676 3713
45637 3757
45637 6417
6676 3689
31253 3670
2628 3587
6676 7510
45637 5035
45637 3725
6676 3818
6676 4847
45637 5949
45637 3800
6676 3825
6676 714
45637 4705
45637 4769
6676 3658
45637 3806
23112 3683
31236 4797
23112 5132
23112 4020
31236 4357
31236 6844
23112 5587
23112 5041
31236 3684
31236 3807
23112 6229
31236 3674
31236 6103
31236 3789
23112 3914
23112 3750
57929 3642
6661 3683
57929 4691
57929 5425
6661 3697
6661 7083
57929 4603
57929 6042
6661 4187
6661 3809
57929 3766
57929 6172
6661 4471
57929 4802
6661 5381
6661 3785
6661 3668
57929 3830
57929 3859
27209 3661
47622 4701
27209 4989
27209 4110
47622 3712
47622 7365
27209 5640
27209 3804
47622 4079
47622 3946
27209 3842
27209 6263
47622 3728
47622 6622
47622 3764
27209 3645
27209 3810
53832 3787
55815 4250
53832 6153
53832 5312
55815 3740
55815 7091
53832 4820
53832 5138
55815 4226
55815 3811
53832 3674
53832 6267
55815 3672
53832 6131
55815 3769
55815 3751
55815 3654
53832 3790
53832 4888
14922 5565
47619 4236
14922 4040
14922 4160
47619 3818
47619 7301
14922 4995
14922 4349
47619 3678
47619 6279
14922 3662
14922 3852
47619 4787
47619 5115
14922 3778
14922 3735
47619 3673
14922 3710
33355 4822
55810 4994
33355 3699
33355 4767
55810 4359
55810 7113
33355 4849
33355 3742
55810 3843
55810 4861
33355 5017
33355 3822
55810 3795
33355 6432
55810 5177
33355 6384
55810 5226
55810 4927
33355 1237
2635 3719
31233 3809
2635 3646
2635 5004
31233 5149
55810 4270
33355 3641
31233 8689
2635 6233
2635 3733
31233 5198
31233 5220
2635 3699
2635 6203
31233 4274
31233 5624
2635 3624
2635 5277
31233 3692
2635 3604
45642 4132
6656 3665
45642 3875
45642 6432
6656 3676
6656 7130
45642 4990
45642 3749
6656 5002
6656 5243
45642 3714
45642 6304
6656 3821
45642 3780
6656 3657
6656 6067
45642 3635
6656 3704
45642 3700
6656 3678
45642 3621
39500 3743
47625 4612
39500 5235
39500 3831
47625 3728
47625 7654
39500 6118
39500 4497
47625 3862
47625 3802
39500 4693
39500 5185
47625 3670
47625 6170
39500 175
47625 3659
39500 3777
8781 4107
55816 4618
8781 5236
8781 4195
55816 4571
55816 6842
8781 4890
8781 5084
55816 3795
55816 3792
8781 3752
8781 6181
8781 6223
55816 3626
55816 3715
55816 3738
55816 4702
8781 3816
55816 5561
8781 4388
43597 4156
31243 4430
43597 4387
43597 5167
31243 5196
31243 7135
43597 4839
43597 3727
31243 4264
31243 6168
43597 3691
43597 6742
31243 3750
31243 3788
43597 1498
31243 5052
43597 3617
4684 3895
6666 3693
4684 4202
4684 5264
6666 5269
6666 7160
4684 5052
4684 4172
6666 3831
6666 6136
4684 3671
4684 6184
6666 3714
4684 6990
4684 6448
6666 3872
6666 5297
6666 5203
4684 3667
6666 4229
4684 3799
6666 3757
4684 4453
64078 3773
31246 4785
64078 5151
64078 3949
31246 3729
31246 7261
64078 716
31246 31
64078 4135
64078 5181
31246 342
64078 3644
31246 3747
64078 3667
31246 3659
64078 3885
16975 3843
6671 5553
16975 3846
16975 6752
6671 4485
6671 7703
16975 5710
16975 5158
6671 3696
6671 3873
16975 3878
16975 6307
6671 3643
6671 6149
16975 3676
6671 3758
16975 3657
6671 3692
16975 3842
51791 4213
47628 4647
51791 5739
51791 3949
47628 3728
47628 7571
51791 6580
51791 3729
47628 3817
47628 3764
51791 4910
51791 5242
47628 3832
51791 6134
47628 3670
47628 3758
51791 561
29262 4828
55821 5045
29262 3764
29262 4416
55821 3662
47628 3711
51791 3736
55821 7300
29262 5204
29262 3750
55821 3682
55821 6261
29262 4348
29262 3878
55821 4784
55821 5190
29262 3775
29262 3743
55821 3837
29262 4710
23126 5014
31276 3639
23126 3685
23126 4438
31276 4260
31276 7383
23126 4365
23126 3793
31276 4290
31276 6259
23126 4612
23126 4973
23126 5153
31276 3665
31276 3685
31276 4912
23126 2014
57943 3763
6701 3817
57943 3817
57943 3941
6701 4755
31276 5109
23126 3690
6701 7176
57943 4765
57943 3789
6701 4612
6701 5122
57943 4214
57943 6182
6701 3699
6701 5037
57943 3732
57943 5778
6701 3655
57943 3694
27223 3650
47662 3644
27223 3744
27223 6375
47662 4734
47662 7215
27223 5921
27223 4188
47662 3634
47662 6699
27223 3697
27223 6217
47662 3699
27223 6446
47662 4550
27223 6453
47662 3856
47662 3818
27223 3635
27223 3735
53846 3665
55855 3663
53846 4668
53846 5269
55855 3656
47662 3654
27223 4257
55855 7486
53846 5795
53846 4460
55855 3777
55855 3840
53846 4596
53846 5154
55855 3774
55855 6262
53846 289
14932 3799
47659 3714
14932 3773
14932 6313
47659 3801
55855 3841
53846 3648
47659 8026
14932 6144
14932 7404
47659 3737
47659 4338
14932 3693
14932 6171
47659 4050
47659 6264
14932 39
33365 3725
55850 3641
33365 3604
33365 5148
55850 4951
47659 3814
14932 3620
55850 7243
33365 5489
33365 4693
55850 5073
55850 3849
33365 4360
33365 6145
55850 4252
33365 5574
55850 3672
55850 5103
33365 3682
33365 3714
55850 3748
33365 3598
2645 3659
31273 4655
2645 5096
2645 4698
31273 3748
31273 7292
2645 4289
2645 5082
31273 3932
31273 3777
2645 5083
2645 5171
31273 3676
31273 6147
2645 3685
31273 4119
2645 4515
31273 3656
2645 3689
45652 3699
6696 5144
45652 5079
45652 4587
6696 3667
6696 7731
45652 5023
45652 5151
6696 3693
6696 3778
45652 4669
45652 5205
6696 3800
6696 4712
45652 5011
6696 3660
45652 3637
45652 4791
39506 3686
47649 3642
39506 3715
39506 6469
47649 3801
47649 8147
39506 6196
39506 4765
47649 5059
47649 3880
39506 3798
39506 6320
47649 4546
47649 3810
39506 3679
47649 4695
39506 5083
47649 4166
39506 3664
8787 3806
55840 3658
8787 3660
8787 6437
55840 3769
55840 7519
8787 5438
8787 3738
55840 6136
8787 3702
8787 6148
55840 3659
55840 6295
8787 4305
55840 3709
8787 3694
8787 3668
43603 3675
31267 4669
43603 4990
43603 4137
31267 3756
31267 7152
43603 4037
43603 5113
31267 3661
31267 3788
43603 5755
43603 5720
31267 4173
43603 6309
31267 3778
31267 3741
43603 5977
31267 3959
43603 3866
31267 4341
43603 4648
4690 3697
6690 3698
4690 3694
4690 6453
6690 3695
6690 7194
4690 5152
4690 3861
6690 4677
6690 5642
4690 4146
4690 6314
6690 3666
6690 4797
4690 5108
6690 3742
4690 4366
6690 3771
64080 3751
31270 3810
64080 3764
64080 6222
31270 4313
31270 7215
64080 5250
64080 6330
31270 3885
31270 3841
64080 3845
64080 6244
31270 3697
64080 4770
31270 5591
31270 3722
64080 3785
31270 3648
64080 3817
31270 3709
64080 4712
16977 5043
6695 3955
16977 3642
16977 3991
6695 3782
6695 7466
16977 4131
16977 3881
6695 3698
6695 7752
16977 4196
16977 3989
6695 5120
6695 5288
16977 3875
16977 4473
51793 4106
47652 5489
51793 3674
51793 5308
47652 4246
6695 3880
16977 3643
47652 7277
51793 4401
51793 3917
47652 3873
47652 4958
51793 5156
51793 3787
51793 6351
47652 607
47652 6229
51793 3713
47652 4102
51793 3670
47652 3676
51793 3791
29264 3638
55845 4667
29264 4956
29264 4109
55845 3691
55845 7360
29264 5196
29264 3852
55845 4468
55845 3784
29264 4795
29264 5738
55845 3848
55845 6178
29264 3778
29264 3716
55845 3658
29264 3617
39517 3675
47669 4681
39517 5214
39517 4086
47669 3737
47669 7248
39517 5488
39517 5083
47669 3804
47669 3791
39517 4710
39517 5150
39517 5264
47669 1954
47669 3752
39517 3641
47669 3692
39517 5065
47669 3697
39517 4950
8796 3713
55860 4145
8796 3791
8796 4127
55860 4690
55860 876
8796 615
8796 6186
55860 4084
55860 6519
8796 5153
55860 6901
8796 5187
55860 7135
8796 5393
55860 7843
8796 6130
55860 7148
8796 5365
55860 6408
8796 6170
55860 6405
55860 6411
8796 6131
55860 6432
8796 5034
8796 1147
43612 4786
31287 4778
43612 5008
43612 4813
31287 3648
31287 8180
43612 6744
43612 5191
31287 3852
31287 3842
43612 4667
43612 5160
31287 3729
43612 6338
31287 3655
31287 6136
43612 3636
31287 3732
43612 3962
31287 3664
43612 3776
4701 3650
6710 4636
4701 5480
4701 4110
6710 3654
6710 8161
4701 6529
4701 5291
6710 3765
6710 3817
4701 4815
4701 6224
6710 3797
6710 6875
4701 4256
4701 3636
6710 3700
4701 3580
64095 3762
31282 4778
64095 4154
64095 5393
31282 3666
31282 7356
64095 5800
64095 5427
31282 3712
31282 3791
64095 3729
64095 6168
31282 3784
64095 6107
31282 596
64095 789
31282 505
64095 322
16990 1646
6707 3782
16990 5815
6707 5331
6707 7704
16990 6316
16990 4160
