flow_ID proc_time
38019 9757
24037 4182
38019 3803
38019 7175
24037 3982
24037 12004
38019 4881
38019 0
24037 6480
38019 3802
38019 4458
38019 918
38019 1460
24037 3900
24037 3898
38019 3853
24037 3958
38019 4343
24037 3835
38019 3852
24037 4031
38019 779
38019 5317
24037 3975
24037 3843
24037 4417
38019 4092
42212 4262
40303 9335
42212 602
42212 0
40303 4031
40303 7510
42212 4650
40303 4358
42212 4385
42212 3843
42212 3918
42212 3943
42212 4418
40303 6110
42212 4420
40303 4002
42212 3868
40303 3915
40303 79
40303 0
42212 3803
40303 4068
42212 115
42212 3610
40303 737
40303 4244
42212 4054
38088 4545
23809 4017
38088 3910
38088 4810
23809 6398
23809 6024
38088 3837
23809 5348
38088 3844
38088 3970
38088 3988
38088 1210
38088 453
38088 0
23809 81
23809 0
23809 4040
38088 3991
23809 4546
38088 3917
23809 4062
38088 5295
57886 4199
55007 5221
57886 4098
57886 5147
55007 4337
55007 5096
57886 3967
57886 4046
55007 4991
57886 3868
38088 582
23809 3850
23809 4067
38088 6395
23809 3888
38088 3810
57886 4247
55007 4304
57886 5051
38088 1517
23809 3972
23809 4110
38088 4078
23809 3907
38088 3881
38088 4007
38088 315
38088 3913
23809 4950
23809 6070
38088 3869
23809 3866
38088 4220
23809 3962
23809 4248
38088 3874
23809 3987
38088 3888
38088 3940
38088 5136
64794 4045
23809 5155
27681 4232
64794 6762
23809 3984
23809 3775
64794 4752
38088 3745
40353 3801
27681 4008
27681 7790
64794 4247
27681 4029
64794 3804
64794 3969
64794 4057
59623 3766
40353 4824
27681 5251
27681 4386
27681 4065
40353 4672
64794 4135
59623 3851
59623 5365
40353 3841
64794 4967
27681 5515
40353 4217
27681 4181
64794 3968
27681 4272
27681 5307
64794 3808
27681 5709
64794 3848
27681 8770
64794 5083
40353 5305
40353 3889
27681 4196
59623 4168
40353 3823
59623 3964
40353 3800
59623 111
59623 0
40353 3780
40353 4696
59623 4566
59623 4287
40353 3910
59623 4486
59623 5237
40353 5292
59623 4366
40353 3822
59623 4773
40353 3926
59623 5324
59623 5628
40353 3930
59623 4320
59623 4265
40353 3934
59623 6862
40353 6294
59623 4313
40353 3941
59623 4305
59623 5263
40353 3938
59623 5798
40353 4195
38088 4097
38088 3897
23809 3856
23809 176
23809 0
38088 3851
42386 4068
33031 5247
42386 5229
42386 4740
33031 3974
33031 5159
42386 3973
42386 4634
33031 3862
42386 4130
38088 572
38088 0
23809 4106
23809 110
38088 3991
38088 3843
38088 4225
42386 7340
23809 4429
23809 56
38088 3924
38088 896
23809 4089
23809 1019
38088 5060
30163 5197
33031 5843
42386 4035
38224 4056
30163 4212
30163 5060
38088 3943
38088 3917
38224 4098
38224 7502
30163 4737
38224 4473
30163 3994
30163 3976
23809 3837
23809 2158
38088 3813
45191 5037
30163 5639
52952 3910
45191 6608
45191 4408
40353 4052
38088 4012
42386 3883
42386 3894
64794 238
64794 0
57886 5098
52952 5245
57886 4576
40353 4031
40353 3946
38088 112
52952 5564
45191 4061
45191 231
45191 0
27681 3914
64794 3904
23809 448
38088 4093
59623 4290
59623 3905
40353 4006
59623 4069
40353 4979
52952 3931
52952 5350
52952 4532
38224 6386
45191 3899
45191 564
52952 3940
45191 3936
30163 5047
33031 5177
42386 5378
33031 4427
42386 3859
55007 4425
57886 3931
55007 3900
57886 3982
55007 4308
57886 4062
38224 4089
38224 4122
30163 1130
30163 330
30163 0
25715 4090
23718 3962
25715 3854
25715 1204
25715 0
25715 3985
23718 360
23718 0
23718 3816
23718 6164
25715 7441
23718 4846
25715 3876
25715 3947
25715 4010
25715 4101
25715 3909
25715 167
23718 853
23593 4925
49480 3868
49480 5334
23593 3899
49480 6470
23593 3846
23593 4010
23593 6511
49480 4148
49480 4872
49480 4517
23593 4135
49480 3947
23593 5078
25715 1143
23718 3873
49480 4478
49480 4428
23718 4000
25715 3964
23718 3896
25715 4037
23593 5371
23593 5906
25715 4064
25715 4123
49480 4180
49480 4031
23593 464
23593 44
23593 0
23718 3864
23718 1183
49480 5523
23593 4112
25715 3814
25715 3905
25715 2479
1137 4110
23718 3839
23718 3900
25715 3864
40097 5039
1137 5219
1137 4637
40097 3865
40097 5101
1137 4019
1137 3940
1137 4020
1137 2402
1137 0
1137 3927
1137 4179
40097 4040
40097 3951
40097 4101
1137 3861
40097 4189
1137 4154
40097 4928
1137 5264
40097 4095
1137 3858
40097 3855
1137 5378
64559 4482
49474 6276
64559 4241
64559 5525
49474 3982
40097 5365
49474 5030
64559 4038
49474 4639
64559 4039
