flow_ID proc_time
55799 6028
49235 4565
55799 6771
49235 824
55799 12866
49235 5118
55799 4672
55799 4885
49235 6108
49235 6681
55799 4707
55799 5562
12789 5586
41047 7677
12789 5698
41047 4547
49235 4333
55799 4512
41047 9777
12789 5455
41047 6066
12789 3254
41047 4850
12789 7131
41047 2853
12789 5482
12789 8681
35316 6709
49238 4865
35316 5120
49238 4878
49238 6094
35316 4289
49238 2401
35316 1715
49238 7495
49238 5524
35316 7954
49238 4181
35316 470
49238 6577
500 6140
24661 7614
500 878
24661 6136
24661 8793
500 7373
500 5629
24661 4183
24661 6753
500 5163
500 4763
24661 1820
500 496
24661 2319
500 8086
47605 7013
84 4716
47605 7294
47605 6757
84 5297
47605 6858
84 7986
47605 11772
84 6689
47605 2165
84 3130
47605 2312
84 4391
84 5156
47605 10820
20984 3407
24644 6125
20984 6241
24644 4559
24644 5348
20984 4637
24644 8003
24644 4129
20984 6698
20984 5138
24644 4140
20984 5987
24644 6202
20984 5917
24644 6479
20984 7131
24644 4393
20984 7761
59897 4237
69 7056
59897 4562
59897 8132
69 5948
69 8585
59897 6514
59897 8078
69 1498
59897 3648
69 6771
69 8590
59897 7506
69 4426
59897 3995
25081 2289
41030 5614
25081 6571
41030 4637
41030 6984
25081 5906
41030 5773
41030 7751
25081 1437
41030 6087
25081 7511
41030 3412
25081 1629
55800 6454
49223 4935
55800 5535
55800 8207
49223 7084
41030 6517
25081 4865
49223 7742
55800 4516
49223 5017
55800 6418
55800 6579
49223 4963
49223 6439
55800 6168
49223 7204
55800 5841
12794 256
41027 8097
12794 10313
41027 7497
41027 6805
12794 7853
12794 6020
41027 4650
41027 6197
12794 5173
12794 4228
41027 817
12794 4231
35323 5356
49218 7617
35323 5493
35323 8362
49218 6642
41027 6462
12794 7585
49218 7460
35323 7670
49218 3468
35323 2282
49218 7899
49218 6620
35323 4591
35323 6417
507 6788
24641 6064
507 6069
24641 5063
49218 7678
35323 4087
24641 5806
507 4804
24641 5728
24641 5517
507 4474
24641 7217
24641 6143
507 6997
507 6603
24641 9103
507 7905
47610 7436
64 4712
47610 6065
47610 5745
64 5250
10749 6485
49224 4496
41033 6339
37372 4387
49224 5840
10749 6961
49224 3837
10749 2085
49224 6726
49224 5743
10749 8346
49224 5910
10749 4997
49224 7572
10749 6596
49224 6655
10749 7737
49224 4652
10749 7191
49224 5813
10749 8988
49224 5510
10749 4830
49224 7151
10749 5543
49224 5059
10749 6757
49224 5734
10749 4375
49224 6500
10749 5641
49224 6699
10749 5527
49224 4514
10749 5944
49224 6661
10749 4254
49224 5328
10749 4802
41469 6304
24651 5276
41469 3315
24651 7201
24651 7582
41469 6273
41469 5226
24651 6501
41469 2461
24651 3922
41469 8420
24651 7160
24651 4822
41469 7043
24651 1985
41469 8116
41469 4647
6652 7004
74 5200
6652 904
74 5122
74 6107
6652 4306
74 5658
74 7455
6652 5821
6652 8364
74 3446
6652 4793
74 6269
6652 109
74 8830
61950 7439
24654 7726
61950 7640
61950 4300
24654 5237
24654 7339
61950 3860
24654 3163
61950 975
24654 6918
24654 286
61950 4099
61950 4138
24654 6983
18943 903
79 6020
18943 4512
79 7146
79 5730
18943 4126
79 6291
79 6531
18943 4987
18943 5797
79 4740
79 8223
18943 4928
79 4668
18943 5400
49663 7485
41036 4311
49663 1575
41036 4307
41036 7468
49663 5140
41036 3120
49663 4821
49663 6792
41036 3236
41036 4091
49663 7329
41036 5679
49663 4114
41036 6606
31230 5945
49229 6763
31230 4564
49229 4073
49229 7683
31230 6300
49229 5812
49229 5243
31230 6321
31230 6258
49229 4142
49229 4291
31230 2358
49229 7928
31230 6415
20966 6207
24684 5798
20966 4054
20966 4788
24684 6028
24684 8782
20966 7115
20966 5845
24684 7043
20966 3252
20966 2071
24684 2674
24684 4099
20966 4957
59879 4121
109 6150
59879 7631
109 6174
24684 6074
20966 4190
109 7698
59879 194
109 1553
59879 6313
109 3832
109 5821
59879 6737
59879 1050
109 7569
25063 1907
41070 13375
41070 5426
41070 8932
25063 8990
25063 7343
41070 3258
25063 1082
41070 5651
25063 8745
41070 6344
25063 6988
41070 4794
25063 4029
41070 6316
25063 5519
55782 3875
49263 5140
55782 2908
49263 5350
49263 7959
55782 6328
55782 4975
49263 8227
49263 6405
55782 2544
49263 2373
55782 3159
49263 7230
55782 4103
12772 8975
41067 5534
12772 3451
41067 5288
41067 6548
12772 2820
41067 3010
12772 2686
12772 4551
41067 4275
41067 1714
12772 4074
12772 5015
41067 6296
35301 1584
49258 5432
35301 5036
49258 3701
49258 6453
35301 5252
35301 7427
49258 6796
49258 4670
35301 6153
49258 2177
49258 3228
35301 1966
485 2086
24681 5792
485 6924
24681 5236
24681 5147
485 2624
24681 4760
24681 5155
485 6873
485 4101
24681 6921
485 4608
24681 4592
24681 4526
485 6757
47588 2772
104 4842
47588 4990
104 4595
104 5147
47588 5551
47588 7470
104 6192
104 5738
47588 534
104 2763
47588 4666
104 7945
47588 4025
104 6004
47588 6470
37346 2057
41057 7066
37346 4994
41057 4011
41057 5526
37346 6778
41057 5096
41057 8049
37346 5874
37346 4894
41057 6338
37346 6667
41057 1253
37346 4958
10723 5621
49248 6916
10723 6298
10723 4742
49248 4006
49248 7221
10723 5112
49248 5229
49248 6604
10723 4314
10723 6654
49248 3532
10723 6773
10723 1976
49248 6762
41443 1531
24675 5090
41443 4360
24675 6467
24675 6466
41443 6269
24675 5532
24675 7187
41443 5619
41443 4076
24675 4364
41443 497
24675 4953
24675 8650
41443 7197
6626 5771
98 4051
6626 734
98 4366
98 7966
6626 5616
98 6528
98 5787
6626 4071
6626 4750
98 7059
98 7880
6626 4333
98 4016
6626 6196
61920 5190
24678 6469
61920 1635
24678 8575
18913 3134
103 8961
18913 7914
103 6146
24678 3699
61920 4625
103 6294
18913 2092
103 6807
18913 3989
103 3976
18913 3906
49633 6949
41060 6759
49633 4590
41060 5353
103 3851
18913 3650
41060 5728
49633 4881
41060 7799
49633 5886
49633 2541
41060 3222
41060 4155
49633 1542
31200 1670
49253 6752
31200 6303
49253 4840
41060 5325
49633 4049
49253 6109
31200 6633
31200 5160
49253 6353
31200 4021
49253 3848
49253 7382
31200 3687
37357 5993
41077 8076
37357 7553
37357 5863
41077 7376
49253 7465
31200 4431
41077 7331
37357 5616
37357 7045
41077 3444
37357 5113
37357 7776
41077 2848
41077 7049
37357 5858
37357 6192
10732 4626
49268 6253
10732 2764
49268 5699
41077 6154
37357 4799
49268 7553
10732 3717
49268 8347
49268 4457
10732 4154
49268 2970
6637 4095
118 6032
6637 6014
118 4977
24695 3880
41452 8555
118 6830
6637 430
118 6408
118 7322
6637 6790
6637 7220
118 2186
6637 4126
61935 309
24690 5085
61935 6533
24690 4421
118 4912
6637 6389
24690 7616
61935 3729
24690 6879
61935 4273
61935 6617
24690 2545
24690 5514
61935 1584
18926 5629
115 6242
18926 2460
115 3936
24690 8002
61935 5857
115 4992
18926 5651
18926 6215
115 917
18926 6816
115 3840
18926 3113
49646 7259
41072 5273
49646 3898
49646 5920
41072 4323
115 6486
18926 3746
41072 7109
49646 4529
41072 3345
49646 6335
49646 1215
41072 3522
41072 5052
49646 6327
41072 4499
49646 3963
41072 5436
49646 3917
31215 5050
49265 8053
31215 6552
31215 7805
49265 5182
49265 5264
31215 5671
31215 7867
49265 5795
49265 6813
31215 4829
31215 6607
49265 2171
31215 3248
20969 4381
24696 6169
20969 4347
20969 5092
24696 6995
49265 4372
31215 6462
24696 6420
20969 5824
20969 5198
24696 6546
24696 5012
20969 5314
24696 2034
20969 5482
20969 4461
24696 4067
20969 8716
59880 7197
121 5364
59880 4176
121 4090
121 6323
59880 5295
121 7665
59880 4178
59880 4869
121 3943
121 5356
59880 4250
25064 3869
41082 5395
25064 7053
41082 6102
121 6255
59880 5306
41082 5166
25064 5958
25064 6047
41082 2613
25064 486
41082 3448
25064 4765
55785 7328
49275 5714
55785 6004
55785 6010
49275 9267
41082 7374
25064 7139
49275 5736
55785 7265
55785 7425
49275 1734
55785 2169
55785 4171
49275 5047
49275 7665
55785 4917
55785 7052
49275 4189
55785 4302
12779 5279
41087 6146
12779 5127
41087 4671
41087 9623
12779 8134
12779 7521
41087 2496
12779 1753
41087 7293
12779 4020
41087 7354
12779 5860
41087 3914
12779 6789
