flow_ID proc_time
7814 5575
2834 9868
7814 5779
2834 4582
2834 4602
7814 9568
7814 4110
2834 4072
2834 4071
7814 3970
2834 4147
7814 4950
2834 5577
7814 8855
2834 5257
7814 3910
2834 4346
7814 3921
63108 4017
27414 3886
63108 3891
63108 7451
27414 4095
27414 5041
63108 1753
63108 3888
27414 615
27414 5241
63108 4935
27414 4092
63108 3950
27414 3826
63108 624
20101 3989
2839 4474
20101 5953
20101 4769
2839 4117
27414 3971
63108 3743
2839 7666
20101 1689
2839 8954
2839 3929
2839 4144
20101 3917
2839 4533
20101 3857
2839 5044
20101 1429
2839 6291
20101 4179
50821 3945
43796 4040
50821 3891
50821 5136
43796 3925
43796 7685
50821 4392
50821 3941
43796 3973
50821 4357
43796 4024
43796 4515
50821 3956
43796 5097
50821 5342
43796 4935
50821 4543
50821 4056
43796 3968
50821 4111
32388 3903
51989 4120
32388 4119
32388 5840
51989 5304
51989 5004
32388 3999
32388 3941
32388 4073
32388 4444
51989 7488
51989 914
51989 4046
32388 3953
51989 4192
32388 3908
51989 4038
32388 4455
51989 4076
32388 5392
51989 6478
32388 3901
38537 3873
43781 3945
38537 3936
38537 5221
43781 3925
43781 6709
38537 3961
38537 128
43781 371
43781 4493
38537 4021
43781 4484
38537 3310
43781 10614
43781 3901
38537 6206
11912 4076
51972 3938
11912 3923
11912 4326
51972 3921
51972 7698
11912 4075
11912 4101
11912 80
51972 4414
51972 4107
51972 5124
51972 5251
11912 5264
51972 4489
11912 3908
51972 4134
11912 4905
51972 4009
11912 4059
51972 4431
11912 5300
42632 4373
27399 5297
42632 4036
42632 4546
27399 5228
27399 7219
42632 4228
42632 4077
42632 7147
27399 5444
27399 3905
27399 4153
42632 4796
27399 5500
42632 3930
27399 4055
42632 228
7817 4135
2822 3994
7817 3933
7817 5853
2822 5434
27399 4167
42632 4177
2822 5436
7817 6044
7817 6758
2822 672
2822 4925
2822 4054
7817 3831
2822 3908
7817 3810
2822 3890
7817 3798
2822 4818
7817 7873
2822 4758
7817 3822
63115 3899
27394 3851
63115 5156
63115 4232
27394 4311
27394 6146
63115 4720
63115 5225
63115 3975
27394 3834
27394 3837
27394 4102
63115 3797
27394 4146
63115 4799
27394 5304
63115 3803
27394 3867
63115 4301
27394 3815
63115 3982
20106 3946
2819 3826
20106 4707
20106 6843
2819 4021
2819 5376
20106 3804
20106 3971
20106 6544
2819 3820
2819 4808
2819 5390
20106 3935
2819 4118
20106 3922
2819 3968
20106 4007
2819 4149
20106 4093
2819 3939
20106 4907
50826 5513
43776 3864
50826 3911
50826 4604
43776 3917
43776 5078
50826 4077
50826 4009
50826 5011
43776 5265
43776 4065
51969 3818
32395 3987
32395 4487
51969 4471
51969 6363
32395 4470
32395 5576
32395 4449
32395 3871
51969 190
51969 164
51969 3913
32395 3818
51969 4950
32395 5152
51969 4072
32395 250
22157 3808
27400 3969
22157 3811
22157 4390
27400 5017
51969 5114
32395 3762
27400 5223
22157 3873
22157 3847
22157 3932
27400 1534
27400 5055
22157 5475
27400 4056
22157 3799
27400 4372
22157 3756
27400 5288
22157 3935
27400 5684
22157 4765
27400 6258
22157 3812
27400 6627
22157 4222
27400 4228
22157 3912
27400 4160
22157 4886
27400 5690
22157 3891
27400 4441
22157 4260
27400 6865
22157 4164
27400 4280
2825 13805
61068 12382
43786 10483
26252 1581
43786 3959
