flow_ID proc_time
24272 4187
29732 12042
24272 7272
29732 4508
29732 12120
24272 5233
24272 5548
29732 4057
29732 4180
24272 3903
24272 5241
29732 5376
29732 4255
24272 4206
29732 8372
24272 6752
29732 5986
24272 4880
59089 8782
5157 3833
59089 4146
59089 4355
5157 206
59089 4365
59089 3992
5157 3953
5157 4981
59089 5984
59089 3983
5157 10299
5157 4210
59089 4977
59089 5340
28369 3863
46118 3985
28369 3937
28369 8874
46118 7356
5157 8053
59089 4082
46118 5298
28369 5041
28369 5306
46118 4231
46118 4177
28369 4765
28369 4136
46118 6599
46118 3954
28369 6244
28369 4066
46118 6603
28369 11794
54992 4041
54311 3981
54992 4280
54992 6982
54311 4290
54311 6786
54992 4757
54311 4060
54311 5507
54992 3948
54992 4071
54311 3899
54311 6507
54992 11896
54311 4137
54992 3832
16082 4013
46115 6343
16082 4071
16082 6632
46115 5074
46115 12475
16082 4786
46115 4515
46115 5046
16082 7506
16082 4087
16082 4268
46115 3898
46115 198
16082 3985
46115 3946
16082 4384
46115 5710
16082 5167
34515 2997
54306 10646
34515 5618
54306 5214
54306 5792
34515 3964
34515 3852
54306 5190
34515 5619
34515 3951
54306 3784
54306 3910
34515 6082
34515 3939
54306 12647
34515 4322
3795 6320
29729 4261
3795 3999
3795 6632
29729 4035
29729 12567
3795 958
29729 3932
29729 4076
3795 6230
3795 4337
3795 3979
29729 4126
29729 5361
3795 5924
29729 4552
3795 3911
29729 3965
3795 4129
46802 6225
5152 5830
46802 5016
46802 4447
5152 4427
5152 7475
46802 102
5152 4366
5152 13066
46802 3248
5152 3862
5152 4020
46802 6411
46802 3858
5152 4928
46802 5194
40660 12143
46121 3922
40660 3905
40660 6616
46121 4137
46121 5135
40660 4112
40660 4314
46121 10304
46121 5428
40660 4020
40660 3998
40660 3986
46121 6378
46121 3974
46121 5625
40660 4905
40660 4430
9941 4784
54312 5127
9941 3908
9941 4289
54312 3847
46121 3943
40660 12889
54312 7504
9941 5959
9941 4133
54312 6234
54312 6501
9941 3986
9941 4148
54312 5169
54312 5440
9941 4975
9941 5749
44757 4140
29739 3871
44757 4127
5844 11660
5162 5035
5844 5105
5844 7884
5162 5583
5162 5105
5844 5116
5844 7190
5162 6227
5162 6262
5844 4002
5844 4985
5162 4609
5162 4192
5844 5459
5844 5461
5162 5266
5844 10042
65238 4186
29742 4125
65238 6304
65238 10926
29742 4935
29742 6181
65238 6128
65238 4200
29742 3923
29742 4120
65238 6764
65238 4749
29742 3854
29742 3851
29742 4048
65238 4861
65238 7913
18135 3816
5167 5791
18135 5118
18135 5474
5167 6126
29742 4183
65238 3887
5167 5133
18135 5044
18135 4900
5167 5508
5167 4081
18135 3914
18135 6384
5167 4192
5167 12642
18135 6944
5167 6284
18135 4110
5167 6706
18135 4490
5167 5408
18135 11426
5167 6363
18135 3887
5167 4320
18135 3973
5167 12789
18135 11224
5167 6670
18135 3916
5167 9017
18135 4440
5167 6707
18135 3994
5167 5147
18135 13332
5167 6227
18135 3840
5167 6786
18135 3997
5167 9957
18135 4501
18135 6621
5167 3860
18135 3819
52951 4112
46124 3858
52951 5021
52951 10919
46124 3992
46124 5303
52951 4899
52951 5420
46124 3825
46124 4206
52951 4753
52951 5243
46124 5952
52951 4167
46124 4009
46124 4369
52951 5529
52951 9139
30422 12281
54317 4588
30422 4068
30422 4383
54317 5606
46124 5467
52951 3877
54317 10956
30422 5216
30422 3952
54317 3896
54317 4020
29708 3777
29708 4918
24270 5146
24270 6606
29708 4800
29708 5083
29708 3900
24270 3760
24270 3805
59087 5043
5133 9955
59087 3959
59087 4246
5133 3907
29708 3888
24270 6082
5133 5170
59087 5460
5133 4953
5133 5864
59087 3795
59087 4399
5133 3753
5133 4063
59087 4795
59087 12442
28367 6599
46094 3904
28367 3944
28367 4412
46094 6045
5133 5362
59087 3726
46094 13824
28367 5480
28367 5485
46094 3982
46094 3992
28367 3775
28367 5038
28367 12432
46094 9669
46094 3941
28367 4000
28367 3856
54990 6234
54287 3931
54990 3875
54990 4371
54287 11720
46094 5572
28367 6058
54287 5360
54990 4035
54990 4253
54287 6393
54287 5003
54990 5226
54287 3783
54287 4919
54990 6554
54990 3774
54287 3898
54990 5996
16076 11827
46091 10170
16076 6164
16076 4419
46091 3923
46091 5206
16076 6532
16076 3979
46091 11166
16076 4091
16076 5071
46091 5338
16076 4058
46091 4049
46091 3965
16076 5125
46091 11845
16076 4044
46091 4022
16076 3826
34509 4001
54282 4887
34509 5199
34509 4536
54282 11079
54282 6312
34509 5683
34509 4328
54282 3939
54282 4203
34509 6299
34509 6744
54282 109
34509 4040
54282 4144
34509 4980
54282 5477
34509 3837
3789 3962
29705 11180
3789 4379
3789 5660
29705 4036
29705 5334
3789 4186
