flow_ID proc_time
9351 4264
54032 6330
9351 4058
9351 5251
54032 3945
54032 14514
9351 3758
54032 1103
54032 4596
9351 3926
54032 4015
9351 4548
9351 3937
54032 3921
9351 4063
54032 3852
44167 6157
29459 3871
29459 5291
44167 1159
29459 3998
44167 4025
29459 1238
44167 4269
29459 3971
44167 4866
29459 4031
44167 600
29459 4493
29459 3796
44167 3924
5254 3955
4882 3955
5254 3810
5254 4458
4882 3775
4882 7280
5254 1358
4882 3845
5254 5255
4882 3964
4882 6903
5254 5625
4882 3918
5254 4147
4882 3861
5254 4675
4882 3806
5254 4431
4882 4372
5254 3858
64644 3788
29462 4473
64644 4505
64644 5636
29462 3962
29462 5131
64644 1013
64644 4066
29462 311
29462 159
64644 4688
29462 4947
64644 5046
29462 5479
29462 4465
64644 3805
17541 3831
4887 3896
17541 1691
4887 4027
4887 5011
17541 119
17541 564
17541 957
4887 222
4887 1118
17541 4391
4887 3924
17541 3828
4887 3898
17541 3822
17541 3880
52357 3823
45844 4893
52357 3801
52357 5797
45844 4734
4887 3887
17541 3911
45844 5167
52357 1990
52357 4234
45844 291
45844 420
45844 5008
45844 5396
52357 1348
29828 3997
54037 3810
29828 3793
29828 4361
54037 3878
45844 3963
52357 3838
54037 5340
29828 1713
29828 25
29828 1198
54037 3907
54037 1017
54037 30
29828 3992
54037 4064
29828 4143
54037 3908
29828 2293
40073 3815
45829 4074
40073 925
45829 8868
54037 7403
29828 5418
45829 6945
40073 1178
40073 7
45829 663
45829 2716
40073 3878
45829 4039
40073 4853
45829 4147
40073 1182
9352 3990
54020 3894
9352 3935
9352 4324
54020 3938
45829 4946
40073 5161
54020 5149
9352 1369
9352 119
9352 4129
54020 1436
54020 1308
54020 189
9352 601
54020 5838
54020 4623
9352 2323
44168 3865
29447 3993
44168 4001
44168 4291
29447 3891
54020 3804
9352 3752
29447 5262
44168 1791
29447 5220
44168 3909
29447 1452
44168 4042
29447 4852
44168 3903
29447 3996
44168 3931
29447 3995
4870 4986
5257 105
5257 914
4870 1197
4870 178
5257 4929
4870 4122
5257 4721
4870 4069
5257 3942
4870 4940
5257 4393
4870 5788
5257 4992
64651 3962
29442 3931
64651 3959
64651 4385
29442 3883
29442 5049
64651 1696
29442 3897
64651 4703
29442 1269
64651 6260
29442 4039
64651 6920
29442 3985
64651 1332
29442 3832
64651 3733
17546 3951
4867 3790
17546 3822
17546 4437
4867 4805
4867 7007
17546 2528
17546 265
4867 1335
4867 1690
4867 418
17546 3789
4867 3861
17546 3781
4867 3843
17546 2126
52362 5123
45824 3728
52362 3687
52362 4183
45824 3817
4867 3673
17546 6378
45824 4771
52362 1755
52362 4109
45824 367
45824 5287
52362 3668
45824 3821
52362 3793
45824 3859
52362 4235
52362 3802
29835 3804
54017 3873
29835 4477
29835 4181
54017 4418
45824 3787
52362 5209
54017 6186
29835 1750
29835 206
54017 859
54017 3927
29835 3658
54017 4001
29835 3783
54017 4101
29835 5706
54017 6121
29835 5078
54017 4137
29835 3679
54017 6712
29835 5131
54017 5704
29835 3997
54017 4222
29835 3777
54017 4092
29835 4504
54017 6459
29835 4093
54413 4455
54027 3681
54027 5874
54413 1209
54027 3739
54413 4618
