flow_ID proc_time
12522 4420
41859 4087
12522 3306
41859 3941
41859 14464
12522 5033
41859 4443
41859 3920
12522 3865
41859 4031
12522 3899
12522 3979
41859 4756
41859 5012
12522 1304
35051 3926
50050 3892
35051 4909
35051 4127
50050 4338
41859 3790
12522 3780
50050 7408
35051 251
35051 4028
50050 3785
50050 4154
50050 3976
35051 4263
50050 5049
35051 5310
50050 3863
35051 3785
50050 6267
35051 4187
50050 4037
35051 5188
235 4489
25473 3979
235 4885
235 6370
25473 4016
25473 8454
235 976
235 4168
25473 3988
25473 4331
25473 4123
235 6012
25473 4023
235 3887
25473 5149
235 1253
25473 3942
235 3882
47338 3932
896 3927
47338 3933
47338 5038
896 4895
896 6585
47338 3902
47338 4172
896 6244
47338 4150
896 3784
896 3920
47338 4804
896 5288
47338 3829
896 4239
47338 3896
47338 3977
896 3855
47338 3951
37100 3988
41865 3879
37100 6183
37100 5532
41865 3833
41865 4847
37100 4772
37100 3930
37100 4418
37100 5467
41865 3812
41865 354
41865 3951
37100 3918
41865 4085
37100 3771
41865 4981
37100 3972
37100 5275
10477 5984
50056 3782
10477 5050
10477 4305
50056 3940
41865 4384
37100 3772
50056 6098
10477 695
50056 3811
10477 3921
50056 4618
50056 4047
10477 3922
50056 4019
10477 3829
50056 5127
10477 3223
50056 4005
10477 4001
41197 3921
25483 4020
41197 4023
41197 4499
25483 6271
25483 6119
41197 33
41197 4148
41197 4321
25483 2867
25483 662
25483 4887
41197 5260
25483 4095
41197 3773
25483 3867
6380 3799
906 3753
6380 4363
6380 5295
906 5138
25483 3779
41197 3779
906 7543
6380 3809
6380 3822
906 3874
6380 3931
906 5403
906 5274
6380 3818
906 3937
6380 3737
906 3928
6380 4715
6380 3901
906 4145
6380 4770
61678 6802
25486 5142
61678 4307
61678 4611
25486 4489
25486 4801
61678 3973
61678 4845
61678 5966
61678 4006
25486 579
25486 209
25486 3991
61678 3946
25486 3907
61678 5726
25486 5433
61678 3960
61678 3877
18671 4108
911 3817
18671 3808
18671 4302
911 3825
25486 3795
61678 4864
911 6378
18671 884
18671 3963
911 4162
911 6372
911 3973
18671 3977
911 4983
18671 6001
911 4081
18671 3831
18671 3804
49391 3941
41868 3811
49391 4243
49391 5330
41868 5829
911 3787
18671 3824
41868 5021
49391 213
49391 4182
41868 4036
41868 4894
41868 5834
49391 3986
41868 4066
49391 3919
41868 4103
49391 277
41868 4014
49391 4038
30958 6179
50061 3917
30958 6374
30958 4617
50061 3958
50061 6190
30958 4265
30958 5387
30958 4037
50061 3930
50061 4096
50061 4006
30958 3955
50061 4165
30958 4068
50061 5054
30958 1076
50061 3979
30958 3902
20726 3982
25516 3892
20726 5397
20726 4857
25516 3878
25516 7517
20726 4505
20726 3710
20726 3945
20726 3753
25516 351
25516 4246
25516 4756
20726 5483
25516 5145
