flow_ID proc_time
51170 4287
43104 6534
51170 190
43104 4957
43104 13016
51170 6110
51170 840
43104 524
43104 1401
51170 8141
51170 3794
43104 4530
51170 6923
43104 4392
51170 5128
43104 6889
51170 6598
32739 4698
51297 4073
32739 3943
32739 5013
51297 4234
51297 9250
32739 3373
51297 5701
32739 4495
51297 3915
51297 4131
32739 3898
51297 6156
32739 4408
51297 4296
32739 944
22501 5214
26728 3923
22501 4628
22501 4964
26728 8298
51297 5304
32739 3987
26728 7530
22501 4154
22501 645
26728 3931
26728 5276
26728 5994
22501 6612
26728 12829
61412 9140
22501 14000
2153 9456
26596 3276
43114 11909
43114 3883
43114 5908
26596 2941
26596 3881
43114 4162
43114 3177
43114 3802
26596 3837
43114 4199
26596 3924
43114 6693
26596 3345
57317 5089
51307 5217
57317 3910
57317 8432
51307 7851
43114 6691
26596 3842
51307 6164
57317 5725
57317 985
51307 2517
51307 4042
57317 4170
51307 5241
57317 3876
51307 6753
57317 2242
51307 3912
57317 3839
14311 3810
43119 3927
14311 3783
14311 7717
43119 6338
43119 7299
14311 4295
14311 4075
14311 4127
14311 7610
43119 876
43119 205
43119 4917
14311 5179
43119 4864
14311 1579
14311 181
36838 5372
51310 4577
36838 4962
36838 6247
51310 5719
43119 4875
14311 3929
51310 7811
36838 4219
36838 5156
51310 7661
36838 4363
51310 3851
51310 3947
36838 3998
51310 5225
36838 7014
51310 6361
36838 1695
51310 4011
2022 4160
26733 3944
2022 2452
26733 3999
26733 7204
2022 459
2022 7769
2022 4122
26733 287
26733 5256
26733 4019
2022 357
26733 8958
26733 3987
2022 170
49127 4921
2156 4491
49127 3709
2156 4805
26733 3934
2022 3870
2156 5524
49127 2290
2156 3832
2156 3957
2156 3949
49127 3808
2156 5080
49127 8008
2156 4581
49127 2172
38911 3920
43085 3871
38911 3827
38911 6617
43085 6222
2156 4112
49127 3853
43085 8255
38911 357
38911 2081
43085 3909
43085 4023
43085 3995
38911 5945
43085 4417
38911 3900
38911 4156
38911 4329
43085 8275
12286 4879
51276 5256
12286 4077
12286 5272
51276 6785
51276 5098
12286 3903
12286 4817
51276 5243
12286 4012
51276 5925
12286 3976
51276 3980
12286 4267
51276 5019
12286 4380
12286 3958
51276 8747
43006 3882
26703 3846
43006 3985
43006 4373
26703 7252
26703 6832
43006 5345
43006 4092
43006 4209
43006 4063
26703 87
26703 6486
43006 4041
26703 4217
43006 5423
26703 7841
43006 2521
8191 3783
2126 3774
8191 4186
8191 6696
2126 8198
26703 7657
43006 6551
2126 5271
8191 4028
8191 4781
8191 5095
2126 5212
2126 4967
8191 4067
2126 4143
8191 4696
2126 4098
8191 4775
8191 7790
63485 5802
26698 3987
63485 4045
63485 4333
26698 4069
2126 3959
8191 7591
26698 6164
63485 1174
63485 4125
26698 3928
26698 2881
63485 4127
26698 3810
63485 5017
26698 6487
63485 5963
26698 4328
63485 3861
26698 5771
63485 7200
26698 4071
63485 3783
26698 6099
63485 3818
26698 4310
63485 2764
26698 6420
26698 5936
63485 4031
26698 6509
63485 4563
63485 3707
26698 5378
63485 6349
20476 3989
2123 3943
20476 4532
20476 6931
2123 4360
2123 5417
20476 4041
