flow_ID proc_time
8776 4610
55812 4121
8776 4233
8776 6787
55812 4128
55812 16847
8776 18064
55812 4074
8776 3367
55812 4419
55812 4188
8776 182
55812 4130
8776 3833
43592 4117
31239 6104
43592 442
31239 3941
31239 5454
43592 5224
31239 1851
31239 4010
43592 4939
31239 4124
43592 547
4681 3974
6662 3921
4681 3990
4681 4363
6662 5433
6662 6536
4681 3836
4681 6767
6662 4016
6662 4020
4681 6417
4681 4308
6662 3911
6662 6473
4681 4781
4681 6880
6662 10321
64075 3971
31234 3940
64075 3916
64075 4546
31234 3932
31234 6643
64075 5213
64075 3897
31234 4057
31234 4128
64075 3933
64075 4138
31234 1907
64075 5911
64075 5290
16970 3945
6659 4028
16970 3944
16970 6447
6659 4730
6659 5382
16970 3885
16970 4948
6659 4891
6659 5425
16970 4079
16970 11109
6659 4616
6659 4140
16970 4134
6659 4056
16970 4107
6659 5955
16970 3926
51786 5454
47616 4503
51786 4099
51786 4680
47616 3844
47616 5740
51786 5145
51786 7436
47616 5449
47616 4064
51786 3994
51786 4334
47616 3939
47616 4517
51786 2857
47616 4078
51786 4899
29259 5567
55809 3927
29259 4011
29259 9208
55809 7044
55809 5914
29259 4337
29259 4035
55809 806
29259 4844
29259 4779
29259 4631
55809 3849
55809 3961
55809 4365
29259 4
23117 4031
31240 4395
23117 9847
31240 7248
55809 4003
29259 4340
31240 5266
23117 4129
23117 5103
31240 997
23117 3864
23117 303
31240 8476
31240 4556
23117 4835
57932 4016
6665 5481
57932 4011
57932 4615
6665 3811
6665 7157
57932 3852
57932 4820
6665 1223
57932 3897
57932 4051
57932 4100
6665 513
6665 4718
6665 3996
57932 5615
6665 5757
57932 5657
27212 5040
47626 11166
27212 3440
47626 3942
47626 5145
27212 3831
27212 4068
47626 730
27212 3902
27212 4180
47626 4106
47626 12843
27212 11002
53837 476
55819 4624
53837 5905
55819 4491
47626 3913
27212 4053
55819 5154
53837 4017
53837 4007
55819 3957
55819 4898
53837 3827
53837 7769
55819 8281
53837 2550
55819 4086
53837 4249
14927 3836
47631 3836
14927 4350
14927 4935
47631 5127
47631 5053
14927 4016
14927 3863
47631 3911
47631 3990
14927 10516
47631 3000
14927 511
47631 4086
14927 3819
33358 4041
55822 4276
33358 3993
33358 4467
55822 5072
55822 6532
33358 5994
33358 4761
55822 7247
33358 4700
33358 83
55822 294
55822 5403
33358 3870
55822 4452
33358 3944
55822 4044
33358 4472
2638 3956
31245 4158
2638 3992
2638 13003
31245 1605
