flow_ID proc_time
51170 4284
43104 3974
51170 4187
51170 7632
43104 3843
43104 14496
51170 4404
51170 4234
43104 4008
43104 3905
43104 913
51170 7755
51170 4765
43104 5364
51170 3876
43104 3862
51170 3886
43104 4071
51170 3915
32739 3903
51297 6213
32739 4207
32739 7278
51297 3898
51297 7655
32739 3825
32739 3819
51297 3789
32739 6443
51297 4069
51297 4973
32739 5172
51297 3917
32739 3814
51297 8394
32739 5145
32739 4965
22501 4064
26728 3844
22501 3846
22501 7084
26728 4527
51297 3985
32739 3772
26728 7487
22501 4688
22501 4279
22501 3933
26728 1570
26728 5654
22501 4843
26728 5438
22501 5359
26728 4039
22501 3834
22501 4808
26728 5132
22501 3920
61412 3926
2153 3842
61412 3757
61412 7342
2153 3791
2153 8250
61412 453
61412 3952
2153 3955
2153 3790
2153 6754
61412 4690
2153 6366
61412 4878
2153 6359
61412 5334
61412 4502
2153 3909
61412 3837
26596 3799
43114 3771
26596 4820
26596 6860
43114 4066
43114 7580
26596 3964
26596 3938
26596 6399
26596 5210
43114 5325
43114 3915
43114 3913
43114 4033
26596 5239
43114 6366
26596 4606
43114 4025
26596 4948
26596 5253
57317 4119
51307 3930
57317 3886
57317 6921
51307 3931
43114 4204
26596 5036
51307 7507
57317 3917
57317 4042
57317 4268
51307 913
51307 5548
57317 3770
51307 6248
57317 3802
51307 4090
57317 3807
57317 5101
51307 5151
57317 3729
14311 3949
43119 3890
14311 3810
14311 6679
43119 3844
43119 7509
14311 4595
14311 5685
14311 4083
14311 6296
43119 3862
43119 3917
43119 3901
43119 6797
14311 3905
43119 4136
14311 5028
43119 6631
14311 4135
14311 3918
36838 3921
51310 3914
36838 3945
36838 6833
51310 4007
43119 4011
14311 3888
51310 7554
36838 4316
36838 4049
51310 3919
36838 5241
51310 4042
51310 5291
36838 3905
51310 4076
36838 4046
51310 5048
36838 33
51310 3917
36838 4405
2022 3865
26733 3956
2022 3972
2022 6746
26733 4048
26733 7358
2022 3820
2022 4961
2022 6267
2022 6340
26733 3862
26733 221
26733 4905
2022 5125
26733 4357
2022 3801
26733 3876
2022 1296
49127 3845
2156 3989
49127 4136
49127 6512
2156 3817
26733 4711
2022 3848
2156 7321
49127 3919
49127 3821
49127 3964
2156 3877
2156 4969
2156 5450
49127 4451
2156 6339
49127 3835
2156 4612
49127 1097
38911 3893
43085 4909
38911 5296
38911 6861
43085 4423
2156 3909
49127 3851
43085 7558
38911 3918
38911 4952
38911 5346
43085 294
43085 6530
38911 3912
43085 5086
38911 5433
43085 4465
38911 3884
38911 4009
43085 4286
38911 3889
12286 3943
51276 6271
12286 4770
12286 6985
51276 4233
51276 7525
12286 3972
12286 3863
51276 6742
12286 5455
51276 3941
51276 6410
12286 3910
51276 4004
12286 3918
51276 6466
12286 52
51276 3927
12286 3760
43006 3946
26703 6299
43006 4030
43006 7766
26703 4177
26703 7522
43006 4440
43006 3710
43006 6160
43006 3732
26703 3649
26703 4647
26703 3731
26703 5245
43006 3792
26703 6383
43006 4484
26703 3843
43006 3930
43006 3852
8191 5711
2126 5035
8191 4216
8191 7170
2126 3746
26703 3739
43006 3615
2126 7836
8191 982
8191 5143
2126 918
2126 6260
8191 3797
2126 4860
8191 5164
2126 3831
8191 3849
8191 3860
63485 3831
26698 3654
63485 4710
63485 5905
26698 4669
2126 5013
8191 3763
26698 7377
63485 552
63485 6159
26698 3710
26698 4414
26698 6212
63485 3730
26698 3916
63485 3710
26698 6430
63485 3811
26698 6542
63485 3665
26698 6853
63485 3934
26698 7188
63485 5088
26698 4041
63485 4703
26698 6393
63485 3709
26698 6367
63485 4100
26698 6388
63485 3780
26698 6503
63485 3642
26698 6574
63485 3693
63485 3654
26698 3797
63485 3615
20476 5138
2123 4977
20476 3780
20476 6797
2123 4446
2123 7257
20476 3807
20476 3860
2123 4444
20476 6190
2123 3656
20476 6451
2123 3769
2123 6224
20476 3646
2123 3765
20476 4816
2123 5136
20476 3760
20476 3661
51196 3725
43080 3650
51196 3824
51196 6403
43080 3685
2123 4734
20476 4966
43080 7417
51196 3822
51196 3710
43080 4262
51196 6255
43080 3677
43080 4825
51196 5158
43080 3784
51196 5605
43080 6068
51196 3683
51196 3678
32765 3705
51273 3681
32765 3677
32765 6752
51273 3692
43080 3816
51196 3598
51273 7251
32765 5042
32765 3808
32765 6139
51273 1350
51273 3959
32765 3678
51273 6333
32765 4498
51273 3697
32765 3804
32765 5583
51273 5483
32765 3611
22523 3667
26688 3644
22523 3658
22523 6565
26688 3671
26688 7243
22523 293
22523 3862
26688 435
26688 5220
22523 3792
26688 6129
22523 4434
26688 3822
22523 3773
22523 3697
26688 6016
22523 3654
61434 3650
2113 3672
61434 3684
61434 6490
2113 3636
2113 7373
61434 3719
61434 5038
61434 3881
61434 6104
2113 3756
2113 3653
2113 3686
2113 6266
61434 3770
2113 3851
61434 4355
2113 6162
61434 4354
2113 3830
61434 4198
2113 3644
61434 3715
26618 3678
43074 3854
