flow_ID proc_time
32259 12383
51937 4189
32259 12305
32259 13103
51937 9292
51937 24158
32259 15801
51937 11943
32259 3842
51937 8276
32259 4005
32259 13481
22021 4713
27368 11500
22021 5779
22021 10325
27368 3769
51937 6477
32259 6017
27368 7919
22021 10864
22021 6260
27368 6228
27368 11557
22021 5656
22021 9130
27368 7569
27368 8882
22021 2389
27368 6957
22021 4185
60932 11014
2793 4592
60932 5550
2793 11017
2793 10813
60932 9555
60932 8506
2793 10094
60932 4787
60932 10794
2793 9742
2793 17051
60932 15832
60932 10352
2793 5725
60932 11641
26116 5897
43754 18622
26116 8910
43754 11725
43754 11008
26116 9215
26116 12562
43754 2104
26116 10619
26116 4322
43754 4529
26116 2039
43754 8507
26116 6343
56837 8518
51947 10934
56837 5194
56837 16596
51947 13018
51947 7717
56837 11364
51947 4136
51947 7522
56837 2429
56837 5525
51947 6163
51947 5645
56837 6625
13831 3563
43759 10509
13831 11120
43759 4170
51947 13398
56837 4828
43759 7542
13831 4209
13831 7688
43759 2384
13831 4098
13831 6569
43759 6091
13831 4756
36358 4272
51950 11595
36358 4021
36358 10541
51950 4340
43759 9837
13831 12602
51950 13961
36358 4880
51950 2179
36358 391
36358 9614
51950 6177
36358 3583
1542 11037
27373 3838
1542 1587
27373 4303
51950 7288
36358 13241
27373 10628
1542 2114
27373 1226
1542 5972
1542 4746
27373 1322
1542 584
27373 7325
1542 3982
48647 10763
2796 5378
48647 8588
2796 4066
2796 6299
48647 6834
48647 9321
2796 4813
2796 14175
48647 11223
48647 4444
2796 4621
2796 5045
48647 17922
38411 10324
43773 12269
38411 6013
38411 9244
38411 15248
43773 4565
38411 5015
11786 9518
51964 11727
11786 11638
51964 9027
43773 4022
38411 12934
51964 9681
11786 8269
11786 15748
51964 3951
11786 5695
11786 12630
51964 2515
11786 2440
51964 21418
11786 19340
42506 12215
27391 9255
42506 6702
27391 10772
27391 12046
42506 10506
42506 12534
27391 3181
42506 9210
27391 3205
42506 6181
27391 12327
42506 10991
7691 6211
2814 13133
7691 7648
7691 11519
2814 9648
2814 9136
7691 7576
7691 22071
2814 2116
2814 6952
7691 5511
2814 7892
7691 6086
62985 10261
27386 8164
62985 4946
62985 9132
27386 4000
27386 7617
62985 10484
27386 4214
62985 14577
27386 5898
27386 10901
62985 8173
27386 7286
62985 6116
27386 15652
62985 13426
27386 9449
62985 3988
27386 4488
62985 11950
27386 10687
62985 11762
27386 6600
62985 10927
27386 6976
62985 8011
27386 9751
62985 4911
27386 10791
62985 5527
62985 5528
27386 10257
19976 5346
2811 11019
19976 5192
19976 10698
2811 8806
2811 16210
19976 10253
2811 4749
19976 5190
19976 10339
2811 5443
19976 6319
2811 11084
19976 4171
2811 11866
19976 9991
2811 16759
19976 14224
50696 13010
43768 5830
50696 8897
50696 6809
43768 12758
43768 10693
50696 9730
50696 8486
43768 6102
43768 5882
50696 11497
50696 4013
43768 10853
43768 9221
50696 10034
43768 6488
50696 5676
43768 5021
50696 5669
32265 8294
51961 6670
32265 12953
32265 6442
51961 12250
51961 16576
32265 6987
51961 3545
32265 5494
51961 4186
32265 9937
51961 10059
32265 12353
51961 4001
32265 8994
27376 6709
22031 1176
22031 6407
27376 7088
27376 11993
22031 370
27376 14
22031 1551
27376 5643
27376 8452
22031 7954
27376 1168
22031 11393
60942 11740
2801 9841
60942 9156
60942 6254
2801 10399
2801 9799
60942 6500
60942 12512
2801 5613
2801 16746
2801 11580
60942 3943
2801 10633
60942 3793
2801 10662
60942 4055
26126 6825
43762 8203
26126 5523
26126 6614
43762 4666
43762 10862
26126 10083
26126 13423
43762 3193
26126 2327
43762 7926
43762 6341
26126 5059
43762 5251
26126 6061
43762 11669
26126 7546
56847 6848
51955 9032
56847 3938
56847 10248
51955 4425
51955 12477
56847 3584
51955 4886
56847 10430
56847 6811
51955 4455
56847 4506
51955 172
56847 6549
13837 3179
43767 7020
13837 7782
43767 8427
51955 5314
56847 10358
43767 11877
13837 2432
43767 833
13837 9274
36364 9237
51958 10651
36364 12132
51958 10238
51958 13964
36364 5417
51958 5126
36364 1239
36364 8990
51958 5750
51958 8097
36364 8765
1548 4907
27381 11331
1548 5079
1548 6621
27381 7188
51958 5694
36364 10207
27381 9360
1548 10086
27381 4203
27381 11521
1548 9697
1548 11900
27381 10264
27381 6178
1548 7459
27381 8980
1548 12150
48653 3844
2804 8656
48653 5544
48653 4920
2804 5188
48653 1591
2804 1833
2804 10716
48653 3976
48653 9603
