flow_ID proc_time
57878 4400
6865 3972
57878 3944
57878 7593
6865 3998
6865 14482
57878 7054
6865 4009
6865 5140
6865 4003
57878 3768
6865 4088
57878 8142
6865 4326
57878 3863
57878 4866
27158 5482
47826 3883
27158 3796
27158 6980
47826 3815
6865 4262
57878 3772
47826 7708
27158 881
27158 6263
47826 4631
47826 5180
47826 5460
27158 4488
47826 5474
27158 3889
47826 3996
27158 4930
47826 5158
27158 3910
47826 4185
27158 3814
53783 3785
56019 4300
53783 4114
53783 6980
56019 3821
56019 8463
53783 5283
53783 4874
56019 5461
53783 4088
56019 3989
56019 4055
53783 3998
56019 4033
53783 5069
56019 5338
53783 4102
56019 3878
53783 3919
56019 3923
53783 3887
14869 3934
47831 5285
14869 4025
14869 6243
47831 3927
47831 8197
14869 310
14869 5547
47831 1633
47831 4056
14869 4015
47831 6472
14869 3920
47831 6382
14869 1047
47831 3932
14869 3854
33300 6191
56022 3984
33300 5215
33300 6812
56022 3795
33300 3937
56022 6232
33300 3824
56022 3844
33300 3878
56022 3904
33300 3953
2580 3929
31445 3915
2580 5081
2580 7260
31445 4472
31445 10001
2580 1997
2580 6450
31445 259
31445 5055
2580 6453
31445 4077
2580 3930
31445 6837
2580 4047
2580 3944
31445 3898
2580 4079
45589 3930
6868 4081
45589 4109
45589 7328
6868 3822
6868 7635
45589 4379
45589 3833
45589 6727
45589 3874
6868 3804
6868 208
6868 6372
45589 3856
6868 6238
45589 3791
6868 7499
45589 4852
45589 3759
23064 3999
31428 4742
23064 5320
23064 5915
31428 5216
6868 4850
45589 3924
31428 7640
23064 4303
23064 4404
23064 3984
31428 552
31428 3964
23064 4700
31428 4936
23064 5180
31428 4007
23064 4783
23064 5707
31428 3861
23064 3914
57881 3884
6853 3823
57881 4596
57881 5664
6853 3908
6853 7319
57881 4420
57881 7420
57881 5427
57881 6324
6853 3663
6853 60
6853 6293
57881 3822
6853 3983
57881 5074
6853 5230
57881 3800
6853 3793
57881 3836
6853 4788
57881 4253
27161 3840
47814 6305
27161 3843
27161 6891
47814 3990
47814 7210
27161 3932
27161 4330
27161 6410
47814 614
47814 6530
27161 4880
47814 3937
27161 5405
47814 5313
27161 2303
53784 3776
56007 3833
53784 3829
53784 7087
56007 3838
47814 4847
27161 5141
56007 7467
53784 161
53784 6503
56007 3961
56007 4225
56007 6572
53784 4629
56007 4045
53784 3991
56007 6640
53784 571
56007 3799
53784 3739
14874 3812
47811 3805
14874 3915
14874 6976
47811 3751
47811 7420
14874 4110
14874 3848
14874 7416
47811 521
47811 3941
14874 5084
47811 5256
14874 3781
47811 6722
14874 980
47811 4392
14874 3764
33307 3890
56002 3824
33307 4339
33307 6902
56002 4948
56002 6904
33307 3724
33307 3783
33307 6190
33307 3731
56002 3775
56002 3933
56002 4289
56002 6466
33307 3759
56002 5264
33307 5492
56002 3861
33307 3619
33307 3681
2587 4581
31425 3679
2587 4655
2587 6481
31425 4653
56002 4327
33307 3709
31425 7274
2587 3704
2587 3755
2587 6161
31425 4272
31425 3671
31425 6590
2587 3875
31425 3771
2587 4707
31425 6420
2587 3651
31425 6472
2587 3747
31425 6776
2587 3734
31425 6533
31425 6417
2587 3628
31425 6610
2587 3667
31425 6415
2587 3628
31425 6543
2587 4501
31425 6416
2587 3897
31425 6394
2587 4660
2587 4788
31425 5595
2587 3587
45594 3657
6848 3808
45594 4561
45594 6648
6848 3657
6848 7041
45594 3953
45594 3869
45594 6326
45594 6257
6848 3725
6848 3697
6848 4047
6848 6119
45594 3647
6848 4883
45594 5173
6848 3737
45594 3652
45594 3710
39452 3719
47817 3666
39452 4332
39452 6625
47817 4345
6848 5216
45594 3622
47817 7456
39452 4234
39452 3734
39452 6151
47817 3650
47817 3657
47817 6208
39452 4240
47817 3863
39452 3632
47817 6132
39452 3668
39452 3643
8733 4633
56008 5220
8733 3819
8733 4464
56008 3770
47817 4691
39452 5084
56008 7568
8733 3859
8733 3709
8733 6177
56008 4100
56008 3680
56008 3804
8733 4747
56008 5123
8733 4554
56008 4729
8733 799
56008 3773
8733 3653
43549 4183
31435 3707
43549 4798
43549 6807
31435 3736
31435 7171
43549 3730
43549 3736
43549 4861
31435 653
31435 3899
43549 3700
31435 6164
43549 4719
31435 3829
43549 622
4636 3678
6858 3766
4636 3664
4636 6864
6858 3849
31435 3779
43549 4098
6858 7320
4636 62
4636 4929
4636 5145
6858 3802
6858 3690
6858 3716
6858 6153
4636 3657
6858 3785
4636 4799
6858 5087
4636 3739
4636 3724
64030 3693
31438 3661
64030 3724
64030 6859
31438 4361
6858 4687
4636 4951
31438 6863
64030 4095
64030 3740
64030 6168
31438 3664
31438 3673
31438 5136
64030 3738
31438 5140
64030 3918
31438 6264
64030 4199
64030 3636
16927 3929
6863 3657
16927 3648
16927 6584
6863 3782
31438 4664
64030 3746
6863 7373
16927 3788
16927 3749
16927 6129
16927 3771
6863 1181
6863 4122
6863 3828
16927 3674
6863 3797
16927 4226
6863 4751
16927 3642
6863 5475
16927 3631
6863 3671
16927 3656
51743 3820
47820 4212
51743 3930
51743 4080
47820 3753
47820 7665
51743 3737
51743 3872
47820 3833
51743 4846
47820 4941
47820 3814
51743 3773
47820 6235
51743 3807
47820 3764
51743 3826
51743 6135
47820 3855
51743 3661
29214 3799
56013 3650
29214 3645
29214 6652
56013 4056
56013 7310
29214 3844
29214 5025
29214 3827
29214 6168
56013 101
56013 89
56013 6081
29214 3798
56013 3750
29214 3965
56013 6637
29214 3810
56013 3654
29214 4476
56013 3649
29214 3732
23046 3725
31468 4676
23046 5008
23046 6497
31468 4637
31468 6791
23046 3768
23046 3718
23046 6098
31468 3679
31468 3660
31468 6443
23046 3653
31468 3828
23046 3679
31468 6092
23046 229
57863 4663
6893 3682
57863 3792
57863 6573
6893 3690
31468 4674
23046 4927
6893 7769
57863 228
57863 6363
57863 3896
6893 4316
6893 4800
6893 5401
6893 3822
57863 3665
6893 6134
57863 3676
6893 3837
57863 3660
57863 3736
27143 3678
47854 5988
27143 3842
27143 6773
47854 3633
6893 3675
57863 3580
47854 7702
27143 4244
27143 5094
27143 3879
47854 4763
47854 5554
47854 3792
27143 3768
47854 3888
27143 4769
47854 5122
27143 583
53766 3783
56047 4933
53766 5041
53766 7250
56047 3658
47854 3764
27143 3822
56047 7228
53766 4015
53766 4857
53766 5134
53766 6149
56047 3799
56047 3663
56047 3788
56047 6177
53766 4136
56047 3832
53766 4883
56047 5560
53766 3699
53766 3643
14852 3656
47851 3820
14852 3649
14852 6722
47851 3744
56047 4676
53766 5076
47851 7685
14852 24
14852 6165
47851 2
47851 4808
14852 5000
47851 3801
14852 3659
47851 6148
14852 3650
14852 3784
47851 3649
14852 3600
33285 3690
56042 3614
33285 4696
33285 6900
56042 4210
56042 7257
33285 467
33285 6205
33285 4863
56042 5186
56042 3682
56042 3694
56042 3870
33285 3870
56042 6282
33285 3796
56042 3871
33285 4365
56042 6008
33285 3676
56042 4202
33285 4362
2565 3676
31465 3812
2565 3690
2565 6733
31465 4204
31465 7105
2565 3692
2565 3846
31465 3621
2565 6300
31465 3650
31465 3767
2565 3756
31465 6138
2565 4015
31465 3733
2565 3634
31465 4639
2565 4790
31465 4081
2565 3643
45572 3640
6888 3788
45572 4363
45572 7324
6888 3714
6888 7507
45572 6015
45572 3730
6888 3658
45572 4811
6888 5131
6888 3896
45572 3755
6888 6151
45572 3657
6888 3775
45572 4234
6888 3673
45572 4661
6888 5056
45572 3794
39426 3833
47841 3649
39426 3649
39426 7200
47841 3665
47841 7584
39426 345
47841 3689
39426 3811
47841 4662
47841 5152
39426 3703
47841 6169
39426 4457
47841 3897
39426 445
47841 5220
39426 5107
8707 3649
56032 3681
8707 3678
8707 6812
56032 3794
56032 7846
8707 4957
8707 3712
8707 3970
8707 6238
56032 3726
56032 3831
56032 3617
56032 6086
8707 4368
56032 4050
8707 3775
56032 6068
8707 3783
56032 3903
8707 3682
56032 3640
8707 3770
43523 4652
31459 5001
43523 4460
43523 7246
31459 3809
31459 7128
43523 3731
43523 4406
43523 6124
31459 3770
31459 4075
31459 4875
43523 5117
31459 4027
43523 3861
31459 6397
43523 924
31459 3924
43523 3671
4610 3921
6882 3924
4610 4778
4610 6758
6882 3840
6882 7313
4610 3798
4610 3772
4610 6296
4610 3757
6882 161
6882 4858
6882 5149
4610 3678
6882 6143
4610 7519
6882 3754
4610 441
64000 3819
31462 4771
64000 5150
64000 6708
31462 3632
6882 3690
4610 3682
31462 7780
64000 5529
64000 5203
64000 3814
31462 3705
31462 3863
31462 6180
64000 4155
31462 4796
64000 5113
31462 3769
64000 3675
64000 3638
31462 4655
64000 4899
16897 4856
6887 3855
16897 4415
16897 6734
6887 3739
6887 7606
16897 4322
16897 4765
6887 4417
16897 5158
6887 3643
16897 6407
6887 4276
6887 3849
16897 3668
6887 6167
16897 3828
6887 3933
16897 3709
6887 6451
16897 3636
6887 3741
16897 3718
51713 3652
47844 3687
51713 4736
51713 6311
47844 5474
47844 7535
51713 5731
51713 5195
47844 3673
47844 4958
51713 3846
47844 5183
51713 4402
51713 6171
47844 3680
47844 3736
51713 4350
51713 4369
29184 4675
56037 5309
29184 3828
29184 6872
56037 3650
47844 3666
51713 3650
56037 8028
29184 6278
29184 4745
56037 5023
29184 3808
56037 3731
56037 6127
29184 3893
56037 4804
29184 5048
56037 3754
29184 353
39437 3656
47861 6107
39437 3698
39437 6525
47861 3833
56037 3696
29184 4069
47861 7326
39437 5875
39437 6188
47861 3710
39437 4442
47861 3681
39437 6089
47861 3665
47861 4898
39437 4796
47861 5118
39437 3649
47861 4732
39437 976
8716 3754
56052 3634
8716 4384
8716 6495
56052 4668
47861 3680
39437 3683
56052 7066
8716 191
56052 1762
56052 3875
8716 4776
56052 5262
8716 3683
56052 3988
8716 751
56052 5482
8716 4344
43532 3666
31479 3639
43532 3688
43532 6782
31479 3651
31479 8599
43532 6893
43532 3706
43532 4833
43532 5087
31479 3961
31479 3723
31479 3664
31479 6126
43532 3829
31479 4791
43532 4455
31479 5016
43532 3727
31479 3627
43532 3639
31479 3634
43532 3624
4621 4640
6902 5116
4621 3686
4621 6631
6902 4279
6902 7828
4621 6031
4621 3749
6902 6152
4621 5269
6902 3693
6902 6170
4621 3887
6902 3766
4621 4701
6902 5128
4621 4447
6902 3848
4621 3911
6902 4641
4621 3664
64015 5006
31474 3677
64015 3799
64015 6506
31474 3749
31474 7800
64015 5846
64015 4677
31474 5008
31474 3957
64015 3666
31474 6606
64015 3807
64015 6850
31474 3740
64015 6411
31474 4286
31474 3758
64015 3861
31474 5255
64015 4944
31474 3662
64015 3649
16910 4139
6899 3757
16910 3645
16910 6520
6899 3730
6899 7578
16910 7391
16910 3746
16910 4871
6899 1088
6899 3770
16910 3657
6899 6157
16910 4335
6899 3844
16910 4779
6899 5020
16910 3625
6899 3673
16910 4099
51726 3704
47856 3816
51726 4136
51726 7748
47856 5894
47856 11448
51726 10154
51726 4658
51726 6321
51726 3750
47856 3634
47856 3652
47856 4156
47856 6280
51726 3905
47856 5029
51726 3823
47856 5222
51726 4222
47856 3804
51726 3786
47856 4211
51726 4759
29199 5117
56049 3842
29199 3911
29199 6939
56049 4313
56049 7590
29199 5867
29199 4549
29199 5782
56049 72
56049 6145
29199 3660
56049 3819
29199 4638
56049 5129
29199 4125
29199 3675
56049 3801
29199 3584
23049 4887
31480 5122
23049 3622
23049 6442
31480 3824
31480 7520
23049 5930
23049 3837
23049 6177
23049 6127
31480 3777
31480 3681
31480 4059
31480 3790
23049 6135
31480 3941
23049 3665
31480 4216
23049 999
57864 4258
6905 3672
57864 3766
57864 6531
6905 3671
31480 3657
23049 3580
6905 8815
57864 6809
57864 4341
57864 4998
6905 3612
6905 5135
6905 3813
57864 3644
6905 6164
57864 4076
6905 3766
57864 1415
6905 3654
57864 3581
27144 3666
47866 3661
27144 7228
47866 5434
47866 7110
27144 4935
27144 3806
47866 3662
27144 6179
47866 3804
27144 6703
47866 3823
47866 6679
27144 4334
47866 3814
27144 3626
47866 6121
27144 4304
27144 4632
53769 3835
56059 3646
53769 3768
53769 6456
56059 3669
47866 3793
27144 3617
56059 7270
53769 5998
53769 3789
56059 4269
53769 6148
56059 3721
56059 3966
53769 4766
56059 5153
53769 3654
56059 6442
53769 3865
56059 3653
53769 3769
56059 4199
53769 3691
14859 3681
47871 3726
14859 3656
14859 6453
47871 5406
47871 7922
14859 6273
14859 3755
14859 6895
14859 3815
47871 3689
47871 4084
47871 4677
47871 5262
14859 3789
47871 6220
14859 3778
47871 3738
14859 3736
14859 3820
47871 3664
14859 4602
33290 4989
56062 3827
33290 3777
33290 6550
56062 4425
56062 6838
33290 5563
33290 3690
56062 5107
33290 5170
56062 3756
56062 6151
33290 4083
56062 3869
33290 4634
56062 5161
33290 3697
56062 3702
33290 4285
56062 4629
33290 5444
2570 3987
31485 3734
2570 3973
2570 7483
31485 5168
31485 7610
2570 5168
2570 6063
31485 3682
2570 3900
31485 4675
31485 5358
2570 3636
31485 6202
2570 3681
31485 3827
2570 182
45579 3650
6908 3691
45579 5287
45579 5404
6908 4683
31485 5053
2570 3617
6908 7202
45579 5737
45579 3687
6908 5303
45579 5686
6908 3634
6908 6284
45579 3764
6908 4251
45579 4633
6908 5096
45579 3665
45579 3836
6908 3659
45579 3652
23166 3656
23166 6834
31308 4494
31308 8056
23166 6438
23166 3688
31308 4050
23166 6838
31308 5212
31308 4835
23166 5433
31308 4252
23166 3775
31308 6245
23166 2457
31308 5097
23166 3786
57983 3823
6733 4126
57983 3759
57983 6458
6733 3862
6733 8147
57983 6204
57983 5050
6733 3776
57983 4963
6733 5013
57983 3807
6733 6282
57983 4232
6733 3703
6733 6143
57983 4056
6733 3777
57983 3921
6733 3752
57983 3669
6733 4674
57983 5788
27263 3669
47694 3647
27263 3735
27263 6631
47694 3696
47694 8540
27263 6760
27263 6046
47694 4125
27263 3859
47694 5262
47694 5106
27263 4310
47694 6142
27263 3785
47694 3958
27263 3762
27263 3800
47694 6140
27263 3714
53886 3814
55887 3846
53886 3767
53886 6663
55887 3774
55887 7679
53886 4621
53886 6198
55887 4180
53886 3923
55887 5237
53886 5129
55887 4770
53886 3707
55887 5146
55887 3893
53886 3664
55887 6202
53886 3711
53886 3742
14972 3722
47691 3668
14972 4273
14972 6408
47691 3795
55887 3672
53886 3606
47691 543
14972 2529
14972 4384
47691 4022
47691 6137
14972 4213
47691 3898
14972 4312
47691 6127
14972 142
33405 3654
55882 3685
33405 3764
33405 6462
55882 3731
47691 4538
14972 3635
55882 8138
33405 6479
33405 4186
55882 3662
33405 6290
55882 3860
33405 6243
55882 4168
55882 4762
33405 3800
55882 5354
33405 3743
55882 4746
33405 1570
2685 3642
31305 3694
2685 3634
2685 6441
31305 5127
55882 4074
33405 3621
31305 7938
2685 6304
2685 3822
31305 3670
2685 6383
31305 5061
31305 3774
2685 3678
31305 6110
2685 3718
31305 6114
2685 3737
2685 4317
45692 3742
6728 3637
45692 3848
45692 6501
6728 4214
31305 3905
2685 3632
6728 7276
45692 7101
