flow_ID proc_time
0 0
42021 6650
28011 4175
42021 5298
42021 5742
28011 3984
28011 479
42021 6348
42021 0
28011 0
28011 3951
42021 4220
28011 5015
42021 4521
42021 5512
28011 4247
28011 4062
42021 4623
7204 3936
3434 4037
7204 3928
28011 4897
42021 5606
7204 4377
3434 8135
3434 4805
7204 128
7204 0
3434 3878
3434 5135
7204 4315
3434 5454
7204 3920
7204 3986
3434 3918
3434 4108
7204 4890
62502 4797
28014 4679
62502 4404
62502 4524
28014 3879
3434 3971
7204 3821
28014 7421
62502 4146
62502 4423
62502 6880
28014 3940
28014 5783
28014 5452
62502 4277
28014 4000
62502 4075
28014 4205
62502 48
62502 0
28014 3874
62502 4197
19495 5089
3439 5385
19495 4447
19495 4355
3439 3920
3439 4976
19495 4086
19495 4072
19495 4191
3439 5431
3439 1114
3439 0
19495 4277
3439 4086
19495 3876
3439 4025
19495 752
19495 0
3439 4935
19495 5253
50215 7107
44396 3927
50215 3948
50215 4513
44396 4418
44396 6379
50215 4213
50215 4683
44396 4733
50215 4249
44396 3878
44396 4036
50215 3986
44396 4000
50215 4037
44396 6446
50215 3941
50215 3899
44396 3919
50215 4324
31782 3954
52589 4426
31782 4202
31782 4367
52589 4966
52589 6648
31782 4250
31782 4085
31782 4036
31782 4113
52589 3934
52589 4383
52589 7134
52589 5571
31782 4132
52589 4013
31782 3984
52589 4445
31782 4035
31782 3967
21566 3890
27980 4896
21566 4423
21566 5650
27980 3916
52589 3902
31782 3953
27980 5242
21566 3905
21566 4017
21566 6649
27980 1100
27980 0
27980 4034
21566 4770
27980 4155
21566 4255
27980 4015
21566 5058
21566 5268
27980 4033
21566 4041
60479 4183
3405 4501
60479 2047
60479 0
3405 3926
3405 7548
60479 4040
60479 3965
60479 3980
60479 4050
3405 4567
3405 4691
3405 4991
3405 5152
60479 4630
3405 4050
60479 4831
3405 3955
60479 4246
3405 3940
60479 4002
3405 4071
60479 4236
25663 5105
44366 5582
25663 3947
25663 4407
44366 3873
44366 5252
25663 4010
25663 4575
25663 5124
44366 146
44366 0
44366 6873
25663 3991
44366 4044
25663 3883
44366 4236
25663 1996
25663 0
44366 5332
25663 3868
56382 4055
52559 3891
56382 5059
56382 4565
52559 3887
52559 6325
56382 4104
56382 7
56382 0
56382 4689
52559 3924
52559 3897
52559 3908
52559 4031
56382 3903
52559 5068
56382 5215
52559 3988
56382 4098
56382 4775
13372 3915
52554 4126
35901 4818
52554 6387
35901 4496
52554 5007
35901 231
35901 0
52554 4080
35901 3935
1085 3975
27977 4228
1085 3902
1085 4501
27977 4105
27977 8022
1085 750
1085 0
1085 4690
27977 106
27977 0
27977 3992
1085 3978
27977 5049
1085 4841
27977 5566
1085 4397
1085 4799
27977 4365
1085 3893
48188 3874
3400 4105
48188 3804
48188 5636
3400 5237
3400 7782
48188 991
48188 0
48188 4268
48188 4155
3400 605
3400 1769
3400 0
3400 4225
48188 3883
3400 4083
48188 3912
3400 4010
48188 4020
3400 4213
48188 4042
3400 4922
48188 5498
37946 4420
44353 3905
37946 4136
37946 4587
44353 4171
44353 6307
37946 4547
37946 5297
37946 4017
44353 3938
44353 5130
44353 4150
37946 4528
44353 4422
37946 7893
44353 6078
37946 3861
44353 4508
37946 4051
44353 4397
37946 5314
44353 6639
37946 3925
44353 5325
37946 5252
44353 4790
37946 3939
44353 6759
37946 4159
44353 4717
37946 4273
44353 5703
37946 6155
44353 4338
37946 1671
37946 0
44353 4026
37946 3863
11323 3995
52544 3906
11323 4961
11323 5610
52544 4215
52544 5078
11323 4169
11323 3993
52544 7026
11323 5060
52544 5282
11323 4201
52544 4714
52544 4035
11323 4284
52544 4024
11323 4111
52544 4177
11323 5151
42043 5245
27971 3855
42043 3915
42043 4396
27971 4372
52544 4614
11323 3859
27971 7643
42043 1270
42043 0
42043 4503
27971 4009
27971 4510
27971 4076
42043 4314
27971 4000
42043 4874
27971 5308
42043 3961
42043 3883
7226 6809
3394 4064
7226 3872
7226 4409
3394 4970
27971 4453
42043 5165
3394 5159
7226 462
7226 0
7226 4041
3394 3872
3394 3942
3394 5616
7226 5262
3394 4060
7226 4940
7226 437
3394 3912
7226 3927
62520 3894
27974 4904
62520 5482
62520 4351
27974 4059
27974 5279
62520 3926
62520 4019
62520 5036
27974 487
27974 1477
27974 0
62520 3937
27974 4054
62520 3938
27974 4180
62520 4123
62520 3929
27974 4879
62520 4386
19513 5234
3399 3855
19513 4066
19513 4533
3399 4071
3399 6222
19513 4497
19513 5526
19513 4133
19513 4529
3399 4450
3399 4358
3399 4862
3399 5076
19513 5296
3399 4184
19513 4078
3399 4130
19513 4309
19513 4003
50233 4165
44356 3986
50233 6335
50233 6717
44356 4391
3399 3907
19513 3887
44356 5317
50233 3920
50233 3014
50233 0
44356 59
44356 0
44356 4192
50233 6192
44356 5531
50233 3973
44356 6306
50233 792
44356 5241
50233 3851
31800 3907
52549 3924
31800 4960
31800 5039
52549 4053
52549 7456
31800 4374
31800 4094
31800 4012
31800 4238
52549 109
52549 800
52549 0
52549 4063
31800 4935
52549 5826
31800 3928
52549 3942
31800 4102
52549 3884
31800 3987
31800 3891
37941 4187
