flow_ID proc_time
58951 4353
5613 4923
58951 5296
58951 5451
5613 10387
5613 2202
58951 8398
5613 6408
58951 3976
5613 5111
5613 3953
58951 522
5613 3980
58951 6046
28231 7460
46574 4811
28231 4178
28231 4406
46574 4193
46574 7642
28231 862
46574 4395
46574 6553
28231 3896
28231 4205
46574 3983
46574 6253
28231 4515
28231 4400
54854 3928
54767 3886
54854 6816
54854 6740
54767 3861
46574 3883
28231 3889
54767 7583
54854 1180
54767 4300
54767 4038
54854 3862
54854 6301
54767 3950
54767 3999
54854 543
54767 6435
54854 3918
15940 4012
46571 4052
15940 3917
15940 4251
46571 6190
46571 7425
15940 4687
15940 3910
46571 4531
46571 6292
15940 5234
15940 3937
46571 4975
46571 6496
46571 3876
15940 3745
34373 3800
54762 3902
34373 4093
34373 6411
54762 3833
54762 7357
34373 4320
34373 3883
54762 4872
54762 5353
34373 4001
34373 6490
34373 5292
54762 2296
54762 4021
34373 4213
54762 3963
34373 3905
54762 3945
34373 4914
3653 5180
30185 3927
3653 3989
3653 4237
30185 4051
30185 6328
3653 3965
3653 4039
30185 4618
30185 6437
3653 7210
46660 3886
5608 3913
46660 5332
46660 5577
5608 3873
30185 3838
3653 3927
5608 7591
46660 4370
46660 3861
5608 3924
5608 4923
46660 5442
46660 4032
46660 4944
5608 1472
5608 3851
46660 4286
46660 4118
40514 3960
46561 5984
40514 4680
40514 6974
46561 5012
5608 3845
46660 3740
46561 7141
40514 3967
40514 4420
46561 4529
46561 6407
40514 4272
40514 3974
46561 3902
46561 6705
40514 15
9795 3763
54752 3761
9795 5730
9795 5886
54752 4381
46561 3934
40514 3798
54752 7228
9795 3850
9795 3970
54752 4656
54752 4220
9795 5471
9795 5365
9795 6346
54752 4032
54752 3875
54752 7913
9795 5198
54752 3796
9795 3833
54752 3990
9795 3800
44611 3843
30179 3827
44611 5313
44611 5608
30179 3956
30179 7634
44611 5549
44611 5248
30179 4263
30179 6430
44611 3968
44611 3940
30179 3883
30179 3948
44611 4963
30179 5371
44611 3895
30179 3786
44611 3819
5698 3808
5602 3968
5698 4307
5698 6748
5602 3770
5602 7586
5698 4578
5698 7024
5602 6329
5602 5510
5698 3812
5698 6257
5602 3808
5602 3888
5698 3974
5698 4000
5602 3827
5698 4736
65088 5130
30182 4271
65088 4453
65088 3987
30182 3941
30182 7356
65088 4469
65088 5406
30182 3911
30182 6448
65088 3986
65088 4099
30182 4068
30182 6457
65088 3907
65088 3924
30182 3839
65088 3854
17985 4088
5607 6300
17985 3935
17985 6111
5607 3940
5607 8204
17985 479
5607 4289
5607 4010
17985 4965
17985 5387
17985 4940
5607 773
5607 3882
17985 4494
5607 3965
17985 4415
5607 5242
17985 5140
52801 3828
46564 3791
52801 4014
52801 4299
46564 5732
46564 6985
52801 4188
52801 3907
46564 3805
46564 6249
52801 5001
52801 3963
46564 3688
46564 6621
52801 5148
46564 6434
52801 3686
46564 6416
52801 4896
46564 6490
52801 4366
46564 6592
52801 3734
46564 6428
52801 3838
52801 3819
46564 6468
52801 5196
46564 6399
52801 4023
46564 6407
52801 1407
46564 3647
52801 3663
30272 3659
54757 3664
30272 3701
30272 4208
54757 3680
54757 7318
30272 4632
30272 3731
54757 3748
54757 4814
30272 6894
30272 3784
30272 6345
54757 3684
54757 4544
54757 6100
30272 3755
54757 3755
30272 3690
54757 4190
30272 3724
40525 4652
46581 3651
40525 5098
40525 3873
46581 3647
46581 7564
40525 4733
40525 3725
46581 3806
46581 3801
40525 3665
40525 6153
46581 4095
46581 4891
40525 5177
46581 3694
40525 3759
46581 3860
40525 3671
9804 3658
54772 3826
9804 4479
9804 6664
54772 3776
54772 7197
9804 3662
9804 4744
54772 5387
54772 3814
9804 3827
9804 6144
54772 4432
54772 3779
9804 4671
54772 5133
9804 3816
54772 3690
9804 3640
44620 3744
30199 3846
44620 3655
44620 6647
30199 4078
30199 7155
44620 3759
44620 3713
30199 4655
30199 5270
44620 3678
44620 6580
30199 3639
44620 3778
30199 4039
30199 6982
44620 4539
30199 3672
44620 3689
30199 3730
44620 3836
5709 3713
5622 4692
5709 5676
5709 3983
5622 3717
5622 7386
5709 5464
5709 3696
5622 3713
5622 3964
5709 3680
5709 6547
5622 3825
5622 6146
5709 4063
5709 3697
5622 3805
5709 3663
65103 3646
30194 3674
65103 3651
65103 6926
30194 3752
30194 7299
65103 81
30194 6048
30194 4241
65103 3670
65103 6107
65103 3744
30194 3639
30194 5620
30194 5101
65103 3708
65103 3778
17998 3709
5619 3650
17998 3623
17998 6490
5619 3642
30194 3677
65103 3596
5619 7620
17998 4659
17998 3734
5619 4063
5619 3821
