flow_ID proc_time
12522 1796
41859 5867
12522 6623
41859 7724
41859 5718
12522 1292
41859 9193
41859 11275
12522 2963
41859 5199
41859 13356
12522 7179
35051 4296
50050 7480
35051 984
50050 8908
41859 5637
12522 5165
50050 10317
35051 2586
35051 4063
50050 2720
50050 8106
35051 4838
50050 6449
35051 6841
50050 3722
35051 4322
50050 3884
35051 13410
235 534
25473 6849
235 11123
25473 9140
25473 7393
235 31
235 12265
25473 2586
235 4049
25473 2036
235 6965
235 411
25473 5251
47338 4176
896 2367
47338 7568
896 3404
47338 7620
47338 4043
896 3492
896 1898
47338 7738
47338 3777
896 4942
47338 7834
47338 3826
37100 4131
41865 10439
37100 4504
41865 5428
41865 11954
37100 5112
37100 4389
37100 5515
41865 3547
41865 3496
41865 11526
37100 7898
41865 3817
37100 5343
37100 10412
10477 1680
50056 6439
10477 5600
50056 5981
41865 12897
37100 11628
50056 5767
10477 4054
10477 6016
50056 2022
50056 4005
10477 4899
50056 5609
10477 1831
10477 94
50056 12109
10477 10877
41197 2709
25483 7243
41197 6847
25483 6766
25483 6902
41197 4951
41197 3828
41197 11000
25483 4896
25483 5445
25483 1688
41197 4553
25483 1617
41197 6403
41197 4170
41197 12086
6380 5152
906 9349
6380 6120
906 3805
25483 12334
41197 11116
906 4428
6380 8154
6380 3904
906 5698
6380 34
906 5764
906 6526
6380 2867
6380 3798
906 7987
61678 3836
25486 12560
61678 3181
25486 3946
25486 6060
61678 3675
61678 4210
25486 1995
61678 4918
25486 5847
61678 2389
61678 6886
18671 4088
911 3997
18671 10311
911 6359
25486 4037
61678 3826
911 10073
18671 2807
18671 3960
911 5223
18671 3957
911 4022
18671 1139
911 7141
49391 3949
41868 4030
49391 4099
49391 11671
41868 9778
911 5855
18671 4202
41868 23
49391 4629
41868 3557
41868 6349
49391 2642
41868 3949
49391 1133
41868 4656
30958 1044
50061 5788
30958 5810
50061 11084
50061 5375
30958 5639
30958 4515
50061 6764
50061 5226
30958 2673
50061 5806
30958 1965
50061 6155
30958 6459
50061 13384
30958 12971
20726 10584
25516 6919
20726 6715
25516 11624
941 5137
59639 1144
941 10376
59639 6583
941 1792
59639 10911
59639 34019
941 6374
59639 5218
941 6801
59639 13020
941 12820
59639 11022
941 5142
59639 11317
941 4358
59639 3850
941 6830
59639 5613
941 5214
59639 1310
24823 3918
41902 4508
24823 8305
41902 5772
24823 10479
24823 3978
41902 3147
24823 10637
24823 3900
41902 5068
24823 1610
41902 6064
24823 557
41902 4097
41902 11755
24823 10501
55542 2297
50095 6007
55542 8304
50095 4725
245 3832
25513 4097
245 5332
25513 11270
25513 5657
245 6832
25513 2034
245 4307
25513 5548
245 549
25513 5678
25513 3802
25513 9098
245 4838
25513 4147
245 4104
47348 3104
936 4671
47348 5969
936 3883
936 2815
47348 6277
47348 4311
936 5242
47348 1270
936 4259
47348 9646
37106 8282
41889 4653
37106 3794
936 4061
47348 11913
37106 9225
41889 5191
41889 7764
37106 7221
37106 81
41889 1746
37106 5057
41889 764
37106 6758
37106 3843
41889 1798
37106 7210
41889 3310
37106 4136
10483 1201
50080 1981
10483 5504
50080 2061
10483 6662
10483 3932
50080 1050
10483 8625
10483 4821
50080 7087
10483 4876
10483 2969
50080 6318
41203 4099
25507 2574
41203 6340
25507 2687
41203 6282
41203 4244
25507 662
41203 2046
25507 5536
25507 4090
41203 4483
25507 1398
41203 3880
25507 3882
41203 5581
6386 4675
930 11185
6386 7717
930 909
6386 6502
6386 3922
930 3824
6386 1699
930 5637
930 4483
6386 3274
930 2952
6386 7285
6386 4029
61680 3956
25510 12080
61680 10621
61680 5871
25510 4711
25510 5317
61680 4804
61680 3994
61680 10628
25510 1257
25510 3887
61680 4641
25510 2419
61680 7232
61680 3882
25510 2448
61680 9189
18673 5300
935 4034
18673 4019
18673 10675
935 10349
935 5531
18673 4562
18673 1493
935 6666
935 4552
935 3998
18673 3896
935 6517
18673 5260
935 5371
18673 4385
935 3979
18673 5614
935 13057
18673 11957
49393 1350
41892 5188
49393 457
41892 4911
49393 5171
41892 5699
49393 9337
49393 4572
41892 4058
41892 6243
49393 2456
41892 4019
49393 3759
41892 9630
49393 6039
30960 3938
50085 3924
30960 4065
30960 10626
50085 8800
50085 6756
30960 3275
30960 6296
50085 2633
50085 4043
30960 9260
50085 1372
30960 5942
50085 4390
30960 2435
37117 5867
41909 4033
37117 4073
37117 10238
41909 8614
41909 7459
37117 4230
37117 6868
41909 3031
37117 4026
41909 3008
37117 8586
37117 5273
41909 3307
37117 1234
41909 5515
10492 6405
50100 6040
10492 6239
50100 6148
50100 7316
10492 3284
10492 470
50100 9070
50100 3865
10492 9031
10492 5189
50100 4010
10492 2809
50100 4132
10492 4068
50100 7425
41212 3882
25527 5464
41212 9073
25527 7158
25527 9326
41212 1393
25527 2543
25527 1423
41212 7953
41212 4104
41212 6142
6397 4452
950 11713
6397 6176
6397 4990
950 13185
25527 10244
41212 8159
950 8006
6397 2836
6397 6552
950 3952
950 3758
950 1686
6397 7205
6397 3781
950 2476
6397 1504
950 5079
61695 6649
25522 8571
61695 2192
25522 6661
25522 6951
61695 4452
61695 7260
25522 24
25522 3976
61695 10064
61695 3967
25522 4154
61695 4851
25522 9396
18686 3830
947 5094
18686 4000
18686 11991
947 10536
947 5036
18686 4753
18686 6377
947 1069
947 6527
947 8518
18686 4826
947 4205
18686 2916
49406 5469
41904 8906
49406 8205
41904 5297
947 11958
18686 9794
41904 5556
49406 4272
49406 8479
41904 970
41904 5645
49406 7441
41904 3046
49406 827
41904 13133
49406 11921
30975 1945
50097 6093
30975 1556
50097 6483
50097 6543
30975 4142
30975 4099
30975 9421
50097 3828
50097 5236
50097 1381
30975 2966
50097 6550
30975 4185
30975 11668
41914 7976
24824 11161
41914 11123
24824 1879
41914 1026
41914 6012
24824 2077
41914 2001
24824 545
41914 5504
55545 4878
50107 6827
55545 11087
50107 13577
55545 4515
55545 274
50107 4810
50107 1789
50107 4188
55545 92
50107 7984
55545 4432
50107 5905
55545 5218
12539 2481
41919 5472
12539 11850
41919 3028
12539 382
12539 13844
41919 1951
12539 4008
41919 9923
12539 2127
35066 3789
50110 6098
35066 4538
35066 10165
50110 7303
41919 4859
12539 4621
50110 9161
35066 262
35066 4981
50110 4277
50110 6213
35066 6081
50110 4099
35066 3716
50110 7908
250 5823
25533 4197
250 5206
25533 10487
50110 6074
35066 3832
25533 7221
250 456
250 4885
25533 4188
25533 1743
250 7487
250 3810
25533 6711
250 3917
47355 3484
956 7254
47355 13690
956 11484
25533 10178
250 6815
956 5814
47355 3130
47355 4574
956 3879
956 959
956 1811
47355 7908
47355 5560
956 7978
47355 3671
956 3923
47355 4902
20682 3582
25596 11007
25596 4474
25596 10905
20682 4644
20682 5116
25596 8636
25596 879
20682 5890
20682 3934
25596 13149
20682 9998
59595 6190
1021 4063
59595 4804
59595 11599
1021 9730
25596 6101
20682 4015
1021 12782
59595 3439
59595 5048
1021 5766
1021 1924
59595 4027
1021 6597
59595 63
1021 4877
59595 1039
1021 5300
59595 6506
24779 1389
41982 10729
41982 10265
41982 6767
24779 4130
24779 10854
41982 4304
41982 20192
24779 7243
55498 4220
50175 1380
41982 3937
24779 8239
50175 10442
55498 3820
55498 9135
50175 41
50175 930
50175 857
55498 5904
55498 4069
50175 3223
55498 4704
55498 7053
12488 4215
41979 4159
12488 2088
41979 9015
41979 7495
12488 2774
41979 1621
41979 4190
12488 1651
41979 7066
12488 3505
12488 4123
35017 1011
50170 838
35017 4573
41979 4055
12488 13206
50170 7879
35017 1611
35017 8663
50170 70
50170 3944
50170 6141
35017 2064
50170 4351
35017 1741
50170 5432
201 3952
25593 4025
201 13365
25593 9944
25593 5332
201 85
25593 1254
25593 5214
201 7506
25593 2752
201 3893
